1. W|carlos|i pahar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|carlsberg|nordic alkoholfrei 05|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|carlsberg|nordic alkoholfri 24 st|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|carlsberg|nordic pils 00|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|carlsberg|nordlyst|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|carlsberg|olut 50 x 24 tolkkia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|carlsberg|one way|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|carlsberg|one way|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=468
470. W|carlsberg|organic alkovaba 0 pudel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|carlsberg|original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|carlsberg|ow|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|carlsberg|pils 46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|carlsberg|pils 5|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|carlsberg|pint bottle green|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. X
477. W|carlsberg|quartz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|carlsberg|quartz bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. X
480. W|carlsberg|single cans 34|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|carlsberg|sise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|carlsberg|sise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=481
483. W|carlsberg|smooth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|carlsberg|smooth can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|carlsberg|smooth draught alc 48 can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|carlsberg|smooth draught bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|carlsberg|smooth pint|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|carlsberg|smooth quart|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|carlsberg|sort guld|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|carlsberg|sort guld 58|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|carlsberg|sport alkoholfrei|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
492. W|carlsberg|stub 24pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|carlsberg|stub 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. X
495. X
496. W|carlsberg|x 24 cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|carlsberg|x 24 cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=496
498. W|carlsberg|x24 sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|carlsberg|zero 00|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|carlsburg|carlsburg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|carlsburg|elephant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|carlshamns|flaggpunsch 26|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|carlson|berry cranberry 4pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|carlson|orchards oak hill blend 416oz cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|carlson|peach cobbler 4pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|carlson|raspberry shandy 4pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|carlson|variety 8pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|carlton cellars|auxerrois|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|carlton cellars|pinot blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
510. W|carlton|cold block|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|carlton|draught|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|carlton|draught 6 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|carlton|draught bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|carlton|draught bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=513
515. W|carlton|draught bottle carton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|carlton|draught bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|carlton|draught bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
518. W|carlton|draught bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
519. W|carlton|draught bottles 24pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|carlton|draught bottles 6 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|carlton|draught can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|carlton|draught can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=521
523. W|carlton|draught cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|carlton|draught case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|carlton|draught cub|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|carlton|draught longneck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|carlton|draught longneck 3 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|carlton|draught richmond 2019 afl premiership cans 6pack|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|carlton|draught richmond 2020 afl premiership cans 6pack|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|carlton|dry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|carlton|dry 24 stubbie slab|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|carlton|dry 35 block 30|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|carlton|dry 35 bottle 24pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|carlton|dry 35 bottles 24|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|carlton|dry 35 can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|carlton|dry 35 can 30pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|carlton|dry 45 30 pack cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|carlton|dry 45 bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|carlton|dry bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|carlton|dry bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=539
541. W|carlton|dry bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=539
542. W|carlton|dry bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=539
543. W|carlton|dry bottle 24pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|carlton|dry bottle 6pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|carlton|dry bottle carton|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|carlton|dry bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|carlton|dry bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=546
548. W|carlton|dry can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|carlton|dry can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=548
550. W|carlton|dry can 24pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|carlton|dry can 30|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|carlton|dry cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|carlton|dry cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=552
554. W|carlton|dry cans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=552
555. W|carlton|dry lemon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|carlton|dry peels lime stubbies|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|carlton|dry ultra low carb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|carlton|hill vineyard estate pinot noir yamhillcarlton district california|us|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|carlton|mid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|carlton|mid can 30pk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|carlton|mid can block 30|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|carlton|mid stubbies|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|carlton|zero bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|carluccio|bianco trevenezie|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
565. W|carluccio|rosso trevenezie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|carly|girls red dobby print shorts turnup bottom hem with faux belt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|carly|ridge sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
568. W|carlyle|chardonnay marsanne|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
569. W|carm|carm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|carm|carm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
571. W|carm|grande reserva tinto|??|r|??|??|??|2004|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
572. W|carm|grande reserva tinto|??|r|??|??|??|2014|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
573. W|carm|carm|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|carm|carm|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|carm|biologico red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|carm|biologico tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|carm|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
578. W|carm|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
579. W|carm|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
580. W|carm|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
581. W|carm|branco|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
582. W|carm|branco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
583. W|carm|casa agricola roboredo madeira organic tinto douro portugal 2022 case|it|f|??|douro|??|2022|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
584. W|carm|cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|carm|cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=584
586. W|carm|cm branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
587. W|carm|cm branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
588. W|carm|cm douro tinto|it|r|??|douro|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|carm|cm red wine|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|carm|cm red wine|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|carm|cm rotwein|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|carm|cm rotwein|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|carm|cm tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|carm|cm tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|carm|cm tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=594
596. W|carm|cm tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=594
597. W|carm|cm tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|carm|cm tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
599. W|carm|cm tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|carm|cm vinha das canadas branco|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
601. W|carm|cm vinha das canadas branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
602. W|carm|cm vino blanco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
603. W|carm|cm vino tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|carm|cm vino tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|carm|cm weiwein|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|carm|cm white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
607. W|carm|cm white wine|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
608. W|carm|codega do larinho|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
609. W|carm|codega do larinho branco|??|w|??|??|??|2023|12.5|do|medio|peixes, frutos do mar, saladas|seco
610. W|carm|colheita branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
611. W|carm|colheita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
612. W|carm|colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|carm|doc branco|??|w|??|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
614. W|carm|doc branco douro|it|w|??|douro|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
615. W|carm|douro|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|carm|douro|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|carm|douro|it|r|??|douro|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|carm|douro biologico organic red|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|carm|douro biologico red|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|carm|douro biologico red 2021 portugal|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|carm|douro branco|it|w|??|douro|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
622. W|carm|douro branco|it|w|??|douro|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
623. W|carm|douro branco white|it|w|??|douro|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
624. W|carm|douro cm tinto|it|r|??|douro|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|carm|douro cm tinto|it|r|??|douro|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=624
626. W|carm|douro organic tinto|it|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|carm|douro red|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|carm|douro red|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=627
629. W|carm|douro red|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|carm|douro red|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=629
631. W|carm|douro red|it|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|carm|douro reserva branco|it|w|??|douro|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
633. W|carm|douro reserva branco|it|w|??|douro|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=632
634. W|carm|douro reserva red|it|r|??|douro|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
635. W|carm|douro reserva tinto|it|r|??|douro|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
636. W|carm|douro reserva tinto|it|r|??|douro|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=635
637. W|carm|douro rose|it|p|??|douro|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
638. W|carm|douro tinto|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|carm|douro tinto|it|r|??|douro|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|carm|douro tinto|it|r|??|douro|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|carm|douro tinto red|it|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|carm|family|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|carm|family douro branco 2023 12|it|w|??|douro|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
644. W|carm|family douro branco 2024 12|it|w|??|douro|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
645. W|carm|family douro branco 2024 12|it|w|??|douro|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=644
646. W|carm|family douro reserva tinto 2022 12|it|r|??|douro|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
647. W|carm|family douro tinto|it|r|??|douro|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|carm|family douro vinha do bispado branco 2024 12|it|w|??|douro|??|2024|12.5|do|medio|peixes, frutos do mar, saladas|seco
649. W|carm|family douro vinha do bispado branco 2024 12|it|w|??|douro|??|2024|12.5|do|medio|peixes, frutos do mar, saladas|seco|=648
650. W|carm|family douro vinha do bispado tinto 12|it|r|??|douro|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
651. W|carm|family douro vinha do bispado tinto 2023 12|it|r|??|douro|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
652. W|carm|family organic red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|carm|family organic red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
654. W|carm|formiga bio tinto|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|carm|gouveio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|carm|gouveio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=655
657. W|carm|gouveio branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
658. W|carm|gouveiono pixem ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|carm|grand reserve tinto red|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
660. W|carm|grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
661. W|carm|grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=660
662. W|carm|grande reserva|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
663. W|carm|grande reserva red|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
664. W|carm|grande reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
665. W|carm|grande reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=664
666. W|carm|grande reserva tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=664
667. W|carm|grande reserva tinto|??|r|??|??|??|2011|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
668. W|carm|grande reserva tinto|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
669. W|carm|grande reserva tinto|??|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
670. W|carm|late bottled vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|carm|maria de lourdes branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
672. W|carm|maria de lourdes branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
673. W|carm|maria de lourdes branco white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
674. W|carm|maria de lourdes douro tinto|it|r|??|douro|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|carm|maria de lourdes red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|carm|maria de lourdes red wine|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|carm|maria de lourdes rotwein|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|carm|maria de lourdes tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|carm|maria de lourdes tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=678
680. W|carm|maria de lourdes tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|carm|maria de lourdes tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=680
682. W|carm|maria de lourdes vino blanco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
683. W|carm|maria de lourdes vino tinto|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|carm|maria de lourdes weiwein|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|carm|maria de lourdes white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
686. W|carm|maria de lourdes white wine|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
687. W|carm|marqes dalmeida grande reserva branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
688. W|carm|marques dalmeida colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
689. W|carm|marques de almeida red|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|carm|natural branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
691. W|carm|natural so2 free branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
692. W|carm|natural so2 free tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
693. W|carm|natural so2 free tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=692
694. W|carm|natural so2 free tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
695. W|carm|natural so2 free tintono pixem ate3xdesem juroscomprar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
696. W|carm|natural tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|carm|rabigato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|carm|rabigato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=697
699. W|carm|rabigato|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
700. W|carm|rabigato|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|carm|rabigato branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
702. W|carm|rabigato branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=701
703. W|carm|rabigato branco 2012 dop|??|w|??|??|??|2012|12.5|dop|medio|peixes, frutos do mar, saladas|seco
704. W|carm|rabigato branco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
705. W|carm|rabigato codega do larinho viosinho|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
706. W|carm|rabigato codega do larinho viosinho|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco|=705
707. W|carm|rabigato white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
708. W|carm|res tt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
