1. W|cao|agata arinto amphora 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|caol|ila 2009 13 year old connoisseurs choice gm|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|caol|ila 2009 distillers edition|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|caol|ila 2009 sassicaia finish gordonmacphail 07 45|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|caol|ila 2009 single cask strength 54 coppers choice|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|caol|ila 20092024 15 year old cask strength gordonmacphail 307093|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|caol|ila 2010 10 yo 43 signatory|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|caol|ila 2010 10 yo refill sherry 589 signatory|??|f|??|??|??|2010|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
459. W|caol|ila 2010 11 ar 572 sherry butt signatory|??|f|??|??|??|2010|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
460. W|caol|ila 2010 11 yo 43 signatory|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|caol|ila 2010 12 year old connoisseurs choice gm|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|caol|ila 2010 15 years c dully selection|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|caol|ila 2010 9 years hepburns choice 2020 release 46|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|caol|ila 2010 aged 11 years signatory sherry cask finish|??|f|??|??|??|2010|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
465. W|caol|ila 2010 artist collective 10 year old|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|caol|ila 2010 bottled 2023 berry bros and rudd cask 311751|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|caol|ila 2010 br 13 years berry bros rudd|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|caol|ila 2010 single single 10 year old single single|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|caol|ila 201010yo artist collective 53|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|caol|ila 201010yo artist collective 53|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=469
471. W|caol|ila 20102025 15 yo refill american hogahead 313534 gm cc cs kirsch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|caol|ila 20102026 15 yo oloroso sherry cask finish 318389 berry bros rudd year of the horse|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
473. W|caol|ila 2011 the accomplice|??|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|caol|ila 201119 cask 61|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|caol|ila 20112017 wilson morgan 46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|caol|ila 20112024 12 year old the single malts of scotland 305289|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|caol|ila 2012 9 years old 46 signatory vintage|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|caol|ila 2012 ch7 8 years chapter 7|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|caol|ila 2012 single cask 8 year old signatory|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|caol|ila 2012 wilson morgan 8 years old bot2020 abv 605 with gift box oloroso sherry finish|??|f|??|??|??|2012|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
481. W|caol|ila 20122026 13 year old 100 proof edition 70 signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|caol|ila 20122026 13 yo 1st fill refill oloroso sherry butts signatory 100 proof edition 70|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
483. W|caol|ila 2013 10 ars small batch edition 4 signatory vintage 482|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|caol|ila 2013 10 yo signatory small batch 12|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|caol|ila 2013 100 proof 65 12yo|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|caol|ila 2013 12yo signatory vintage 100 proof 571|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|caol|ila 2013 gwhl 9 years the red cask co|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|caol|ila 2013 signatory 10yo batch12|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|caol|ila 2013 signatory vintage sherry butt cask 3 strength abv 587|??|f|??|??|??|2013|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
490. W|caol|ila 2013 single malt islay|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|caol|ila 2013 very cloudy|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|caol|ila 2013 very cloudy 10 year old signatory|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|caol|ila 2014 10 ans 571|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|caol|ila 2014 10 yo 562 adelphi selection|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|caol|ila 2014 bottled 2022 wilson morgan barrel selection 46|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|caol|ila 2014 bottled 2022 wilson morgan barrel selection 571|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|caol|ila 2014 single cask adelphi exclusive|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|caol|ila 2014 tscl 9 years|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|caol|ila 20142022 8 yo pauillac wine cask finish murray mcdavid|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|caol|ila 20142024 10 year old 100 proof edition 28 signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|caol|ila 20142025 11 year old private cask collection finn thomson 301512|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|caol|ila 20142025 11 yo amontillado sherry hhd 386648 james eadie|??|f|??|??|??|NV|20|do|encorpado|sobremesas, queijos azuis, foie gras|doce
503. W|caol|ila 2015 8 ars 100 proof edition 10 signatory vintage 571|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|caol|ila 2015 ud ralfycom bottling 006|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|caol|ila 2015 very cloudy 7 ans signatory vintage 40|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|caol|ila 20152024 9 year old 100 proof edition 26 signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|caol|ila 20152025 9 year old 100 proof edition 42 signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|caol|ila 2016 tscl 5 years|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|caol|ila 20162025 9 year old bottled for the nectar signatory vintage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|caol|ila 2017 special release 18 yo|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|caol|ila 22 year old feis ile|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|caol|ila 22 year old feis ile|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
513. W|caol|ila 23 year old 1978 rare malts selection|??|r|??|??|??|1978|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|caol|ila 24 year old 175th anniversary|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|caol|ila 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|caol|ila 25|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=515
517. W|caol|ila 25 eves diszdobozos 0 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|caol|ila 25 jahre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|caol|ila 25 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|caol|ila 25 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|caol|ila 25 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=520
522. W|caol|ila 25 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=520
523. W|caol|ila 25 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=520
524. W|caol|ila 25 year old 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
527. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
528. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
529. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
530. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
531. W|caol|ila 25 years|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=525
532. W|caol|ila 25 years 0 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|caol|ila 25 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|caol|ila 25 years old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=533
535. W|caol|ila 25 years single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|caol|ila 25 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|caol|ila 25 yo 43 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|caol|ila 25yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|caol|ila 25yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
540. W|caol|ila 25yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
541. W|caol|ila 25yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
542. W|caol|ila 25yr old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|caol|ila 26 yo 19772003 old rare the platinum selection 577|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|caol|ila 30 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|caol|ila 30 year old special releases 19832014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|caol|ila 30 years limited release|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|caol|ila 32 year old the kinship edition no 4|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|caol|ila 32yo 19902022 6223 cask of distinction for wdc 515 wb 916|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|caol|ila 33 ars the kinship edition no 3 526|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|caol|ila 33 year old the kinship edition no3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|caol|ila 33yo gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|caol|ila 34yo gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|caol|ila 35 ars naturlig cask strength 581 release|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|caol|ila 35 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|caol|ila 35 year old 1984 prima ultima cask|??|r|??|??|??|1984|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|caol|ila 35 year old the single malts of scotland directors special|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|caol|ila 35 years limited release|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|caol|ila 40 year old 1982 private collection gordon macphail|??|r|??|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. X
560. X
561. W|caol|ila 43 2003 special release single malt|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|caol|ila 482 signatory|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|caol|ila 5 y d laing|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|caol|ila 50 ar gm private collection|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|caol|ila 54 fcanniversary|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|caol|ila 6 ars 2008 provenance|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|caol|ila 6 year old batch 3 tbwc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|caol|ila 7 ans|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|caol|ila 8 ani 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|caol|ila 8 ani premier barrel ceramic 46|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|caol|ila 8 ans 2017 very cloudy 40|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|caol|ila 8 ars reserve cask parcel no 9 48 the single malts of scotland|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
573. W|caol|ila 8 hart brothers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|caol|ila 8 year old feis ile|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|caol|ila 8 year old north star wb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|caol|ila 8 year old signatory|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|caol|ila 8 year old unpeated style diageo special releases|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|caol|ila 8 years unpeated cask strenght|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|caol|ila 8 yo provenance islay single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|caol|ila 8 yo tokaji wine cask finish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|caol|ila 8yo 2015 artist collective 70|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|caol|ila 9 ans 2013 artist collect 60|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|caol|ila 9 ans 2013 oloroso sherry sv|??|f|??|??|??|2013|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
584. X
585. W|caol|ila 9yo 46 2010 sherry butt hepburns choice|??|f|??|??|??|2010|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
586. W|caol|ila ambrosial feast 11 year old special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|caol|ila ambrosial feast special release|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|caol|ila batch 42 signatory 100o proof|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|caol|ila bottled 2023 coopers choice port cask 255 445|??|f|??|??|??|2023|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
590. W|caol|ila cask strength|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|caol|ila cask strength 55|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|caol|ila cask strength 576 wilson og morgan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. X
594. W|caol|ila connoisseurs choice 2004|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|caol|ila connoisseurs choice 2008 gordonmacphail|??|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|caol|ila distiller edtion single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|caol|ila distiller edtion single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=596
598. W|caol|ila distillers ed2001 43o|??|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
601. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
602. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
603. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
604. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
605. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
606. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
607. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
608. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
609. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
610. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
611. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
612. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
613. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
614. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
615. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
616. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
617. W|caol|ila distillers edition|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=599
618. W|caol|ila distillers edition 20062017|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|caol|ila distillers edition 20092021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|caol|ila distillers edition 20092021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=619
621. W|caol|ila distillers edition|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|caol|ila distillers edition|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=621
623. W|caol|ila distillers edition|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=621
624. W|caol|ila distillers edition|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=621
625. W|caol|ila distillers edition 2022 0 43 gb|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|caol|ila distillers edition|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|caol|ila distillers edition|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=626
628. W|caol|ila distillers edition 2023 0 43 gb|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|caol|ila distillers edition 2023 release|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|caol|ila distillers edition 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|caol|ila distillers edition bottled in|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|caol|ila distillers edition double matured 07 43|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. X
634. W|caol|ila distillers edition moscatel finish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|caol|ila distillers edition moscatel finish|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=634
636. W|caol|ila distillers edition moscatel finish single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|caol|ila distillers edition moscatel finish single malt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=636
638. W|caol|ila distillery 8 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|caol|ila distillery exclusive bottling|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|caol|ila distillery exclusive bottling|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|caol|ila dl 12 years old particular|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|caol|ila double matured de|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|caol|ila fassdeckel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|caol|ila feis ile 2020 539 abv|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|caol|ila feis ile 2021 57|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|caol|ila first cask 1981 islay 21 year old 46 vol|??|r|??|??|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|caol|ila first cask 1983 islay 20 year old 46 vol|??|r|??|??|??|1983|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|caol|ila friends of the classic malts|??|r|??|??|??|2007|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
649. W|caol|ila friends of the classic malts 2007 limited edition|??|r|??|??|??|2007|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
650. X
651. W|caol|ila gordon macphail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|caol|ila gordon macphail sassicaia cask finish 200913yo 45|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|caol|ila islay 12y|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|caol|ila islay 20 years old 6112 vol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|caol|ila islay single malt 12 yo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|caol|ila malt ambrosial feast 11yr 2024 se|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
659. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
660. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
661. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
662. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
663. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
664. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
665. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
666. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
667. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
668. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
669. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
670. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
671. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
672. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
673. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
674. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
675. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
676. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
677. W|caol|ila moch|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
