W|vino|j stavek bodro 2020 cabernet sauvignon merlot dry round and cheeky bordeaux blend in another words bodro from moravia|fr|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|dry
W|vino|honorable de gomez cruzado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|homenaje roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|homenaje reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|homenaje reserva 1986|??|r|??|??|??|1986|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|homenaje blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hombre rio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hofstatter sauvignon 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hofstatter pinot grigio 075|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hofstatter joseph 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hofstatter drfischer 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hofstatter chardonnay 075|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hmr white blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hmr black|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hk i heart sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hk i heart rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hk i heart riesling|??|w|riesling|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hk i heart pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hk i heart merlot tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hk i heart chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hivern gran reserva 1993|??|r|??|??|??|1993|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hito|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hito|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=477
W|vino|histeria sauvignon blanc vino de anfora 2021|??|w|sauvignon blanc|??|??|2021|12|??|leve|peixes; saladas; massas leves|??
W|vino|hiru 3 racimos 2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hilvan crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hijo de tigre malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|higo x 12 botellas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hiera rose 6 bottiglie hauner|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hiera 6 bottiglie hauner|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hielu de picos de cabariezo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hidalguia martinez bujanda reserva 1968|??|r|??|??|??|1968|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hey rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hey malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hey malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=489
W|vino|herventia 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heru ventisquero pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|herrero blanco by jan smit bodegas del medievo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|herrero 2025|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heroico mencia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heroes carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heroes carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=496
W|vino|hermandad malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hermandad malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=498
W|vino|hermandad malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=498
W|vino|hermandad blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hermandad blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=501
W|vino|hermandad blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=501
W|vino|heresie corbieres tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heresie corbieres tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=504
W|vino|heresie corbieres blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heresie corbieres blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=506
W|vino|heresie blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo reserva 1987|??|r|??|??|??|1987|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo reserva 1978|??|r|??|??|??|1978|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo gran reserva 1994|??|r|??|??|??|1994|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo gran reserva 1981|??|r|??|??|??|1981|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo gran reserva 1978|??|r|??|??|??|1978|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo gran reserva 1976|??|r|??|??|??|1976|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|herencia remondo 1970|??|r|??|??|??|1970|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heredad ugarte reserva 1997|??|r|??|??|??|1997|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|heredad ugarte crianza 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heredad garbro reserva 2002|??|r|??|??|??|2002|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|heredad del cerrado 1986|??|r|??|??|??|1986|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon vendimia seleccionada 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon vendimia seleccionada 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon vendimia seleccionada 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon vendimia seleccionada 2006|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon reserva 2011|??|r|??|??|??|2011|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|heras cordon reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hemisferio sur reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|hemisferio sur reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|helios malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helios blend 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen veltlinske zelene zold veltelini 125 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen rizling rynsky rajnai rizling 13 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen palava 0 115|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen muskat moravsky 2021 morvai muskotaly 12 0|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen irsai oliver 0 115|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen frankovka modra rose kekfrankos rose 115 0|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|helen frankovka modra kekfrankos 135 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen cserszegi fuszeres 2019 0 125|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen csenge 0 12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|helen cabernet sauvignon rose 2021 125 0|??|p|cabernet sauvignon|??|??|2021|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|hecula 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hebo petra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hd reserva single vineyard malbec durigutti|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hd gran reserva single vineyard malbec x 3|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hd gran reserva single vineyard malbec durigutti|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hats|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|harveys pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|harveys pedro ximenez|??|r|pedro ximenez|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=547
W|vino|haroldos reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|haroldos reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|harense crianza 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haras de pirque hussonet cabernet sauvignon 750cc|cl|r|cabernet sauvignon|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haras de pirque galantas cabernet franc 750cc|cl|r|cabernet franc|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haras de pirque ecral carmenere 750cc|cl|r|carmenere|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haras de pirque chardonnay 750cc|cl|w|chardonnay|maipo valley|pirque|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|haras de pirque albis 2011 750cc|cl|r|??|maipo valley|pirque|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haras de pirque albaclara sauvignon blanc 750cc|cl|w|sauvignon blanc|maipo valley|pirque|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|happy family tio loco tempranillo botella|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|happy family linda mamy cabernet franc botella|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|happy family el mono ciriaco cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|happy family dandy dad petit verdot botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|happy family chic martina merlot botella|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|happy family baby pompa syrah botella|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hans baer riesling blanco|??|w|riesling|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|hans baer gewurztraminer blanc|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
X
W|vino|hallado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|haciendo lopez de haro blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda zorita arribes del duero crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda valvares|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda valdeperillo ensamblaje 2019 do lliu lliu aconcagua x 3 botellas|cl|r|??|aconcagua valley|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda valdeperillo ensamblaje 2018 do lliu lliu aconcagua x 3 botellas|cl|r|??|aconcagua valley|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda valdeperillo ensamblaje 2017 do lliu lliu aconcagua x 3 botellas copia|cl|r|??|aconcagua valley|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda solano vviejas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda solano seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda pradolagar 2000|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda pradolagar 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva especial botella|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva especial 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva b3|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 2011|??|r|??|??|??|2011|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 2003|??|r|??|??|??|2003|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 1992|??|r|??|??|??|1992|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio reserva 1991|??|r|??|??|??|1991|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio crianza 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio cosech b3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio 2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda monasterio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda lopez de haro crianza 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda la quinteria blanc de noir blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda el ternero torno crianza 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hacienda araucano humo blanco latelier carmenere do lolol colchagua costa x 3 botellas|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|hachon roble ribera opt34x6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no34|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no33 malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no32|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no31|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no29|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no28|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no27|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no24|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no22|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no20|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no15|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla no14|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla n 4 2006|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla duende|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla duende|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=611
W|vino|habla del silencio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla del silencio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=613
W|vino|habla del mar blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla del mar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla del mar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=616
W|vino|habla del mar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=616
W|vino|habla de ti sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla de ti rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|habla de ti blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla de ti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla de rita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla de la tierra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|habla de la tierra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=624
W|vino|h stagnari viognier premier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|h stagnari viognier premier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=626
W|vino|h stagnari viejo tannat alta gama|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari tannat viejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari tannat viejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=629
W|vino|h stagnari tannat premier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari tannat premier|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=631
W|vino|h stagnari tannat para compartir 2lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari tannat 1 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari tannat 1 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=634
W|vino|h stagnari seleccion la puebla petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari seleccion la puebla petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=636
W|vino|h stagnari seleccion la puebla marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari seleccion la puebla marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=638
W|vino|h stagnari seleccion la puebla gewurztraminer|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|h stagnari seleccion la puebla gewurztraminer|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=640
W|vino|h stagnari seleccion la puebla cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari seleccion la puebla cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=642
W|vino|h stagnari pura sangre tannatarinarnoa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari pura sangre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari primer vinedo 11 tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari primer vinedo 11 cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari premier viognier|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|h stagnari premier tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari premier merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari premier cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari premier cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari ocho jovenes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari natur sin sulfitos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari merlot premier|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari merlot premier|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=655
W|vino|h stagnari la puebla syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari la puebla petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari la puebla marselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari la puebla gewtraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari la puebla cabernnet franc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari gran guarda tannatcabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari gran guarda tannat cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari gran guarda tannat cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=663
W|vino|h stagnari garra tannatmarselan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari espumoso natural hs brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|h stagnari escuadra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari escuadra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=667
W|vino|h stagnari dinastia reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari dinastia reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=669
W|vino|h stagnari dinastia blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari dinastia blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=671
W|vino|h stagnari dayman castel la puebla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari dayman castel la puebla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=673
W|vino|h stagnari dayman|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari conjudo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari chardonnay de virginia|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|h stagnari chardonnay de virginia|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=677
W|vino|h stagnari chardonnay de virginia|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=677
W|vino|h stagnari cabernet sauvignon premier|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari cabernet sauvignon premier|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=680
W|vino|h stagnari cabernet sauvignon para compartir 2lts|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari cabernet rosado premier|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|h stagnari cabernet rosado premier|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=683
W|vino|h stagnari cabernet 1 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari cabernet 1 x 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=685
W|vino|h stagnari blush|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|h stagnari blush|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=687
W|vino|h stagnari blush|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=687
W|vino|h stagnari blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|guzman aldazabal 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vino|gusto 16oz govino glass|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
