W|gaja|gaia rey|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisbohl|monopol riesling trocken grosse lage burklinwolfprg|??|w|riesling|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaisbohl|riesl tr gc monopol bio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaisbohl|riesling tr gc monopol bio|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaissac|rouge tradition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gait|wines sommelier selection merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaita|reserva assemblage|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gaitatzi|mix cerne a zelene olivy s peckou vakuum 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaitu|valli unite|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaitu|valli unite|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=454
W|gaitu|valli unite|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|barbaresco|it|r|??|barbaresco|barbaresco|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|barbaresco|it|r|??|barbaresco|barbaresco|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|barbaresco|it|r|??|barbaresco|barbaresco|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco marchesi di gresy|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco marchesi di gresy|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco marchesi di gresy cassa legno 6 bottiglie|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco marchesi di gresy|it|r|??|barbaresco|barbaresco|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco marchesi di gresy cassa legno 6 bottiglie|it|r|??|barbaresco|barbaresco|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco docg jeroboam marchesi di gresy|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco docg marchesi di gresy|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco docg marchesi di gresy|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=468
W|gaiun|martinenga barbaresco docg riserva|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiun|martinenga barbaresco docg riserva|it|r|??|barbaresco|barbaresco|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|gaius|vin de pays suisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaius|vin de pays suisse|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|douro branco|pt|r|??|douro|douro|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|porto vintage|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gaivosa|primeiros anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|primeiros anos|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|primeiros anos douro tinto|pt|r|??|douro|douro|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|primeiros anos tinto|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaivosa|primeiros anos tinto 1|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiwan|gaiwan|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiwan|cool|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiwan|lotus tetera china de ceramica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiwan|pro blanco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaiwan|shen nung tetera china|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaiwan|travel set|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|nebbiolo del piemonte|it|r|nebbiolo|??|??|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbera dalba vignarey|??|r|barbera|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|dolcetto dalba vignabaila|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco san lorenzo|it|r|??|barbaresco|barbaresco|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barolo sperss|it|r|??|barolo|barolo|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barolo sperss|it|r|??|barolo|barolo|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco sori tildin|it|r|??|barbaresco|barbaresco|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperss|it|r|??|langhe|langhe|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe nebbiolo sori tildin|it|r|nebbiolo|langhe|langhe|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperss|it|r|??|langhe|langhe|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe costa russi|it|r|??|langhe|langhe|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sori san lorenzo|it|r|??|langhe|langhe|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sori tildin|it|r|??|langhe|langhe|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperss|it|r|??|langhe|langhe|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|20 barolo conteisa|it|r|??|barolo|barolo|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|20 barolo conteisa table red|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|20 darmagi langhe cabernet sauvignon table red|it|r|cabernet sauvignon|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperss|it|r|??|langhe|langhe|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|toscana ca marcanda magari|it|r|??|tuscany|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe conteisa|it|r|??|langhe|langhe|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe costa russi|it|r|??|langhe|langhe|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperss|it|r|??|langhe|langhe|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe costa russi|it|r|??|langhe|langhe|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sori tilden|it|r|??|langhe|langhe|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|201 barolo conteisa|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|langhe sperrs|it|r|??|langhe|langhe|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|camarcanda promis red tuscany italy|it|r|??|tuscany|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|ca marcanda promis toscana red|it|r|??|tuscany|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|gaia rey chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|barolo sperss|it|r|??|barolo|barolo|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|ca marcanda magari|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|gaia and rey langhe chardonnay|it|w|chardonnay|langhe|langhe|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|idda bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|bianco rossj bass|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|gaia and rey langhe chardonnay|it|w|chardonnay|langhe|langhe|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|21 barolo conteisa|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|21 barolo dagromis|it|r|??|barolo|barolo|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|21 sito moresco langhe rosso|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|22 sito moresco langhe rosso|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|22 sito moresco langhe rosso|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|22 sito moresco langhe rosso table red|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|23 sito moresco langhe rosso|it|r|??|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|agricola barbaresco|it|r|??|barbaresco|barbaresco|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|agricola barbaresco|it|r|??|barbaresco|barbaresco|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=536
W|gaja|alteni brassica sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop prezzo su richiesta|it|r|??|langhe|langhe|2020|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop prezzo su richiesta|it|r|??|langhe|langhe|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|gaja|alteni di brassica|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|2022|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop cassa legno 6 bottiglie|it|r|??|langhe|langhe|2022|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=552
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|gaja|alteni di brassica langhe 0|it|r|??|langhe|langhe|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe doc|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe doc 6 x|it|r|??|langhe|langhe|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|2019|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop 706 z|it|r|??|langhe|langhe|2019|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|2020|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|alteni di brassica langhe dop|it|r|??|langhe|langhe|2022|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=548
W|gaja|alteni di brassica sauvignon blanc|??|w|sauvignon blanc|??|??|1997|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica sauvignon blanc|??|w|sauvignon blanc|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica sauvignon blanc|??|w|sauvignon blanc|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica sauvignon blanc|??|w|sauvignon blanc|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|alteni di brassica sauvignon blanc italie|??|w|sauvignon blanc|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gaja|and rey domaine angelo gaja|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|and rey domaine angelo gaja|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|and rey domaine angelo gaja|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|angelo rossjbass|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|angelo rossjbass|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|angelo rossjbass|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=577
W|gaja|barbaresco 075|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1958|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1960|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1961|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=490
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1962|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1964|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=602
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1965|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1966|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1967|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=606
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1968|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1969|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1970|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=611
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1971|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=611
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco double|it|r|??|barbaresco|barbaresco|1973|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1974|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=616
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1975|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1977|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1979|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1981|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1983|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=495
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=495
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=633
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=638
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=641
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=644
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=644
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=647
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=649
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=655
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=657
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=659
W|gaja|barbaresco|it|r|??|barbaresco|barbaresco|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=659
