W|gevreychambertin|premier cru champeaux tres vieilles vignes|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=429
W|gewurztraminer|alto adige doc wilhelm walch tramin sudtirol|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc valais|??|w|??|??|??|2024|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bellussi|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|cantina valle isarco doc alto adige|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|christophe mittnacht bd vin nature|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|christophe mittnacht bd vin nature|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=444
W|gewurztraminer|cuvee des demoiselles alsace wine sweet|fr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gewurztraminer|cuvee des demoiselles vin dalsace doux|fr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|cuvee saint urbain|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|domaine kleinknecht alsace|fr|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|elena walch|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kellerei ersteneue 145 vol|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|kettmeir|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|le petitlullier|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|san michele appiano|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|st michael eppan|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|terlan|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|tremisse|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|villa wolf|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|vinothek julius kimmle|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|gewurztraminer|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=460
W|gewurztraminer|abbazia di novacella alto adige valle isarco doc|it|w|??|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|22|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|3|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|350 nn|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|350 nn|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=470
W|gewurztraminer|350 nn|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=470
W|gewurztraminer|5|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|60|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aac henri kieffer fils|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=476
W|gewurztraminer|abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=476
W|gewurztraminer|abbazia di novacella|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=476
W|gewurztraminer|abbes domaines schlumberger|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|ac eugene meyer|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|adega giovanni tasca|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|adobe emiliana|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|ahn goellebour|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aime alto adige doc|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aime girlan|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aime girlan|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aime girlan weiwein aus trentinosudtirol gewurztraminer|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|albert boxler frankrijk elzas wit|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|albert boxler frankrijk elzas wit|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|albert hertz biowine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alois lageder|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=493
W|gewurztraminer|alsace ac kritt|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace aoc maceration pierre frick|fr|w|??|??|??|2021|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace bio|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace blanc domaine dirlercade|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace eugenie klipfel|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace eugenie klipfel|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=499
W|gewurztraminer|alsace grand cru ac eichberg|fr|w|??|??|??|2017|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace grand cru brand|fr|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace grand cru froehn|fr|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace grand cru mandelberg|fr|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace grand cru praelatenberg ab domaine engel|fr|w|??|??|??|2020|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace grand cru sonnenglanz|fr|w|??|??|??|nv|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace hubert beck|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace hubert beck|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=507
W|gewurztraminer|alsace moelleux aop|fr|w|??|??|??|2023|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace passion|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace reserve|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace reserve aoc hunawihr|fr|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace selection de grains nobles|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace vendanges tardives|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alsace vendanges tardives|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=514
W|gewurztraminer|alsace vieilles vignes|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|altenberg de bergheim|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|altenberg de wolxheim|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|altenbourg 18|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|altenbourg domaine weinbach|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alterberg grand cru ribeauville|??|w|??|??|??|2016|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=523
W|gewurztraminer|alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=523
W|gewurztraminer|alto adige doc|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=523
W|gewurztraminer|alto adige doc|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=527
W|gewurztraminer|alto adige doc franz haas|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=530
W|gewurztraminer|alto adige doc|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=530
W|gewurztraminer|alto adige doc brunnenhof|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc rottensteiner|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=535
W|gewurztraminer|alto adige doc franz haas|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc elena walch|it|w|??|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc k martini sohn|it|w|??|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc muri gries|it|w|??|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc abbazia di novacella|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc abbazia novacella|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc alois lageder|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc am sand alois lageder|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc artyo tenuta weger|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc auratus ritterhof|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc caldaro|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc colterenzio|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc colterenzio|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=548
W|gewurztraminer|alto adige doc colterenzio|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=548
W|gewurztraminer|alto adige doc colterenzio|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=548
W|gewurztraminer|alto adige doc elena walch|it|w|??|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=538
W|gewurztraminer|alto adige doc flora girlan|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc girlan|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc joseph hofstatter|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc joseph hofstatter|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc joseph hofstatter|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc justina kellerei st pauls|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc kaltern|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc konrad oberhofer|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc kurtatsch arenis cortaccia|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc murigries|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc nussbaumer tramin|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc ritterhof|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc ritterhof|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=564
W|gewurztraminer|alto adige doc san michele appiano|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc sanct valentin san michele appiano|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc st michael eppan|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc terlan|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc tramin|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc vigna kolbenhof hofstatter|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc vigna kolbenhof hofstatter|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc vigna pirchschrait in cassa legno hofstatter|it|w|??|??|??|2009|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc weingut steinhaus|it|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige doc zemmer|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige hofstatter|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige sanct valentin doc san michele appiano|it|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige valle isarco doc cantina valle isarco|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige valle isarco doc kuenhof|it|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|alto adige valle venosta doc falkenstein|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|altoadige doc|??|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|am sand alto adige doc|it|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|am sand mitterberg igt|??|w|??|??|??|2022|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|amber|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|amber|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|amelie|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|american|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|ancestral|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|andlau|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|andrian|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc bio domaine gmetz|??|w|??|??|??|2022|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc bio domaine gmetz|??|w|??|??|??|2022|12.5|aoc|medio|peixes, frutos do mar, saladas|seco|=591
W|gewurztraminer|aoc alsace|fr|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc grand cru winzenberg domaine pierre sperry|??|w|??|??|??|2017|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc le seducteur|??|w|??|??|??|2019|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc valais fernand cina sa salgesch|??|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc valais fernand cina sa salgesch|??|w|??|??|??|2024|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aoc zurich hamacht weine|??|w|??|??|??|2023|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aop|??|w|??|??|??|nv|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aop alsace|fr|w|??|??|??|2020|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aop alsace|fr|w|??|??|??|2023|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aop alsace grand cru rosacker|fr|w|??|??|??|2016|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|arenis kellerei kurtatsch|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aristos alto adige valle isarco doc|it|w|??|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aristos doc cantina valle isarco|??|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|arliz|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|aromatico doc warth moser|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|atagis|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|auslese|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=609
W|gewurztraminer|auslese|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=609
W|gewurztraminer|auslese|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=609
W|gewurztraminer|auslese bassermann jordan|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese|??|d|??|??|??|2019|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese bergdoltreif nett|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese bio orange edelsuss nahe weingut im zwolberich|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese enselberg zeit|??|d|??|??|??|2021|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|auslese weingut friedrich becker duitsland pfalz wit|de|d|??|??|??|2012|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gewurztraminer|barrique|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|barrique|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=619
W|gewurztraminer|bassermann jordan|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bbhm|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|beck mediumsweet|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gewurztraminer|bergheim|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bergsig estate|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bild|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bild|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bildstoeckle|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bildstoeckle pige|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bildstoeckle sylvain hertzog|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=631
W|gewurztraminer|bio schwarzhof zeni|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio alsace marcel deiss|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio aoc alsazia vino bianco amabile francia cave de ribeauville|??|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio les authentiques domaine hering aoc alsace|fr|w|??|??|??|nv|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio les fous domaine leon boesch|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio selection de grains nobles|??|w|??|??|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bio vallee noble domaine leon boesch|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|blanc les jamelles|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|blanc alsace aoc|fr|w|??|??|??|2019|12.5|aoc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|blanck|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|blanck|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|blechkleinmacher falkenberg|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bodega luigi bosca|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|boeckel|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|boeckel andree schmitt 13|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bollenberg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bollenberg domaine valentin zusslin|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bollenberg cuvee mariefrance|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bollenberg moelleux|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bourdic pays doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|brand|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|brand de turckheim grand cru|??|w|??|??|??|2011|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|brand grand cru|??|w|??|??|??|2019|12.5|grand cru|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|breakaway entalkoholisiert paket|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|bruno sorg alsace france 135 vol|fr|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|burg|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|calcaire zind humbrecht|??|w|??|??|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|campaner|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gewurztraminer|campaner linea selezione cantina di caldaro|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
