W|15|minute test pots pinot noir|??|r|grenache syrah pinot noir, pinot noir, syrah, grenache|??|??|2024|14|??|encorpado|carne vermelha, queijo|seco
W|mon tout|cherry picking|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco
W|georges|duboeuf beaujolais nouveau kosher|fr|r|??|??|??|2025|13.5|??|medio|carne vermelha, queijo|seco|=606
W|georges|duboeuf beaujolais nouveau kosher|fr|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco
W|georges|duboeuf beaujolais nouveau kosher|fr|r|??|??|??|2024|13.5|??|medio|carne vermelha, queijo|seco|=608
W|georges|duboeuf beaujolais nouveau kosher|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
W|jean|loron nature beaujolais villages nouveau|fr|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|jean|foillard morgon cote py|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=524
X
W|jean|deville beaujolais villages|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=601
X
X
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=553
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|chateau|thivin clos cote brouilly|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, queijo|seco|=551
W|domaine|montille corton grand cru clos roi|??|r|??|??|??|NV|13.5|grand cru|medio|carne vermelha, queijo|seco
X
W|mommenpop|dpampe grapefruit aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
W|mommenpop|ruby red grapefruit aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|mommenpop|ruby red grapefruit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
W|mommenpop|paloma carbonated aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
W|mommenpop|makrut limepop aperitif|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|beringer|premiere napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|NV|14|??|encorpado|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|momik|red dry vayots dzor armenia|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|momik|red dry vayots dzor armenia|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco|=692
X
W|momi|rosso colli euganei doc montegrande|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, queijo|seco
W|david|leclapart lamateur blanc blancs pas dose champagne premier cru|fr|s|??|champagne|??|NV|12|do|leve|aperitivos, frutos do mar|seco
X
W|momentum|solare solaire|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|soul|growers elder hall sparkling chardonnay pinot noir|??|s|pinot noir, chardonnay|??|??|NV|12|do|leve|aperitivos, frutos do mar|seco
W|soul|growers elder hall sparkling chardonnay pinot noir|??|s|pinot noir, chardonnay|??|??|NV|12|do|leve|aperitivos, frutos do mar|seco|=721
W|moments|clarity shiraz|??|r|shiraz|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|moments|clarity merlot|??|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|moments|clarity chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|stranger|days cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=306
X
X
X
W|terroir|sense fronteres negre montsant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|momentos|sauv blanc bol|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|playa|gran reserva pinot noir|??|r|pinot noir|??|??|2019|13.5|gran reserva|medio|carne vermelha, queijo|seco
W|junta|momentos reserva malbec|??|r|merlot, malbec|??|??|2017|14|reserva|encorpado|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|junta|momentos reserva malbec|??|r|malbec, carmenere|??|??|2018|14|reserva|encorpado|carne vermelha, queijo|seco
X
W|onda|mala cabernet sauvignon syrah|??|r|cabernet sauvignon, syrah|??|??|2020|14|reserva|encorpado|carne vermelha, queijo|seco
W|stranger|days cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=306
X
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
W|momento|tempranillo|??|r|tempranillo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
X
S
W|momento|shiraz|??|r|shiraz|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|gloria|salento rosato salento|??|p|??|??|??|NV|12.5|do|leve|saladas, frutos do mar|seco
W|momento|rosa tempranillo ko spanien roots beverages|??|r|tempranillo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|momento|rosa tempranillo ko|??|r|tempranillo|??|??|2023|14|??|encorpado|carne vermelha, queijo|seco
W|momento|rosa tempranillo ko|??|r|tempranillo|??|??|2023|14|??|encorpado|carne vermelha, queijo|seco|=808
W|momento|rosa tempranillo ko kologisk rosevin|??|p|tempranillo|??|??|2021|12.5|??|leve|saladas, frutos do mar|seco
W|rosa|levant cotes provence rose|fr|p|??|provence|??|NV|12.5|??|leve|saladas, frutos do mar|seco
X
X
X
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco
X
X
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=796
X
X
X
X
W|momento|mori incline syrah|??|r|syrah|??|??|2022|14|??|encorpado|carne vermelha, queijo|seco
W|momento|mori incline syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|momento|mori incline syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=824
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|momento|mori nikau rose|??|p|??|??|??|2022|12.5|??|leve|saladas, frutos do mar|seco
X
W|momento|mori nazomi rose|??|p|??|??|??|2022|12.5|??|leve|saladas, frutos do mar|seco
W|momento|mori nazomi rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
X
X
X
W|momento|mori mt camel rose|??|p|??|??|??|2021|12.5|??|leve|saladas, frutos do mar|seco
W|momento|mori mt camel rose|??|p|??|??|??|2021|12.5|??|leve|saladas, frutos do mar|seco|=852
W|momento|mori mt camel rose|??|p|??|??|??|2021|12.5|??|leve|saladas, frutos do mar|seco|=852
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|momento|mori cardinia ranges rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
W|momento|mori brutal rare|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar|brut
W|momento|mori brutal|??|s|??|??|??|2019|12|??|leve|aperitivos, frutos do mar|brut
X
X
X
X
X
W|momento|mori australia white nosiola|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar|seco
W|kamara|kioutsouki estate kamara pure keramos amphora red|gb|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
W|cape|good hope riebeeksrivier western slopes|za|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=796
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=796
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2021|13.5|??|medio|carne vermelha, queijo|seco
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2018|13.5|??|medio|carne vermelha, queijo|seco
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|cape|good hope riebeeksrivier western slopes|za|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=898
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=815
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2023|13.5|??|medio|carne vermelha, queijo|seco|=815
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2022|13.5|??|medio|carne vermelha, queijo|seco|=796
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|2020|13.5|??|medio|carne vermelha, queijo|seco
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|??|r|grenache|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=899
W|momento|grenache noir riebeekberg|za|w|grenache|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|momento|grenache noir riebeekberg|??|w|grenache|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=916
W|momento|grenache noir riebeekberg|??|w|grenache|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
X
X
X
X
X
X
X
X
W|momento|aradon tinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
W|momento|aradon doc rioja|es|r|??|rioja|??|2020|13.5|doc|medio|carne vermelha, queijo|seco
X
X
X
X
W|cape|good hope riebeeksrivier western slopes|za|w|chenin blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|momento|chenin blancverdelho|??|w|chenin blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|cape|good hope riebeeksrivier chenin blanc|za|w|chenin blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|cape|good hope riebeeksrivier western slopes|za|w|chenin blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar|seco
W|cape|good hope riebeeksrivier western slopes|za|w|chenin blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=936
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar|seco
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar|seco
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|2014|12.5|??|leve|peixes, frutos do mar|seco
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=944
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar|seco
W|momento|chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco
W|momento|chardonnay|??|w|chardonnay|??|??|NV|12.5|do|leve|peixes, frutos do mar|seco|=947
W|momento|cabernet sauvignontempranillo|??|r|cabernet sauvignon, tempranillo|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|stranger|days cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco|=306
W|vigneti|salento lunatico bianco|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, queijo|seco
X
X
X
X
X
X
X
X
W|momentium|jagdtvin cabernetsauvignon bib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
X
W|momenti|andrero syrah|??|r|syrah|??|??|NV|14|??|encorpado|carne vermelha, queijo|seco
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar|seco|=944
W|moment|zen lavender sandalwood glade aromatherapy reed diffuser parallel import|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas|doce
W|cederberg|five generations chenin blanc|??|w|chenin blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|domaine|lafage grande cuvee rose|??|p|??|??|??|2024|12.5|do|leve|saladas, frutos do mar|seco
W|moment|inattendu rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
W|mon|plaisir sud rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|moment|plaisir rose|??|p|??|??|??|2024|12.5|??|leve|saladas, frutos do mar|seco
W|moment|plaisir rose|??|p|??|??|??|2024|12.5|??|leve|saladas, frutos do mar|seco|=997
W|moment|plaisir rose|??|p|??|??|??|2024|12.5|??|leve|saladas, frutos do mar|seco|=997
W|moment|plaisir rose|??|p|??|??|??|NV|12.5|??|leve|saladas, frutos do mar|seco
