W|dalamara naoussa|naoussa|gr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallancourt noir|noir|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas|1000 31 sport|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas|1000 keratin|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas|1000 profitox|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas|200 31 sport|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas cowboys|big slim game ball doublewall tumbler|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas cowboys|big slim helmet doublewall tumbler|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas cowboys|flask stainless steel|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas cowboys|prism shot glass|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas cowboys|tumbler lid vacuum stainless|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|1979 murray mcdavid 23 year old mission|fr|r|??|??|??|1979|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|22 yo 19782000 signatory vintage collection 597|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|24 year old rare malts|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|28 year old gm|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|28 year old omc|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|28 yr old|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|34 year old gm|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|fassdeckel|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|first cask 1974 speyside 23 year old 46 vol|fr|r|??|??|??|1974|46|??|encorpado|carne vermelha, queijo|seco
W|dallas dhu|signatory 1979|fr|r|??|??|??|1979|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas lakridsstang|med sd lakrids|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallas sd|lakridsstang 2 stk lakridseriet|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle nostre|mani centouno|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle nostre|mani centouno|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=490
W|dalle nostre|mani gagio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle nostre|mani gagio|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=492
W|dalle ore|acronia white|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalle ore|chardonnay 2020|fr|w|chardonnay|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|dalle ore|chardonnay 2020|fr|w|chardonnay|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco|=495
W|dalle ore|dresseno 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle ore|dresseno 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=497
W|dalle ore|klos|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle ore|klos pet nat 2018|fr|s|??|??|??|2018|12|??|medio|aperitivos, frutos do mar|brut
W|dalle ore|klos pet nat 2020|fr|s|??|??|??|2020|12|??|medio|aperitivos, frutos do mar|brut
W|dalle ore|klos petnat 2020|fr|s|??|??|??|2020|12|??|medio|aperitivos, frutos do mar|brut
W|dalle ore|klos pinot nero pet nat nv veneto italy|it|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|dalle ore|la garganica 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle ore|la garganica 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=504
W|dalle ore|torque 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle ore|torque 2017|fr|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco|=506
W|dalle valle|1995 napa pietre rosse|us|r|??|??|??|1995|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle valle|cabernet 1994|fr|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle valle|cabernet sauvignon 1998|fr|r|cabernet sauvignon|??|??|1998|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle valle|maya 2018|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco|=511
W|dalle valle|maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalle valle|maya 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco|=513
W|dalleo|2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalli naturtiszta|szappan 3125 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia bartenders|choice spritz 03|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia claude|2016 furmint harslevelu cuvee 0|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|irsai oliver 2022 03|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|irsai oliver 2023 0|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|kekfrankos 2021 0|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|kekfrankos 2021 03|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|kekfrankos roze 2022 0|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|kekfrankos roze 2022 03|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia colours|pezsego sauvignon blanc gyongyozobor 2022 033 liter aludoboz|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dallia colours|sauvignon blanc 2022 03|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dallia frida|2019 furmint harslevelu cuvee 0|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia frida|2022 cuvee 0 elorendelheto|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia gustav|2018 kesoi szuretelesu cuvee 0|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia gustav|cabernet franc barrique 2016 0|fr|r|cabernet franc|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia henri|sauvignon blanc 2022 0|fr|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dallia joan|2020 furmint 0|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia pablo|villanyi classicus szaraz vorosbor 2021 0|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia paul|2018 sarga muskotaly 0|fr|r|??|??|??|2018|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia paul|2021 sarga muskotaly 0|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia vasily|2021 harslevelu 0|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallia vincent|gyongyozobor 2023 0 elorendelheto|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallisola|2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr cafea|macinata prodomo 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr camomile|25 tb|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr classic|cafea macinata vid 500g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr classic|orolt kave 500 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr crema|doro brasil 1kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr crema|prodomo szemes kave 1kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr earl|grey 25 tb|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr espresso|barista 1000gr|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr espresso|doro 1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr home|barista crema dolce 1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr home|barista crema forte 1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr home|barista espresso intenso 1 kg|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr magical|fruits 25 tb|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr prodomo|koffeinmentes orolt 500 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallmayr prodomo|szemes 500 g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallorlo violaceo|violaceo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalloro|dalloro|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalloro liquore|all alloro|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dallorto pesto|powder 30g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalluva al|calice wine tasting x2 ospitiguests|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalluva al|calice wine tasting x3 ospitiguests|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalluva al|calice wine tasting x4 ospitiguests|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalluva al|calice wine tasting x5 ospitiguests|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmacija vino|debit dry white wine kq 6|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalmacija vino|merlot premium dry red wine vkq 6|fr|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmacija vino|plavina dry red wine kq 6|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmacijavino pelinkovac|10|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatia fig|orange spread|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatia fig|spread|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatia fig|spread|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=567
W|dalmatia fig|spread 85oz|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatia orange|fig spread|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatia rose|2020|fr|p|??|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco
W|dalmatia rose|2020|fr|p|??|??|??|2020|13.5|??|medio|frutos do mar, saladas|seco|=571
W|dalmatian dog|babic|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|babic|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=573
W|dalmatian dog|babic 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|babic 2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|babic red wine|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|posip|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|posip|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=578
W|dalmatian dog|posip 0|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian dog|posip white wine|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalmatian gnocchi|nichi|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian ipek|fular|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian prosciutto|100g|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatian red|and white napkins one only paper|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalmatino alkoholivaba|vahujoogi segakast|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatino maasika|alkoholivaba vahujook lastele|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatino ouna|alkoholivaba vahujook lastele|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatino virsiku|alkoholivaba vahujook lastele|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinska juha|60g podravka|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinski bademi|u bijeloj cokoladi s cimetom 100 g opg skaric mario|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinski bademi|u tamnoj cokoladi 100 g opg skaric mario|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinski peceni|slani bademi 100 g opg skaric mario|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinski peceni|slani bademi s dalmatinskim biljem 100 g opg skaric mario|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmatinski usecereni|bademi 100 g opg skaric mario|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmation dog|babic|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau|dalmau|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau|dalmau|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=597
W|dalmau|dalmau|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=597
W|dalmau|2019|fr|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau|2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco|=601
W|dalmau m|murrieta reserva|fr|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau marques|de murrieta 1997 celeccion|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau marques|de murrieta 1997 celeccion|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco|=604
W|dalmau marques|de murrieta 1997 celeccion|fr|r|??|??|??|1997|13.5|??|encorpado|carne vermelha, queijo|seco|=604
W|dalmau reserva|1995|fr|r|??|??|??|1995|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau reserva|1996|fr|r|??|??|??|1996|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau reserva|2019|fr|r|??|??|??|2019|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau reserva|2019|fr|r|??|??|??|2019|13.5|RESERVA|encorpado|carne vermelha, queijo|seco|=609
W|dalmau reserva|rioja do hiszpania 0|es|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau rioja|rioja|es|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau rioja|2019|es|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau rioja|marques de murrieta|es|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau rioja|marques de murrieta|es|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=614
W|dalmau rioja|produccion limitada 2019|es|r|??|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau rioja|reserva|es|r|??|??|??|NV|13.5|RESERVA|encorpado|carne vermelha, queijo|seco
W|dalmau tinto|tinto|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau tinto|rioja|es|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau tinto|rioja 2016|es|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau tinto|rioja 2017|es|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmau tinto|rioja 2020|es|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmeran en|blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalmeran esquisse|n1 vinho de franca rose nm|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalmeran mmxiii|mmxiii|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmeran skizze|nr 1 vin de france rose nm|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|dalmor cigar|malt|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmore12 yo|yo|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmunach|2016 8 yo575 masala finish coopers choice|fr|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmunach|7 yo 20162023 coopers choice sherry cask 1145 585|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|doce
W|dalmunach|8 ans 20162024 thompson bros 491|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalmunach 8yearold|oloroso sherry|fr|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos|seco
W|daloy bottle|holder|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalphin mineraalwater|blauw tray 18 flesjes|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalphin mineraalwater|rood pet plastic tray 18 stuks|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple|2022 pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple|2022 pinot noir coal river valley|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple|2023 chardonnay coal river valley|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple cave|block chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple cave|block chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=639
W|dalrymple cave|block chardonnay 2017 tasmania|au|w|chardonnay|??|??|2017|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple cave|block chardonnay 2020|fr|w|chardonnay|??|??|2020|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple cave|block chardonnay 2021|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple chardonnay|coal river valley|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple coal|river valley pinot noir 2020|fr|r|pinot noir|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple cottage|block pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple estate|pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple estate|pinot noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple estate|pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple estate|pinot noir 2024 12 bottles|fr|r|pinot noir|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple estate|pinot noir tasmania 2023|au|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple mt|lord pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple ouse|pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=654
W|dalrymple pinot|noir 2017|fr|r|pinot noir|??|??|2017|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir 2019|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir 2021|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=664
W|dalrymple pinot|noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir 2024|fr|r|pinot noir|??|??|2024|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir coal river valley 6 cs 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir pipers river 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir tasmania|au|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pinot|noir tasmania 2023 142 vol|au|r|pinot noir|??|??|2023|14.2|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pipers|river chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple pipers|river chardonnay tasmania 2021 125 vol|au|w|chardonnay|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple pipers|river pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple pipers|river tasmanania pinot noir 2021|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site coal river pinot noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site coal river valley pinot noir tasmania 2021 14 vol|au|r|pinot noir|??|??|2021|14|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site estate coal river pinot noir 2023 from a bottle|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site estate coal river valley chardonnay 2024|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|site estate coal river valley chardonnay 2024 12 bottles|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|site estate coal river valley pinot noir 2023 12 bottles|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site estate pipers river chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|site estate pipers river chardonnay 2022 12 bottles|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|site estate pipers river pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site estate pipers river valley pinot noir 2023 12 bottles|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site ouse 2021 pinot noir|fr|r|pinot noir|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site ouse pinot noir 2023 12 bottles|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site pinot noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site pipers river chardonnay 2021|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|site pipers river pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|site swansea pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple single|sites cave block chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple single|sites coal river pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple tasmania|cave block chardonnay|au|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|dalrymple tasmania|pinot noir|au|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple tasmania|pinot noir|au|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=695
W|dalrymple tasmanian|pinot noir 2019|fr|r|pinot noir|??|??|2019|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple tasmanian|pinot noir 2023|fr|r|pinot noir|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|dalrymple vineyards|chardonnay estate vineyard coal river valley 2023|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
