1. W|caprili|brunello di montalcino dop|it|r|??|??|??|2020|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
437. W|capsulas|cafe avellana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|capsulas|cafe buondi intenso 30un dolce gusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|capsulas|cafe comp nespresso bocage 10un nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|capsulas|cafe comp nespresso bocage 120 capsulas 4x30cap nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|capsulas|cafe comp nespresso bocage 30un nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|capsulas|cafe comp nespresso descafeinado 10un nicola|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
443. W|capsulas|cafe comp nespresso mundi 10un nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|capsulas|cafe comp nespresso rossio 10un nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|capsulas|cafe comp nespresso rossio 120 capsulas 4 x30cap nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|capsulas|cafe comp nespresso rossio 30un nicola|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|capsulas|cafe delta q 14 60x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|capsulas|cafe delta q 15 40x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. W|capsulas|cafe descafeinado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
450. W|capsulas|cafe expresso classico 16x top|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
451. W|capsulas|cafe intenso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|capsulas|cafe lungo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|capsulas|cafe milano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|capsulas|cafe ristretto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|capsulas|cafe tiramisu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|capsulas|calcium magnesium y zinc sundown|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|capsulas|capuchino avellana x 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|capsulas|capuchino caramel x 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|capsulas|co2 coravin sparklingtm|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
460. W|capsulas|compatibles classico 10 unid|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
461. W|capsulas|compatibles decaf 10 unid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|capsulas|compatibles intenso 10 unid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|capsulas|compatibles lungo 10 unid|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|capsulas|compativeis delta q|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|capsulas|coravin 12 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|capsulas|coravin 2 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|capsulas|coravin 3 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|capsulas|coravin 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|capsulas|coravin puretm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|capsulas|creme brulee x 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. X
472. W|capsulas|de argon coravin puretm pack 6unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|capsulas|de cafe 3 coracoes nespresso regioes do mundo colombia com 10 unidades|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
474. W|capsulas|de cafe au lait nescafe dolce gusto 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. X
476. X
477. X
478. W|capsulas|de cafe caffe verona starbucks 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|capsulas|de cafe caseiro nescafe dolce gusto 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|capsulas|de cafe colombia 3 coracoes 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|capsulas|de cafe dolce gusto americano 64p koz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|capsulas|de cafe dolce gusto buondi 64 capsulas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|capsulas|de cafe dolce gusto ristretto ardenza mega pack 64 capsulas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|capsulas|de cafe dolce gusto sical mega pack 64 capsulas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|capsulas|de cafe espresso arabico corsini dolce gusto10 unids|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|capsulas|de cafe espresso baunilha lor com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|capsulas|de cafe espresso colombia lor com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|capsulas|de cafe espresso guatemala lor com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|capsulas|de cafe espresso lungo estremo lor com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|capsulas|de cafe espresso nescafe dolce gusto 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|capsulas|de cafe espresso organico 3 coracoes com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|capsulas|de cafe espresso peru 3 coracoes nespresso com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|capsulas|de cafe espresso ristretto lor com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|capsulas|de cafe illy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|capsulas|de cafe italiano bristot 100 arabica 10 capsulas|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|capsulas|de cafe italiano bristot 100 arabica 30 capsulas|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|capsulas|de cafe italiano bristot cremoso 10 capsulas|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|capsulas|de cafe italiano bristot cremoso 30 capsulas|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|capsulas|de cafe italiano bristot decaffe 30 capsulas|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|capsulas|de cafe lor hazelnut com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|capsulas|de cafe lungo brazil nescafe 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|capsulas|de cafe me bebe de boa 50g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|capsulas|de cafe mochaccino canela nescafe dolce gusto 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|capsulas|de cafe nescafe compativel nespresso colombia com 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|capsulas|de cafe nescafe dolce gusto americano 10un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|capsulas|de cafe nescafe dolce gusto cappuccino 10un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|capsulas|de cafe nescafe dolce gusto espresso 10un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. X
509. X
510. W|capsulas|de caffe matinal nescafe dolce gusto 10 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|capsulas|de co2 coravin sparkling 6 unidades|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
512. W|capsulas|de coravin pure argon 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|capsulas|de curcuma ayurveda frutos y procesos 100 caps|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|capsulas|de gas argonio coravin 12 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|capsulas|de gas argonio coravin 6 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|capsulas|de infusion menta poleo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|capsulas|de jengibre frutos y procesos 100caps|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|capsulas|de moringa bgp|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|capsulas|de omega 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|capsulas|de te blanco vainilla|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
521. W|capsulas|de te negro english breakfast|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|capsulas|de te verde chai|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|capsulas|delta q pack xl qalid80 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|capsulas|delta q pack xl qharacter 4080 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|capsulas|descafeinado 10x bicafe|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
526. W|capsulas|dolce gusto americano caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|capsulas|dolce gusto cappuccino caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|capsulas|dolce gusto chococcino caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|capsulas|dolce gusto cortado caja x 10|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
530. W|capsulas|dolce gusto espresso caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|capsulas|dolce gusto espresso intenso caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|capsulas|dolce gusto kimbo caffe napoli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|capsulas|dolce gusto kimbo intenso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|capsulas|dolce gusto lungo caja x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|capsulas|espresso 16x bicafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|capsulas|gourmet 16x bicafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|capsulas|lavazza blue espresso rotondo x 10|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
538. W|capsulas|lavazza blue espresso rotondo x 10|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco|=537
539. W|capsulas|lavazza blue galleria milano x 10|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
540. W|capsulas|lavazza blue galleria milano x 10|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=539
541. W|capsulas|lavazza blue trastevere roma x 10|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
542. W|capsulas|lavazza blue trastevere roma x 10|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=541
543. W|capsulas|lavazza dek compatible nespresso descafeinado|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
544. W|capsulas|lavazza dek compatible nespresso descafeinado|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=543
545. W|capsulas|lavazza intenso compatible nespresso int|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
546. W|capsulas|lavazza intenso compatible nespresso int|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=545
547. W|capsulas|lavazza lungo compatible nespresso intensidad|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
548. W|capsulas|lavazza lungo compatible nespresso intensidad|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=547
549. W|capsulas|lavazza oro compatible nespresso intensidad 813|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
550. W|capsulas|lavazza oro compatible nespresso intensidad 813|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=549
551. W|capsulas|lavazza ristretto compatible nespresso int|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
552. W|capsulas|lavazza ristretto compatible nespresso int|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=551
553. W|capsulas|lavazza rossa compatible nespresso intensidad|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
554. W|capsulas|lavazza rossa compatible nespresso intensidad|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco|=553
555. W|capsulas|mas vendidas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|capsulas|matecaps|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|capsulas|mw mexico dro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|capsulas|nescafe dolce gusto 64x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|capsulas|nescafe dolce gusto napolli style 64x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|capsulas|nescafe dolce gusto variedade 16 unidades|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|capsulas|para vino pvc varias medidas y colores 100 pz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|capsulas|ristretto ardenza 16x nescafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. X
564. W|capsule|capsule|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|capsule|capsule|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=564
566. W|capsule|sas jouves selections|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|capsule|by aubert et mathieu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|capsule|by aubert mathieu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|capsule|cafea excelsior decaffeinato compatibile nespresso 100 capsule|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|capsule|cafea excelsior decaffeinato compatibile nespresso 20 capsule 104g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|capsule|cafea excelsior gold compatibile nespresso 100 capsule|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|capsule|cafea excelsior gold compatibile nespresso 20 capsule 104g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|capsule|cafea excelsior kilimangiaro compatibile nespresso 100 capsule|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|capsule|cafea excelsior kilimangiaro compatibile nespresso 20 capsule 104g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|capsule|cafea excelsior portorico compatibile nespresso 100 capsule|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
576. W|capsule|cafea excelsior portorico compatibile nespresso 20 capsule 104g|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
577. W|capsule|cafea trucillo il mio espresso 100 arabica compatibile nespresso 10 capsule 55g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|capsule|cafea trucillo il mio espresso classico compatibile nespresso 10 capsule 55g|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
579. W|capsule|cafea trucillo il mio espresso deca compatibile nespresso 10 capsule 55g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|capsule|cafea trucillo il mio espresso intenso compatibile nespresso 10 capsule 55g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|capsule|cafea trucillo il mio espresso napoli compatibile nespresso 10 capsule 55g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|capsule|caffe arabica arcioni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|capsule|caffe compatibili nespressodi qualita superiore|??|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
584. W|capsule|cellini espresso cremoso compatibile nespresso 50gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|capsule|compatibili a modo mio|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
586. W|capsule|compatibili dolce gusto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|capsule|compatibili espresso point|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|capsule|compatibili nespresso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|capsule|compatible cremoso nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|capsule|compatible decaffeinato nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|capsule|compatible delizioso nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|capsule|compatible forte nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|capsule|compatible intenso nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|capsule|compatible melodico nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|capsule|compatible vivace nespresso cellini 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|capsule|de cafea illy compatibile nespresso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|capsule|de curatare a|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|capsule|decaffeinato caffe arcioni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|capsule|decaffeinato compatibili espresso point|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|capsule|di argon coravin puretm 3 pezzi coravin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|capsule|din aluminiu segafredo espresso classico compatibile cu nespresso|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
602. W|capsule|divina compatibili nespresso di qualita superiore|??|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
603. W|capsule|fine aroma point|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. X
605. X
606. W|capsule|pet nat|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
607. W|capsule|petnat fabien jouves 2022 bio|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|capsule|qubik 100 arabica 100cut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|capsule|snijder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|capsule|stainless steel koozie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|capsule|standard confezione da 3 pezzi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|capsule|tipo bialetti miscela bar stagnitta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|capsule|tipo lavazza a modo mio miscela bar stagnitta|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
614. W|capsule|tipo lavazza a modo mio miscela decaffeinato stagnitta|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
615. W|capsule|tipo nescafe dolce gusto miscela bar stagnitta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|capsule|tipo nespresso miscela decaffeinato stagnitta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|capsule|two|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|capsule|two|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|capsule|two 2023 bossanova|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|capsule|two 2023 bossanova|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=619
621. W|capsules|compatible with nescafe dolce gusto machines taster pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|capsules|compatibles classique boite de 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|capsules|compatibles forte boite de 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|capsules|compatibles intense boite de 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|capsules|de lait demiecreme|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|capsules|for childrens laundry non bio sensitive 25wl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|capsules|for dishwasher care 3 pcs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|capsules|for laundry washing black renew 18mr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|capsules|for washing childrens laundry sensitive 20wl|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|capsules|for washing dishes professional lemon 75mr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|capsules|for washing white laundry idrocaps bianco 10mr|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
632. W|capsules|hesperides|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|capsules|thermoretractables lie de vin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|capsules|thermoretractables or|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|capsulesnijder|zwart|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|capsulesnijder|zwart gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|capsunata|bran|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|capsune|in ciocolata cutie cu12 bucati|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|capsune|in ciocolata neagra fara zahar patiswiss 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|capsuni|capsuni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|capsuni|bio liofilizate 35g dennree|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|capsuni|cg 250g gradena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|capsuni|eco romanesti 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|capsuni|intregi in sirop 400g giana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|capsunica|mediumsweet red wine|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
646. W|capt|morgan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|capt|morgan applesmash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|capt|morgan cannon blast|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|capt|morgan cherry vanilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|capt|morgan coconut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|capt|morgan loco nut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|capt|morgan mai tai cocktail|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|capt|morgan parrot bay orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|capt|morgan parrot coconut|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|capt|morgan parrot strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|capt|morgan spiced 375|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
