W|gran legado|tinto suave|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=468
W|gran reserva|gran reserva|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|gran reserva|gran reserva|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|gran reserva|personliche empfehlung|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|persoonlijke aanbeveling|??|r|??|??|??|2013|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=475
W|gran reserva|gran reserva|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=475
W|gran reserva|bodegas ochoa navarra|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=479
W|gran reserva|gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=479
W|gran reserva|gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=479
W|gran reserva|gran reserva|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=479
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|gold|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gran reserva|personliche empfehlung|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|personliche empfehlung|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=491
W|gran reserva|persoonlijke aanbeveling|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|red|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|sierra cantabria|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|do ribera del duero vina mayor|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|gran reserva|gold|??|r|??|??|??|2017|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|gran reserva|gran reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=503
W|gran reserva|gran reserva|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=503
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|gold|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|gran reserva|personliche empfehlung|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|personliche empfehlung|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=513
W|gran reserva|persoonlijke aanbeveling|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gran reserva|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=516
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|gold|??|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|gran reserva|blend queltero vina monte maria 6 un 750 cc|??|r|??|??|??|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|25 ans centenario|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|36|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|3v|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|40|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|4000|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|4000 black blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|50off|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890|??|r|??|??|??|2005|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|gran reserva|890 rioja|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890 seleccion especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890 seleccion especial|??|r|??|??|??|2005|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890 seleccion especial|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|890 seleccion especial doca|??|r|??|??|??|2010|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|gran reserva|904|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|gran reserva|904|??|r|??|??|??|1997|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904|??|r|??|??|??|2011|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=557
W|gran reserva|904|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 doca|??|r|??|??|??|2016|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 rioja|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 seleccion especial|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 seleccion especial|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=562
W|gran reserva|904 seleccion especial|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 seleccion especial cosecha|??|r|??|??|??|2015|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|904 seleccion especial doca|??|r|??|??|??|2015|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|a trio 3x2es csomagban gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|a trio 3x2es csomagban gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=567
W|gran reserva|aniversario|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|assemblage|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|barrica brut nature|??|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|gran reserva|berberana rioja|es|r|??|rioja|rioja|1950|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|berberana rioja|es|r|??|rioja|rioja|1950|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=572
W|gran reserva|berberana rioja|es|r|??|rioja|rioja|1950|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=572
W|gran reserva|berberana|??|r|??|??|??|1952|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|berberana|??|r|??|??|??|1952|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=575
W|gran reserva|berberana|??|r|??|??|??|1952|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=575
W|gran reserva|bicentenario cab sauvignon|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|blanc|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|brut nature cava maria casanovas|es|s|??|??|??|nv|12|reserva|leve|aperitivos, frutos do mar, canapes|brut nature
W|gran reserva|c sauvignon|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet del museo|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet et blanca tarapaca|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|cabernet franc la junta|??|r|cabernet franc|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2000|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon premium|??|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon vina tagua tagua 6 un 750cc|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon caja 6 botellas|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon calyptra|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon casas patronales|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon junta|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon maquis|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|1999|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon vina carmen|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cabernet sauvignon vina indomita|??|r|cabernet sauvignon|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=612
W|gran reserva|carmenere vina tagua tagua 6 un 750cc|??|r|carmenere|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere 7 colores|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere caja 6 botellas|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere et blanca tarapaca|??|w|carmenere|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|carmenere la junta|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|carmenere perez cruz|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|casas patronales|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cerro anon|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|chardonnay|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chardonnay|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=627
W|gran reserva|chardonnay|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=627
W|gran reserva|chardonnay|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=627
W|gran reserva|chardonnay casas del bosque|??|w|chardonnay|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chardonnay calyptra|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chardonnay carmen|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chardonnay casas del bosque|??|w|chardonnay|??|??|2017|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chardonnay del museo|??|w|chardonnay|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|chile malbec|cl|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|classic rioja elegance|es|r|??|rioja|rioja|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cune real|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|cuvee merlot misiones de rengo|??|r|merlot|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|das trio im 3x2vorteilspaket gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|das trio im 3x2vorteilspaket gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=640
W|gran reserva|de|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|de don alberto blanco|??|w|??|??|??|nv|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
W|gran reserva|de don alberto extra anejo|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|de la casa|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|dehesa de los canonigos limited edition|??|r|??|??|??|2016|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|del fin del mundo|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|del fin del mundo blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|del fundador|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|doca|??|r|??|??|??|nv|13.5|doca|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|doppel|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|duroc serrano sonka 100g|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|edicion especial|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|edicion especial 3 lts|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|edicion especial menchaca|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|edicion especial menchaca premium|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|el origen famiglia passadore blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|ensamblaje 24 barricas|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|ensamble|??|r|??|??|??|2018|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|especial|??|r|??|??|??|2004|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|etiqueta azul red blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|etiqueta negra carmenere tarapaca|??|r|carmenere|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|fin del mundo patagonia|ar|r|??|??|??|2019|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|finca real sitio de ventosilla|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|fra real rubio|??|r|??|??|??|2008|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|fra real rubio|??|r|??|??|??|2010|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|het trio in 3x2voordeelpakket gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|import e dis|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|importacao e|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|in pachet de 3x2 sticle gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|juan bautista passadore blend|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|kassen|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|le trio en assortiment avantages 3x2 gold|??|r|??|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|gran reserva|??|r|??|??|??|2012|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=468
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|gran reserva|malbec caja 6 botellas|??|r|malbec|??|??|nv|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
W|gran reserva|malbec mendoza vinalba|ar|r|malbec|mendoza|mendoza|2021|13.5|reserva|encorpado|carnes vermelhas, massas, queijos|seco
