W|vino|espumoso blanco rgny|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz corton 1870 cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz carmenere gran reserva 750cc|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz aconcagua syrah 750cc|cl|r|syrah|aconcagua valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz aconcagua cuvee gran reserva sauvignon blanc|cl|w|sauvignon blanc|aconcagua valley|??|NV|12|gran reserva|leve|peixes; saladas; massas leves|??
W|vino|errazuriz aconcagua cuvee gran reserva carmenere 750cc|cl|r|carmenere|aconcagua valley|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz aconcagua cuvee cabernet sauvignon 750cc|cl|r|cabernet sauvignon|aconcagua valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz aconcagua costa pinot noir 750cc|cl|r|pinot noir|aconcagua valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz 1870 shiraz 135 750cc|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz 1870 reserva carmenere 135 750cc|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz 1870 reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz 1870 merlot 135 750cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|errazuriz 1870 chardonnay 135 750cc|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|errazuriz 1870 cepas 135 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|erotico rose alma cersius 2024 frankrijk languedocroussillon rose|??|p|??|??|??|2024|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|ernest preiss riesling 1998|??|w|riesling|??|??|1998|12|??|leve|peixes; saladas; massas leves|??
W|vino|ernest preiss riesling 1994|??|w|riesling|??|??|1994|12|??|leve|peixes; saladas; massas leves|??
W|vino|ermita despiells blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ermita del monte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eridano crianza 2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|erebo valdeorras 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|equilibrista hermanos bivar y etales blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|equilibrio seleccion premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|equilibrio monastrell|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|equilibrio blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eq coastal matetic sauvignon blanc 750cc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|epu almaviva ensamblaje tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|epmoso calvet bordeaux conversation|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|epitafio toro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eolo malbec 100 anos vineyard|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|entrevinas almacen de la capilla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|entremontes semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|entremontes semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=489
W|vino|entremontes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|entrelobos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|entredicho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enterizo reserva 2003|??|r|??|??|??|2003|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|enterizo reserva 1993|??|r|??|??|??|1993|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|ensamblaje frontonio telescopico 2019 do calatayud carinena espana|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza santa rosa|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza pinot noir|ar|r|pinot noir|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza petit verdot|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza monastrellmerlot|ar|r|merlot|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza las quebradas|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza estrecho|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique mendoza chardonay blanco|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enrique i roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enigmatico cabernet merlot syrah asio otus bag da 3 litri|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enemigo chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|encostas do outeiro vinho regional lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encostas do outeiro seleccion del enologo vinho regional lisboa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encostas do outeiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encomienda de la vega|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enclave ventisquero cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encina del ingles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encierra carmenere 2022 do colchagua x 3 botellas|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encaste crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|encaste crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=515
W|vino|encaste cosecha|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate rosat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate reserva 2001|??|r|??|??|??|2001|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|enate reserva 2000|??|r|??|??|??|2000|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|enate reserva 1997|??|r|??|??|??|1997|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|enate reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|enate merlot 2012|??|r|merlot|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate gewurztraminer blanco|??|w|gewurztraminer|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate gewurztraminer 2011|??|w|gewurztraminer|??|??|2011|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate crianza somontano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=527
W|vino|enate chardonnay234 blanco|??|r|chardonnay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate chardonnay botella|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate chardonnay blanco 2001|??|w|chardonnay|??|??|2001|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate chardonnay barrica blanc|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate chardonnay 234|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate chardonnay 2018|??|w|chardonnay|??|??|2018|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|enate cabernetmerlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate cabernet sauvignon rosado botella|??|p|cabernet sauvignon|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|enate cabernet merlot 2007|??|r|merlot|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate cabernet merlot 2004|??|r|merlot|??|??|2004|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate cabernet merlot 2003|??|r|merlot|??|??|2003|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate cabernet merlot 2002|??|r|merlot|??|??|2002|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate cabernet merlot 2001|??|r|merlot|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enartis 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|enalia sangria fiesta x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|en tren ruta del vino curico|cl|r|??|curico valley|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|en resonancia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|en rama gran pedro do montillamoriles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|en lata sauvignon blanc reserva casablanca winemode|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|en lata rose reserva leyda winemode|??|p|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??
W|vino|en casa a|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|en casa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emilio moro vendimia seleccionada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emilio moro malleolus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emilio moro malleolus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=554
W|vino|emilio moro malleol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emilio moro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emiliana merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emiliana chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|emiliana chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=559
W|vino|emiliana carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emiliana cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|emilia malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el vinculo reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|el vinculo reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=564
W|vino|el vinculo paraje la golosa gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|el vinculo crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el vinculo crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=567
W|vino|el turco malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el turco blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el poderoso blanco de misa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el nino de campillo tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el marido de mi amiga|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el ilusionista crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el gordo motoneta malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el esteco cabernet sauvignon 2012|??|r|cabernet sauvignon|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el enemigo semillon|??|r|semillon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el enemigo semillon|??|r|semillon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vino|el enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=579
W|vino|el enemigo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=579
W|vino|el enemigo chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|el enemigo chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=582
W|vino|el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=584
W|vino|el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=584
W|vino|el enemigo cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=584
W|vino|el enemigo bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el coto rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|el coto crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el coto crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el coto crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=591
W|vino|el coto crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=591
W|vino|el coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=594
W|vino|el coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=594
W|vino|el coto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=594
W|vino|el copero de casalla rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|el circo volatinero tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el circo volatinero tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=599
W|vino|el circo volatinero tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=599
W|vino|el circo malabarista macabeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el circo malabarista macabeo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=602
W|vino|el circo funambulista tempranillo semi sweet|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|el circo forzudo crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el circo equilibrista carinena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|el circo equilibrista carinena|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=606
W|vino|edalo rosado clavellina|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|edalo blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ecologico para diabeticos tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ecologico para diabeticos malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|ecologico para diabeticos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|e visciole del pozzo buono vicari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|e visciola scacciapensieri|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dv catena syrah syrah catena zapata|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dv catena chardonnay chardonnay catena zapata|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dv catena cabernet cabernet catena zapata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=618
W|vino|durigutti pie de monte malbec finca las jarillas|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=621
W|vino|durigutti hd reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti hd malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|durigutti cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|duque de medina tinto media|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|duque de medina tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|duque de medina rosado media|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|duque de medina piba tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|duque de medina piba rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|duque de medina blanco media|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dubonnet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=633
W|vino|dourthe no1 merlot cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona paula seleccion de bodega malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona paula seleccion de bodega malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|dona paula seleccion de bodega malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|dona paula estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona paula estate malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=644
W|vino|dona florencia sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dona florencia sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=646
W|vino|dona florencia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona florencia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=648
W|vino|dona dominga reserva black carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|dona dominga gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|dona dominga gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|dona dominga clasico de familia sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dona dominga clasico de familia merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona dominga clasico de familia chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|dona dominga clasico de familia cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|dona dominga carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don simon tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=659
W|vino|don pascual seleccion del enologo tinto en tubo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|don pascual reserva viognier blanco|??|w|viognier|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|don pascual reserva tannat tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva shiraz tannat|??|r|shiraz|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva sauvignon gris blanco|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|don pascual reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva merlot tinto|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva marselan tinto|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva chardonnay blanco|??|w|chardonnay|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|don pascual reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=672
W|vino|don pascual reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual malbec marselan tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual malbec marselan|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual malbec blend|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual malbec blend|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=678
W|vino|don pascual crianza roble tannat tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual crianza roble petit verdot tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual crianza en roble chardonnay viognier|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|don pascual coleccion del fundador|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual coastal tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|don pascual chadonnay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual cabernet sauvignon crianza en roble|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual cabernet merlot tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual cabernet merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|don pascual cabernet merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=690
W|vino|don pascual brut blanc de blancs|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|don pascual brut blanc de blancs|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=692
