W|francois ducrot|auguste orange vdf 2023|fr|r|??|??|??|2023|13.5|VDF|encorpado|carne vermelha, queijo|seco
W|francois mikulski|mikulski|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|2023 monthelie les toissieres|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|2023 volnay 1er cru santenots du milieu|fr|r|??|bourgogne|volnay|2023|23|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|beaune 1er cru greves|fr|r|??|??|??|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne aligote|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne aligote 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne aligote 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=424
W|francois mikulski|bourgogne aligote 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=424
W|francois mikulski|bourgogne blanc 2023|fr|w|??|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne blanc cote dor chardonnay 2023|fr|w|chardonnay|??|??|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne chardonnay bourgogne cote dor aoc 2022 vino bianco|fr|w|chardonnay|??|??|2022|12.5|AOC|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote d or chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote d or chardonnay 2022|fr|w|chardonnay|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote d or pinot noir 2022|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne cote dor|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne cote dor 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne cote dor 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=434
W|francois mikulski|bourgogne cote dor 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=434
W|francois mikulski|bourgogne cote dor blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote dor blanc 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote dor blanc 2024|fr|w|??|??|??|2024|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote dor chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne cote dor chardonnay|fr|w|chardonnay|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco|=440
W|francois mikulski|bourgogne cote dor pinot nero 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne cote dor rouge 2023|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne hautes cote de beaune blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|bourgogne pinot noir|fr|r|pinot noir|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|bourgogne pinot noir bourgogne cote dor 2022 vino rosso|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|cote dor rouge 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|cremant de bourgogne 2021|fr|s|??|??|??|2021|12|??|medio|aperitivos, frutos do mar|brut
W|francois mikulski|cremant de bourgogne nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois mikulski|hautes cotes de beaune 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|hautes cotes de beaune blanc 2022|fr|w|??|??|??|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|mersault 1er cru les charmes|fr|r|??|??|??|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|meursault|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1cru charmes|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er charmes 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru charmes 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru charmes 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=456
W|francois mikulski|meursault 1er cru charmes 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru charmes 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=458
W|francois mikulski|meursault 1er cru charmes 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=458
W|francois mikulski|meursault 1er cru charmes 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=458
W|francois mikulski|meursault 1er cru genevrieres 2017|fr|w|chardonnay|bourgogne|meursault|2017|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru goutte dor|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru goutte dor|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco|=463
W|francois mikulski|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru les poruzots|fr|w|chardonnay|bourgogne|meursault|NV|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru les poruzots 2019|fr|w|chardonnay|bourgogne|meursault|2019|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 1er cru poruzots 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 2020|fr|w|chardonnay|bourgogne|meursault|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco|=471
W|francois mikulski|meursault 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco|=473
W|francois mikulski|meursault 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco|=473
W|francois mikulski|meursault 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|??|medio|peixe, frutos do mar|seco|=473
W|francois mikulski|meursault 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco|=477
W|francois mikulski|meursault caillerets 1er cru rouge 2018|fr|w|chardonnay|bourgogne|meursault|2018|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault charmes|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault charmes 1er cru 2010|fr|w|chardonnay|bourgogne|meursault|2010|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault charmes 1er cru 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault clos pre de manche|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault genevrieres 1er cru 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault goutte dor 1er cru 2020|fr|w|chardonnay|bourgogne|meursault|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault goutte dor 1er cru 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les gouttes dor 1er cru 2023 1|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les poruzots 1er cru 2020 1|fr|w|chardonnay|bourgogne|meursault|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les poruzots 1er cru 2023 1|fr|w|chardonnay|bourgogne|meursault|2023|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les tillets|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les tillets 2020 1|fr|w|chardonnay|bourgogne|meursault|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les tillets 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault les tillets 2023 1|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault limozin|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault limozin blanc 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux 2017 1|fr|w|chardonnay|bourgogne|meursault|2017|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux 2020|fr|w|chardonnay|bourgogne|meursault|2020|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault meix chavaux 2023 1|fr|w|chardonnay|bourgogne|meursault|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault poruzot|fr|w|chardonnay|bourgogne|meursault|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault poruzots 1er cru 2020|fr|w|chardonnay|bourgogne|meursault|2020|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault poruzots 1er cru 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|1ER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault pre de manche 2021|fr|w|chardonnay|bourgogne|meursault|2021|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|meursault premier cru poruzots 2022|fr|w|chardonnay|bourgogne|meursault|2022|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|monthelie les toisieras 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie les toisieres|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie les toisieres 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie les toisieres 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=510
W|francois mikulski|monthelie les toisieres rouge 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie les toisieres rouge 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie toisieres 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|monthelie toisieres 2022|fr|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, queijo|seco|=514
W|francois mikulski|pommard|fr|r|??|bourgogne|pommard|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|pommard|fr|r|??|bourgogne|pommard|NV|13.5|??|encorpado|carne vermelha, queijo|seco|=516
W|francois mikulski|pommard 1er cru les rugiens bas 2020|fr|r|??|bourgogne|pommard|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=519
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=519
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=519
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=519
W|francois mikulski|pommard 2021|fr|r|??|bourgogne|pommard|2021|13.5|??|encorpado|carne vermelha, queijo|seco|=519
W|francois mikulski|pommard 2023|fr|r|??|bourgogne|pommard|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|pommard 2023|fr|r|??|bourgogne|pommard|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=525
W|francois mikulski|pommard 2023|fr|r|??|bourgogne|pommard|2023|13.5|??|encorpado|carne vermelha, queijo|seco|=525
W|francois mikulski|premier cru goutte dor meursault 2023|fr|w|chardonnay|bourgogne|meursault|2023|12.5|PREMIER CRU|medio|peixe, frutos do mar|seco
W|francois mikulski|saintaubin 2023 1|fr|r|??|??|??|2023|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois mikulski|saintaubin blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois mikulski|santenots du milieu premier cru|fr|r|??|??|??|NV|13.5|PREMIER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay 1er cru|fr|r|??|bourgogne|volnay|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots 1er cru|fr|r|??|bourgogne|volnay|NV|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots 1er cru du milieu 2021|fr|r|??|bourgogne|volnay|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots 1er cru du milieu 2021|fr|r|??|bourgogne|volnay|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco|=534
W|francois mikulski|volnay santenots 1er cru du milieu 2022|fr|r|??|bourgogne|volnay|2022|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots du milieu 1er cru 2018|fr|r|??|bourgogne|volnay|2018|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots du milieu 1er cru 2020|fr|r|??|bourgogne|volnay|2020|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots du milieu 1er cru 2021|fr|r|??|bourgogne|volnay|2021|13.5|1ER CRU|encorpado|carne vermelha, queijo|seco
W|francois mikulski|volnay santenots milieu|fr|r|??|bourgogne|volnay|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois millet|et flis fixin en lolivier 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois millet|fils la macabree auxey duresses 2020|fr|r|??|??|??|2020|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois millet|fils les rues pinot noir chambollemusigny burgundy 2019|fr|w|pinot noir|bourgogne|chambolle-musigny|2019|12.5|??|medio|peixe, frutos do mar|seco
W|francois millet|les garennes sancerre blanc|fr|w|sauvignon blanc|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois millet|les rues bourgogne rouge 2021|fr|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois millet|sancerre|fr|w|sauvignon blanc|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois millet|sancerre|fr|w|sauvignon blanc|loire|sancerre|NV|12.5|??|medio|peixe, frutos do mar|seco|=546
W|francois millet|sancerre blanc 2023|fr|w|sauvignon blanc|loire|sancerre|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois millet|sancerre blanc 2023|fr|w|sauvignon blanc|loire|sancerre|2023|12.5|??|medio|peixe, frutos do mar|seco|=548
W|francois montand|montand|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois montand|blanc de blanc|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois montand|blanc de blancs|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=553
W|francois montand|blanc de blancs brut france|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|blanc de blancs ice 11|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois montand|blanc de blancs methode traditionnelle demisec|fr|w|??|??|??|NV|12.5|??|medio|peixe, frutos do mar|demi-sec
W|francois montand|blanc de blancs white brut 115 02|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=564
W|francois montand|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=564
W|francois montand|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=564
W|francois montand|brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=564
W|francois montand|brut a|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
X
W|francois montand|brut blanc de blanc|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut blanc de blancs|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut blanc de blancs nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut blanc de blancs sparkling wine|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=576
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=576
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=576
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=576
W|francois montand|brut rose|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=576
W|francois montand|brut rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling 6 cs|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling np|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling np|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=585
W|francois montand|brut sparkling nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling rose np|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|brut sparkling rose np|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut|=588
W|francois montand|brut sparkling rose nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|demi sec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|demi sec ice|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|demi sec ice|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec|=592
W|francois montand|demisec ice edition|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|demisec ice edition nv|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|ice demi sec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|ice demi sec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec|=596
W|francois montand|ice demisec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec
W|francois montand|ice demisec|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|demi-sec|=598
W|francois montand|ice semidry sparkling white wine|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|methode traditionelle brut nv|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|methode traditionnelle|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois montand|methode traditionnelle rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois montand|rose|fr|p|??|??|??|NV|13.5|??|medio|frutos do mar, saladas|seco
W|francois montand|rose brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|rose sekt brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|sekt brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|sparkling brut|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montand|sparkling brut six pack|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois montaud|montaud|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois parent|clos vougeot|fr|r|??|bourgogne|clos-vougeot|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois parent|grand cru clos de vougeot cote de nuits pinot noir 2011|fr|w|pinot noir|bourgogne|clos-de-vougeot|2011|12.5|GRAND CRU|medio|peixe, frutos do mar|seco
W|francois parent|pommard rugiens|fr|r|??|bourgogne|pommard|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois parent|romanee st vivant 1999|fr|r|??|??|??|1999|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|19602019|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|1961 2020|fr|r|??|??|??|1961|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|heritage 61 ans|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|lot 60 heritage hors dage 42|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|poire williams|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|poire williams liqueur|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois peyrot|vsop|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois pinon|pinon|fr|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois pinon|2023 vouvray sec buvez du bon pinon|fr|w|chenin blanc|loire|vouvray|2023|12.5|??|medio|peixe, frutos do mar|seco
W|francois pinon|brut rose petillant naturel|fr|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar|extra brut
W|francois pinon|brut spontane 2020|fr|s|??|??|??|2020|12|??|medio|aperitivos, frutos do mar|brut
W|francois pinon|brut spontane 2020|fr|s|??|??|??|2020|12|??|medio|aperitivos, frutos do mar|brut|=625
W|francois pinon|cuvee botrytis 1996|fr|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois pinon|goutte dor 1989|fr|r|??|??|??|1989|13.5|??|encorpado|carne vermelha, queijo|seco
W|francois pinon|vouvray|fr|w|chenin blanc|loire|vouvray|NV|12.5|??|medio|peixe, frutos do mar|seco
W|francois pinon|vouvray brut 2022|fr|s|chenin blanc|loire|vouvray|2022|12|??|medio|aperitivos, frutos do mar|brut
W|francois pinon|vouvray brut 2022|fr|s|chenin blanc|loire|vouvray|2022|12|??|medio|aperitivos, frutos do mar|brut|=630
W|francois pinon|vouvray brut non dose|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut
W|francois pinon|vouvray brut non dose|fr|s|chenin blanc|loire|vouvray|NV|12|??|medio|aperitivos, frutos do mar|brut|=632
W|francois pinon|vouvray demi sec 1964|fr|w|chenin blanc|loire|vouvray|1964|12.5|??|medio|peixe, frutos do mar|demi-sec
W|francois pinon|vouvray demi sec 1985|fr|w|chenin blanc|loire|vouvray|1985|12.5|??|medio|peixe, frutos do mar|demi-sec
W|francois pinon|vouvray demisec les trois argiles loire france 2018|fr|w|chenin blanc|loire|vouvray|2018|12.5|??|medio|peixe, frutos do mar|demi-sec
W|francois pinon|vouvray goutte dor 1990|fr|w|chenin blanc|loire|vouvray|1990|12.5|??|medio|peixe, frutos do mar|seco
W|francois pinon|vouvray les deronnieres 2023|fr|w|chenin blanc|loire|vouvray|2023|12.5|??|medio|peixe, frutos do mar|seco
