W|lammidia|miscela bianco 20 abruzzo|it|r|??|abruzzo|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso dell emilia ponente 270|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso dell emilia dolce igt 750cc|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso dell emilia amabile rocaforte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso dell emilia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso ceci verdiane 11|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso camillo donati|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso amabile primabolla reggiano doc italien|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso amabile emilia igt rinaldini|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso allantica reggiano doc bertolani ml 750 cod brl04|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=478
W|lambrusco|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=478
W|lambrusco|rossio villa del veneto|it|r|??|veneto|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rose secco|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose reggiano doc bertolani ml 750 cod brl08|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose medici ermete italy|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose labrusca nv|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose la piopa le origini biologico|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose la piopa le origini biologico|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=486
W|lambrusco|rose imilia igt rinaldini|??|p|??|??|??|NV|12.5|igt|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose emilia|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose doux fiamma damore 6|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose di baco|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose di bacco|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rose cocai by fondo bozzole|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato ognigiorno delle emilia igt|??|p|??|??|??|NV|12.5|igt|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato igt emilia|??|p|??|??|??|NV|12.5|igt|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato igt buffo|??|p|??|??|??|2023|12.5|igt|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato frizzante cantine ceci|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|rosato dell emilia igt 750cc|??|p|??|??|??|NV|12.5|igt|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato dell emilia cavicchioli dolce|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato dell emilia|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato dell emilia|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=500
W|lambrusco|rosato cantina coviolo|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosato ca de medici|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosas y chocolates|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rosado cavicchioli|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosado antonio maccieri|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosado amabile|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|rosa dei venti|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|rocaforte rosato amabile chiarli|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|riunite tinto mini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|riunite tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|riunite tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=512
W|lambrusco|riunite tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=512
W|lambrusco|riunite rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|riunite rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=515
W|lambrusco|riunite rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=515
W|lambrusco|riunite rosado mini|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|riunite rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|riunite blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|riunite blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=520
W|lambrusco|riunite reggiano tinto|??|r|??|??|??|1950|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|righi grasparossa di castelvetro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=524
W|lambrusco|remigio rosso dolce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|remigio rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=527
W|lambrusco|remigio premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio premium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=529
W|lambrusco|remigio ca de medici tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio ca de medici rose dolce|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|remigio ca de medici bianco dolce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|remigio blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=534
W|lambrusco|reggiano tirelli stoppai igt ml 750 cod tir04|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano tirelli igt rubio ml 750 cod tir03|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano secco doc quercioli medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano secco doc quercioli medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=538
W|lambrusco|reggiano secco doc quercioli medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=538
W|lambrusco|reggiano secco concerto doc bio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano rosato sweet doc medici ermete figli srl|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|reggiano frizzante secco doc concerto medici ermete|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|reggiano frizzante secco doc concerto medici ermete|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco|=543
W|lambrusco|reggiano frizzante secco doc concerto medici ermete|??|s|??|??|??|2024|12|??|leve|aperitivos; frutos do mar; canapes|seco|=543
W|lambrusco|reggiano frizzante secco doc concerto magnum medici ermete|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|reggiano frizzante secco doc concerto magnum medici ermete|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco|=546
W|lambrusco|reggiano frizzante secco doc concerto magnum medici ermete|??|s|??|??|??|2023|12|??|leve|aperitivos; frutos do mar; canapes|seco|=546
W|lambrusco|reggiano dop secco pra di bosso casali viticultori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano dop marchese manodori venturini baldini|it|r|??|marche|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano dop amabile pra di bosso casali viticultori|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc secco x riunite pack x4|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc secco x riunite|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc secco quercioli medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc secco concerto medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc dolce rotwein wein su italien 6 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc dolce rotwein wein su italien 3 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc dolce rotwein wein su italien 12 x 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc dolce quercioli medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|reggiano concerto medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|quercioli tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|quercioli secco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|quercioli doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|primo fiore medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|primabolla doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|primabolla amabile doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|ponente 270|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|ponente 270|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|pignoletto ribelle doc vino bianco spumante brut|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|lambrusco|pietrascura grasparossa di castelvetro extra dry dop 115 vol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|pietrascura grasparossa di castelvetro dop amabile 8 vol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|piccini rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|piccini rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=573
W|lambrusco|piccini rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|piccini rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=575
W|lambrusco|piccini reggiano rosso dolce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|piccini reggiano rosato dolce|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|piccini reggiano bianco dolce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|piccini bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|piccini bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=580
W|lambrusco|phermento doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|pgi puianello rosso pet nat organic|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|pettirosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|pedote tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|pedote branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|palazzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|ottocentonero albinea canali|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|ottocentonero albinea canali|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=589
W|lambrusco|ottocentonero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello nero cantine ceci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello ceci nerodilambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello ceci 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello 1813 igt czerwone|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello 1813 igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|otello 0 ceci|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|oinoe|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|nicchio rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|nicchio bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|neromaestri quarticello|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|musujace czerwone posodkie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montelocco venturini baldini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montecchio tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montecchio tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=605
W|lambrusco|montecchio rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|montecchio rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=607
W|lambrusco|montecchio dell emilia tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montecchio dell emilia tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=609
W|lambrusco|montecchio dell emilia rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|montecchio dell emilia rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=611
W|lambrusco|montecchio dell emilia branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montecchio dell emilia branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=613
W|lambrusco|montecchio branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|montecchio branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=615
W|lambrusco|monteberin tinto italia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|monteberin rosado italia|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|monteberin rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|monteberin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|molo 8 non vintage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|menestrello|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=623
W|lambrusco|medici rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|medici rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=625
W|lambrusco|medici ermete rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici ermete rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|medici ermete dolce blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici ermete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|medici bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=631
W|lambrusco|marchese manodori venturini baldini|it|r|??|marche|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|marcello ariola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|marcello airola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|mantovano origine|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|mantovano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|mantova igp|??|r|??|??|??|2022|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|magia nera amabile cl 75|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|maestri grasparossa neromaestri quarticello|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|maestri podere magia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|maestri podere magia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|lunato rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|lunato rosso tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=643
W|lambrusco|lunato rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lambrusco|lunato rosato|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco|=645
W|lambrusco|lunato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|lunato blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=647
W|lambrusco|lunato|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=650
W|lambrusco|linda donna frisante rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna frisante branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=654
W|lambrusco|linda donna branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=654
W|lambrusco|linda donna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|linda donna|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=657
W|lambrusco|letizia 5 stelle rosso secco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|letizia 5 lune rosso dolce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco le|grotte rdvin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|lasagna wine tasting|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco la|piana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco la|foieta fratelli caprari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|l4|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|italiano villa giada tinto amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|italiano villa giada branco amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|italiano madona branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|il trovador doc cantina di soliera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|il trovador doc cantina di soliera|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=669
W|lambrusco|igt vecchio moro rinaldini|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igt picol ross tenuta la piccola|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igt nero di cio tenuta la piccola|??|r|??|??|??|2021|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igt emilia rosso orlotti|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igt emilia bianco orlotti|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igt emilia|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igp spumante amabile dell emilia care|??|s|??|??|??|NV|12|igp|leve|aperitivos; frutos do mar; canapes|seco
W|lambrusco|igp marcello oro ariola|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|igp marcello ariola|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|i puri rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|i puri rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=680
W|lambrusco|i puri dolo emilia rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|i puri branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|i puri bianco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|i puri amabile emilia branco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grrossa il goccio ml 750 cod man12|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grrossa doc campogrande ml 750 cod ch014|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparrosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossadi castelvetro doc acino ml 1500 manzini cod man10|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossadi castelverto amabile case only|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossa villa cialdini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossa vigneto cialdini cleto chiarli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossa vibrante doc riunite x x 6 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossa vibrante doc riunite x x 3 und|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lambrusco|grasparossa vibrante doc riunite x frizzante|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
