W|vinho|tinto holminhos 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo paulin dolcetto dalba doc 2020 la morra italia|it|r|dolcetto|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto gianni gagliardo da batie nebbiolo 2022 langhe italia|it|r|nebbiolo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo barolo doc 2012 la morra italia|it|r|??|??|??|2012|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo barolo doc 2011 la morra italia|it|r|??|??|??|2011|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo barolo doc 2007 la morra italia|it|r|??|??|??|2007|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gianni gagliardo barolo del comune di la morra 2019 la morra italia|it|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giancarlo rubicone sangiovese igt|??|r|sangiovese|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giancarlo nero davola sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giancarlo montepulciano dabruzzo doc|it|r|montepulciano|toscana|montepulciano|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giacomo monstressor amarone della valpolicella 2012 docg italiano regiao lazio|??|r|??|??|??|2012|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giacomo monstressor amarone della valpolicella 2012 docg italiano regiao lazio|??|r|??|??|??|2012|13.5|docg|medio|carnes vermelhas; queijos curados|??|=432
W|vinho|tinto giacomo monstressor amarone della valpolicella 2011 docg regiao lazio italiano|??|r|??|??|??|2011|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giacomo monstressor amarone della valpolicella 2011 docg regiao lazio italiano|??|r|??|??|??|2011|13.5|docg|medio|carnes vermelhas; queijos curados|??|=434
W|vinho|tinto giacomo monstressor amarone della valpolicella 2009 docg 92 pontos italiano uvas corvina rondinella e molinara|??|r|corvina|??|??|2009|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto giacomo monstressor amarone della valpolicella 2009 docg 92 pontos italiano uvas corvina rondinella e molinara|??|r|corvina|??|??|2009|13.5|docg|medio|carnes vermelhas; queijos curados|??|=436
W|vinho|tinto gevreychambertin vieilles vignes 2022 meia garrafa|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2022 meia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=441
W|vinho|tinto gevreychambertin vieilles vignes 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=441
W|vinho|tinto gevreychambertin vieilles vignes 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2018 meia garrafa|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2018 meia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin vieilles vignes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru petitechapelle 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru petite chapelle 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru les combottes 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru bel air 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru bel air 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru aux combottes 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru aux combottes 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??|=454
W|vinho|tinto gevreychambertin premier cru aux combottes 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru aux combottes 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=456
W|vinho|tinto gevreychambertin premier cru aux combottes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin premier cru aux combottes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=458
W|vinho|tinto gevreychambertin premier cru aux combottes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin en reniard 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin en creot 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??|=463
W|vinho|tinto gevreychambertin 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vinho|tinto gevreychambertin 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=468
W|vinho|tinto gevreychambertin 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 1er cru petitechapelle 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevreychambertin 1er cru aux combottes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevrey chambertin premier cru petite chapelle 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevrey chambertin faiveley|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevrey chambertin antonin guyon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gevrey chambertin 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gerard bertrand heritage languedoc 2021 145|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gerard bertrand gio rouge grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gerard bertrand gio le rouge leger grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georgiano vazisubani estate|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georges duboeuf merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georges duboeuf la cuvee rouge|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georges duboeuf la cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georges duboeuf fleury aocgd001ou em ate12xno cartao de creditoa vista5 desconto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto georges duboeuf fleurie aoc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto genese blend da familia adega chesini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto generoso syrah laurent wines|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gearbox pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gb rouge rheingau spatburgunder 2023|de|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gb rheingau spatburgunder qba 2019|de|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gauve 2016 dao|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gauggiole brunello di montalcino 2020|it|r|??|toscana|montalcino|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaudio reserva 2016 alentejo|??|r|??|??|??|2016|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gauchezco reserve cabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gauchezco reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gauchezco pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gattinara tre vigne travaglini|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto gato negro pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=501
W|vinho|tinto gato negro malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=504
W|vinho|tinto gato negro carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=504
W|vinho|tinto gato negro cabernet sauvignon 187|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=508
W|vinho|tinto gato negro cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=508
W|vinho|tinto gato negro 9 lives reserva carmenere chile|cl|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro 9 lives reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro 9 lives reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=512
W|vinho|tinto gato negro 9 lives reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gato negro 9 lives reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=514
W|vinho|tinto gato negro 9 lives carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon tannat single vineyard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon tannat single vineyard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=517
W|vinho|tinto garzon tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon single vineyard tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=522
W|vinho|tinto garzon reserva marselan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon reserva cabernet franc uruguaio|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon petit clos tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon estate tannat de corte uruguaio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon estate carbernet de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garzon estate cabernet de corte uruguaio|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira quinta dos roques|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira dos socios reguengos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica reserva magnum 2020 1 alentejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica reserva 2020 alentejo|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica reserva 2018 regional alentejano|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica reserva 2018 doc douro|pt|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica reserva 2018 doc dao|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica colheita magnum 2020 1 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica colheita 2020 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica colheita 2020 doc beira interior|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica colheita 2018 igp lisboa|??|r|??|??|??|2018|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica colheita 2016 doc bairrada|??|r|??|??|??|2016|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garrafeira benfica 2020 doc dao|??|r|??|??|??|2020|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garnata 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garnacho graciano y tempranillo vina bosconia 750 ml135 2013|??|r|tempranillo|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garibaldi precioso de mesa suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garcia carrion saludas dop|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garboso g2 guzman|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garbo los hermanos tannatmalbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garbo inquieto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garbo black tie 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garage wine co vigno carignan fieldblend 2018 maule valley chile|cl|r|??|maule valley|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garage wine co truquilemu vineyard carignan lot 97 2018 maule valley chile|cl|r|??|maule valley|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garage wine co cru truquilemu 2018 maule valley chile|cl|r|??|maule valley|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garage truquilemu vigno carignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto garage cru truquilemu carignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ganita quinta do gradil 2015 lisboa|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ganda red blend 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ganadero garnacha 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gamay noir cuvee vignes ecussol 2021|??|r|gamay|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gamay noir cuvee ecussol 2020|??|r|gamay|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gamaret 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto galerna miss fuse tejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto galantas haras de pirque|cl|r|??|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto galantas cabernet franc 2018|??|r|cabernet franc|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaja sperss 2019 piemonte|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaivosa primeiros anos magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaivosa primeiros anos 2022 douro|pt|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaivosa primeiros anos 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaiao reserva alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto gaiao reserva alentejo|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=572
W|vinho|tinto ga red blend 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fuzion malbec familia zuccardi argentino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fugitivo profugo malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fuente de los huertos garnacha vinos de madri 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fuente de los huertos garnacha 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira private selection 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira private selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira grande reserva 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fronteira 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frontaura dominio de valdelacasa do toro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frontaura aponte reserva do toro|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante villa fabrizia lambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante vele al vento lambrusco dellemilia amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante italiano villa fabrizia lambrusco amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante italiano lambrusco cella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante costa furra lambrusco dellemilia amabile|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante cavicchioli lambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frisante cavicchioli lambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=593
W|vinho|tinto frisante a andreani lambrusco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fresh amphora rocim|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi remole|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi perano chianti reserva|it|r|??|toscana|chianti|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi perano chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi castiglioni toscana igt|it|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi castigli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi castelgiocondo brunello di montalcino 2020|it|r|??|toscana|montalcino|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi campo ai sassi rosso di montalcino 2023|it|r|??|toscana|montalcino|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frescobaldi campo ai sassi rosso di montalcino|it|r|??|toscana|montalcino|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto french kiss kanon bojo nouveau 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto french kiss beaujolais nouveau 2024|fr|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto french kiss beaujolais nouveau 2024|fr|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??|=606
W|vinho|tinto french kiss 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixo terroir 2020 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixo reserva 2020 regional alentejano|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixo family collection 2018 regional alentejano|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet zero alcool|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet tempranillo 2021|??|r|tempranillo|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet spanish still rioja 2023 13|es|r|??|rioja|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet primitivo|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=615
W|vinho|tinto freixenet mia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet do tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet chianti docg 2019|it|r|??|toscana|chianti|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet chianti docg 2019|it|r|??|toscana|chianti|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=619
W|vinho|tinto freixenet chianti docg|it|r|??|toscana|chianti|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet chianti|it|r|??|toscana|chianti|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto freixenet 0 alc 0 kcal red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frei joao classico 2018 bairrada doc|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frei joao 1995 bairrada doc|??|r|??|??|??|1995|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frei joao 1987 bairrada doc|??|r|??|??|??|1987|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frei joao 1985 bairrada doc|??|r|??|??|??|1985|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frei joao 1983 bairrada doc|??|r|??|??|??|1983|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fray leon carmenere 2024|??|r|carmenere|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fray leon carmenere 2023|??|r|carmenere|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto fray leon cabernet sauvignon 2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto frater amicus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto francois labet bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
