W|vino|flor de maig blanco capcanes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=470
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=470
W|vino|faustino i gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=470
W|vino|faustino i 75 aniversario|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i 1970 gran reserva|??|r|??|??|??|1970|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino i|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino de crianza 1995|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino de autor reserva 1994|??|r|??|??|??|1994|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|faustino crianza tempranillo botella|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino crianza rioja|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faustino crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fattoria dei barbi rosso di montalcino doc cl 75|it|r|??|toscana|montalcino|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|fattoria dei barbi brunello di montalcino docg cl 75 2019|it|r|??|toscana|montalcino|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|farnese fantini sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|farina lagrima|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faraon de los weones|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faraday wines petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fantini sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fantini pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|fantini montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fantini montepulciano dabruzzo|it|r|montepulciano|toscana|montepulciano|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=492
W|vino|fandos y barriuso variedad royal de alloza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fandango gift vouchers|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fancello rosso milazzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famille greuzard domaine de lherbe saint syrah igp cl 75|??|r|syrah|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|familia valdelana rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|familia valdelana blanco semidulce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia traversa sauvignon blanc 2024|??|w|sauvignon blanc|??|??|2024|12|??|leve|peixes; saladas; massas leves|??
W|vino|familia torres perpetual 2018 doc priorat espana|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|familia schroeder saurus select pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia schroeder saurus select malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia schroeder saurus estate pinot noir rose|??|p|pinot noir|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|familia schroeder saurus estate pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia schroeder pinot noir ano 2020|??|r|pinot noir|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia schroeder malbec ano 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia martinez bujanda crianza 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|familia gascon roble malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon pack 3 bt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon malbec argentino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon malbec argentino|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=513
W|vino|familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=515
W|vino|familia gascon chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|familia gascon cabernet sauvignon botella|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia gascon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia deicas single vineyard malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia deicas single vineyard malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=520
W|vino|familia deicas ocean blend rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|familia deicas ocean blend rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=522
W|vino|familia deicas extreme vineyard suelo invertido tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia deicas extreme vineyard suelo invertido tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=524
W|vino|familia deicas atlantico sur tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia deicas atlantico sur tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=526
W|vino|familia deicas atlantico sur rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|familia deicas atlantico sur cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|familia deicas atlantico sur cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=529
W|vino|familia deicas atlantico sur albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|familia deicas atlantico sur albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=531
W|vino|familia deicas atlantico sur albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=531
W|vino|familia bresesti tannat premium 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famiglia passadore coleccion joven tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famiglia passadore coleccion joven sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|famiglia passadore coleccion joven moscatel de hamburgo|??|r|moscatel|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famiglia passadore coleccion joven merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famiglia passadore coleccion joven cabernet botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|famiglia bianchi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falkestein riesling doc cl 75|??|w|riesling|??|??|NV|12|doc|leve|peixes; saladas; massas leves|??
W|vino|falesco vitiano vermentino igp cl 75|??|w|vermentino|??|??|NV|12|igp|leve|peixes; saladas; massas leves|??
W|vino|falesco vitiano rosso igp cl 75|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|falesco tellus syrah igp cl 75|??|r|syrah|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|falesco tellus syrah igp cl 150|??|r|syrah|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|falesco tellus rose di syrah igp cl 75|??|p|syrah|??|??|NV|11.5|igp|medio|aperitivos; frutos do mar|??
W|vino|falesco tellus chardonnay igp cl 75|??|w|chardonnay|??|??|NV|12|igp|leve|peixes; saladas; massas leves|??
W|vino|falesco tellus chardonnay igp cl 375|??|w|chardonnay|??|??|NV|12|igp|leve|peixes; saladas; massas leves|??
W|vino|falesco poggio dei gelsi dop cl 75|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falesco poggio dei gelsi dop cl 375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falerno del massico bianco dop villa matilde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falerno cantine cenatiempo 1966|??|r|??|??|??|1966|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falerno cantine cenatiempo 1965|??|r|??|??|??|1965|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|falerno cantine cenatiempo 1965|??|r|??|??|??|1965|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|falerno cantine cenatiempo 1965|??|r|??|??|??|1965|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|faladas linaldu 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faladas kenalia 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faladas keluna 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faladas iskentu 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tinto tannat cabernet tetra caja x 12un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tinto tannat cabernet con canilla|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tinto merlot tetra caja x 12un|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tinto merlot con canilla|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X|=564
W|vino|faisan tinto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tinto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=566
W|vino|faisan tinto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=566
W|vino|faisan tannatcabernet tetra brik|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tannatcabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tannatcabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=570
W|vino|faisan tannat merlot 1|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tannat merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tannat merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=573
X
X
W|vino|faisan tannat cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan tannat cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vino|faisan tannat cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vino|faisan tanat merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan rosado moscatel tetra caja x 12un|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan rosado moscatel litro|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan rosado moscatel con canilla|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
X
X
W|vino|faisan rosado moscatel 1|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan rosado moscatel|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan rosado moscatel|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=587
W|vino|faisan rosado moscatel|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=587
W|vino|faisan rosado moscatel|??|p|moscatel|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=587
W|vino|faisan merlot tinto litro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan merlot 1|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=593
W|vino|faisan cabernet franc rose|??|p|cabernet franc|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan cabernet franc rose|??|p|cabernet franc|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=595
W|vino|faisan blanco varietal tetra caja x 12un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan blanco varietal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan blanco varietal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=598
W|vino|faisan audaz tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|faisan audaz rosado suave|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|faisan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fair for life malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fagus de coto de hayas 2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|facatua|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fabre terruno reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou reserva malbec|??|r|malbec|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou merlot 2020 do mendoza argentina|ar|r|merlot|mendoza|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou malbec rose|??|p|malbec|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fabre montmayou grand vin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou barrel selection malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fabre montmayou barrel selection cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fabre mont gran reserva malbec|??|r|malbec|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero thomas pico chablis ac chablis francia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero penfolds bin 128 shiraz 2019 do coonawarra australia|??|r|shiraz|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero mullineux leeu syrah 2020 do swartland sudafrica|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero massolino nebbiolo 2022 doc langhe piedmonte italia|it|r|nebbiolo|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero maison jean baptiste souillard syrah 2019 do saint joseph francia|??|r|syrah|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero granxa d outeiro francelus albarino 2023 do ribeiro galicia copia|??|w|albarino|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vino|extranjero granxa d outeiro francelus albarino 2021 do ribeiro galicia|??|w|albarino|??|??|2021|12|??|leve|peixes; saladas; massas leves|??
W|vino|extranjero gd vajra ensamblaje rosso doc langhe piedmont italia|it|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero fattoria di rodano chianti classico 2020 docg toscana italia|it|r|??|toscana|chianti|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero domaine vacheron 2022 aoc sancerre francia|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero domaine auguste clape 2022 aoc cote du rhone francia|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|extranjero dog point vineyard sauvignon blanc 2023 do malborough nueva zelanda|??|w|sauvignon blanc|??|??|2023|12|??|leve|peixes; saladas; massas leves|??
W|vino|extranjero cascina penna currado bricco lago doc langhe piedmonte italia|it|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|expresion antigua usanza reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion tinto san pedro 12 15lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto sauvignon blanc 12 15lts|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|exportacion selecto sauvignon blanc 1 x 6 un|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|exportacion selecto sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|exportacion selecto merlot botellon 1500cc|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto merlot botellon|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto merlot 125 15lts|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto merlot 1 x 6 un|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=642
W|vino|exportacion selecto frutal terremoto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal naranjamanzana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal melvin botellon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal melvin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal frutillanaranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal frutilla naranja botellon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal frutilla 1 x 6 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal durazno 1 x 6 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal durazno|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto frutal clericot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto carmenere cabernet sauvignon botellon 1500cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=655
W|vino|exportacion selecto carbenet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto cabernet sauvignon botellon 1500cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto cabernet sauvignon botellon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto cabernet sauvignon 12 15lts|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto cabernet sauvignon 1 x 6 un|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto blanco botellon 1500cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion selecto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion san pedro blanco 12 15lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion reservado merlot cabernet sauvignon botellon 1500cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exportacion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exploracion cabernet sauvignon gualtallary|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exploracion albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|exopto expresion de graciano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exopto blanco field blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exopto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exibis la rasa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|exibis|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1973|??|r|??|??|??|1973|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1964|??|r|??|??|??|1964|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1962|??|r|??|??|??|1962|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1959|??|r|??|??|??|1959|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1952|??|r|??|??|??|1952|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|excelso gran reserva 1950|??|r|??|??|??|1950|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|evergreen vineyard pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|evergreen vineyard pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=681
W|vino|evergreen vineyard pinot grigio|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=681
W|vino|euromillesia crianza 1993|??|r|??|??|??|1993|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|euromillesia crianza 1989|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|euma tinto semi seco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|euma tinto seco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eulila red blend 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eugenio bustos malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|etna rosso doc 6 bottiglie campore|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|etna doc bianco 6 bottiglie campore|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|etna bianco doc luce di lava 6 bottiglie cantine russo|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|etim origen|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|etim lantull blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|etereo maturana wines carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|eta rosso doc luce di lava 6 bottiglie cantine russo|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|estrella murviedro frizzante blanco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|estrella de los andes malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|estoril|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|estoril|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=699
W|vino|estoril|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=699
W|vino|estones px blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|estones gs crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|estola reserva 2000|??|r|??|??|??|2000|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|estola reserva 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
