1. W|carpano|classico rosso vermouth|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
461. W|carpineto|chianti classico gran selezione|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
462. W|carpineto|chianti classico gran selezione|it|r|??|chianti classico|??|2020|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|carpineto|chianti classico gran selezione docg|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
464. W|carpineto|chianti classico reserva|it|r|??|chianti classico|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
465. W|carpineto|chianti classico ris|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
466. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
467. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
468. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
469. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
470. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
471. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
472. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=466
473. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2006|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
474. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2014|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
475. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2016|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
476. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
477. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
478. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2018|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=477
479. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
480. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=479
481. W|carpineto|chianti classico riserva 2019 italy tuscany red wine|it|r|??|tuscany|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
482. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
483. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
484. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
485. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
486. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
487. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
488. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
489. W|carpineto|chianti classico riserva|it|r|??|chianti classico|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=482
490. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
491. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=490
492. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=490
493. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2010|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
494. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2010|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=493
495. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2010|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=493
496. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
497. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=372
498. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=372
499. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=372
500. W|carpineto|chianti classico riserva docg|it|r|??|chianti classico|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=372
501. W|carpineto|chianti classico riserva docg sangiovese|it|r|sangiovese|chianti classico|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
502. W|carpineto|chianti classico rot|it|r|??|chianti classico|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
503. W|carpineto|chianti classico tinto|it|r|??|chianti classico|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
504. W|carpineto|chianti gran selezione docg sangiovese|it|r|sangiovese|chianti|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
505. W|carpineto|chianti gran selezione docg sangiovese|it|r|sangiovese|chianti|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco|=504
506. W|carpineto|chianti red classico|it|r|??|chianti|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
507. W|carpineto|chianti red classico|it|r|??|chianti|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=506
508. W|carpineto|doc rosso di montalcino|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
509. W|carpineto|doc rosso di montepulciano|it|r|montepulciano|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
510. W|carpineto|doc rosso di montepulciano|it|r|montepulciano|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
511. W|carpineto|docg brunello di montalcino|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
512. W|carpineto|docg brunello di montalcino|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
513. W|carpineto|docg brunello di montalcino|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
514. W|carpineto|docg chianti classico|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
515. W|carpineto|docg chianti classico 2020 1|it|r|??|chianti classico|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
516. W|carpineto|dogajolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|carpineto|dogajolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
518. W|carpineto|dogajolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
519. W|carpineto|dogajolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
520. W|carpineto|dogajolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
521. W|carpineto|dogajolo 2020 toscano|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|carpineto|dogajolo 2pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|carpineto|dogajolo bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
524. W|carpineto|dogajolo bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=523
525. W|carpineto|dogajolo bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=523
526. W|carpineto|dogajolo bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=523
527. W|carpineto|dogajolo duopack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|carpineto|dogajolo igt red|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
529. W|carpineto|dogajolo igt toscano bianco|??|w|??|??|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
530. W|carpineto|dogajolo igt toscano bianco|??|w|??|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
531. W|carpineto|dogajolo igt toscano rosato|??|p|??|??|??|2021|12|igt|leve|carne vermelha, massas, queijos curados|seco
532. W|carpineto|dogajolo igt toscano rosato|??|p|??|??|??|2022|12|igt|leve|carne vermelha, massas, queijos curados|seco
533. W|carpineto|dogajolo igt toscano rosato|??|p|??|??|??|2023|12|igt|leve|carne vermelha, massas, queijos curados|seco
534. W|carpineto|dogajolo igt toscano rosato 2023 wine x itau|??|p|??|??|??|2023|12|igt|leve|carne vermelha, massas, queijos curados|seco
535. W|carpineto|dogajolo igt toscano rosato|??|p|??|??|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco
536. W|carpineto|dogajolo igt toscano rosso|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
537. W|carpineto|dogajolo igt toscano rosso|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
538. W|carpineto|dogajolo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|carpineto|dogajolo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
540. W|carpineto|dogajolo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
541. W|carpineto|dogajolo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
542. W|carpineto|dogajolo red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
543. W|carpineto|dogajolo rosato|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
544. W|carpineto|dogajolo rosato toscana igt|it|p|??|toscana|??|2020|12|igt|leve|carne vermelha, massas, queijos curados|seco
545. W|carpineto|dogajolo rosato toscano igt 2020 italy|it|p|??|??|??|2020|12|igt|leve|carne vermelha, massas, queijos curados|seco
546. W|carpineto|dogajolo rosato tuscany sangiovese|it|p|sangiovese|tuscany|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
547. W|carpineto|dogajolo rosato tuscany sangiovese|it|p|sangiovese|tuscany|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=546
548. W|carpineto|dogajolo rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
549. W|carpineto|dogajolo rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=548
550. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
552. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
553. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
554. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
555. W|carpineto|dogajolo rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
556. W|carpineto|dogajolo rosso toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|carpineto|dogajolo rosso toscana|it|r|??|toscana|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|carpineto|dogajolo rosso toscana igt|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
559. W|carpineto|dogajolo toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|carpineto|dogajolo toscana bianco|it|w|??|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
561. W|carpineto|dogajolo toscana bianco|it|w|??|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=560
562. W|carpineto|dogajolo toscana bianco|it|w|??|toscana|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
563. W|carpineto|dogajolo toscana bianco|it|w|??|toscana|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
564. W|carpineto|dogajolo toscana bianco igt|it|w|??|toscana|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
565. W|carpineto|dogajolo toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
566. W|carpineto|dogajolo toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=565
567. W|carpineto|dogajolo toscana igt rosso cabernet sangiovese blend|it|r|sangiovese|toscana|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
568. W|carpineto|dogajolo toscana rosato|it|p|??|toscana|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
569. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=569
571. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=571
573. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
575. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
576. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
577. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
578. W|carpineto|dogajolo toscana rosso|it|r|??|toscana|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
579. W|carpineto|dogajolo toscana rosso igt sangiovese cabernet sauvignon|it|r|cabernet sauvignon|toscana|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
580. W|carpineto|dogajolo toscano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|carpineto|dogajolo toscano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=580
582. W|carpineto|dogajolo toscano|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco
584. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=583
585. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=583
586. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2020|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=583
587. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
588. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=587
589. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=587
590. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=587
591. W|carpineto|dogajolo toscano bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=587
592. W|carpineto|dogajolo toscano formati maxi lt 3 5 12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|carpineto|dogajolo toscano magnum con accessori lt 15|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|carpineto|dogajolo toscano magnum lt 15|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|carpineto|dogajolo toscano red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
597. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=596
598. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=596
599. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=596
600. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
601. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=600
602. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=600
603. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=600
604. W|carpineto|dogajolo toscano rosso igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=600
605. W|carpineto|dogajolo toscano tuscan red 3 liter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|carpineto|dogajolo toscano weiwein trocken 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|carpineto|dogajolo tripack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|carpineto|dogajolo tuscany rosso|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|carpineto|dogajolo tuscany white blend|it|w|white blend|tuscany|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
610. W|carpineto|dogajolo white|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
611. W|carpineto|farnito cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
612. W|carpineto|farnito cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
613. W|carpineto|farnito cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
614. W|carpineto|farnito cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=613
615. W|carpineto|farnito cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
616. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
617. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|1995|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
618. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|1995|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=617
619. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|1995|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=617
620. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2012|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
621. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2012|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=620
622. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2012|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=620
623. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2012|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=620
624. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2017|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
625. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2017|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=624
626. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2017|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=624
627. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2018|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
628. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2019|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
629. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2019|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=628
630. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2019|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=628
631. W|carpineto|farnito cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|2019|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco|=628
632. W|carpineto|farnito cabernet sauvingon toscana igt|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
633. W|carpineto|farnito camponibbio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|carpineto|farnito camponibbio toscana red|it|r|??|toscana|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|carpineto|farnito chardonnay toscana|it|w|chardonnay|toscana|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
636. W|carpineto|farnito chardonnay toscana|it|w|chardonnay|toscana|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
637. W|carpineto|farnito tuscany cabernet sauvignon|it|r|cabernet sauvignon|tuscany|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
638. W|carpineto|farnito valcolomba|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|carpineto|farnito vin santo del chianti|it|d|??|chianti|??|1995|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
640. W|carpineto|farnito vin santo del chianti|it|d|??|chianti|??|1999|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
641. W|carpineto|farnito vinsanto del chianti|it|r|??|chianti|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|carpineto|farnito vinsanto del chianti|it|r|??|chianti|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|carpineto|farnito vinsanto del chianti doc|it|r|??|chianti|??|1999|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
644. W|carpineto|farnito vinsanto del chianti doc|it|r|??|chianti|??|1999|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=643
645. W|carpineto|farnito vinsanto del chianti doc|it|r|??|chianti|??|1999|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=643
646. W|carpineto|farnito vinsanto del chianti doc|it|r|??|chianti|??|2006|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
647. W|carpineto|la fornace toscana igt|it|r|??|toscana|??|2001|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
648. W|carpineto|molin vecchio|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|carpineto|molin vecchio toscana igt|it|r|??|toscana|??|2012|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
650. W|carpineto|molino vecchio|??|r|??|??|??|1999|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|carpineto|molino vecchio|??|r|??|??|??|2001|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|carpineto|molino vecchio|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|carpineto|nobile di montepulciano riserva|it|r|montepulciano|??|??|NV|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
654. W|carpineto|nobile di montepulciano riserva|it|r|montepulciano|??|??|2018|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
655. W|carpineto|poggio sant enrico vino nobile di montepulciano|it|r|montepulciano|??|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
656. W|carpineto|riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
657. W|carpineto|riserva docg chianti classico|it|r|??|chianti classico|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
658. W|carpineto|riserva docg vino nobile di montepulciano|it|r|montepulciano|??|??|2017|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
659. W|carpineto|riserva docg vino nobile di montepulciano|it|r|montepulciano|??|??|2018|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
660. W|carpineto|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|carpineto|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=660
662. W|carpineto|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=660
663. W|carpineto|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=660
664. W|carpineto|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=660
665. W|carpineto|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|carpineto|rosso di montalcino 2023 italy tuscany red wine|it|r|??|tuscany|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|carpineto|rosso di montalcino doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
668. W|carpineto|rosso di montalcino doc 2023 id68360|it|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
669. W|carpineto|rosso di montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
