W|gomas|trolli mordiscos g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|tajin aritos sandia 55 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|tajin ositos 55 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli anayconda 70 g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli bananas gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli bananas gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=449
W|gomitas|trolli bears gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli bears gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=451
W|gomitas|trolli caterpillars acidos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli caterpillars acidos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=453
W|gomitas|trolli classic bears 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli dracula frutilla gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli dracula frutilla gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=456
W|gomitas|trolli gusanos acidos gluten free 100gr|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli gusanos acidos gluten free 100gr|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=458
W|gomitas|trolli kiss frutilla gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli kiss frutilla gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=460
X
X
W|gomitas|trolli pizzas gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli pizzas gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=464
W|gomitas|trolli pulpos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli pulpos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=466
W|gomitas|trolli sharks gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli sharks gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=468
W|gomitas|trolli tropicos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trolli tropicos gluten free 100gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|gomitas|trululu aros 70g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trululu bananos aciditos 70g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trululu franki|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|trululu lenguas 70g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|vero picagoma mango con 100 piezas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|vero picagoma sandia 100 piezas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomitas|vero picagomas tamarindo 100 piezas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomiti|no53 divella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gommage|asinerie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gommage|corps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gommage|visage bio apimab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomme|de propolis miel reglisse 45 grs apimab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomme|sirup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomme|sirup|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=484
W|gommes|de propolis et gingembre bio 45 grs apimab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gommes|de propolis miel eucalyptgrs apimab|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gommypluss|gommypluss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomotartzi|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gomotartzi|red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomotartzi|syrah cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gomotartzi|syrah cabernet franc|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=491
W|gomphrena|globosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gompyo|bear makgeolli x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gompyo|bear makgeolli x|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=494
W|gomz|xl gummy bears 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gon|byass 30yo amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gon|byass 30yo metusalem olorosso|us|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gon|byass 30yo noe pedro ximinez|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gon|byass vina amontillado|??|f|??|??|??|nv|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gonature|gonature|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|60s kerner stajerska|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|60s kerner stajerska slovenia case|si|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|canva rose sparkling petnat rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonc|canvas pet nat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|cuvee anna rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|cuvee anna rose stajerska|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|dirty deeds pinot noir stajerska slovenia|si|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|grape abduction company rose 10|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|kerner 60s white wine|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonc|kerner the weird one|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|kerner the weird one slovenia|si|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|pet nat canvas rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|pinot blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonc|pinot noir|??|r|pinot noir|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|sabatage blaufrankisch stajerska|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|sabbotage blaufrankisch stajerska slovenia|si|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|sabotage blaufrankish red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|smarnica|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|starman orange wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|the grape abduction co dry white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonc|the little one|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|time merlot|??|r|merlot|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|war pigs yellow muscat|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery 60s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery 60s kerner slovenia|si|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery canvas rose petnat|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|winery canvas rose petnat slovenia|si|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonc|winery harvest moon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery little one|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery rumeni muskat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|winery starman|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|yellow muscat|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonc|yellow muscat|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria red|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria bairrada vinho branco|pt|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria branco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=538
W|goncalves|faria branco|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria red|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria tinto|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncalves|faria white|??|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
S
W|goncol|pince|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncol|tokaji sargamuskotaly feledes feher bor 075|hu|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goncol|winery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gond|goondh|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondola|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gondola|chianti reserve|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondola|pinot grigio della venezie|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gondola|prosecco mevoshal|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gondola|rellena de autor|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondola|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gondola|rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gondola|rose doc venezia|??|p|??|??|??|2019|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gondola|sangiovese|??|r|sangiovese|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondola|semisweet rose mevoshal|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|gondola|semisweet sparkling rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|gondolier|merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondonne|gondonne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondoskodas|csomag|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gondwana|gondwana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gone|south chenin 22|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gone|swimming|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gone|too far|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonella|bonanova|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonella|duecorvi|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonella|latipica|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonelli|1585 laudemio 025|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonelli|1585 raccolta di olive verdi 05|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonen|kavun tohumu 10adet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gones|face b|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonet|3210 extra brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonet|medeville cru brut cuvee tradition nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonet|medeville cru cuvee blancs noir|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonet|medeville cru cuvee tradition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonet|medeville blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gonet|medeville blanc de noirs champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonet|medeville champ dalouette grand cru extra brut|??|s|??|??|??|2004|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville coteaux champenois grand cru ambonnay cuvee athenais|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonet|medeville coteaux champenois grand cru ambonnay cuvee athenais|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=582
W|gonet|medeville coteaux champenois grand cru ambonnay cuvee athenais|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonet|medeville coteaux champenois grand cru ambonnay cuvee athenais|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=584
W|gonet|medeville extra brut rose champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville grand cru ambonnay la grande ruelle extra brut vintage|??|s|??|??|??|2008|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville grand cru mesnil sur oger champ dalouette extra brut vintage|??|s|??|??|??|2007|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville grand cru rose extra brut nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|medeville grand cru rose extra brut nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut|=589
W|gonet|medville cru montplaisir bordeaux superieur|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonet|modeville cuvee theophile extra brut|??|s|??|??|??|2008|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|sulcova 0ishi extra brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|sulcova blanc de blanc champagne brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonet|sulcova champagne extra brut grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonet|sulcova cuvee gaia brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|gonet|sulcova expression du mesnil brut grand cru|??|s|??|??|??|2012|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|1c blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|1c tradition nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=600
W|gonetmedeville|cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=600
W|gonetmedeville|cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=600
W|gonetmedeville|cru blanc de noirs brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=600
W|gonetmedeville|cru rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonetmedeville|cru rose nv|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=605
W|gonetmedeville|cru tradition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=608
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=608
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=608
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=608
W|gonetmedeville|cru tradition brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=608
W|gonetmedeville|champagne extra brut la grande ruelle|fr|s|??|champagne|??|2002|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champagne grand cru cuvee theophile rose|fr|s|??|champagne|??|2009|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|blanc de noir cru champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|blanc de noirs cru brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|blanc de noirs cru champagne aoc brut vino spumante|fr|s|??|champagne|??|nv|12|aoc|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|blanc de noirs champagne france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|blanc de noirs premier cru brut champagne france nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|bordeauxsuperieur cru monplaisir|fr|r|??|bordeaux|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|brut premier cru blanc de noirs nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|brut tradition cru champagne france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champ dalouette champagne|fr|s|??|champagne|??|2007|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|champ dalouette extra brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champ dalouette grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|champ dalouette grand cru extra brut champagne france|fr|s|??|champagne|??|2007|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champ dalouette le mesnilsuroger grand cru blanc de blancs extra brut|??|s|??|??|??|2007|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champage cru brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champagne|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|champagne cru brut tradition|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champagne cru brut tradition nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champagne blanc de noir cru nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|champagne brut cru tradition|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champagne champ dalouette grand cru|fr|s|??|champagne|??|2007|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|champagne extra brut grand cru rose|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champagne extra brut rose grand cru nv|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|champagne extrabrut grand cru champ dalouette|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|champagne gr cru rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|champagne grand cru extra brut cuvee theophile|fr|s|??|champagne|??|2009|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|coteaux champenois ambonnay cuvee athenais|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|coteaux champenois ambonnay cuvee athenais|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|coteaux champenois cuvee athenais|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cru monplaisir bordeaux superieur|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cru monplaisir bordeaux superieur|fr|r|??|bordeaux|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=644
W|gonetmedeville|cru monplaisir bordeaux superieur|fr|r|??|bordeaux|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cuvee champ dalouette|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cuvee theophile champagne|fr|s|??|champagne|??|2009|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|cuvee theophile grand cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|cuvee theophile grand cru rose|??|p|??|??|??|nv|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gonetmedeville|cuvee tradition premier cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|grand cru ambonnay la grande ruelle extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|grand cru champ dalouette|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|grand cru champ dalouette|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|grand cru champ dalouette|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=654
W|gonetmedeville|grand cru cuvee theophile extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|grand cru grande ruelle|??|r|??|??|??|2008|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|grand cru rose|??|p|??|??|??|nv|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gonetmedeville|grand cru rose extra brut nv|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|grand cru theophile|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gonetmedeville|grand cru theophile|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=660
W|gonetmedeville|luxus champagnekasse|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gonetmedeville|premier cru tradition brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gonetmedeville|rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gonetmedeville|rose 1c extra brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|rose extra brut grand cru|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|rose grand cru extra brut|??|s|??|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|gonetmedeville|theophile gc extra brut|??|s|??|??|??|2009|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
