1. W|casa silva|gran terroir los lingues cabernet sauvignon x|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
409. W|casa turrent|1880 oscuro robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
410. W|casa turrent|1880 perfecto oscuro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
411. W|casa turrent|1880 robusto mix 7|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
412. W|casa turrent|1880 rosado gordito|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
413. W|casa turrent|1880 rosado robusto|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
414. W|casa turrent|1880 sui generis limited edition|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|casa turrent|1880 suigeneris edition limitada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|casa turrent|1901 gran robusto round|pt|r|??|??|??|1901|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|casa turrent|1901 robusto maduro round s20|pt|r|??|??|??|1901|13.5|??|medio|carne vermelha, massas, queijos curados|seco
418. W|casa turrent|1942 double robusto|pt|r|??|??|??|1942|13.5|??|medio|carne vermelha, massas, queijos curados|seco
419. W|casa turrent|1942 gran robusto natural round|pt|r|??|??|??|1942|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|casa turrent|1973 double robusto|pt|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|casa turrent|caribe|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|casa turrent|cuba|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|casa turrent|gran robusto mix 3|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
424. W|casa turrent miami robusto|s12|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
425. W|casa turrent nicaragua|s12|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|casa turrent origins|cuba|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
427. W|casa turrent origins|cuba|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=426
428. W|casa turrent origins|miami|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
429. W|casa turrent origins|mix4|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|casa turrent san andres|robusto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|casa turrent serie|1973 gran robusto|pt|r|??|??|??|1973|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|casa turus|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|casa turus|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casa turus malvasia|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casa turus monastrell|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|casa valdepablo|blanco vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
437. W|casa valdepablo rojo|vermouth|pt|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
438. W|casa valdepablo vermut|blanco|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|casa valdepablo vermut|rojo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|casa|valduga|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|casa valduga|130|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|casa valduga|130 blanc blanc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|casa valduga|130 blanc de blanc espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
444. W|casa valduga|130 blanc de blanc espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
445. W|casa valduga|130 blanc de noir espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
446. W|casa valduga|130 brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
447. W|casa valduga|130 brut blanc de blanc|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
448. W|casa valduga|130 brut blanc de blanc|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=447
449. W|casa valduga|130 brut blanc de blancs nv|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
450. W|casa valduga|130 brut blanc de noir|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
451. W|casa valduga|130 brut blanc de noir|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=450
452. W|casa valduga|130 brut espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
453. W|casa valduga|130 brut espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=452
454. W|casa valduga|130 brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
455. W|casa valduga|130 brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=454
456. W|casa valduga|130 espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
457. W|casa valduga|130 espumante brut com embalagem de metal|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
458. W|casa valduga|130 espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
459. W|casa valduga arte blend|1 forza|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
460. W|casa valduga arte blend|2 fruite|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|casa valduga arte blend|3 branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
462. W|casa valduga arte blend|4 rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
463. W|casa valduga arte blend|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
464. W|casa valduga arte blend|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=463
465. W|casa valduga arte blend|branco 03|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
466. W|casa valduga arte blend|branco chardonnay moscato|pt|w|chardonnay, moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
467. W|casa valduga arte blend|forza|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|casa valduga arte blend|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
469. W|casa valduga arte blend|rose 04|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
470. W|casa valduga arte|branco blend 3 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
471. W|casa valduga arte|brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
472. W|casa valduga arte|brut 2023|pt|s|??|??|??|2023|12|??|leve|aperitivos, frutos do mar, sushi|brut
473. W|casa valduga arte|brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
474. W|casa valduga arte|brut rose 2021|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
475. W|casa valduga arte|brut rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
476. W|casa valduga arte elegance|demisec|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|casa valduga arte|espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
478. W|casa valduga arte|espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
479. W|casa valduga arte|espumante elegance demisec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
480. W|casa valduga arte forza blend|tinto 01|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|casa valduga arte forza|cabernet sauvignon e merlot|pt|r|cabernet sauvignon, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
482. W|casa valduga arte fruite blend|tinto 02|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|casa valduga arte fruite marselan e|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|casa valduga arte|rose blend 4 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
485. W|casa valduga arte|tinto forza blend 1 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|casa valduga arte|tinto forza blend no 01 cabernet sauvignon merlot|pt|r|cabernet sauvignon, merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
487. W|casa valduga arte|tinto fruite blend 2 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|casa valduga arte|tinto fruite blend no 02 marselan malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
489. W|casa valduga arte tradicional|espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
490. W|casa valduga arte tradicional|espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=489
491. W|casa valduga arte tradicional|espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
492. W|casa valduga arte tradicional|espumante demi sec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|demi-sec
493. W|casa valduga blush rsv|25 meses espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
494. W|casa valduga|brut rose arte tradicional|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
495. W|casa valduga era|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
496. W|casa valduga era|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=495
497. W|casa valduga era so2 free|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|casa valduga|espumante 130 blanc de blanc|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
499. W|casa valduga|espumante 130 blanc de noir|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
500. W|casa valduga|espumante 130 brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
501. W|casa valduga|espumante 130 brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=500
502. W|casa valduga|espumante 130 brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
503. W|casa valduga|espumante arte brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
504. W|casa valduga|espumante arte demisec|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
505. W|casa valduga|espumante brut 130 anos|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
506. W|casa valduga|espumante brut maria valduga|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
507. W|casa valduga|espumante naturelle moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
508. W|casa valduga|espumante naturelle moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=507
509. W|casa valduga|espumante naturelle moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=507
510. W|casa valduga|espumante naturelle moscatel rose|pt|p|moscatel|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
511. W|casa valduga|gran chardonnay do|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
512. W|casa valduga|gran chardonnay do 2021|pt|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
513. W|casa valduga|gran chardonnay do safra 2022|pt|w|chardonnay|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
514. W|casa valduga|gran corte identidade|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|casa valduga|gran pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|casa valduga|gran pinot noir 2020|pt|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|casa valduga|gran pinot noir 2020|pt|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=516
518. W|casa valduga|gran reserva late harvest|pt|d|??|??|??|NV|10|gran reserva|encorpado|sobremesas, queijos azuis, foie gras|doce
519. W|casa valduga|gran storia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|casa valduga|gran villalobos cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
521. W|casa valduga heitor villalobos|gran reserva 2020|pt|r|??|??|??|2020|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
522. W|casa valduga identidade|gran corte|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|casa valduga leopoldina|gran terroir do vale dos vinhedos chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
524. W|casa valduga luiz|valduga|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|casa valduga maria valduga|vintage espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
526. W|casa valduga maria valduga|vintage espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
527. W|casa valduga mundvs|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
528. W|casa valduga mundvs|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
529. W|casa valduga naturelle|branco meio seco reserva 2023|pt|w|??|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
530. W|casa valduga naturelle|branco suave|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
531. W|casa valduga naturelle|branco suave|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=530
532. W|casa valduga naturelle|espumante moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
533. W|casa valduga naturelle|espumante moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=532
534. W|casa valduga naturelle|espumante moscatel rose|pt|p|moscatel|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
535. W|casa valduga naturelle frisante|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
536. W|casa valduga naturelle frisante|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
537. W|casa valduga naturelle frisante|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=536
538. W|casa valduga naturelle frisante|suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|casa valduga naturelle frisante suave|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
540. W|casa valduga naturelle|moscatel|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
541. W|casa valduga naturelle|moscatel|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=540
542. W|casa valduga naturelle|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
543. W|casa valduga naturelle|reserva branco|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
544. W|casa valduga naturelle|reserva chardonnay gewurztraminer|pt|w|chardonnay, gewurztraminer|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
545. W|casa valduga naturelle|reserva meio seco|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
546. W|casa valduga naturelle|rose suave|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
547. W|casa valduga naturelle|rose suave|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=546
548. W|casa valduga naturelle suave|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
549. W|casa valduga naturelle suave|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
550. W|casa valduga naturelle suave|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|casa valduga naturelle|tinto meio seco reserva 2021|pt|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
552. W|casa valduga naturelle|tinto suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|casa valduga naturelle|tinto suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=552
554. W|casa valduga naturelle|tinto suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=552
555. W|casa valduga naturelle|tinto suave|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=552
556. W|casa valduga origem|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
557. W|casa valduga origem|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=556
558. W|casa valduga origem|cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
559. W|casa valduga origem|cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
560. W|casa valduga origem|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
561. W|casa valduga origem|carmenere 2022|pt|r|carmenere|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
562. W|casa valduga origem|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
563. W|casa valduga origem|chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
564. W|casa valduga origem chile|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
565. W|casa valduga origem elegance|cabernet sauvignon demi sec|pt|s|cabernet sauvignon|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|demi-sec
566. W|casa valduga origem elegance meio|seco 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|casa valduga origem|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|casa valduga origem|merlot 2022|pt|r|merlot|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|casa valduga origem|rose 2022|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
570. W|casa valduga origem|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
571. W|casa valduga|premium extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
572. W|casa valduga|premium nature|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|casa valduga|premium nature 24 months|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|casa valduga premivm|brut espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
575. W|casa valduga premivm dem|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
576. W|casa valduga premivm|espumante brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
577. X
578. W|casa valduga premivm|espumante brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
579. X
580. W|casa valduga premivm|espumante demi sec rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
581. X
582. W|casa valduga premivm|espumante extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
583. W|casa valduga premivm|espumante extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut|=582
584. W|casa valduga premivm|espumante extra brut|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut|=582
585. X
586. W|casa valduga premivm|espumante moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
587. X
588. W|casa valduga premivm|espumante nature|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
589. X
590. W|casa valduga premivm|extra brut espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
591. W|casa valduga premivm|moscatel|pt|w|moscatel|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
592. W|casa valduga premivm|nature espumante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
593. W|casa valduga raizes cabernate|sauvignon brazil|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|casa valduga raizes|gran corte|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|casa valduga raizes|gran corte safra 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|casa valduga rsv|espumante moscatel|pt|s|moscatel|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
597. W|casa valduga storia|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|casa valduga storia|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
599. W|casa valduga storia|merlot 2018|pt|r|merlot|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. X
601. W|casa valduga storia|vinho tinto gran reserva merlot 2018|pt|r|merlot|??|??|2018|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
602. W|casa valduga sur lie|30 meses rose nature|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
603. W|casa valduga sur lie|blanc nature|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casa valduga sur lie|espumante nature|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
605. W|casa valduga sur lie|espumante nature rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
606. W|casa valduga sur lie|nature 30 meses|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|casa valduga terrior|cabernet franc 2021|pt|r|cabernet franc|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
608. W|casa valduga terrior|chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
609. W|casa valduga terrior exclusivo|tannat 2020|pt|r|tannat|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
610. W|casa valduga terrior|pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|casa valduga terroir|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
612. W|casa valduga terroir|cabernet franc 2019|pt|r|cabernet franc|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
613. W|casa valduga terroir|cabernet franc 2020|pt|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
614. W|casa valduga terroir|cabernet franc 2020|pt|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=613
615. W|casa valduga terroir|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
616. W|casa valduga terroir|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=615
617. W|casa valduga terroir|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=615
618. W|casa valduga terroir|cabernet sauvignon 2015|pt|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
619. W|casa valduga terroir|cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
620. W|casa valduga terroir|cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
621. W|casa valduga terroir|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
622. W|casa valduga terroir|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=621
623. W|casa valduga terroir|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=621
624. W|casa valduga terroir|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=621
625. W|casa valduga terroir|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=621
626. W|casa valduga terroir|chardonnay 2021|pt|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
627. W|casa valduga terroir|chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
628. W|casa valduga terroir|chardonnay 2024|pt|w|chardonnay|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
629. W|casa valduga terroir|exclusivo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|casa valduga terroir exclusivo|arinarnoa|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
