1. W|carema|doc vigne alte 2022 sorpasso|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
463. W|caric|plavac ploski 075|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
464. W|caric|plavac ploski barrique 075|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
465. W|caric|plovac ploski|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|caric|plovac ploski bq|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|caric|posip 075|??|r|posip|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|caric|posip|??|r|posip|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|caric|posip|??|r|posip|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|caric|rose marino|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
471. W|caric|rose marino 075|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
472. W|caric|veli visko|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|carica|lasino 2020 carussin|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|carica|lasino 2022 carussin|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|carica|lasino in botte 2019 carussin|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|carica|papaya|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|caricature|artist|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|caricature|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
479. W|caricature|for her dressed smart|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|caricature|for him dressed casual|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|caricature|for him dressed smart|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|caricature|old vine zinfandel|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
483. W|caricature|ov zinfandel|??|r|zinfandel|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|caricature|red blend|??|r|red blend|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|caricature|red blend california|us|r|red blend|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|caricature|red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|caricia|boreal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|caricia|de sabores|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|caricia|navidena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|caricias|de invierno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
493. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
494. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
495. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
496. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
497. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
498. W|caricias|del sol|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=491
499. W|cariddi|bianco terre siciliane igp|it|w|??|sicilia|??|2022|12.5|igp|medio|peixes, frutos do mar, saladas|seco
500. W|cariddi|rosato terre siciliane igp cantina colosi|it|p|??|sicilia|??|NV|12|igp|leve|carne vermelha, massas, queijos curados|seco
501. W|cariddi|rosso terre siciliane igp 2020 cantine colosi|it|r|??|sicilia|??|2020|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
502. W|caries|protection 250|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cariglio|igp tenuta terre nobili|??|r|??|??|??|2021|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
504. W|cariglio|rosso igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
505. W|cariglio|rosso igp terre nobili calabria|it|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
506. W|cariglio|tenuta terre nobili|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
509. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
510. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
511. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
512. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
513. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
514. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
515. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
516. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
517. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
518. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
519. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
520. W|carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=507
521. W|carignan|100 ans dage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|carignan|lanye barrac vitifarm|??|r|??|??|??|1910|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|carignan|carignan|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|carignan|200989wa90 weeditors choice|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|carignan|end of range special|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|carignan|carignan|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|carignan|carignan|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|carignan|carignan|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|carignan|carignan|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|carignan|carignan|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|carignan|carignan|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=530
532. W|carignan|c21|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|carignan|carignan|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|carignan|carignan|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=533
535. W|carignan|c22|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|carignan|sigurd winery|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|carignan|sigurd winery|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=536
538. W|carignan|clos des b|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|carignan|la cabentera|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|carignan|carignan|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|carignan|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|carignan|4to elemento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|carignan|50yo cotes catalanes claude vialade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|carignan|abbotts delaunay|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|carignan|alt wein|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|carignan|aude le jour la nuit claude vialade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|carignan|ayama|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|carignan|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
549. W|carignan|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=548
550. W|carignan|blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=548
551. W|carignan|blanc 2018 domaine ledogar|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
552. W|carignan|blanc|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
553. W|carignan|blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
554. W|carignan|blanc 2022 domaine ledogar|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
555. W|carignan|blanc aop corbieres domaine ledogar|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
556. W|carignan|blanc de chez jeff carrel cotes catalanes blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
557. W|carignan|blanc rare|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
558. W|carignan|blanc rare|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=557
559. W|carignan|blanc vieilles vignes|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
560. W|carignan|blend 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|carignan|blend signature wines|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|carignan|branco raro|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
563. W|carignan|carigno del maule moretta|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|carignan|cuartel n 73 caja 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|carignan|domaine des terres falmet languedoc fra|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
566. W|carignan|domaine saint firmin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|carignan|family carignan noir carignan blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
568. W|carignan|fruit lambic 3 fonteinen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|carignan|g vieilles vignes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|carignan|g vieilles vignes 2020 union des vignerons franzosischer rotwein|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|carignan|garnacha|??|r|garnacha|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|carignan|gourmand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|carignan|gourmand|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=572
574. W|carignan|gourmand|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|carignan|gourmand|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=574
576. W|carignan|gran reserva|??|r|??|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
577. X
578. W|carignan|grenache by parley|??|r|grenache|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
579. W|carignan|grenache pays d aude domaine de cazaban natuurwijn|??|r|grenache|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
580. W|carignan|la forge estate vieilles vignes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|carignan|la galiniere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. X
583. X
584. W|carignan|longavi soberano|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|carignan|maule valley weon|cl|r|??|maule valley|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|carignan|mont rocher|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|carignan|noir oldstar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|carignan|noir vieilles vignes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|carignan|oinotropai estate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|carignan|old vine by two shepherds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. X
592. W|carignan|old vines de chansac|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|carignan|petillant|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|carignan|piedra lisa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|carignan|radical|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|carignan|radical|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=595
597. W|carignan|radical|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|carignan|radical 2023 peira levada|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|carignan|radical 2023 peira levada|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=598
600. W|carignan|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
601. W|carignan|rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
602. W|carignan|rouge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. X
604. W|carignan|signature wines|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|carignan|sin sulfitos coleccion new york|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|carignan|single vineyard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|carignan|single vineyard cuartel no 73 las veletas valle del maule chile|cl|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|carignan|super premium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|carignan|terrassous|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|carignan|thomas angles vin de france rouge|fr|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|carignan|toro de piedra grand reserve|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
612. W|carignan|truquilemu|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|carignan|venturi vyd martha stoumen|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|carignan|vieilles vignes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|carignan|vieilles vignes 2020 vallee des aigles cotes catalanes|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|carignan|vieilles vignes cotes catalanes rouge gorge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|carignan|vieilles vignes domaine bonian igp cotes de thongue|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
618. W|carignan|vieilles vignes mont rocher pays doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
619. W|carignan|vieilles vignes roche de belanne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|carignan|vieilles vignes roche de belanne|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|carignan|vielle vignes 2020 abbotts delaunay pay s doc|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
622. W|carignan|vielles vignes|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|carignan|vignes centenaires|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|carignan|vignes centenaires rouge|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|carignan|vigno bouchon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|carignan|vina de toro alexander|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|carignan|young vines|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|carignane|carignane|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|carignangarnacha|vina sutil 750cc|??|r|garnacha|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|carignano|carignano|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|carignano|carignano|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
632. W|carignano|ampeleia|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|carignano|costa toscana igt ampeleia|it|r|??|toscana|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
634. W|carignano|del sulcis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|carignano|del sulcis|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|carignano|del sulcis 6 mura 2009 domaine cantina giba|??|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|carignano|del sulcis andaras|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|carignano|del sulcis buio 2019 doc|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
639. W|carignano|del sulcis buio 2021 doc|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
640. W|carignano|del sulcis buio 2021mesa lt 075|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|carignano|del sulcis buio 2024 cantina mesa|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|carignano|del sulcis buio 2024 cantina mesa|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=641
643. W|carignano|del sulcis buio 2024 cantina mesa|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=641
644. W|carignano|del sulcis buio 2024 cantina mesa|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=641
645. W|carignano|del sulcis buio 2024 cantina mesa|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=641
646. W|carignano|del sulcis buio 2024 magnum cantina mesa astuccio|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|carignano|del sulcis buio 2024 magnum cantina mesa astuccio|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
648. W|carignano|del sulcis buio 2024 magnum cantina mesa astuccio|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
649. W|carignano|del sulcis buio 2024 magnum cantina mesa astuccio|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
650. W|carignano|del sulcis buio 2024 magnum cantina mesa astuccio|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
651. W|carignano|del sulcis buio buio 2021 mesa|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|carignano|del sulcis cardanera argiolas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|carignano|del sulcis doc|??|r|??|??|??|1997|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
654. W|carignano|del sulcis doc|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
655. W|carignano|del sulcis doc buio mesa|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
656. W|carignano|del sulcis doc riserva buio buio 2022 cantina mesa|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
657. W|carignano|del sulcis doc riserva buio buio 2022 cantina mesa|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=656
658. W|carignano|del sulcis doc riserva buio buio 2022 cantina mesa|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=656
659. W|carignano|del sulcis doc riserva buio buio 2022 cantina mesa|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=656
660. W|carignano|del sulcis doc riserva buio buio 2022 cantina mesa|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=656
661. W|carignano|del sulcis doc riserva is solinas argiolas|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
662. W|carignano|del sulcis doc riserva is solinas argiolas|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=661
663. W|carignano|del sulcis doc riserva rocca rubia 2021 santadi|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
664. W|carignano|del sulcis doc russu 2022 tanca gioia|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
665. W|carignano|del sulcis doc russu 2022 tanca gioia|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=664
666. W|carignano|del sulcis doc russu 2022 tanca gioia|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=664
667. W|carignano|del sulcis doc russu 2022 tanca gioia|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=664
668. W|carignano|del sulcis doc russu 2022 tanca gioia wine outlet|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
669. W|carignano|del sulcis doc russu 2022 tanca gioia wine outlet|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=668
670. W|carignano|del sulcis doc terre rare 2024 sella mosca|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
671. W|carignano|del sulcis doc terre rare 2024 sella mosca|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=670
672. W|carignano|del sulcis doc terre rare 2024 sella mosca|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=670
673. W|carignano|del sulcis doc terre rare 2024 sella mosca|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=670
674. W|carignano|del sulcis doc terre rare 2024 sella mosca|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=670
675. W|carignano|del sulcis doc u tabarka roussou 2021 tanca gioia wine outlet|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
676. W|carignano|del sulcis doc u tabarka roussou 2021 tanca gioia wine outlet|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=675
677. W|carignano|del sulcis doc u tabarka roussou 2021 tanca gioia wine outlet|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=675
678. W|carignano|del sulcis doc u tabarka roussou 2021 tanca gioia wine outlet|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=675
679. W|carignano|del sulcis doc u tabarka roussou 2021 tanca gioia wine outlet|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=675
680. W|carignano|del sulcis estru|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
681. W|carignano|del sulcis grotta rossa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|carignano|del sulcis grotta rossa santadi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
683. W|carignano|del sulcis grotta rossa santadi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=682
684. W|carignano|del sulcis grotta rossasantadi lt 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
685. W|carignano|del sulcis is arenas sardus pater|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
686. W|carignano|del sulcis is solus sardus pater|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|carignano|del sulcis riserva|??|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
688. W|carignano|del sulcis riserva buio buio 2015 doc|??|r|??|??|??|2015|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
689. W|carignano|del sulcis riserva doc is solinas 2021 argiolas|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
690. W|carignano|del sulcis riserva doc is solinas 2021 argiolas|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=689
691. W|carignano|del sulcis riserva doc is solinas 2021 argiolas|??|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=689
692. W|carignano|del sulcis riserva doc is solinas 2022 argiolas|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
693. W|carignano|del sulcis riserva doc is solinas 2022 argiolas|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=692
