W|fugue de nenin|aoc pomerol 2013|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espumante casa valduga arte demi sec|sec|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga arte|brut rose|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga arte|brut branco|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga 130|brut rose|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga 130|brut branco|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga 130 blanc de noir|noir|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante casa valduga 130 blanc de blanc|blanc|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|brut rose cornellana|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|brut rose cornellana|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=454
W|espumante brasileiro courmayeur|prosecco|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante brasileiro courmayeur|prosecco|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=456
W|espumante brasileiro courmayeur|prosecco|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=456
W|espumante|branco vertice gouveio extra brut 2015|??|s|chardonnay, pinot noir|??|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|espumante|branco salton series moscatel|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco salton series demisec|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco salton prosecco brut|??|s|glera|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco salton geracoes azir antonio nature chardonnay|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco salton demisec|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco magno brut|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco henkell brut|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco cordero con piel de lobo dulce|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|branco alianca brut champenoise|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante baron herve grande|blanc de blanc|??|s|chardonnay, pinot noir|??|??|NV|14.5|Reserva|medio|aperitivos, frutos do mar, canapes|brut
W|espumante arte|brut valduga|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espumante|espumante|??|s|chardonnay, pinot noir|??|??|NV|13.5|??|leve|aperitivos, frutos do mar, canapes|brut
W|esporao|tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|esporao|tinto 2022|??|r|??|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=472
W|esporao|tinto 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=475
W|esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=475
W|esporao|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=475
W|esporao|branco 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|esporao|branco 2023|??|w|??|??|??|2023|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=479
W|esporao|branco 2018|??|w|??|??|??|2018|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|esporao|branco 1x|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=483
W|esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=483
W|esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=483
W|esporao|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=483
W|esporao|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|esporao quinta dos murcas minas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao private selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao private selection|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=490
W|esporao private selection|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao private selection|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=492
W|esporao private selection|2014 tinto|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao private selection|2012 tinto|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao private selection|2011 tinto|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao pe|tinto 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao pe|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=499
W|esporao pe|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=507
W|esporao pe|2022 branco portugal|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao monte velho|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao monte velho|tinto 1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=517
W|esporao monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=517
W|esporao monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=517
W|esporao monte velho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao monte velho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=521
W|esporao colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=523
W|esporao colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=523
W|esporao colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao bico amarelo verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao assobio|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|esporao assobio|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esporao alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esporao alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=530
W|esporao alandra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=530
W|esporao alandra|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espino|gran cuvee chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espino|gran cuvee carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espino|gran cuvee carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=535
W|espino|gran cuvee cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esperanto primitivo di puglia|puglia|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|esperanto pinot grigio di puglia|igt|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|esperance de trotanoy|aoc pomerol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol vicente gandia el miracle|brut|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|espanhol valviejo viura|branco|??|w|viura|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|espanhol valviejo tempranillo|tinto|??|r|tempranillo|??|??|NV|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol valviejo selecao especial tempranillo|tempranillo|??|r|tempranillo|??|??|NV|14.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol torres coronas tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|tinto seco marques de plata bobal tempranillo utielrequena|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|tinto reserva tempranillo marques de riscal|??|r|tempranillo|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol|tinto loco barber|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|tinto gran feudo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|tinto cero coma sem alcool|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol soldepenas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol soldepenas airen|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol senorio don pedro crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|rose condesa de leganza|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|espanhol|rioja crianza kit leve 3 pague 2 faustino|es|r|??|rioja|??|NV|14.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol pata negra toro roble|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|organico 99 rosas edicao especial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol monterio viura victorianas|branco leve 3 pague 2 kit pronto|??|w|viura|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espanhol monterio tempranillo victorianas|tinto leve 3 pague 2 kit pronto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol icon|edition especial seleccion faustino tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol finca el rejoneo|bodegas parra dorada tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol finca el rejoneo|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol el rejonero|tinto reserva bodegas parra dorada leve 3 pague 2 kit pronto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|espanhol el guardian|rioja rose|es|p|??|rioja|??|NV|12.5|DOCa|medio|saladas, sushi, petiscos|seco
W|espanhol el guardian|rioja branco|es|w|??|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|espanhol condesa leganza|rose leve 3 pague 2 kit pronto|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|espanhol|classico macan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol cencibel las tinadas|tinadas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol canfo tempranillo|tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol|branco sem alcool freixenet|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espanhol|branco cero coma sem alcool|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espanhol atila los haroldos toro|blend red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|espanhol abanico|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|espanhol abanico|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|espanhol 100|organico real compania folklore 2019 caixa com 06 garrafas|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escultor|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escudo rojo|syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|escudo rojo|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|escudo rojo|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|escudo rojo|blend|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|escorihuela pequenas producciones cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela gascon viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|escorihuela gascon syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela gascon malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela gascon malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=584
W|escorihuela gascon cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela familia gascon syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela familia gascon malbec|rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|escorihuela familia gascon malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|escorihuela familia gascon chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|escorihuela familia gascon chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=590
W|escorihuela familia gascon cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eruptio verdelho|verdelho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|errazuriz ovalle collection chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|errazuriz max|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|errazuriz max|carmenere tinto|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|errazuriz max|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|errazuriz don maximiano founders|reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|errazuriz don maximiano founders|reserve|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=598
W|errazuriz collection|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|errazuriz collection cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|errazuriz 1870 carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|errazuriz 1870 cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|errante malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|errante cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|era dos ventos trebbiano on the rock natural laranja|laranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|era dos ventos peverella licoroso|licoroso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|era dos ventos merlot|tinto natural brasileiro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|era dos ventos clarete|clarete|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|epico viii double magnum caixa de|madeira|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|epico ix o melhor|tinto do brasil campanha gaucha guatambu|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|epica sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|epica sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=612
W|epica pinot noir|reserve|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|epica pinot noir|reserve|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=614
W|epica cabernet sauvignon|reserve|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|entreflores verdejo|doc rueda|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|entreamigos torrontes vintage|vintage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|entreamigos|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|entreamigos|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=619
W|entreamigos new vintage bonarda|bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|encostas|do bairro tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|encostas|do bairro rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|encostas|do bairro rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=623
W|encostas|do bairro branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|encostas|do bairro branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=625
W|encosta|do sobral tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|encosta|do sobral selection rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|encosta|do sobral reserva branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|encosta|do sobral chardonnay branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|encosta|do guadiana tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|encosta|do guadiana superior tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|encosta|do guadiana branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|emilio moro finca resalso|resalso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana novas|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|emiliana novas|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|emiliana merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana coyam|coyam|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana coyam|coyam|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=638
W|emiliana adobe syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|emiliana adobe riesling|riesling|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|emiliana adobe|rose|??|p|??|??|??|NV|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|emiliana adobe|riesling branco|??|w|riesling|??|??|NV|10.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|emiliana adobe|riesling|??|w|riesling|??|??|NV|10.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|emiliana adobe|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe|gewurztraminer branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|emiliana adobe|gewurztraminer branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=647
W|emiliana adobe|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=650
W|emiliana adobe|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=652
W|emiliana adobe pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe gewurztraminer|gewurztraminer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|emiliana adobe carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|emiliana adobe cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|embocadero|embocadero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|em lata somm|tinto cabernet franc syrah|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|em lata somm|branco pinot grigio muscat|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|em lata|lata|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|em bag in box marcus james chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|em bag in box aurora varietal cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|elysium taurasi riserva|riserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|eltviller riesling kabinett feinherb|feinherb|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|elio grasso langhe nebbiolo gavarini|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
