1. W|carl|joseph hoch deidesheimer leinhohle tba riesling|??|w|riesling|??|??|1976|12.5|??|leve|peixes, frutos do mar, saladas|seco
450. W|carlino|bonarda delloltrepo pavese doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
451. W|carlino|bonarda six bottle case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|carlisle|sonoma russian river valley zinfandel montafi ranch|us|r|zinfandel|sonoma|??|2012|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
453. W|carlisle|sonoma russian river valley dupratt vineyard zinfandel|us|r|zinfandel|sonoma|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
454. W|carlisle|sonoma russian river valley rossi ranch zinfandel|us|r|zinfandel|sonoma|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
455. W|carlisle|sonoma russian river valley rossi ranch zinfandel|us|r|zinfandel|sonoma|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
456. W|carlisle|sonoma russian river valley rossi ranch zinfandel|us|r|zinfandel|sonoma|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
457. W|carlisle|sonoma russian river valley red wine old hill|us|r|??|sonoma|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|carlisle|carlisle vineyard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|carlisle|carlisle vineyard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=458
460. W|carlisle|carlisle vineyard russian river valley zinfandel|??|r|zinfandel|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
461. W|carlisle|papas block|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|carlisle|papas block|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|carlisle|papas block syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
464. W|carlisle|papera ranch zinfandel|??|r|zinfandel|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
465. W|carlisle|papera zin|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|carlisle|petite sirah palisades vineyard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|carlisle|petite sirah palisades vineyard|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|carlisle|petite sirah palisades vineyard|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|carlisle|pinerolivet ranches zinfandel 2019 californien usa|us|r|zinfandel|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
470. W|carlisle|rosellas vineyard syrah|??|p|syrah|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
471. W|carlisle|sonoma county syrah|us|r|syrah|sonoma|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
472. W|carlisle|sonoma county zinfandel|us|r|zinfandel|sonoma|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
473. X
474. W|carlisle|syrah rosellas vineyard|??|p|syrah|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
475. W|carlisle|syrah rosellas vineyard 2016usa|us|p|syrah|??|??|2016|12|??|leve|carne vermelha, massas, queijos curados|seco
476. W|carlisle|syrah russian river valley papas block|??|r|syrah|??|??|2007|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
477. W|carlisle|vineyard sonoma russian river valley zinfandel|us|r|zinfandel|sonoma|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
478. W|carlisle winery|vineyards saitone vineyard zinfandel russian river valley sonoma ca usa|us|r|zinfandel|sonoma|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
479. W|carlisle winery|vineyards zinfandel pagani ranch sonoma ca usa|us|r|zinfandel|sonoma|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
480. W|carlisle|zinfandel bedrock vineyard|??|r|zinfandel|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
481. W|carlisle|zinfandel carlisle vineyard|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
482. W|carlisle|zinfandel dry creek valley|??|r|zinfandel|??|??|2005|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
483. W|carlisle|zinfandel montafi ranch|??|r|zinfandel|??|??|2009|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|carlisle|zinfandel papera ranch|??|r|zinfandel|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
485. W|carlisle|zinfandel piner olivet ranches|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
486. W|carlisle|zinfandel rrv carlisle vyd|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
487. W|carlisle|zinfandel rrv pinerolivet ranches|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
488. W|carlisle|zinfandel rrv saitone|??|r|zinfandel|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
489. W|carlito|vdf charpindo|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|carlito|charpindo|??|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
491. W|carlito|yavol|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|carlo|alberto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|carlo|alberto extra dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|carlo|alberto red rosso 1 17 vermouth di torino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|carlo|alberto red vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|carlo|alberto red vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=495
497. W|carlo|alberto red vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=495
498. W|carlo|alberto riserva bianco vermouth|??|w|??|??|??|NV|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
499. W|carlo|alberto riserva extra dry vermouth|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
500. W|carlo|alberto riserva rosso|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
501. W|carlo|alberto riserva rosso vermouth|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
502. W|carlo|alberto riserva vermouth bianco|??|w|??|??|??|NV|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
503. W|carlo|alberto riserva vermouth extra dry|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
504. W|carlo|alberto riserva vermouth rosso|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
505. W|carlo|alberto riserva vermouth rosso|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=504
506. W|carlo|alberto rosso vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|carlo|alberto vermouth bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
508. W|carlo|alberto vermouth di torino superiore riserva red|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
509. W|carlo|alberto vermouth di torino vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|carlo|alberto vermouth rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|carlo|alberto white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
512. W|carlo|alberto white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=511
513. W|carlo|alberto white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=511
514. W|carlo|alfieri barbera dasti docg superiore|??|r|barbera|??|??|NV|13.5|docg|encorpado|carne vermelha, massas, queijos curados|seco
515. S
516. W|carlo|boscaini valpolicella classico ca bussin|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
517. W|carlo|boscaini valpolicella classico ca bussin|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=516
518. W|carlo|boscaini valpolicella classico ca bussin|it|r|??|??|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco|=516
519. W|carlo|centrella selvetelle greco di tufo|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|carlo|damiani pinot grigio|??|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
521. W|carlo|damiani pinot grigio rose|??|p|pinot grigio|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
522. W|carlo|giacosa asili barbaresco|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|carlo|giacosa barbaresco|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|carlo|giacosa barbaresco|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|carlo|giacosa barbaresco|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|carlo|giacosa barbaresco asili|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|carlo|giacosa barbaresco asili docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
528. W|carlo|giacosa barbaresco asili docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=527
529. W|carlo|giacosa barbaresco docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
530. W|carlo|giacosa barbaresco docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=529
531. W|carlo|giacosa barbaresco docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
532. W|carlo|giacosa barbaresco docg|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
533. W|carlo|giacosa barbaresco docg|it|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=532
534. W|carlo|giacosa barbaresco docg 2022 sclerose vin|it|p|??|??|??|2022|12|docg|leve|carne vermelha, massas, queijos curados|seco
535. W|carlo|giacosa barbaresco docg 2022 sclerose vin|it|p|??|??|??|2022|12|docg|leve|carne vermelha, massas, queijos curados|seco|=534
536. W|carlo|giacosa barbaresco docg asili|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
537. W|carlo|giacosa barbaresco docg montefico|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
538. W|carlo|giacosa barbaresco docg ovello|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
539. W|carlo|giacosa barbaresco luca|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|carlo|giacosa barbaresco montefico|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|carlo|giacosa barbaresco montefico|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|carlo|giacosa barbaresco montefico 2019 magnum astuccio|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|carlo|giacosa barbaresco montefico docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
544. W|carlo|giacosa barbaresco montefico docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
545. W|carlo|giacosa barbaresco montefico docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=544
546. W|carlo|giacosa barbaresco montefico docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
547. W|carlo|giacosa barbaresco montefico docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=546
548. W|carlo|giacosa barbaresco ovello docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
549. W|carlo|giacosa barbaresco ovello docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=548
550. W|carlo|giacosa barbaresco riservaluca barbaresco riserva docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
551. W|carlo|giacosa barbaresconarin barbaresco docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
552. W|carlo|giacosa barbera dalba lina|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
553. W|carlo|giacosa barberalina barbera dalba doc|??|r|barbera|??|??|2010|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
554. W|carlo|giacosa cuchet dolcetto dalba doc|??|r|dolcetto|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
555. W|carlo|giacosa dolcetto dalba|??|r|dolcetto|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|carlo|giacosa dolcettocuchet dolcetto dalba doc|??|r|dolcetto|??|??|2011|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
557. X
558. W|carlo|giacosa langhe nebbiolo maria grazia|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
559. W|carlo|giacosa langhe pinot nero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|carlo|giacosa lina barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
561. W|carlo|giacosa luca barbaresco riserva docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
562. W|carlo|giacosa montefico barbaresco docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
563. W|carlo|giacosa montefico barbaresco docg|it|r|??|??|??|2009|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
564. W|carlo|giacosa mucin barbera dalba doc|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
565. W|carlo|giacosa narin barbaresco docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
566. W|carlo|giacosa nebbiolo maria grazia nebbiolo langhe doc|??|r|nebbiolo|??|??|2013|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
567. W|carlo|giacosa pinot nero doc|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
568. W|carlo|giacosa pinot nero doc|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=567
569. W|carlo|giacosa sara roero arneis docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
570. X
571. X
572. W|carlo|hauner salina bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
573. W|carlo|lenotti pinot grigio venezie igt|??|w|pinot grigio|??|??|2024|12.5|igt|leve|peixes, frutos do mar, saladas|seco
574. W|carlo|magno nizza docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
575. S
576. S
577. W|carlo|meroni valpolicella ripasso classico superiore doc|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
578. W|carlo|negri sfursat|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|carlo|pellegrino albaria|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|carlo|pellegrino catarratto grecanico biosfera|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|carlo|pellegrino catarratto kelbi|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|carlo|pellegrino chardonnay tareni|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
583. W|carlo|pellegrino diantha bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
584. W|carlo|pellegrino gibele zibibbo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|carlo|pellegrino grillo il salinaro|??|r|grillo|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|carlo|pellegrino il salinaro grillo doc|??|r|grillo|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
587. W|carlo|pellegrino il salinaro grillo doc|??|r|grillo|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=586
588. W|carlo|pellegrino inzolia tareni|??|r|inzolia|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|carlo|pellegrino kelbi catarratto sicilie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|carlo|pellegrino marsala fine ip|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
591. W|carlo|pellegrino marsala fine semi secco dry|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
592. W|carlo|pellegrino marsala superiore ambra secco horatio|??|f|??|??|??|2011|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
593. W|carlo|pellegrino marsala superiore dolce garibaldi|??|f|??|??|??|NV|20|superiore|encorpado|sobremesas, queijos azuis, foie gras|doce
594. W|carlo|pellegrino marsala superiore riserva semisecco old john ambra|??|f|??|??|??|1998|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
595. W|carlo|pellegrino materico nerello masclese igp|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
596. W|carlo|pellegrino moscato di pantelleria giardino pantesco|??|w|moscato|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
597. W|carlo|pellegrino nero davola gazzerotta|??|r|nero davola|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|carlo|pellegrino nero davola gazzerotta|??|r|nero davola|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. X
600. X
601. W|carlo|pellegrino nero davola materico|??|r|nero davola|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|carlo|pellegrino nero davola materico|??|r|nero davola|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|carlo|pellegrino nero davola sicilia finimondo|it|r|nero davola|sicilia|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
604. W|carlo|pellegrino nero davola tareni|??|r|nero davola|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|carlo|pellegrino old john marsala suprisambra semisecco|??|f|??|??|??|1998|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
606. W|carlo|pellegrino passimora nero davola sicilia doc|it|r|nero davola|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
607. W|carlo|pellegrino passito di pantelleria dop|??|d|??|??|??|NV|10.5|dop|encorpado|sobremesas, frutas secas, queijos|doce
608. W|carlo|pellegrino rinazzo syrah sicilie|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
609. W|carlo|pellegrino senaria grillo superiore|??|r|grillo|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
610. W|carlo|pellegrino tanaurpi gazzerotta malbec igt|??|r|malbec|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
611. W|carlo|pellegrino tareni inzolia terre sic igt|??|r|inzolia|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
612. W|carlo|pellegrino tareni nero davola|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|carlo|pellegrino tareni syrah igp|??|r|syrah|??|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
614. W|carlo|pellegrino traimari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. X
616. W|carlo|pellegrino tripudium nero davola|??|r|nero davola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|carlo|pellegrino ulysse etna rosso kopie|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|carlo|pellegrino zebo moscato igp sicilia|it|w|moscato|sicilia|??|NV|12.5|igp|medio|peixes, frutos do mar, saladas|seco
619. W|carlo|pellegrino zibibbo gibele|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|carlo|pinotage|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|carlo|pinotage|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=620
622. W|carlo|pinotage|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=620
623. W|carlo|prosecco spum doc millesimato brut v8|it|s|??|??|??|2023|12|doc|leve|frutos do mar, aperitivos, sushi|brut
624. W|carlo|re montefalco sagrantino docg 2018 le thadee|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
625. W|carlo|re montefalco sagrantino docg 2018 le thadee|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=624
626. W|carlo|revello barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|carlo|revello barolo la morra boiolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|carlo|revello barolo riserva rocche dell annunziata|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
629. W|carlo|revello figli barbera dalba superiore|??|r|barbera|??|??|2023|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
630. W|carlo|revello figli barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|carlo|revello figli barolo 2019 italy|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|carlo|revello figli barolo|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|carlo|revello figli barolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|carlo|revello figli barolo boiolo|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|carlo|revello figli barolo giachini|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|carlo|revello figli barolo giachini|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|carlo|revello figli barolo giachini|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|carlo|revello figli barolo riserva rocche dellannunziata|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
639. W|carlo|revello figli doc langhe nebbiolo|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
640. W|carlo|revello figli langhe nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
641. W|carlo|revello figli langhe nebbiolo|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
642. W|carlo|rinaldi barbaresco riserva|it|r|??|??|??|1964|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
643. W|carlo|rossi biae powytrawne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|carlo|rossi blackberry 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|carlo|rossi blanco 4000 mlt 95|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
646. W|carlo|rossi blueberry sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|carlo|rossi blueberry sangria|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=646
648. W|carlo|rossi blush nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|carlo|rossi botanicals jasmine orange|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|carlo|rossi botanicals jasmine orange 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|carlo|rossi burgandy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
654. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
655. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
656. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
657. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
658. W|carlo|rossi burgundy|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=652
659. W|carlo|rossi burgundy 15 liter|fr|r|??|burgundy|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|carlo|rossi burgundy merlot|fr|r|merlot|burgundy|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
661. W|carlo|rossi cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
662. W|carlo|rossi cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=661
663. W|carlo|rossi california red|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|carlo|rossi california red|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=663
665. W|carlo|rossi california red|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=663
666. W|carlo|rossi california red|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=663
667. W|carlo|rossi california red 115|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|carlo|rossi california red 34200|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|carlo|rossi california red bottle|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|carlo|rossi california red bottle 115|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. X
672. W|carlo|rossi california red moscato|us|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
