1. W|cape|heights cinsault rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
421. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
422. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
423. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco|=422
424. W|cape|point vineyards sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
425. W|cape|point vineyards sauvignon blanc noordhoek|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
426. W|cape|point vineyards sauvignon blanc reserve|??|w|sauvignon blanc|??|??|2013|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
427. W|cape|point vineyards sauvignon blanc reserve|??|w|sauvignon blanc|??|??|2024|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
428. W|cape|point vineyards sauvignon blanc reserve x6|??|w|sauvignon blanc|??|??|NV|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
429. W|cape|point vineyards sauvignon blanc semillon isliedh|??|w|sauvignon blanc|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
430. W|cape|point vineyards sauvignon blanc stonehaven|??|w|sauvignon blanc|??|??|2015|12.5|??|leve|peixes, frutos do mar, saladas|seco
431. W|cape|portrait cabernet sauvignon shiraz|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
432. W|cape|portrait cabernet sauvignon shiraz bib|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
433. W|cape|portrait chenin sauvignon blanc bib|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
434. W|cape|portuguese red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|cape|portuguese verdelho|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|cape|private reserve red|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
437. W|cape|red|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cape|red|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cape|red|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cape|red|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|cape|red|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=440
442. W|cape|red blend collection|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|cape|reinga cliffs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|cape|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
445. W|cape|reserve chenin blanc|??|w|??|??|??|2025|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
446. W|cape|reserve merlot|??|r|merlot|??|??|2024|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
447. W|cape|reserve pinotage|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
448. W|cape|reserve sauvignon blanc|??|w|sauvignon blanc|??|??|2025|12.5|reserve|leve|peixes, frutos do mar, saladas|seco
449. W|cape|reserve shiraz|??|r|shiraz|??|??|2019|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
450. W|cape|reserve shiraz|??|r|shiraz|??|??|2024|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
451. W|cape|riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
452. W|cape|rock amnesty|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|cape|rock amnesty|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|cape|rock asylum|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|cape|rock capa roca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|cape|rock grenache|??|r|grenache|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
457. W|cape|rock smv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|cape|rock syrah|??|r|syrah|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
459. W|cape|rock vermentino|??|w|vermentino|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
460. W|cape|rock vgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|cape|rock white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
462. W|cape|rock wines amnesty red|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|cape|rock wines red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|cape|rock wines white blend|??|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
465. W|cape|root cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
466. W|cape|root chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
467. W|cape|root chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
468. W|cape|root chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=467
469. W|cape|root cinsaut rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
470. W|cape|root cinsaut rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco|=469
471. W|cape|root muscat dalexandrie|??|w|muscat|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
472. W|cape|root pinotage western cape|za|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|cape|rose|??|p|??|??|??|2025|12|??|leve|carne vermelha, massas, queijos curados|seco
474. W|cape|route cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
475. W|cape|route pinot noir|??|r|pinot noir|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|cape|ruby|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|cape|ruby|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=476
478. W|cape|ruby|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|cape|ruby de krans calitzdorp western cape sydafrika|za|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|cape|ruby port|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|cape|saint blaize distillery classic|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
482. W|cape|saint blaize distillery floristic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|cape|saint blaize distillery oceanic|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|cape|sands shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
485. W|cape|sauvignon blanc experience case mixed case 6 x|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
486. W|cape|selection mixed case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|cape|sleeve crochet midi dress|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|cape|south coast chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
489. W|cape|south coast wines mixed case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|cape|spring chenin chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
491. W|cape|spring merlot cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
492. W|cape|spring pinotage 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|cape|spring pinotage rouge|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|cape|spring sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
495. W|cape|spring sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
496. W|cape|spritz peach rose spritzer can 6 pack|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
497. W|cape|sweet white wine|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
498. W|cape|tan limes 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|cape|tawny colheita single harvest|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|cape|tawny nv de krans calitzdorp western cape sydafrika|za|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|cape|tawny port nv|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
502. W|cape|tawny u argang boplaas calitzdorp sydafrika|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cape|tawny vintners reserve bin 1880 port nv|??|f|??|??|??|NV|20|reserve|encorpado|sobremesas, queijos azuis, foie gras|doce
504. W|cape|to cape|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|cape|to cape shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
506. W|cape|to cape shiraz|??|r|shiraz|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=505
507. W|cape|to rio cane|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|cape|to rio cane spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cape|to rio cane spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=508
510. W|cape|to rio cane spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=508
511. W|cape|to rio cane spirit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=508
512. W|cape|to rio pure cane spirit bottle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|cape|town 1 or 2night stay for 2 at aqua terra boutique guesthouse|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|cape|town 12 apostles helicopter flight champagne|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
515. W|cape|town blind wine tasting 20 march|??|r|??|??|??|2026|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|cape|town cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
517. W|cape|town cabernetmerlot|??|r|merlot|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
518. W|cape|town chapmans peek helicopter flight champagne|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
519. W|cape|town classic dry|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
520. W|cape|town dominates star wine list of the year awards in africa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|cape|town pink lady|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|cape|town rooibos red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|cape|town sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
524. W|cape|town sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
525. W|cape|town table mountain 360 helicopter flight champagne|fr|s|??|champagne|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
526. W|cape|town tankini and shaper pant bottom blue|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|cape|town wine co cab sauv merlot|??|r|merlot|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
528. W|cape|town wine co cabernet sauvignonmerlotcabernet franc|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
529. W|cape|town wine co methode cap classique pinot noir rose|??|p|pinot noir|??|??|2018|12|??|leve|carne vermelha, massas, queijos curados|seco
530. W|cape|town wine co rose|??|p|??|??|??|2020|12|??|leve|carne vermelha, massas, queijos curados|seco
531. W|cape|town wine co rose|??|p|??|??|??|2022|12|??|leve|carne vermelha, massas, queijos curados|seco
532. W|cape|town wine co sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
533. W|cape|town wine co sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=532
534. W|cape|town wine co sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
535. W|cape|town wine co sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
536. W|cape|town wine co shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
537. W|cape|variety pack 6pk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|cape|velvet cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|cape|velvet cream liq original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|cape|velvet cream liq strawberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|cape|velvet cream original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|cape|velvet original|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|cape|velvet original cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. S
545. W|cape|velvet strawberry cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. S
547. W|cape|vintage|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|cape|vintage 2013 de krans calitzdorp western cape sydafrika|za|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|cape|vintage 2016 de krans calitzdorp western cape sydafrika|za|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|cape|vintage|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|cape|vintage port 2011 boplaas calitzdorp sydafrika|??|f|??|??|??|2011|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
552. W|cape|vintage port|??|f|??|??|??|2022|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
553. W|cape|vintage port|??|f|??|??|??|2024|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
554. W|cape|vintage reserve 2006 boplaas calitzdorp sydafrika|??|r|??|??|??|2006|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
555. W|cape|vintage reserve 2007 boplaas calitzdorp sydafrika|??|r|??|??|??|2007|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
556. W|cape|vintage reserve 2007 de krans calitzdorp western cape sydafrika|za|r|??|??|??|2007|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
557. W|cape|vintage reserve 2015 de krans calitzdorp western cape sydafrika|za|r|??|??|??|2015|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
558. W|cape|vintage reserve|??|r|??|??|??|2021|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
559. W|cape|vintage reserve port|??|f|??|??|??|2008|20|reserve|encorpado|sobremesas, queijos azuis, foie gras|doce
560. W|cape|vue cabernet sauvignon|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
561. W|cape|vue rose 2024 per case|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
562. W|cape|vue sauvignon blanc 2025 per case|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
563. W|cape|vue shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
564. W|cape|vue viognier|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
565. W|cape|west sandveld|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cape|west stoneflower|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|cape|west stoneflower|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|cape|west the blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|cape|west the blend|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|cape|west the blend|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|cape|white|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
572. W|cape|white 2020 bp|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
573. W|cape|white|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
574. W|cape|white|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
575. W|cape|white|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
576. W|cape|white|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
577. W|cape|wild chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
578. W|cape|wild chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
579. W|cape|wild chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
580. W|cape|wild chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=579
581. W|cape|wild chardonnay 2024 14 ib lcb sc|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
582. W|cape|wild chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
583. W|cape|wild chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
584. W|cape|wild chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=583
585. W|cape|wild chenin blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=583
586. W|cape|wild chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
587. W|cape|wild chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=586
588. W|cape|wild chenin blanc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=586
589. W|cape|wild chenin blanc 2025 125 ib lcb sc|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
590. W|cape|wild chenin blanc 2025 case|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
591. W|cape|wild pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|cape|wild pinotage|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=591
593. W|cape|wild pinotage|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|cape|wild pinotage 2024 135 ib lcb sc|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|cape|wild sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
596. W|cape|wild sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
597. W|cape|wild sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco|=596
598. W|cape|wild sauvignon blanc 2025 125 ib lcb sc|??|w|sauvignon blanc|??|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
599. W|cape|wild shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
600. W|cape|wild shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=599
601. W|cape|wild shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
602. W|cape|wild shiraz|??|r|shiraz|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=601
603. W|cape|wild shiraz|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
604. W|cape|wild shiraz 2024 135 ib lcb sc|??|r|shiraz|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
605. W|cape|wine company frank pinotage 2022 paarl sydafrika|za|r|??|paarl|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|cape|wine crafters bedrock black syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
607. W|cape|wine crafters blueberry cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
608. W|cape|wine crafters cherrychoc merlot|??|r|merlot|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
609. X
610. W|cape|wine crafters lemon zest unwooded chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
611. W|cape|wine crafters she rose|??|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
612. W|cape|wine crafters turkish delight rose|??|p|??|??|??|2025|12|??|leve|carne vermelha, massas, queijos curados|seco
613. W|cape|wine crafters vanilla chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
614. W|cape|winemaker guild graham beck shiraz reserve|??|r|shiraz|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
615. W|cape|winemakers guild|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|cape|winemakers guild aa badenhorst family wines kalmoesfontein semillon noble late harvest volume 2|??|d|semillon|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
617. W|cape|winemakers guild ataraxia chardonnay under the gavel|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
618. W|cape|winemakers guild beyerskloof pinotage traildust|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|cape|winemakers guild boplaas cape vintage auction reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
620. W|cape|winemakers guild boplaas cape vintage cwg reserve|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
621. W|cape|winemakers guild bruce jack the drift farm die kans vattesingle vineyard barbera|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
622. W|cape|winemakers guild cederberg teen die hoogwinemakerdavid nieuwoudt shiraz cederberg|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
623. W|cape|winemakers guild david finlayson edgebaston cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
624. W|cape|winemakers guild david nadia veiling chenin blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
625. W|cape|winemakers guild david nadia veiling grenache noir|??|r|grenache|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
626. W|cape|winemakers guild de grendel op die berg pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|cape|winemakers guild de grendel sauvignon blanc wooded|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
628. W|cape|winemakers guild de grendel wooded sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
629. W|cape|winemakers guild edgebaston cabernet sauvignon reserve|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
630. W|cape|winemakers guild ernie els|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|cape|winemakers guild ghost corner semillon|??|r|semillon|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|cape|winemakers guild gordon newton johnson newton johnson family vineyards sandford chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
633. W|cape|winemakers guild gordon newton johnson newton johnson family vineyards windandsea pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|cape|winemakers guild gottfried mocke gottfried mocke wine projects chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
635. W|cape|winemakers guild gottfried mocke wine projects pinot noir|??|r|pinot noir|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|cape|winemakers guild groot constantia auction shiraz|za|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
637. W|cape|winemakers guild groot constantia gouverneurs reserve|za|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
638. W|cape|winemakers guild hartenberg auction shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
639. W|cape|winemakers guild hartenberg estate shiraz|??|r|shiraz|??|??|2002|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
640. W|cape|winemakers guild jordan sophia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|cape|winemakers guild kaapzicht auction reserve cape stellenbosch|za|r|??|stellenbosch|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
642. W|cape|winemakers guild kaapzicht estate auction selection 1947 chenin blanc|??|w|??|??|??|1947|12.5|??|medio|peixes, frutos do mar, saladas|seco
643. W|cape|winemakers guild kanonkop cwg paul sauer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
