W|vino|gran 120 red blend 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon tannat reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=463
W|vino|garzon tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|garzon tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=465
W|vino|garzon souvignon blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard tannat 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=470
W|vino|garzon single vineyard tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=470
W|vino|garzon single vineyard sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon single vineyard sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=473
W|vino|garzon single vineyard pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=475
W|vino|garzon single vineyard petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=477
W|vino|garzon single vineyard merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon single vineyard merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=479
W|vino|garzon single vineyard albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon single vineyard albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=481
W|vino|garzon single vineyard albarino|??|w|albarino|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=481
W|vino|garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=484
W|vino|garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=484
W|vino|garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=484
W|vino|garzon reserva tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=484
W|vino|garzon reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|garzon reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=489
W|vino|garzon reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=489
W|vino|garzon reserva pinot noir rose|??|p|pinot noir|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??
W|vino|garzon reserva pinot noir rose|??|p|pinot noir|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??|=492
W|vino|garzon reserva pinot noir rose|??|p|pinot noir|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??|=492
W|vino|garzon reserva pinot noir rose|??|p|pinot noir|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|??|=492
W|vino|garzon reserva marselan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|garzon reserva marselan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=496
W|vino|garzon reserva marselan|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=496
W|vino|garzon reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|garzon reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=499
W|vino|garzon reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=499
W|vino|garzon reserva cabernet franc|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=499
W|vino|garzon reserva albarino|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|garzon reserva albarino|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=503
W|vino|garzon reserva albarino|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=503
W|vino|garzon reserva albarino|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??|=503
W|vino|garzon pinot rose de corte|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|garzon pinot grigio estate|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon pinot grigio estate|??|w|pinot grigio|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=508
W|vino|garzon estate viognier de corte|??|w|viognier|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon estate tannat de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon estate tannat dc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon estate sauvignon blanc de corte|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garzon estate s blanc dc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon estate pinot rose de corte|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|garzon estate pinot rose dc|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|garzon estate cabernet de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon estate cabernet dc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon cabernet franc reserva|??|r|cabernet franc|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|garzon cabernet de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garzon cabernet de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=520
W|vino|garzon cabernet de corte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=520
W|vino|garzon albarino reserva|??|w|albarino|??|??|NV|12|reserva|leve|peixes; saladas; massas leves|??
W|vino|garofoli supera doc cl 75|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|garofoli serra del conte doc cl 75|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|garnatxa rose kripta|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|garmon tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garmon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gargantua el jardin de los caprichos n 11 karim mussi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garganta del capitan godello blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garganta del capitan alb blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garcia carrtinto bagbox x 6 cp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garcia carrblanco bagbox x6 cp|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garces silva sauvignon blanc vino de solera do leyda|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|garces silva amayna sauvignon blanc 2025 dosan antonio x 3 botellas|??|w|sauvignon blanc|??|??|2025|12|??|leve|peixes; saladas; massas leves|??
W|vino|garboso oltrepo pavese barbea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garage reelegido vineyard cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garage pirque vineyard cabernet franc 750cc|cl|r|cabernet franc|maipo valley|pirque|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garage field blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|garage cru truquilemu carinena 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gandolini las 3 marias icono cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gancia prosecco rose 075|??|p|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|gamay nuovo|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|galletas y girasoles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|galiciano noite 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|galavera fiara 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gala magica blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja sperss barolo dop cl 75 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja sperss 2008|??|r|??|??|??|2008|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja sito moresco dop cl 75 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja rossj bass dop cl 75 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja rossj bass dop cl 75 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja darmagi dop cl 75 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja dagromis barolo dop cl 75 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja dagromis barolo dop cl 75 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja conteisa barolo dop cl 75 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaja barbaresco dop cl 75 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaia rey langhe doc bianco gaja|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|gago|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|gaba do xil o barreiro blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|g7 carmenere x 3 unidades|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|g7 cabernet sauvignon x 3 unidades|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|g punto costa toscana rosso igp 2021 duemani|it|r|??|??|??|2021|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vino|fuy gran reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fuy el peor de todos blend 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuy carmenere carignan mi proximo movimiento 750cc|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|futa cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fusion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|furia di calafuria salento igt rosato tormaresca|??|p|??|??|??|NV|11.5|igt|medio|aperitivos; frutos do mar|??
W|vino|fundo del parral rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fundo del parral borgona|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fundo del parral blanco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|full flap|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuligni brunello di montalcino docg cl 75 2018|it|r|??|toscana|montalcino|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|fugue de nenin pomerol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuga ensamblaje tinto 2023 750cc|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuerza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina reserva especial 1995|??|r|??|??|??|1995|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina reserva 2008|??|r|??|??|??|2008|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina reserva 1998|??|r|??|??|??|1998|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina granate tempranillo 2009|??|r|tempranillo|??|??|2009|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina crianza 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina crianza 1996|??|r|??|??|??|1996|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina 3 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuentespina 3 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=585
W|vino|fuenmayor gran reserva 1959|??|r|??|??|??|1959|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|fuenmayor 1954|??|r|??|??|??|1954|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuenmayor 1954|??|r|??|??|??|1954|13.5|??|medio|carnes vermelhas; queijos curados|??|=588
W|vino|fuego fatuo roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fuego fatuo crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fruto noble moscatel blanco|??|r|moscatel|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fruto blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frutilla damajuana 10 lts|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|fruscio rosso frizzante|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fruscio rosato frizzante|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fruscio bianco frizzante|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|fronteras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera sweet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|frontera spritzer rose roses|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frontera spritzer rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frontera spritzer rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=601
W|vino|frontera seauvignon blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera sauvignon blanco|??|r|sauvignon blanc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera sauvignon blanco|??|r|sauvignon blanc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=604
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12|??|leve|peixes; saladas; massas leves|??|=606
W|vino|frontera rosse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frontera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=614
W|vino|frontera rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=614
W|vino|frontera merlot botella|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|frontera malbec botella|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=628
W|vino|frontera frutal tinto de verano manzana naranja 750mlml|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera chardonnay x|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|frontera chardonnay|??|w|chardonnay|??|??|NV|12|??|leve|peixes; saladas; massas leves|??
W|vino|frontera chardonay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera carmenere x|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera carmenere botella|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=641
W|vino|frontera cabernet suvignon botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera cabernet seauvignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera cabernet sauvignon x|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=651
W|vino|frontera cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frontera cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=659
W|vino|frontera cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=659
W|vino|frontera bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|frizzantino espumante rosado x|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante u villa do vinos de madrid caja de 6 unidades|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante treco cantina di pitigliano|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante sullerba 1701 franciacorta nv|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante sui lieviti su alto lantica quercia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante sui lieviti su alto lantica quercia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|frizzante sui lieviti su alto lantica quercia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|frizzante sui lieviti su alto lantica quercia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|frizzante sui lieviti su alto lantica quercia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|frizzante sui lieviti bio amets|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante sui lieviti barichel|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante sui lieviti|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante senza solfiti|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante secco duca della rocca|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante secco canarein|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante rosso dolce lambrusco cavicchioli italienischer rotwein|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|frizzante rosso dolce lambrusco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|frizzante rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=680
W|vino|frizzante rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=680
W|vino|frizzante rosato|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=680
W|vino|frizzante rosado legado bodega valdi|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante petnat innominato fratelli gatto cavalier|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante petnat innominato fratelli gatto cavalier|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=685
W|vino|frizzante petnat innominato fratelli gatto cavalier|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=685
W|vino|frizzante maria del huerto blanco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante legatura spago|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante il fondo prosecco doc bio|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|frizzante espumoso tinto tipo lambrusco|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante di verdicchio cantina boccafosca|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante di chardonnay cantina valmusone|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante da tavola 450 m slm|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante col fondo agricolo in un sol bianco 2022 siro merotto|??|s|??|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|frizzante col fondo agricolo in un sol bianco 2022 siro merotto|??|s|??|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??|=695
W|vino|frizzante col fondo agricolo in un sol bianco 2022 siro merotto|??|s|??|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??|=695
W|vino|frizzante col fondo agricolo in un sol bianco 2022 siro merotto|??|s|??|??|??|2022|11.5|??|medio|aperitivos; frutos do mar|??|=695
