W|valdespino|la especial miraflores 2016|es|f|palomino|andalucia|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemoreda|blanco viura 2019|es|w|viura|rioja|??|2019|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdemoreda|blanco viura|es|w|viura|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdemoreda|blanco viura|es|w|viura|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco|=435
W|valdemoreda|blanco viura|es|w|viura|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco|=435
W|valdemoreda|blanco|es|w|??|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdemoreda|black november tilbud|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonxes|albarino 2022|??|w|albarino|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemonte|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemonte|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonte|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valdemonte|rioja crianza|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonte|rioja crianza|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco|=444
W|valdemonte|orange|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonte|dark|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonte|brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|valdemonte|blanco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemonje|verdejo negro|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemonje|carrasquin|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonje|albarin negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|los tres dones do ribera del duero 2022|es|r|??|ribera del duero|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|los tres dones do ribera del duero 2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|les tres dones|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|entre palabras do ribera del duero 2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|entre palabras|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|el primer beso do ribera del duero 2023|es|r|??|ribera del duero|??|2023|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|el primer beso|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|el primer beso|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=459
W|valdemonjas|el patio de valdemonjas 2021|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemonjas|el gallinero rosee de valdemonja 2024|es|p|??|ribera del duero|??|2024|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdemonjas|abri las alas do ribera del duero 2017|es|r|??|ribera del duero|??|2017|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras tannat merlot bag in box|uy|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras tannat merlot|uy|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras tannat|uy|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras sauvignon blanc|uy|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|videiras rose|uy|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valdemiz|videiras rose|uy|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco|=468
W|valdemiz|videiras riesling|uy|r|??|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|videiras moscato giallo|uy|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras merlot|uy|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|videiras chardonnay sauvignon blanc|uy|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|videiras cabernet sauvignon|uy|w|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|sauvignon blanc|uy|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|rose|uy|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valdemiz|rose|uy|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco|=476
W|valdemiz|reserva val13|uy|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva val 13|uy|r|??|??|??|13|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva touriga nacional 2005|uy|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva tannat|uy|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva tannat|uy|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=481
W|valdemiz|reserva merlot|uy|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva merlot|uy|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=483
W|valdemiz|reserva cabernet sauvignon|uy|w|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|reserva arinarnoa|uy|r|arinarnoa|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|moscatel branco|uy|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|chardonnay|uy|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemiz|brut rose|uy|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|valdemiz|brut branco|uy|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|valdemiz|brut branco|uy|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut|=490
W|valdemiz|arinarnoa reserva|uy|r|arinarnoa|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemiz|arinarnoa|uy|r|arinarnoa|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemilanos|garnacha vinho tinto espanhol 2023|??|r|garnacha|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|rioja conde gran reserva 2017|es|r|??|rioja|??|2017|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|muovipullo|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|las seis alhajas graciano|es|r|graciano|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|la gargantilla garnacha|es|r|garnacha|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|inspiracion las seis alhajas graciano 2019 15 abv|es|r|graciano|rioja|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|inspiracion|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|inspiracion|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=500
W|valdemar|inspiracion|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=500
W|valdemar|fincas valdemacuco roble ribera del duero do 2019|es|r|??|rioja|??|2019|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|walla walla valley syrah 2018|us|r|syrah|washington|??|2018|13.5|AVA|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemar|roussane 2022|us|w|??|washington|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|entre nosotros cabernet sauvignon 2022|us|r|cabernet sauvignon|washington|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemar|entre nosotros cabernet sauvignon|us|r|cabernet sauvignon|washington|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemar|entre nosotros cab sauv 2022|us|r|??|washington|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|columbia valley chardonnay 2022|us|w|chardonnay|washington|??|2022|12.5|AVA|leve|peixes, frutos do mar, saladas|seco
W|valdemar|cabernet sauvignon 2020|us|r|cabernet sauvignon|washington|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemar|blue mountain syrah 2019|us|r|syrah|washington|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdemar|conde valdemar rioja crianza 2020|es|r|??|rioja|??|2020|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|chardonnay dubrul yakim|es|w|chardonnay|rioja|??|NV|12.5|AVA|leve|peixes, frutos do mar, saladas|seco
W|valdemar|chardonnay 2019|es|w|chardonnay|rioja|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdemar|balcon de pilatos maturana 2019|es|r|??|rioja|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|balcon de pilatos maturana 2019|es|r|??|rioja|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=515
W|valdemar|balcon de pilatos maturana 135 abv|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdemar|balcon de pilatos maturana|es|r|??|rioja|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelosfrailes|rose 2022|es|p|??|cigales|??|2022|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdelosfrailes|new rose|es|p|??|cigales|??|NV|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdelosfrailes|crianza cigales|es|r|??|cigales|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelomar|su tiempo y su obra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelomar|en imagenes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelobos|imperium syrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdellecorti|toscana lo straniero 2021|it|r|??|toscana|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdellecorti|onydanse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdellecorti|onydanse|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=526
W|valdellecorti|extra 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdellecorti|extra 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=528
W|valdeliceda||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelares|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valdelapinta|clasico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
X|=226
X|=226
W|valdelana|familia valdelana rioja reserva 2020|es|r|??|rioja|??|2020|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelana|familia valdelana rioja crianza 2023|es|r|??|rioja|??|2023|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelana|familia valdelana rioja crianza 2022|es|r|??|rioja|??|2022|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelana|agnus de autur rioja malvasia blanco rioja spain|es|w|??|rioja|??|NV|12.5|DOCa|leve|peixes, frutos do mar, saladas|seco
W|valdelamillo|tempranillo reserva rioja 2014|es|r|tempranillo|rioja|??|2014|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdelamillo|reserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelamillo|reserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=542
W|valdelamillo|reserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=542
W|valdelamillo|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelamillo|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelamillo|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=546
W|valdelamillo|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=546
W|valdelalmillo|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelainos|verdejo 2018|??|w|verdejo|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|verdejo cuvee especial 2023|es|w|verdejo|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|sauvignon blanc|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|sauvignon blanc|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=553
W|valdelagunde|sauvignon blanc|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=553
W|valdelagunde|sauvignon blanc|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=553
W|valdelagunde|rueda verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|rueda verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=557
W|valdelagunde|rueda verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=557
W|valdelagunde|cuvee especial verdejo pedro escudero|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=561
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=561
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=561
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=561
W|valdelagunde|cuvee especial verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=561
W|valdelagunde|cuvee especial 2024|es|w|??|rueda|??|2024|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelagunde|cuvee especial|es|w|??|rueda|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
X|=226
W|valdelacierva|rose rioja doca|es|p|??|rioja|??|NV|12.5|DOCa|leve|saladas, sushi, petiscos|seco
W|valdelacierva|rosado|??|p|??|??|??|NV|12.5|??|leve|saladas, sushi, petiscos|seco
W|valdelacierva|reserva rioja doca|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|reserva edicion limitada rioja doca|es|r|??|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|reserva ed limitada 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|reserva 2014 rioja doc bodegas valdelacierva cervene suche 0|es|r|??|rioja|??|2014|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|reserva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|montepedriza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|grano a grano 2018 1 ud madera|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|grano a grano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|garnacha rioja doca|es|r|garnacha|rioja|??|NV|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|crianza rioja tinto 2015|es|r|??|rioja|??|2015|13.5|DOCa|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|crianza 5 renques rioja doc|es|r|??|rioja|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=627
W|valdelacierva|cantogordo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|alfar vendimia seleccionada rioja doc|es|r|??|rioja|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valdelacierva|alfar reserva edicion limitada rioja doc|es|r|??|rioja|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|valdejimena|reserva tempranillo rioja|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdejimena|gran reserva tempranillogarnachagraciano rioja|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdejimena|crianza tempranillogarnachagracano rioja|es|r|tempranillo|rioja|??|NV|13.5|DOCa|encorpado|carnes vermelhas, massas, queijos curados|seco
W|valdejaros|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|valdejaros||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdejaros||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=636
W|valdehermoso|roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|joven ribera del duero|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|joven 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=641
W|valdehermoso|joven|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=641
W|valdehermoso|crianza ribera del duero|es|r|??|ribera del duero|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|crianza bodegas y vinedos valderiz 2021 ribera del duero spain|es|r|??|ribera del duero|??|2021|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|crianza 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|crianza 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=646
W|valdehermoso|crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdehermoso|9 meses|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
S
S|=650
S|=650
S|=650
W|valdegatiles|2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdegatiles||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdegatiles||??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=655
W|valdegaru|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdeflores|8 anos 750 mlt 43|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdefama|de matarredonda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdecuriel|crianza 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|valdecuevas|viognier y verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo magnum|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo magnum|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=662
W|valdecuevas|verdejo fermentado en barrica|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo do rueda 2024|es|w|verdejo|rueda|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo do rueda 2024|es|w|verdejo|rueda|??|2024|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=665
W|valdecuevas|verdejo cuvee 0|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo classico|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo 0|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=670
W|valdecuevas|sauvignon blanc vino blanco do rueda|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc rueda spain 2021|es|w|sauvignon blanc|rueda|??|2021|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc rueda do 2022|es|w|sauvignon blanc|rueda|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc 2023 do rueda|es|w|sauvignon blanc|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc 2023 do rueda|es|w|sauvignon blanc|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=675
W|valdecuevas|sauvignon blanc 2023|es|w|sauvignon blanc|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc 2022 do rueda|es|w|sauvignon blanc|rueda|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc 2022 do rueda|es|w|sauvignon blanc|rueda|??|2022|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=678
W|valdecuevas|sauvignon blanc 0|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|sauvignon blanc|es|w|sauvignon blanc|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|rose 2024 do rueda|es|p|??|rueda|??|2024|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdecuevas|rose 2024 do rueda|es|p|??|rueda|??|2024|12.5|DO|leve|saladas, sushi, petiscos|seco|=682
W|valdecuevas|rose 2020|es|p|??|rueda|??|2020|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdecuevas|rose|es|p|??|rueda|??|NV|12.5|DO|leve|saladas, sushi, petiscos|seco
W|valdecuevas|orange rueda 2022|es|p|??|rueda|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdecuevas|orange rueda 2022|es|p|??|rueda|??|2022|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco|=686
W|valdecuevas|flor innata verdejo rueda spain 2020|es|w|verdejo|rueda|??|2020|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|flor innata verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|fermentacion barrica|es|w|??|rueda|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|valdecuevas|cuvee verdejo do rueda|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|cuvee verdejo do rueda|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=691
W|valdecuevas|cuvee verdejo do rueda|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=691
W|valdecuevas|cuvee verdejo 2023 rueda|es|w|verdejo|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|cuvee verdejo|es|w|verdejo|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|blanco fermentado en barrica|es|w|??|rueda|??|NV|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|barrel fermented verdejo 2023 do rueda|es|w|verdejo|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco
W|valdecuevas|barrel fermented verdejo 2023 do rueda|es|w|verdejo|rueda|??|2023|12.5|DO|leve|peixes, frutos do mar, saladas|seco|=697
