W|vino|espumoso prospritz cinzano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso il fresco prosecco doc villa sandi veneto italia|it|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso ice jaume serra rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso ice jaume serra botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso i heart prosecco rose doc|??|p|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso i heart prosecco doc|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso hypatia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso henkell halbtrocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso henkell halbtrocken|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=464
W|vino|espumoso henkell brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso henkell blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso henkell blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=467
W|vino|espumoso henkell alcohol free|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso henkell alcohol free|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=469
W|vino|espumoso grandial blanc de blancs brut les grand francia|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso grand cru blanc de blancs aoc duval leroy champagne francia|fr|s|??|??|??|NV|11.5|grand cru|medio|aperitivos; frutos do mar|??
W|vino|espumoso gran vascastell dordal rosado semi|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso gran vascastell dordal brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gran vas castell d ordal semi seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gran torello rose botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso gran torello gran reserva botella|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gran torello brut reserva botella|??|s|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gran torello brut nature botella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso gran torello brut 225 botella|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gran passione botter veneto italia|it|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gran diamond imperial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gran concerto lambrusco rosso brut doc emilia romagna italia|it|s|??|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gramona la cuvee|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gramona imperial brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gramona iii lustros brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso gold edition blue nun|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso giulio ferrari trento doc italia|it|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso giacondi tinto botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gh mumm brut cordon rouge|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso gg by ginasommelier blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gerard bertrand cremant de limoux code rouge anassa|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso gaudensius blanc de noir etna docfirriatocaja con 6 botellas de|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso gaudensius blanc de noir|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso frutal peach bubble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fruitiere vinicole arbois cremant de jura montboisie brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso frontera sweet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso frontera brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso frontera bot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso frizzantino rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso frizzantino brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso frizzantino bl|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso frisecco imperial|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet sparkling 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet sin alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet rose extra dry|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso freixenet rose carta nevada cp|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet rose alcohol free|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet rosado alcohol free|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet prosecco doc|??|s|glera|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet procecco doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet procecco doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??|=513
W|vino|espumoso freixenet negro mas 2 vasos dorados|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet mionetto orange label|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet mia moscato pink|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso freixenet mia moscato|??|r|moscato|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso freixenet italian rose mini|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet italian rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet ice semi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet ice semi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=521
W|vino|espumoso freixenet ice semi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=521
W|vino|espumoso freixenet ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=524
W|vino|espumoso freixenet ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=524
W|vino|espumoso freixenet ice cuvee brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet ice cuvee brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=527
W|vino|espumoso freixenet ice cuvee brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=527
W|vino|espumoso freixenet ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet finca sala vive rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet finca sala vive brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet cordon negro gratis brumax splash|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet cordon negro gran seleccion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet cordon negro espana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet cordon negro brut carta nevada cp|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet cordon negro brut 200|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=538
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=538
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=538
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=538
W|vino|espumoso freixenet cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=538
W|vino|espumoso freixenet cordon negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet cordon negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=544
W|vino|espumoso freixenet cordon negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=544
W|vino|espumoso freixenet cord negro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet cava ice rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet cava cordon negro brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso freixenet cava carta nevada|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso freixenet carta nevada semisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet carta nevada semisec|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=551
W|vino|espumoso freixenet carta nevada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet carta nevada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|espumoso freixenet carta nevada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|espumoso freixenet carta nevada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|espumoso freixenet carta nevada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=553
W|vino|espumoso freixenet carta neva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet blanco 00 alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet blanco 00 alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=559
W|vino|espumoso freixenet blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet asti|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=562
W|vino|espumoso freixenet alcohol free 00|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso freixenet 00 free|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fre sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso fre sparkling brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=566
W|vino|espumoso francois et julien pinon vouvray frizzante|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso francis coppola sofia rose brut|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso francis coppola sofia blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso franciacorta rose 2011 docg|??|p|??|??|??|2011|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|espumoso franciacorta rose 2011 docg|??|p|??|??|??|2011|11.5|docg|medio|aperitivos; frutos do mar|??|=571
W|vino|espumoso franciacorta blanc de blancs docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso franciacorta blanc de blancs docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=573
W|vino|espumoso frances saint louis brut 750cc|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso fragolino tosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fragolino gioiosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fragolino gioiosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vino|espumoso fragolino gioiosa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=577
W|vino|espumoso fontanafredda asti dolce docg piemonte italia|it|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|doce
W|vino|espumoso fogoso silver|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso silver|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=581
W|vino|espumoso fogoso pink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso pink|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=583
W|vino|espumoso fogoso gold sin alcohol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=586
W|vino|espumoso fogoso gold|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=586
W|vino|espumoso fogoso blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso fogoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=590
W|vino|espumoso fogoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=590
W|vino|espumoso fogoso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=590
W|vino|espumoso flumen prosecco extra dry|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra dry
W|vino|espumoso flocs cava brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso fleur de champagne brut premier cru aoc duval leroy francia|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso feudi di san gregorio dubl spumante di qualita metodo classico|??|s|??|??|??|NV|11.5|metodo classico|medio|aperitivos; frutos do mar|??
W|vino|espumoso ferrari perle trento doc italia|it|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ferrari maximum brut trento italia|it|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso ferrari maximum brut trento italia|it|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=599
W|vino|espumoso ferrari maximum blanc de blancs trento doc italia|it|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ferrari maximum blanc de blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ferrari maximum blanc de blanc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=602
W|vino|espumoso ferrari f1 miami edicion especial 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso ferrari clasico brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso ferrari brut trento doc classico lunelli italia|it|s|??|??|??|NV|11.5|doc|medio|aperitivos; frutos do mar|brut
W|vino|espumoso ferrari brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso famille hebinger cremant d alsace blanc extra brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso familia oliveda brut rosat|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso familia oliveda brut nature reserve|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso familia oliveda brut jove|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso extra dry biolgico ek|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|extra dry
W|vino|espumoso extra brut muntanya can sumoi|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso extra brut metodo champenoise|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso espuma de piedra rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso espuma de piedra rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=615
W|vino|espumoso espuma de piedra blanc de noirs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso espuma de piedra blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso espuma de piedra blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=618
W|vino|espumoso espuma de piedra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso espuma de mar brut reserve|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso espiritus enologicos 9 lolas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso espanol provetto brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso espanol codorniu clasico rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso espanol codorniu clasico brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso espanol codorniu clasica semiseco 750cc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso espanol anna codorniu rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso espanol anna codorniu blancs de blancs reserva brut|??|s|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|brut
W|vino|espumoso espanol anna codorniu blancs de blancs reserva brut|??|s|??|??|??|NV|11.5|reserva|medio|aperitivos; frutos do mar|brut|=628
W|vino|espumoso emina rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso el cielo lyra brut rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso el cielo hypatia brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso el cielo gg blanc de blancs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso edone cuvee de maria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso edone cuvee de maria|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=634
W|vino|espumoso edmon thery brut chardonnay|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso duval leroy brut reserve blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso duetto pinot chardonnay spumante brut|??|s|chardonnay|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso dubois brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso dubois brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=639
W|vino|espumoso dubois brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=639
W|vino|espumoso dream line silver rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso dream line purple touch|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso dream line glaciar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso dream line fortune|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso donato espumoso rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso donato espumoso blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso domaine de montbourgeau cremant de jura|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso domaine de bellevue cremant de loire rose brut|fr|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso domaine de bellevue cremant de loire blanc brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso dom perignon rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso dom perignon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso dolce amore rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|doce
W|vino|espumoso diamond ice|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso diamond gold pearl|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso diamond blue pearl|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso diamante|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso devils collection sparklin brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso decoy sparkling brut blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso decordi rosso botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso decordi rosato botella|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso decordi bianco botella|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso de cote atempo brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso de chanceny cremant de loire impetus brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso de calidad brut nature coleccion artesano 2 botellas|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso de calidad artesano 3 botellas brut nature|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut nature
W|vino|espumoso danzante prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso danzante prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|espumoso danzante prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=667
W|vino|espumoso da luca sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso da luca sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=670
W|vino|espumoso da luca sparkling rose|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=670
W|vino|espumoso da luca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso da luca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=673
W|vino|espumoso da luca prosecco|??|s|glera|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??|=673
W|vino|espumoso cvne cava brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso cuple rosado|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
W|vino|espumoso cuple blanco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso cuatro soles tinto afrutado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso cuatro soles tinto afrutado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=679
W|vino|espumoso cuatro soles brut afrutado|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso cuatro soles blanco afrutado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso cruzat premier rose ext brut|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso cruzat premier rose ext brut|??|p|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut|=683
W|vino|espumoso cruzat premier extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut
W|vino|espumoso cruzat premier extra brut|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|extra brut|=685
W|vino|espumoso cruzat cuvee nature|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|espumoso cremant de loire brut|fr|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|brut
W|vino|espumoso cremant de bourgogne blend|??|s|??|??|??|NV|11.5|??|medio|aperitivos; frutos do mar|??
