W|pedra cancela touriga nacional|rose 2018|??|p|??|??|??|2018|12.5|??|medio|saladas, sushi, petiscos|seco
W|paisajes de los andes cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pagos de araiz|rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|pago de cirsus vendimia seleccionada navarra|navarra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de cirsus vendimia seleccionada|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de cirsus oak aged navarra|navarra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de cirsus oak aged navarra|navarra|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=448
W|pago de carraovejas|tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de carraovejas|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de carraovejas|tinto 2021 15|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pago de carraovejas|2022 tto 1x|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|padrillos pinot noir|2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|padrillos malbec|2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|padrillos malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|padre pedro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|padre pedro|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|pacto|do diabo tinto 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pacto|do diabo tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pacto|do diabo branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco infantes trincadeira|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco infantes touriga nacional|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco infantes|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paco infantes|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco infantes|branco 2019 1|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|paco infantes|branco 0|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|paco infantes garrafeira|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco infantes chardonnay 0|0|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco infantes antao vaz 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes trincadeira|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes trincadeira|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes touriga nacional|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto trincadeira 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto touriga nacional 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto reserva 2019 magnum|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto reserva 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|rose magnum|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paco dos infantes|rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|paco dos infantes|rose 2021|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|paco dos infantes|tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco dos infantes|tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=482
W|paco dos infantes|branco 2020|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|paco dos infantes chardonnay|branco 2023|??|w|chardonnay|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes chardonnay|branco 2022|??|w|chardonnay|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes chardonnay|2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco reserva 2020|??|w|??|??|??|2020|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco reserva 2019 magnum|??|w|??|??|??|2019|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco oeuf de beaune verdelho|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco garrafeira 2019|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco antao vaz 2020|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco dos infantes|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|paco|do conde tinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco|do conde tinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=495
W|paco|do conde tinto alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco|do conde tinto alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=497
W|paco|do conde reserva touriga nacional syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|paco|do conde reserva touriga nacional syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=499
W|paco|do conde herdade tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|paco|do conde herdade tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=501
W|paco|do conde herdade tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=501
W|paco|do conde herdade rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|paco|do conde herdade rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=504
W|paco|do conde herdade rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=504
W|paco|do conde herdade branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|pack 3 dows senhora da ribeira vintage 199920092019 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pacheco pereda varietal|tinto malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pacheca tawny|port 10 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|pacheca superior|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pacheca|vinhas velhas tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pacheca|douro doc tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pacheca lagar no1|douro tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pacheca grande|touriga francesa tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|pacheca|douro doc branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|pacheca|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|pacheca 30 anos tawny|port|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|pacheca 10 anos tawny|port|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils cottes du rhone|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils chateauneufdupape|2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils chateauneuf du pape|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|p ferraud fils chablis|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|p ferraud fils bourgogne pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils beaujolais|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|p ferraud fils beaujolais|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|oveja black malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outrora|classico tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outrora|classico bairrada doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outrora|classico baga bairrada doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outeiros|rose 2023|??|p|??|??|??|2023|12.5|??|medio|saladas, sushi, petiscos|seco
W|outeiros altos uvas tintas|tintas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outeiros altos ssulf|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outeiros altos colheita|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outeiros altos barrica|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|outeiro|do pinheiro doc adega de borba|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ouro verde vinhao|vinhao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ouro verde|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ouro verde espadeiro|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ouro verde|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ouro|do monte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|otto viognier|viognier|??|w|viognier|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|otto sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|otto sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=544
W|otto|rose pinot noir|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|otto pinot noir|rose|??|p|pinot noir|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|otto pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|otto|brut blancs de blancs|??|s|chardonnay, pinot noir|??|??|NV|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|otro loco mas|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|otro loco mas malbec|2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|otro loco mas ice|2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|otro loco mas cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|otro loco mas|blanco dulce|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|otonal crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|othello napa valley red wine|wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|othello napa valley red wine|wine|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=556
W|ossian verdejo|verdejo|??|w|verdejo|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|oso toscana|toscana|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|osiris|tannat 2011|??|r|tannat|??|??|2011|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|oscar haussmann oh01 riesling|dry 2021|??|w|riesling|??|??|2021|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|oscar haussmann oh01 riesling|demisec|??|w|riesling|??|??|NV|10.5|??|leve|peixes, frutos do mar, saladas|seco
W|oscar haussmann oh01 gewurztraminer semi sweet|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|osborne|porto tawny 20 anos|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|osadia sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|osadia sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=565
W|osadia merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|osadia merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=567
W|osadia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|osadia malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=569
W|osadia chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|osadia chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=571
W|osadia carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|osadia carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=573
W|osadia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|osadia cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=575
W|os felinos|tinto bag in box|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orzada carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orzada carignan|carignan|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orzada cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orzada cabernet franc|franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orvieto|classico doc san marco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orus primitivo di salento|igt appassimento 2019 tinto italia|??|r|primitivo|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|orube|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|orube crianza|tinto|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ortigao|rose baga touriga|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ortigao colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ortigao colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ortigao arinto bical|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|ortas les hauts du village|village|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|oro del toro tempranillo|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|oro del toro tempranillo roble|tinto|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|oro del toro|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|oro dei sani|chianti classico docg|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
W|ornellaia bolgheri superiore|doc 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ornellaia bolgheri superiore|doc 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=595
W|ornellaia bolgheri superiore|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ornellaia bolgheri superiore|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ornellaia|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ornatus|rose seco|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|ornatus moscato|branco seco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
S
S|=602
S|=602
S|=602
S|=602
W|origens tannat casa geraldo mg|mg|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origens|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|origens regional alentejano|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|origens alentenjano|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origens alentejano|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origens alentejano|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|origen assemblage ii|2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origen assemblage ii|2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|origem tto seco merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem tto seco carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem tto meio seco eleg cab sauv|sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem sauvignon blanc casa valduga super oferta|oferta|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem merlot tto 1x|1x|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem merlot casa valduga oferta|oferta|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=622
W|origem merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=622
W|origem elegance meio seco cab sauvignon 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem elegance meio doce cabern sauv|sauv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem elegance cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem elegance cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=627
W|origem chardonnay casa valduga oferta|oferta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem chardonnay|branco seco casa valduga|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem chardonnay bco seco 1x|1x|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem casa valduga merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem casa valduga elegance|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem casa valduga chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|origem casa valduga carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem casa valduga cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem carmenere tto 1x|1x|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=640
W|origem cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem cabernet sauvignon|chile|cl|r|cabernet sauvignon|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem cabernet sauvignon casa valduga oferta|oferta|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=645
W|origem cabernet sauvgnon tto 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|origem|branco seco chardonay|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|orgullo wine|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|vinecol malbec 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|vamos de parranda criolla blend tinto criolla grande criolla chica e cereza mendoza argentina|ar|r|??|mendoza|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|uva branca suave de cezaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|organico|seyve villard seco de cezaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|salvage syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|rose seco de cezaro|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|organico|rose 99 rosas rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|organico|orzada carignan 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|orzada cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|novas gran reserva pinot noir 2021|??|r|pinot noir|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|organico|niagara seco de cezaro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|mediterranico nero davola terre siciliane doc|it|r|??|sicilia|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|masi passo doble 2016|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|masi corbec 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|lalande bousquet merlot argentino|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle royale syrah 2018|??|r|syrah|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle gran reserva carmenere 2019|??|r|carmenere|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle gran reserva cabernet sauvignon 2018|??|r|cabernet sauvignon|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle cuvee los lingues carmenere 2019|??|r|carmenere|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle cuvee los lingues cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|organico|koyle costa cuarzo sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|organico|italiano tinto poggiatico chianti|it|r|??|toscana|chianti|NV|13.5|DOCG|medio|carnes vermelhas, massas, queijos curados|seco
