W|guiborat|prisme|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco fausoni|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco fausoni|it|r|??|barbaresco|barbaresco|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco fausoni case only|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco marcorino case only|it|r|??|barbaresco|barbaresco|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco montestefano|it|r|??|barbaresco|barbaresco|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco montestefano|it|r|??|barbaresco|barbaresco|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbaresco montestefano|it|r|??|barbaresco|barbaresco|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella barbera dalba|??|r|barbera|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella fausoni barbaresco|it|r|??|barbaresco|barbaresco|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella rivella barbaresco fausoni case only|it|r|??|barbaresco|barbaresco|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella rivella barbaresco montestefano case only|it|r|??|barbaresco|barbaresco|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|rivella rivella nebbiolo langhe case only|it|r|nebbiolo|langhe|langhe|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guido|vada mosca bianco vino bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guidoalberto|guidoalberto|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidoalberto|guidoalberto|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidoalberto|igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guidoalberto|sguido|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidoalberto|sguido|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=456
W|guidoalberto|tenuta san guido|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobaldo|tenuta ca sciampagne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobaldo|biologisch|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|segretevigne vino spumante|??|s|??|??|??|2016|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guidobono|roero arneis|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|roero arneis langhe doc|it|r|??|langhe|langhe|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=464
W|guidobono|barbera dalba|??|r|barbera|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=464
W|guidobono|barolo le coste di monforte|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|barolo le coste di monteforte piedmont italy|it|r|??|barolo|barolo|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|guidobono|langhe nebbiolo|it|r|nebbiolo|langhe|langhe|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|guidobono|nebbiolo|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|nebbiolo|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|nebbiolo|??|r|nebbiolo|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|nebbiolo delle langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|nebbiolo langhe|it|r|nebbiolo|langhe|langhe|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|nebbiolo piedmont italy|it|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidobono|roero arneis|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guidolberto|igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guidova|malbec 100 vino tinto|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|guigal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la mouline|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la mouline|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|hermitage|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la landonne|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la mouline|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la turque|??|r|??|??|??|1996|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie chateau dampuis|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|guigal|??|r|??|??|??|1998|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie ampuis|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie chateau dampuis|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|hermitage|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la landonne|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la mouline|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|coterotie la turque|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|st joseph vignes de lhospice|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doraine|fr|r|condrieu|rhone|condrieu|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|brune et blonde syrah coterotie aoc france|fr|r|syrah|??|??|2016|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cotes du rhone blanc|fr|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|rouge cotes du rhone france|fr|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|rhone red cotes du rhone france|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|syrah crozeshermitage aoc france|fr|r|syrah|??|??|2017|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|rhone blanc cotes du rhone france|fr|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|cotes du rhone rose|fr|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guigal|tavel rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guigal|assortment 1x la landonne 1x la mouline 1x la turque|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|brune et blonde coterotie|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cdr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cdr rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guigal|chateau d ampuis coterotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateau dampuis cote rotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateau dampuis cote rotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=514
W|guigal|chateau dampuis cote rotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=514
W|guigal|chateau dampuis cote rotie|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateau dampuis coterotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateau de nalys chateauneufdupape blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|chateau de nalys grand vin chateauneufdupape blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|chateau de nalys grand vin chateauneufdupape blanc|??|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco|=520
W|guigal|chateau de nalys grand vin chateauneufdupape rouge|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateau de nalys grand vin chateauneufdupape rouge|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=522
W|guigal|chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=524
W|guigal|chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=524
W|guigal|chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=524
W|guigal|chateauneuf du pape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=524
W|guigal|chateauneuf du pape|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=530
W|guigal|chateauneuf du pape rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneuf du pape saintes pierres de nalys|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape cuvee|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|chateauneufdupape rouge|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=542
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=558
W|guigal|condrieu|fr|r|condrieu|rhone|condrieu|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=558
W|guigal|condrieu blanc|fr|w|condrieu|rhone|condrieu|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|condrieu doriane|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu doriane|fr|r|condrieu|rhone|condrieu|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=570
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=570
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|condrieu la doriane|fr|r|condrieu|rhone|condrieu|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=573
W|guigal|condrieu luminescence|fr|r|condrieu|rhone|condrieu|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote du rhone blanc 16|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|cote du rhone blanc|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guigal|cote du rhone blanc|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
W|guigal|cote du rhone rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote du rhone rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=579
W|guigal|cote du rhone rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=579
W|guigal|cote du rhone rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=579
W|guigal|cote du rhone rouge|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote roti la mouline|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie ampuis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune blonde|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune blonde|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=589
W|guigal|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=591
W|guigal|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=591
W|guigal|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=591
W|guigal|cote rotie brune et blonde|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=591
W|guigal|cote rotie brune et blonde|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=596
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=500
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=600
W|guigal|cote rotie brune et blonde|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie brune et blonde de guigal 15|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau d ampuis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=605
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=614
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=614
W|guigal|cote rotie chateau dampuis|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=614
W|guigal|cote rotie la landonne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1982|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1985|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1986|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1989|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1995|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=627
W|guigal|cote rotie la landonne|??|r|??|??|??|1997|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|1999|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=638
W|guigal|cote rotie la landonne|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=642
W|guigal|cote rotie la landonne|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=647
W|guigal|cote rotie la landonne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=647
W|guigal|cote rotie la landonne owc|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la landonne owc|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1976|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=652
W|guigal|cote rotie la mouline|??|r|??|??|??|1978|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1980|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1987|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1991|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guigal|cote rotie la mouline|??|r|??|??|??|1994|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
