W|casa valduga naturelle|branco suave|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|demi-sec
W|casa del bosque|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa dei fanti sangiovese|igt tinto|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa dei fanti sangiovese|igt|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa dei fanti montepulciano dabruzzo|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de vilacetinho verde|rose doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa de vilacetinho verde|rose doc|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=438
W|casa de vilacetinho verde|doc 1102|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de vilacetinho superior verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de vilacetinho escolha|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa de vilacetinho avesso|vinho verde|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa de vilacetinho avesso alvarinho v verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santar vinha dos amores touriga nacional|2014 tinto|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santar vinha dos amores encruzado|branco 2017|??|w|??|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa de santar vinha dos amores encruzado|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa de santar vinha amores|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santar|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santar|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa de santar|branco 1x|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|casa de santar|branco 0|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|casa de santar outono|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa de santar|dao doc tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santar|dao doc tinto|pt|r|??|dao|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=454
W|casa de santar|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa de santar|santar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de santa vitoria touriga nacional|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa de santa vitoria touriga nacional|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=458
W|casa de santa vitoria|branco reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|casa de santa vitoria|branco reserva|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=460
W|casa de saima vinhas velhas baga|tinto bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de saima grande|baga da corga tinto bairrada|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa de saima garrafeira baga|tinto bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de saima baga da corga tonel 10|tinto bairrada|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de rodas alvarinho|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa de cambres|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|casa de cambres|doc douro reserva branco|pt|w|??|douro|??|NV|12.5|DOC|medio|peixes, frutos do mar, saladas|seco
W|casa de bento|tinto organico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa das mouras|doc reserva tinto 2013|??|r|??|??|??|2013|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa das eiras|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa das eiras|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa da passarella villa oliveira touriga nacional|tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa da passarella villa oliveira encruzado|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa da passarella oenologo encruzado|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa da passarella abanico|branco 2022|??|w|??|??|??|2022|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|casa da passarella a descoberta|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa cadaval trincadeira preta|preta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa cadaval pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa cadaval fernao pires|pires|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa boal|tinto 1|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa boal|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa boal|especial tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa boal|branco 0|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|casa boal mae maria|branco 2018 0|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa boal gueirinho|tinto equilibrio transmontano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa boal gueirinho|rose frescura transmontana|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa boal gueirinho|branco frescura de trasosmontes|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa boal eclusa grande|tinto exclusividade|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa americo|rose dao doc 2016|pt|p|??|dao|??|2016|12.5|DOC|medio|saladas, sushi, petiscos|seco
W|casa americo encruzado|encruzado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa americo|dao vinhas centenarias doc 2013|pt|r|??|dao|??|2013|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|casa americo|americo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa alvares|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa alvares|douro reserva tinto|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|casa alvares|douro branco|pt|w|??|douro|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|casa agostino torrontes|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa agostino malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|casa agostino malbec|rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|casa agostino malbec|rose|??|p|malbec|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=499
W|casa agostino chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|casa agostino cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carvalhas vinhas velhas|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carvalhas vinhas velhas|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|carvalhais melagne a trois|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa vinea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto evora colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=508
W|cartuxa|tinto 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa scala coeli|coeli|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|rose colheita doc alentejo evora|pt|p|??|alentejo|??|NV|12.5|DO|medio|saladas, sushi, petiscos|seco
W|cartuxa|rose colheita|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa|rose 1x|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa|rose 0|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa|tto portugues 1x|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 5lts|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 2019|??|r|??|??|??|2019|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 0 com estojo|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto 0|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=526
W|cartuxa|2016|??|r|??|??|??|2016|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=529
W|cartuxa|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=529
W|cartuxa pera manca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa pera manca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=532
W|cartuxa pera manca|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=532
W|cartuxa pera manca|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa monte de pinheiros|tinto 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=537
W|cartuxa monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=537
W|cartuxa monte de pinheiros|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa monte de pinheiros|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=540
W|cartuxa monte de pinheiros|branco cx 06 grf|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa monte de pinheiros|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa monte de pinheiros|2021 tinto portugal|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa monte de pinheiros|pinheiros|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa foral de evora|evora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|tinto reserva 1|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|tinto reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa evora|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=550
W|cartuxa evora|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=550
W|cartuxa evora|tinto blend|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora portugal|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora colheita|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa evora colheita|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora colheita|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=559
W|cartuxa evora colheita 750ml|750ml|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora colheita|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora colheita|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=562
W|cartuxa evora colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=564
W|cartuxa evora colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=564
W|cartuxa evora|branco colheita 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora|branco colheita|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora|branco 2018|??|w|??|??|??|2018|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa evora|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=570
W|cartuxa evora bco|bco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa evora|evora|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa eugenio de almeida ea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa ea|tinto seco portugal garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|tinto magnum 1|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|tinto blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=579
W|cartuxa ea|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=579
W|cartuxa ea|rose portugues kit 6un|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa ea|rose portugues|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa ea|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa ea portugues|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa ea|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=586
W|cartuxa ea|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=586
W|cartuxa ea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa ea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=589
W|cartuxa ea|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=589
W|cartuxa ea|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|2020 tinto portugal|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa ea|2019 branco portugal|??|w|??|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa colheita|tinto portugues kit com 03 un|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=597
W|cartuxa colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=597
W|cartuxa colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=597
W|cartuxa colheita tardia|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita tardia|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa colheita|rose 2022|??|p|??|??|??|2022|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa colheita portugues tto 1x750m|1x750m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita evora tto|tto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita evora|branco 2021|??|w|??|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa colheita|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=608
W|cartuxa colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=608
W|cartuxa colheita|2021 rose portugal|??|p|??|??|??|2021|12.5|??|medio|saladas, sushi, petiscos|seco
W|cartuxa colheita|2020 branco portugal|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa colheita|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita 2 e 1 pera manca com caixa de|madeira|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|cartuxa colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartuxa colheita|colheita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=615
W|cartuxa|branco 2023|??|w|??|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa|branco 1x|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartuxa|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cartola|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartola|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|carter mollenhauer los despachos petit verdot|chile 2020|cl|r|petit verdot|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carter mollenhauer lonquen arriba pais|chile 2021|cl|r|??|valle central|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carter mollenhauer aurora de itata pais|chile 2020|cl|r|??|valle central|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carter mollenhauer aurora de itata cinsault|chile 2021|cl|r|??|valle central|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cartago paraje de pozo|pozo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carta vieja merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carta vieja carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carta vieja cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carta vieja cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=630
W|carta vieja cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=630
W|carruades lafite|2010|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carruades lafite|2009|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carruades lafite|2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carrocel|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carranco villa dei baroni|etna rosso tinto 2020|it|r|??|sicilia|etna|2020|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|carracedo mencia|mencia|??|r|mencia|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carpazo sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carolina|tinto 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carolina|tinto 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carolina|syrah|??|r|syrah|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|carolina|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|carolina|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=643
W|carolina|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|carolina|pinot noir|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=645
W|carolina|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|carolina|carmenere|??|r|carmenere|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|carolina|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|carolina|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=649
W|carolina|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=649
W|carolina|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco|=643
W|carolina|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caro|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caro|2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carnivor cabernet sauvignon|2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carnivor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carnivor cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=657
W|carnivor cabernet sauv tto 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|carnen|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
