W|grolsch|biervat 50 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groovy|tw94 tweezer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groovy|tw95 tweezer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groovy|tweezer tw107|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|groppello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|groppello|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=476
W|groppello|di revo igt cantina el zeremia|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|di revo selezione cantina el zeremia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|riviera del garda classico doc avanzi|??|r|??|??|??|1931|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|riviera del garda classico san biagio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|san biagio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|groppello|san biagio selva capuzza|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grorah|laurent billard|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne richebourg grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne bourgogne hautescote de nuits|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne bourgogne rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne chambollemusigny la combe dorveau|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne bourgogne hautes cotes de nuits cuvee marine blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|anne chambollemusigny la combe dorveau|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne echezeaux grand cru les loachausses|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne la cinso cotes du brian igp|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne la cinso cotes du brian igp|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|gros|anne la cinso cotes du brian igp|??|r|??|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|gros|anne la grenache 8 cotes du brian igp|??|r|grenache|??|??|2020|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne minervois la ciaude|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne minervois la ciaude|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=496
W|gros|anne minervois la ciaude|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=496
W|gros|anne minervois les carretals|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne minervois les carretals|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|gros|anne minervois les carretals|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|gros|anne minervois les fontanilles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|anne minervois les fontanilles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|gros|anne minervois les fontanilles|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|gros|black onyx 18|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|bourgogne|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|bourgogne cote dor|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|bourgogne cote dor|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|bourgogne rouge|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|bourgogne rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=512
W|gros|chambollemusigny|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=515
W|gros|chambollemusigny|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|chambollemusigny|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils aloxe corton cru les petites lolieres|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils aloxe corton cru les petites lolieres|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils aloxe corton les valozieres|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils aloxe corton les valozieres|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils bourgogne aligote|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils bourgogne rouge|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils corton grand cru rognet|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils corton grand cru rognet|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils cote de nuits villages|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils cote de nuits villages les vignottes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils ladoix blanc cru les grechons|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|christian fils ladoix blanc les issards|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|christian fils ladoix la corvee basse|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils nuits saint georges|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils nuits saint georges|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils nuits saint georges tribourg|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils nuits saint georges tribourg|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|christian fils nuits saint georges tribourg|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=541
W|clos de|gros vougeot grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros vougeot grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|debit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|echezeaux grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|domaine uby|gros et petit manseng doux n4|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|et tollot la ciaude minervois|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|et tollot la ciaude minervois|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=549
W|gros|et tollot la cins0 cotes du brian|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|et tollot la cins0 cotes du brian|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=551
W|gros|et tollot les carretals minervois|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|et tollot les carretals minervois|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|gros|et tollot les fontanilles|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|et tollot les fontanilles|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|gros|flocons davoine cem por cento 400g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|flocons davoine trevi 250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere bourgogne hautes cotes de nuits blanc|fr|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere bourgogne rouge|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere chemin des moines de vergy|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere echezeaux grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeu echezeaux grand cru 1|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur musigni grand cru|??|r|??|??|??|1996|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur musigni grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits|fr|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits blanc|fr|w|??|??|??|2016|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits blanc|fr|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits blanc|fr|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits blanc|fr|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge 1|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne hautes cotes de nuits rouge|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=579
W|gros|frere et soeur bourgogne rouge|fr|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur bourgogne rouge pinot noir|fr|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur chardonnay vsig|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur chemin des moines de vergy|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur chemin des moines de vergy 159000|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur chemin des moines de vergy|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur chemin des moines de vergy|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|gros|frere et soeur chemin des moines de vergy 159000|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur chemin des moines de vergy vsig|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|1972|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|1985|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru 1|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru musigni 1|??|r|??|??|??|2013|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru musigni 1|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot grand cru musigni 1|??|r|??|??|??|2019|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot musigni grand cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot musigni grand cru|??|r|??|??|??|2009|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot musigni grand cru|??|r|??|??|??|2010|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vougeot musigni grand cru|??|r|??|??|??|2012|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=608
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco|=610
W|clos vougeot|gros frere et soeur grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere et soeur musigni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru|??|r|??|??|??|2006|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru|??|r|??|??|??|2010|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru 1|??|r|??|??|??|2015|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru 1|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru 1|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur echezeaux grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux|??|r|??|??|??|2002|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|1972|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|2007|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|2010|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grands echezeaux grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur grandsechezeaux grand cru 1|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur hautes cotes de nuits blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere et soeur hautes cotes de nuits blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=637
W|gros|frere et soeur hautes cotes de nuits blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=637
W|gros|frere et soeur hautes cotes de nuits rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur pinot noir|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg|??|r|??|??|??|1993|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=644
W|gros|frere et soeur richebourg|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|1972|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|1994|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|1995|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|1997|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru 1|??|r|??|??|??|1999|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|2000|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru 1halves|??|r|??|??|??|2006|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru 1|??|r|??|??|??|2016|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru 1|??|r|??|??|??|2018|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|2021|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur richebourg grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gros|frere et soeur vosne romanee cru 1|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee cru|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee cru les chaumes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee chaumes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vosne romanee la fontaine|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vosne romanee la fontaine|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=671
W|clos de|gros frere et soeur vosne romanee la fontaine|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee les chaumes cru|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosne romanee les chaumes cru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere et soeur vosneromanee 1|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere et soeur vosneromanee la fontaine 1|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere pinot noir|??|r|pinot noir|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere richebourg|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere richebourg|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere richebourg grand cru|??|r|??|??|??|2022|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere soeur chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere soeur chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gros|frere soeur chemin des moines de vergy|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere soeur chemin des moines de vergy|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere soeur chemin des moines de vergy|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos de|gros frere soeur vougeot grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|clos vougeot|gros frere soeur|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gros|frere soeur echezeaux|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
