1. W|carmel|road monterey chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
424. W|carmen|caja 6 carmen gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
425. W|carmen|caja 6 carmen gran reserva syrah cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
426. W|carmen|caja 6 carmen premier 1850 reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
427. W|carmen|caja 6 carmen premier 1850 reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
428. W|carmen|caja 6 carmen premier 1850 reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
429. W|carmen|caja 6 carmen premier 1850 reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
430. W|carmen|caja 6 carmen premier 1850 reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
431. W|carmen|caja 6 carmen premier 1850 reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
432. W|carmen|caja 6 carmen v lustros gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
433. W|carmen|caja 6 carmen vintages blend iii gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
434. W|carmen|caja 6 carmen vintages blend iv gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
435. W|carmen|caja 6 wave series reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
436. W|carmen|caja 6 wave series reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
437. W|carmen|caja 6 winemakers black premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
438. W|carmen|caja 6 winemakers red premium cabernet sauvignon petite sirah petite verdot|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
439. W|carmen|carmen delanz alto jahuel ultra premium cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
440. W|carmen|carmen delanz apalta ultra premium carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
441. W|carmen|carmen do loma seca ultra premium cinsault|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
442. W|carmen|carmen do matorral chileno ultra premium ensamblaje|cl|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
443. W|carmen|carmen do quijada ultra premium semillon|??|r|semillon|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
444. W|carmen|carmen do rosado comavida ultra premium carignan rosado|??|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
445. W|carmen|carmen do ultra premium florillon|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
446. W|carmen|carmen frida kahlo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
447. W|carmen|carmen frida kahlo reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
448. W|carmen|carmen frida kahlo reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
449. W|carmen|carmen frida kahlo reserva rose|??|p|??|??|??|NV|12|reserva|leve|carne vermelha, massas, queijos curados|seco
450. W|carmen|carmen frida kahlo reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
451. W|carmen|carmen gold icono cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
452. W|carmen|carmen gran cuvee espumante brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
453. W|carmen|carmen gran cuvee espumante extra brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
454. W|carmen|carmen premier 1850 reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
455. W|carmen|carmen premier 1850 reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
456. W|carmen|carmen premier 1850 reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
457. W|carmen|carmen premier 1850 reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
458. W|carmen|carmen premier 1850 reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
459. W|carmen|carmen premier 1850 reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
460. W|carmen|carmen v lustros gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
461. W|carmen|carmen vintages blend iii gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
462. W|carmen|carmen vintages blend iv gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
463. W|carmen|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
464. W|carmen|carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=463
465. W|carmen|carmenere|??|r|carmenere|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
466. W|carmen|carmenere 750cc|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
467. W|carmen|carmenere alpha gran reserva|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
468. W|carmen|carmenere gran reserva|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
469. W|carmen|carmenere gran reserva|??|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
470. W|carmen|carnamere central valley|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|carmen|chardonnay gran reserva|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
472. W|carmen|chardonnay gran reserva|??|w|chardonnay|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
473. W|carmen|chardonnay reserva premier|??|w|chardonnay|??|??|2023|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
474. W|carmen|clasico insigne cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
475. W|carmen|clasico insigne sauvignon blanc 750 mlt 13|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
476. W|carmen|delanz alto jahuel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|carmen|delanz alto jahuel|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|carmen|delanz alto jahuel cabernet sauvignon 2022 en estuche|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
479. W|carmen|delanz alto jahuel estate blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|carmen|delanz apalta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|carmen|delanz apalta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=480
482. W|carmen|delanz apalta|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|carmen|delanz cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|carmen|delanz cabernet sauvignon alto jahuel|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
485. W|carmen|delanz cabernet sauvignon santa rita|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
486. W|carmen|delanz carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
487. W|carmen|delanz estate blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|carmen|discovery carmenere 135 0|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
489. W|carmen|discovery chardonnay 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
490. W|carmen|discovery chardonnay 0|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=489
491. W|carmen|discovery rose 0|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
492. W|carmen|discovery rose 0|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco|=491
493. W|carmen|discovery sauvignon blanc 0|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
494. W|carmen|discovery sauvignon blanc 0|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=493
495. W|carmen|do cinsault|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
496. W|carmen|do mezcla|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
497. W|carmen|do quijada 1 semillon apalta|??|r|semillon|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
498. W|carmen|do red blend|??|r|red blend|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
499. W|carmen|el compas vino tinto carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
500. W|carmen|extra but|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|carmen|frida kahlo brut 250 cc|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
502. W|carmen|frida kahlo gran cuvee brut 750cc|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
503. W|carmen|frida kahlo gran cuvee extra brut 750cc|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut nature
504. W|carmen|frida kahlo gran reserva carmenere|??|r|carmenere|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
505. W|carmen|frida kahlo reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
506. W|carmen|frida kahlo reserva carmenere|??|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
507. W|carmen|frida kahlo reserva carmenere|??|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=506
508. W|carmen|frida kahlo reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
509. W|carmen|frida kahlo reserva merlot|??|r|merlot|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
510. W|carmen|frida kahlo reserva merlot nv|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
511. W|carmen|frida kahlo reserva rose|??|p|??|??|??|NV|12|reserva|leve|carne vermelha, massas, queijos curados|seco
512. W|carmen|gold|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
514. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=513
515. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
516. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
517. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=516
518. W|carmen|gold cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
519. W|carmen|gold icono cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
520. W|carmen|gold icono cabernet sauvignon 750 cc|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
521. W|carmen|gold reserve cabernet 0|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
522. W|carmen|gold reserve cabernet 0|??|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=521
523. W|carmen|gold reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
524. W|carmen|gran cuvee|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|carmen|gran res carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
526. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
527. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
528. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
529. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
530. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
531. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
532. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
533. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
534. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
535. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
536. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
537. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
538. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
539. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=526
540. W|carmen|gran reserva cabernet sauvignon 135|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
541. W|carmen|gran reserva cabernet sauvignon 14|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
542. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
543. W|carmen|gran reserva cabernet sauvignon 2018 chile|cl|r|cabernet sauvignon|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
544. W|carmen|gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
545. W|carmen|gran reserva cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
546. W|carmen|gran reserva cabernet sauvignon maipo do|cl|r|cabernet sauvignon|??|??|2021|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
547. W|carmen|gran reserva carignan|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
548. W|carmen|gran reserva carignan|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=547
549. W|carmen|gran reserva carignan|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=547
550. W|carmen|gran reserva carignan|??|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
551. W|carmen|gran reserva carignan|??|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
552. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
553. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
554. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
555. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
556. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
557. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
558. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
559. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=552
560. W|carmen|gran reserva carmenere 14|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
561. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|2018|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
562. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
563. W|carmen|gran reserva carmenere|??|r|carmenere|??|??|2024|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
564. W|carmen|gran reserva carmenere 750cc|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
565. W|carmen|gran reserva carmenere frida kahlo|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
566. W|carmen|gran reserva carmenere frida kahlo edicion limitada|??|r|carmenere|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
567. W|carmen|gran reserva carmenere rotwein wein trocken chile 3 x 0|cl|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
568. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
569. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=568
570. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=568
571. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=568
572. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=568
573. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco|=568
574. W|carmen|gran reserva chardonnay 135 0|??|w|chardonnay|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
575. W|carmen|gran reserva chardonnay|??|w|chardonnay|??|??|2021|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
576. W|carmen|gran reserva frida kahlo carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
577. W|carmen|gran reserva frida kahlo carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=576
578. W|carmen|gran reserva frida kahlo carmenere|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=576
579. W|carmen|gran reserva frida kahlo carmenere|??|r|carmenere|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
580. W|carmen|gran reserva frida kahlo carmenere 750cc|??|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
581. W|carmen|gran reserva grand vidure cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
582. W|carmen|gran reserva grande vidure cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
583. W|carmen|gran reserva grande vidure cabernet sauvignon 750cc|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
584. W|carmen|gran reserva late harvest|??|d|??|??|??|NV|10.5|reserva|encorpado|sobremesas, frutas secas, queijos|doce
585. W|carmen|gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
586. W|carmen|gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=585
587. W|carmen|gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=585
588. W|carmen|gran reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=585
589. W|carmen|gran reserva merlot 0|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
590. W|carmen|gran reserva merlot 0|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=589
591. W|carmen|gran reserva merlot 14|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
592. W|carmen|gran reserva merlot 750cc|??|r|merlot|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
593. W|carmen|gran reserva petit noir|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
594. W|carmen|gran reserva petit sirah|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
595. W|carmen|gran reserva petit syrah maipo alto do chile 0|cl|r|syrah|??|??|NV|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
596. W|carmen|gran reserva petite sirah|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
597. W|carmen|gran reserva petite syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
598. W|carmen|gran reserva pinot noir|??|r|pinot noir|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
599. W|carmen|gran reserva pinot noir 750cc|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
600. W|carmen|gran reserva red blend|??|r|red blend|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
601. W|carmen|gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
602. W|carmen|gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco|=601
603. W|carmen|gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|peixes, frutos do mar, saladas|seco|=601
604. W|carmen|gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|2019|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
605. W|carmen|gran reserva sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|reserva|leve|peixes, frutos do mar, saladas|seco
606. W|carmen|gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
607. W|carmen|gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=606
608. W|carmen|gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=606
609. W|carmen|gran reserva syrah|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=606
610. W|carmen|gran reserva syrah 0|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
611. W|carmen|gran reserva syrah 0|??|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=610
612. W|carmen|gran reserva syrah|??|r|syrah|??|??|2017|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
613. W|carmen|gran reserva syrah|??|r|syrah|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
614. W|carmen|gran reserva syrah cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
615. W|carmen|gran reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
616. W|carmen|gran reserve carmenere apalta valley chile 0|cl|r|carmenere|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
617. W|carmen|gran reserve chardonnay casablanca valley chile 0|cl|w|chardonnay|casablanca valley|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
618. W|carmen|gran reserve chardonnay limari chile 0|cl|w|chardonnay|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
619. W|carmen|gran reserve frida kahlo cabernet sauvignon chile 0|cl|r|cabernet sauvignon|??|??|NV|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
620. W|carmen|innerdress beige|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
