W|vinho|tinto portugues bacalhoa quatro ventos garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pernandvergelesses premier cru les vergelesses 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pernand vergelesses 1er cru ile de vergelles 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perl syrah paso robles 2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce
W|vinho|tinto periquita sweet red|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|doce|=444
W|vinho|tinto periquita superyor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita reserva setubal|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita reserva 2023 peninsula de setubal|??|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=449
W|vinho|tinto periquita reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=449
W|vinho|tinto periquita regional peninsula de setubal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=453
W|vinho|tinto periquita red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=453
W|vinho|tinto periquita portugues 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita meia garrafa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita gf|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita classico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto periquita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=460
W|vinho|tinto pergola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz piedra seca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition syrah 2020|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition cot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz limited edition cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz grenache|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz gran reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=479
W|vinho|tinto perez cruz chasky petit verdotcomprar|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz chasky|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz chaski petit verdot chile 2019|cl|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz carmenere limetd edition|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto perez cruz cabernet franc limited edition|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X|=486
X
W|vinho|tinto peramanca 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peramanca 2018 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??|=489
W|vinho|tinto peramanca 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peramanca 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peramanca 2013 alentejo|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peramanca 2011|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peramanca 1994|??|r|??|??|??|1994|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peragrave reserva magnum 2017 1 regional alentejano|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peragrave reserva 2020 regional alentejano|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peragrave magnum 2019 1 regional alentejano|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peragrave 2020 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pera velha grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pera manca alentejano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto pera manca 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pera manca 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pera manca 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??|=504
W|vinho|tinto pera manca 2014|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pera grave reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenos rebentos touche 2020 vinhos verdes|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenos rebentos atlantico edicao especial 2017 vinhos verdes|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenos rebentos atlantico 2020 minho|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenas producciones malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenas producciones escorihuela gascon malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenas producciones cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pequenas producciones cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peppoli chianti classico 2021|it|r|??|toscana|chianti|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pepe yllera ribera del duero roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penteo puglia primitivo di manduria 2021|??|r|primitivo|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penisula de setubal dom campos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peninsula setubal periquita reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peninsula reserva winemakers do maipo chile|cl|r|??|maipo valley|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peninsula reserva cabernet sauv do maipo chile|cl|r|??|maipo valley|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peninsula de lisboa 2021 lisboa|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds maxs shiraz 2021 australia|??|r|shiraz|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds koonunga hill shiraz cabernet 2020 australia|??|r|shiraz|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds grange 2019 australia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds grange 2018 australia|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds grange 2017 australia|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds grange 2016 australia|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds grange 2012 australia|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds g5 australia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds bin 707 cabernet sauvignon 2019 australia|??|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds bin 389 cabernet sauvignon shiraz 2021 australia|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds bin 28 shiraz 2019 australia|??|r|shiraz|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penfolds bin 128 coonawarra shiraz 2023 australia|??|r|shiraz|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges seleccion parcelas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges seleccion parcelas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges selecao de parcelas cabernet sauvignoncomprar|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges prisma gran syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges prisma gran malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges prisma gran cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges prisma gran blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges icono malbec 1|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges icono malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges cepas malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges cepas cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges cepas cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penedo borges cepas blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penalva regional|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penalolen red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penalolen red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=549
W|vinho|tinto penalolen carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto penalolen cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pelago umani ronchi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peixes da rocha 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peixes da rocha 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peixes da estrada 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros tintinha 2019 peninsula de setubal|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros reserva vinha 70 anos magnum 2018 1 peninsula de setubal|??|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros reserva vinha 70 anos 2021 peninsula de setubal|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros primo 2017 peninsula de setubal|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros grande escolha vinha 100 anos magnum 2018 1 peninsula de setubal|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros grande escolha vinha 100 anos 2018 peninsula de setubal|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pegos claros claro 2023 peninsula de setubal|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedro e ines|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedra negra unico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedra cancela selecao do enologo dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedra cancela selecao do enologo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedra cancela reserva tinto 2019|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pedra cancela reserva tinto 2019|??|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=568
W|vinho|tinto pedra cancela dao reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto peccato di vino red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe reserva cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe gran reserva carmenere 2020|??|r|carmenere|??|??|2020|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe gran reserva carmenere 2020|??|r|carmenere|??|??|2020|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=573
W|vinho|tinto pe gran reserva cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe esporao portugues|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe do monte do pico reserva 2023 acores|??|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pe de ganso reserva 2022 doc bairrada|??|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pays doc les roques rouge 2017|??|r|??|??|??|2017|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pavillon rouge du chateau margaux 2006 bordeus|??|r|??|??|??|2006|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano vinhas velhas organic wine 2022 regional alentejano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano vinhas velhas alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano vidigueira antiga 2018 regional alentejano|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano signatures|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano selectio touriga nacional 2013 regional alentejano|??|r|touriga|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano selectio touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano selectio tinta grossa 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano selectio tinta grossa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano private selection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano o nosso terroir 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano nosso terroir|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano miguel maria laureano alfrocheiro 2017 regional alentejano|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano gg miguel maria laureano alfrocheiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano doulium|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano dolium reserva 2015 regional alentejano|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano caricatura 2019 regional alentejano|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano by paulo laureano 2022 regional alentejano|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano alicante bouschet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paulo laureano|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul jaboulet aine parallele 45 bio 2019 cotesdurhone franca|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul jaboulet aine la chapelle hermitage 2018 franca|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul hobbs pinot noir russian river valley 142 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul hobbs napa valley coomsdville cabernet sauvignon 145 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul hobbs crossbarn cabernet sauvignon napa valley 145 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul cluver village pinot noir 2023|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul cluver village pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paul cluver village pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=606
W|vinho|tinto patrimonio wines senhor do alto 2000 estremadura|??|r|??|??|??|2000|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines patrimonio colheita selecionada 2017 lisboa|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines patrimonio au leu grande escolha touriga nacional 2023 lisboa|??|r|touriga|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines patrimonio au leu grande escolha syrah 2023 lisboa|??|r|syrah|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines patrimonio au leu grande escolha castelao 2023 lisboa|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines patrimonio 2024 lisboa|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patrimonio wines alicante bouschet 2017 lisboa|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patriarche heritage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pater cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pataphysique beaujolais rouge 2022|fr|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto patagon merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra toro roble|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra reserva tempranillo|??|r|tempranillo|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra oro tempranillo 2021|??|r|tempranillo|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra oro tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra oro tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=622
W|vinho|tinto pata negra oro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra gran reserva 2012|??|r|??|??|??|2012|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pata negra gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passo delle mule|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passo delle mule|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=627
W|vinho|tinto passo del mule nero d avola|??|r|nero d avola|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passo dei sani premium rosso toscano igt|??|r|??|??|??|NV|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passarella o fugitivo vinhas centenarias 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passagem reserva 2023 douro|pt|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passagem reserva 2023 douro|pt|r|??|??|??|2023|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=632
W|vinho|tinto passagem grande reserva 2017 douro|pt|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passadouro reserva 2017 douro|pt|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passadouro 2019 douro doc|pt|r|??|??|??|2019|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto passadico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso del sol cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso del sol 2015 merlot|??|r|merlot|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso del sol 2015 carmenere|??|r|carmenere|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso de los andes syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso de los andes moskato suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso de los andes carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paso de los andes cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pasmados 2023 peninsula de setubal|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paskua merlot 2022|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paskua malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paskua carmenere 2022|??|r|carmenere|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paskua carmenere 2018|??|r|carmenere|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paskua cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto parrales pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto paredes meias|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pardusco private anselmo mendes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pardusco anselmo mendes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pardusco 2023 vinhos verdes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto pardal telhado 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto parcela nicola catena bonarda 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
