W|finca dofi|2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iral|rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca iral|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca iral|ugarteche malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca iral|winemaker selection blend safra 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iriarte|iriarte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iriarte|iriarte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=463
W|finca iriarte|750 mlt 135|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca iriarte|semicrianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca iriarte|tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita agrelo lujan de cuyo malbec 2021case only|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita agrelo lujan de cuyo petit verdot 2021case only|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita agrelo lujan de cuyo pinot noir 2023case only|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita agrelo malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita blanco 2000|??|w|??|??|??|2000|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|anita cabernet franc 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita cabernet sauvignon 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita cabernet sauvignon bot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita finca la anita agrelo lujan de cuyo gran corte 2017 case only|ar|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita finca la anita luna malbac 2019 case only|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita finca la anita syrah 2017 case only|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita gran corte 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita gran corte agrelo red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita gran corte bot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita gran corte red blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita luna cabernet sauvignon 2022case only|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita luna malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita luna malbec 2022case only|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita luna single vineyard malbec agrelo|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita luna single vineyard malbec agrelo|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=487
W|finca la|anita malbec 6 bottles|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita malbec bot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita malbec tto|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita malbec vinho tinto argentino 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita rose malbec|??|p|??|??|??|NV|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca la|anita sauvignon blanc bot|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|anita syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita syrah bot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|anita varua blend vinho tinto argentino 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|anita varua malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|barca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca aioli met gerookte olijfolie 110gram|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca geitenkaas spread met paprikaflakes 110 gram|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca hot smoked paprika flakes 25gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca oak smoked alioli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca roast piquillo peppers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|barca smoked alioli|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|beata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|beata|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=506
W|finca la|beata dominio de la vega|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|bianca espumoso blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|bianca espumoso rosado|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca la|bianca reservado cabernet sauvignon chileno|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|bianca reservado merlot chileno|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca la|biznaga tinto roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|blanquera 2012|??|r|??|??|??|2012|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|canada blanco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|cantera layaya 2008|??|r|??|??|??|2008|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|cantera sh syrah 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|cantera sh syrah 2018 udsolgt|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|cantera ya syrah 2022 udsolgt|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|capilla crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla crianza 15 meses|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla crianza ribero del duero|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla la capilla crianza 2021|??|r|??|??|??|2021|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla merlot 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla vendimia seleccionada 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla vendimia seleccionada 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=525
W|finca la|capilla vendimia seleccionada 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=525
W|finca la|capilla vendimia seleccionada 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capilla vendimia seleccionada 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=528
W|finca la|capilla vendimia seleccionada 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=528
W|finca la|capilla vendimia seleccionada 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=528
W|finca la|capitana regina viaurum|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|capitana tinto 2015|??|r|??|??|??|2015|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|carrodilla canto de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|carrodilla canto de luna|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=534
W|finca la|carrodilla ir y venir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|carrodilla polen rosado valle de guadalupe mexico nv|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca la|carrodilla polen rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco
W|finca la|carrodilla polen rose|??|p|??|??|??|NV|12.5|??|leve|saladas; aves; queijos leves|seco|=538
W|finca la|carrodilla valle de guadalupe canto de luna 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|celeste malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia 2018 la celia la consulta cabernet franc|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia elite malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia heritage malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia pioneer cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia pioneer cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=545
W|finca la|celia pioneer chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|celia pioneer malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia pioneer malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=548
W|finca la|celia pioneer malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=548
W|finca la|celia pionner cabernet franc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia pionner malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia reserva cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia reserva cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=553
W|finca la|celia reserva chardonnay x|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco
W|finca la|celia reserva chardonnay x|??|w|??|??|??|NV|12.5|reserva|leve|peixes; frutos do mar; saladas|seco|=555
W|finca la|celia reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia reserva malbec|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=557
W|finca la|celia reserva malbec cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|celia reserva malbec cabernet franc|??|r|??|??|??|NV|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco|=559
W|finca la|cielito|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colina dressage 2017 estuche de 3 botellas de|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colina el vencejo 2022 caja de 6 botellas de|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colina fermentado en barrica 2023 caja de 6 botellas de|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colina sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=565
W|finca la|colina sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=565
W|finca la|colina sauvignon blanc 2024 caja de 6 botellas de|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina verdejo|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=569
W|finca la|colina verdejo 150|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina verdejo 150|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=571
W|finca la|colina verdejo cepas viejas|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina verdejo cien x cien 2024 caja de 6 botellas de|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colina verdejo cien x cien 2024 formato magnum caja de 6 botellas de|??|w|??|??|??|2024|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colonia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colonia cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colonia chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco|=578
W|finca la|colonia coleccion malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia coleccion malbec argentina|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=582
W|finca la|colonia malbec argentina|ar|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia malbec norton mendoza 2022|ar|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|colonia merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colonia merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=586
W|finca la|colonia merlot argentina|ar|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colonia sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|colonia torrontes|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|colonia torrontes norton mendoza 2021|ar|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|cuesta bierzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|cuesta do bierzo rouge 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|cuesta do bierzo rouge 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=593
W|finca la|cuesta do bierzo rouge 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=593
W|finca la|cuesta do bierzo rouge 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=593
W|finca la|cuesta luna beberide 2009|??|r|??|??|??|2009|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|daniela cabernet sauvignon 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela cabernet sauvignon 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela cabernet sauvignon 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela malbec 2019|??|r|??|??|??|2019|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela malbec 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela malbec 2023|??|r|??|??|??|2023|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela malbec rose 2019|??|p|??|??|??|2019|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca la|daniela malbec rose 2022|??|p|??|??|??|2022|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca la|daniela malbec rose 2023|??|p|??|??|??|2023|12.5|??|encorpado|saladas; aves; queijos leves|seco
W|finca la|daniela reserva malbec 2018|??|r|??|??|??|2018|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela reserva malbec 2019|??|r|??|??|??|2019|13.5|reserva|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|daniela tempranillo 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|daniela torrontes 2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|daniela torrontes 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|daniela torrontes 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|daniela torrontes 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada el ciego 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada el ciego 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada its now or never 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada its now or never 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada macabeo eres tu 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada macabeu eres tu 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|despeinada si mi amor 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz blanco 2018|??|w|??|??|??|2018|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz blanco vs|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz crianza 2007|??|r|??|??|??|2007|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz crianza 2013 doca rioja|es|r|??|??|??|2013|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el jardin blanco doca rioja|es|w|??|??|??|NV|12.5|doca|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz el jardin crianza rioja doca|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el jardin de la emperatriz blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz el jardin de la emperatriz crianza|??|r|??|??|??|NV|13.5|crianza|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el jardin de la empreratriz rioja doca|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el pedal 2021 750m|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el pedal tempranillo 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz el pedal tempranillo doca rioja|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz finca blanco rioja doca|es|w|??|??|??|NV|12.5|doca|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz finca tinto rioja doca|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz gran vino blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz gran vino tinto red 4 bottle wine case|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz las cenizas 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz las cenizas tempranillo 2017|??|r|??|??|??|2017|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz reserva 2004|??|r|??|??|??|2004|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz reserva 2012|??|r|??|??|??|2012|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz rioja 2019|es|r|??|??|??|2019|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz rioja el jardin de la emperatriz blanco|es|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|emperatriz rioja reserva doca|es|r|??|??|??|NV|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz tempranillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz tempranillo el pedal tinto joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz terruno tempranillo 2014 doca rioja|es|r|??|??|??|2014|13.5|doca|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=650
W|finca la|emperatriz tinto 2018|??|r|??|??|??|2018|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz tinto vs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz vinedo singular tinto reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha; queijo curado; massas|seco
W|finca la|emperatriz viura el pedal blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|escondida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|escondida cabernet sauvignon 2018|??|r|??|??|??|2018|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|escondida chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|escondida malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|escondida malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco|=659
W|finca la|escondida shiraz malbec|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha; queijo curado; massas|seco
W|finca la|escuela coleccion los suelos el limo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|escuela coleccion los suelos la arena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|escuela coleccion los suelos la grava|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha; queijo curado; massas|seco
W|finca la|espolla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 12 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 12 meses 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 12 meses 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=668
W|finca la|estacada 12 meses barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 12 meses barrica tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 18 meses varietal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 18 meses vino tinto ucles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 2001|??|r|??|??|??|2001|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 2005|??|r|??|??|??|2005|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=676
W|finca la|estacada 6 meses 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses 750 mlt 135|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco|=680
W|finca la|estacada 6 meses en barrica 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 meses vino tinto con barrica|??|r|??|??|??|NV|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada 6 months oak 2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha; queijo curado; massas|seco
W|finca la|estacada blanco|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
W|finca la|estacada blanco semidulce|??|w|??|??|??|NV|12.5|??|leve|peixes; frutos do mar; saladas|seco
