1. W|cappellano|barolo otin fiorin pie rupestris piemonte italy|it|r|??|piemonte|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|cappuccino|em capsulas 3 napolitano 10x11g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
448. W|cappuccino|enjoy mastiha love|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
449. X
450. W|cappuccino|fontana ledene kocke okus pralina 144 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|cappuccino|griotte okus pralina 144 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|cappuccino|irish 200g arabesca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
453. W|cappuccino|irish cream 160g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|cappuccino|kokos bijela cokolada 148 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|cappuccino|kop en schotel|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|cappuccino|kruger sin azucar dolce vita 150gr 10x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|cappuccino|kruger sin azucar dolce vita 150gr 10x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=456
458. W|cappuccino|la sante chocolatte 510g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|cappuccino|la sante classic 200g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
460. W|cappuccino|la sante classic 510g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
461. W|cappuccino|lor soluvel baunilha premium 203g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|cappuccino|lor vanilla 203gsache|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|cappuccino|maker espumador de leche x pedrini|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|cappuccino|members mark 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
465. W|cappuccino|oploskoffie fairtrade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|cappuccino|pistachio 144 g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|cappuccino|sahne likor 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|cappuccino|sandwich cookies 168g parallel import best before date 19032026|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
469. W|cappuccino|santa clara classico refil 100g|??|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
470. X
471. W|cappuccino|soluvel 3 coracoes canela sache 20g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|cappuccino|soluvel 3 coracoes classic 20g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
473. W|cappuccino|soluvel baunilha 3 coracoes 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|cappuccino|soluvel baunilha lor premium pacote 203g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|cappuccino|soluvel classic 3 coracoes sache 20g|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
476. X
477. W|cappuccino|soluvel lor premium baunilha 1624g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|cappuccino|soluvel melitta tradicional lata 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|cappuccino|sweet truffle 1 for 1|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
480. W|cappuccino|tq cafe surtido 28 g|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
481. W|cappuccino|tradicional bares restaurantes utam pacote 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|cappuccino|trffel trfleriet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|cappuccino|vanilija 148g franck|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|cappuccino|vanilija 200g arabesca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|cappuccino|vendin kerry preparo em po soluvel pacote 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|cappuccino|with hazelnut flavor crastan nocciolino 150 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|cappuccinotasse|platinum mit unterteller|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|cappucinator|2 mini cup|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|cappucino|cappucino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|cappucino|cappucino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=489
491. W|cappucino|cappucino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=489
492. W|cappucino|creamer til induktion|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|cappucino|iced caramel 178g jacobs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|cappucino|iced original 178g jacobs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|cappucino|poker wafers|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|cappupino|ccinotage|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|cappy|100 orange pet bax 12 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|cappy|alma 0 100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|cappy|alma 025 visszavalt|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
500. W|cappy|alma 100 0 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|cappy|alma 100 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|cappy|alma 100 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cappy|alma korte 12 0 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|cappy|alma korte 12 1 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|cappy|ananasz 0 51|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|cappy|ananasz 51 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|cappy|apple can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|cappy|atom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cappy|breakfast blend still can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|cappy|burst apple 6 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|cappy|burst apple pet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|cappy|burst orange 6 pack|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|cappy|eper 0 35|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|cappy|eper 35 0 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|cappy|eper 35 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|cappy|eper kiwi 0 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|cappy|erdei gyumolcs 12 1 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|cappy|grapefruit 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|cappy|ice fruit almakort12 pdrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|cappy|ice fruit mult12gyipdrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|cappy|ice fruit multi12gyipdrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|cappy|ice fruit multivitamin 05|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|cappy|ice fruit oszisdinnye12drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|cappy|karisik|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|cappy|korte 0 33|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|cappy|korte 025 visszavalt|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
527. W|cappy|korte 33 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|cappy|korte 33 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|cappy|meyve sulari|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|cappy|multivitamin 12 0 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|cappy|multivitamin 12 1 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|cappy|multivitamin 54 0 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|cappy|multivitamin 54 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|cappy|narancs 0 100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|cappy|narancs 025 visszavalt|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
536. W|cappy|narancs gyumolcshussal 100 0 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|cappy|narancs gyumolcshussal 100 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|cappy|narancs nektar c vitaminnal 033 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|cappy|narancs nektar c vitaminnal pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|cappy|narancs vit c 55 petdrs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|cappy|nectar orange sticla naveta 24 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|cappy|nectar pere 250 st24|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|cappy|nectar pere sticla naveta 24 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|cappy|nectar piersici pet bax 12 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|cappy|nectar piersici sticla naveta 24 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|cappy|nectar visine sticla naveta 24 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|cappy|nektar jabkowy metny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|cappy|nektar jabkowy metny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=547
549. W|cappy|nektar multiwitamina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|cappy|nektar pomaranczowy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|cappy|nektar pomaranczowy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=550
552. W|cappy|orange mango still can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|cappy|orange still can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|cappy|oszi 025 visszavalt|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
555. W|cappy|oszi dinnye 12 0 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|cappy|oszi dinnye 12 1 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|cappy|oszibarack 0 45|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|cappy|oszibarack 46 0 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|cappy|oszibarack 46 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|cappy|oszibarack 506 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|cappy|pere|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|cappy|piersici|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|cappy|pulpy 1 gref sgr 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|cappy|pulpy 1 piersici sgr 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|cappy|pulpy grapefruit 15 pet x6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cappy|pulpy grapefruit 330 pet12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|cappy|pulpy grapefruit pet bax 12 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|cappy|pulpy grapefruit pet bax 6 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|cappy|pulpy grapefruit pet sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|cappy|pulpy orange 330 pet12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|cappy|pulpy orange pet bax 12 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|cappy|pulpy orange pet bax 6 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|cappy|pulpy piersica pet bax 12 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|cappy|pulpy piersica pet bax 6 buc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|cappy|pulpy piersica pet sgr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|cappy|pulpy piersici bits 330 pet12|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|cappy|pulpy piersici pet bax 6 sticle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|cappy|sargabarack pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|cappy|seftali|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|cappy|sok multiwitamina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|cappy|tropical multivitamin vit c 033 pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|cappy|tropical multivitamin vit c pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|cappy|tropical punch still can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|cappy|visine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|cappy|visne|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|cappy|white grape still can|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
587. W|cappy|zero mangomaracuja 1 drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|cappy|zoldalma pet drs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|capra|al traminer 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|capra|fieno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|capra|foglie di noce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|capra|pepe olio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|capra|timo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|capra|traminer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. X
596. X
597. W|caprai|montefalco rosso|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|caprai|6 grecante 6 sagrantino collepiano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|caprai|6 grecante 6 sagrantino valdimaggio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|caprai|anima umbra bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
601. W|caprai|anima umbra rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|caprai|arnaldo sagrantino di montefalco 25 anniversary magnum|??|r|??|??|??|2001|13.5|do|medio|carne vermelha, massas, queijos curados|seco
603. W|caprai|bianco umbria igt cuvee secrete|??|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
604. W|caprai|brut metodo classico|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
605. W|caprai|brut metodo classico magnum lt 15|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
606. W|caprai|brut metodo classico plus noir|??|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
607. X
608. W|caprai|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
609. W|caprai|grecante|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|caprai|grecante sagrantino 25 anni|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|caprai|igt nero outsider|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
612. W|caprai|le molacce trebbiano spoletino|??|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|caprai|merlot igt umbria|??|r|merlot|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
614. W|caprai|montefalco bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
615. W|caprai|montefalco grechetto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|caprai|montefalco riserva grecante vermentino|??|w|vermentino|??|??|NV|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
617. W|caprai|montefalco rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. X
619. W|caprai|rosato puntabella|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
620. W|caprai|rosso di montefalco vigna flaminia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|caprai|sagrantino anima umbra rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|caprai|sagrantino collepiano mezza bottiglia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|caprai|sagrantino di montefalco 25 anni|??|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|caprai|sagrantino di montefalco 25 anni|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|caprai|sagrantino di montefalco 25 anni|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|caprai|sagrantino passito 0|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
627. W|caprai|sagrantino spinning beauty 200820092010|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|capraia|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
629. W|capraia|chianti classico ris|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
630. W|caprandole|di carlo colella caprandole 2020 tuscany italy|it|r|??|tuscany|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|capranera|aglianico|??|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|caprasia|blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
633. W|caprasia|blanco|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
634. W|caprasia|blanco biologische vegan wijn uit spanje|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
635. W|caprasia|blanco tinto biologische vegan wijnen uit spanje|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
636. W|caprasia|bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|caprasia|bobal|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=636
638. W|caprasia|bobal anfora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|caprasia|bobal crianza anfora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|caprasia|cava brut nature reserva nv|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut nature
641. W|caprasia|crianza anfora|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|caprasia|roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|caprasia|roble tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|caprasia|rosado|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
645. W|caprasia|rosado|??|p|??|??|??|2024|12|do|leve|carne vermelha, massas, queijos curados|seco
646. W|caprasia|tinto roble biologische vegan wijn uit spanje|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|capraz|askl mayo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|caprce|rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
649. W|capre|blouse blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
650. W|caprece|caprece|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|caprej|caprej|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|capreol|trees apple eaudevie|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|capreoles|beaujolaisvillages lantignie lamourgandise|fr|r|??|beaujolais|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|capreolus|trees|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|caprera|briccone|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|caprera|cerasuolo dabruzzo le vasche|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|caprera|fortuna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|caprera|fortuna|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
659. W|caprera|fortuna trebbiano|??|r|trebbiano|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|caprera|fortuna trebbiano dabruzzo|it|r|trebbiano|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|caprera|le vasche cerasuolo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|caprera|le vasche cerasuolo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=661
663. W|caprera|le vasche cerasuolo|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|caprera|le vasche cerasuolo dabruzzo|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|caprera|le vasche cerasuolo dabruzzo|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|caprera|le vasche cerasuolo dabruzzo|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|caprera|le vasche montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
668. W|caprera|le vasche montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=667
669. W|caprera|le vasche montepulciano|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
670. W|caprera|le vasche montepulciano dabruzzo|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
671. W|caprera|pecorino dabruzzo|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
672. W|caprera|sotto il ceraso|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|caprera|trebbiano dabruzzo|it|r|trebbiano|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|capres|a tiges castellino 280g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
675. W|capres|au sel 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|capres|au vinaigre 140g bio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|capres|balsamique 110g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|capres|capucines le clos de laure 90g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
