W|giovanni|montisci cannonau barrosu|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 20 blue refp226609ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 20 grey refp226593ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 20 lemon refp226616ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 20 orangerefp226586ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 24 black ref226708ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 24 blue ref226685ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 24 grey ref226678ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 24 lemon ref226692ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 24 orange ref226661ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 28 black ref226784ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 28 blue ref226760ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 28 grey ref226753ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 28 lemon ref226777ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|lynx hard trolley bag 28 orange ref226746ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipro|voyager hard trolley 28 turquoise ref226401ea|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack cabernet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack dolcetto rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|gipsie|jack malbec|??|r|malbec|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack malbec langhorne creek|??|r|malbec|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack malbec langhorne creek|??|r|malbec|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack malbec|??|r|malbec|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gipsie|jack pinot gris|??|w|pinot gris|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=453
W|gipsie|jack pinot gris|??|w|pinot gris|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gipsie|jack pinot noir chardonnay sparkling|??|s|pinot noir|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gipsie|jack rose dolcetto|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|doce
W|gipsie|jack sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gipsie|jack sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=458
W|gipsie|jack sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=458
W|gipsie|jack shiraz|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack shiraz langhorne creek|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack shiraz langhorne creek|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=464
W|gipsie|jack shiraz cabernet|??|r|shiraz|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack terrier shiraz cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack the terrier shiraz cabernet langhorne creek|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsie|jack the terrier shiraz cabernet|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipskeuper|sylvaner trocken|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsy|gipsy|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsy|21|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
W|gipsy|hill glimmer|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
X
X
X
W|gipsy|hill southpaw mini cask 42|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsy|hill thundercask barrel aged saison 7|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
X
X
X
X
W|gipsy|kings|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsy|queen blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gipsy|resistencia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gipsy|wines paket|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giquel|alexandre maluseaux rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giquel|alexandre vouvray|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giquel|alexandre multitude vdf chenin blanc|??|w|chenin blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giquel|multitude chenin|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gir|face mask kit blue silicone with 5 filters|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gir|ratatosk allgrain lsett|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 03 bbs c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 05 bbs c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 05 black swivel c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 07 bbs c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 07 black swivel c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girador|ppesca marine sports nickel 09 bbs c50pcs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraf|gold 56|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffa|giraffa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffe|giraffe|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffe|9|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffe|gentle care kit|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffe|in love xs black|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giraffe|library|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|giraffe|wallhanger|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girafreb|hindbr stnger kologisk vegansk glutenfri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girafreb|jordbr stnger kologisk vegansk glutenfri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girafreb|sd lakrids stnger kologisk vegansk glutenfri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giral|finca familiar|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giralepre|toscana igt tuscany italy case|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramondo|spumante rosso dolce|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|giramonte|giramonte|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt|it|r|??|tuscany|??|2008|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi tenuta castiglioni|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt cassa legno 3 bottiglie frescobaldi|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt frescobaldi|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|rosso toscana igt|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt tenuta di castiglioni marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|giramonte|frescobaldi toscana rosso igt|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|frescobaldi|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana frescobaldi|it|r|??|tuscany|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giramonte|toscana igt|it|r|??|tuscany|??|2001|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|girapoggio|bissoni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girapoggio|cabernet doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon napa valley|us|r|cabernet sauvignon|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petit sirah napa valley|us|r|??|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|sancerre la garenne|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|sauvignon blanc napa valley|us|w|sauvignon blanc|california|napa valley|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|sancerre la garenne|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=554
W|girard|artistry|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry napa valley|us|r|??|california|napa valley|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry napa valley red|us|r|??|california|napa valley|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry napa valley red 6 case|us|r|??|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|artistry red wine|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet a mi chemin champagne chardonnay grand cru extra brut|fr|s|chardonnay|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|girard|bonnet a mi chemin champagne chardonnay grand cru extra brut|fr|s|chardonnay|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut|=562
W|girard|bonnet a michemin nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet au bout du chemin nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet blanc de blanc etra brut a mi chemin|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|girard|bonnet champagne blanc de blancs grand cru extra brut les mussettes|fr|s|??|champagne|??|2019|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|girard|bonnet champagne blanc de blancs grand cru mon village extra brut base|fr|s|??|champagne|??|2022|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|girard|bonnet champagne chardonnay cru extra brut au bout du chemin nv|fr|s|chardonnay|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|girard|bonnet champagne extra brut blanc de blancs a michemin grand cru|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|extra brut
W|girard|bonnet champagne grand cru a michemin disgorged 022024|fr|s|??|champagne|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|seco
W|girard|bonnet le mesnil sur oger mussettes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet michemin grand cru nv|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet mon village nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet nv blanc de blancs a mi chemin|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|bonnet recueil extrait no1|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|bonnet recueil extrait no2|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=578
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=578
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=578
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|girard|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|girard|cabernet sauvignon napa|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon napa valley|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|cabernet sauvignon pritchard hill|??|r|cabernet sauvignon|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|carneros chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=590
W|girard|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=592
W|girard|chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=592
W|girard|chardonnay carneros|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|chardonnay russian river|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|corton perrieres grand cru|??|r|??|??|??|2020|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|et fils terre blanche menetousalon|us|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|hautes cotes de beaune|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|jeanjacques pernand vergelesses cru sous fretille|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|la garenne sancerre|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|madoux roussanne surmaturee|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|madoux vin de savoie chignin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|madoux vin de savoie chigninbergeron|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|madoux vin de savoie mondeuse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|madoux vin de savoie pinot noir|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa cabernet|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa cabernet sauvignon|us|r|cabernet sauvignon|california|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa county cabernet sauvignonn|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa sauvignon blanc|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=611
W|girard|napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa valley cabernet sauvignon|us|r|cabernet sauvignon|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=613
W|girard|napa valley cabernet sauvignonn|us|r|cabernet sauvignon|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|napa valley sauvignon blanc|us|w|sauvignon blanc|california|napa valley|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|old vine napa zinfandel|us|r|zinfandel|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|old vine zinfandel napa|us|r|zinfandel|california|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=619
W|girard|petite sirah|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=619
W|girard|petite sirah|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|girard|petite sirah napa|us|r|??|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah napa valley|us|r|??|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah napa valley|us|r|??|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=624
W|girard|petite sirah napa valley|us|r|??|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|petite sirah napa valley|us|r|??|california|napa valley|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|girard|petite syrah|??|r|syrah|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|philippe savigny les beaunes cru les peuillets|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|red blend artistry|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|red wine artistry napa valley|us|r|??|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|red wine artistry napa valley|us|r|??|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=631
W|girard|reserve cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|sancerre 3 terroirs france|fr|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|sancerre rose 135|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girard|sancerre silex|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=637
W|girard|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|sauvignon blanc|??|w|sauvignon blanc|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=639
W|girard|sauvignon blanc napa|us|w|sauvignon blanc|california|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|sauvignon blanc napa valley|us|w|sauvignon blanc|california|napa valley|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|sauvignon blanc napa valley|us|w|sauvignon blanc|california|napa valley|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=552
W|girard|winery|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery artistry|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery artistry|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery cabernet sauvignon napa|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery chardonnay carneros|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|winery chardonnay carneros|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girard|winery old vine zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery old vine zinfandel|??|r|zinfandel|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery petit syrah napa valley|us|r|syrah|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|winery petite syrah|??|r|syrah|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel|??|r|zinfandel|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel|??|r|zinfandel|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel napa old vine|us|r|zinfandel|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel old vine|??|r|zinfandel|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel old vine|??|r|zinfandel|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel old vine napa|us|r|zinfandel|california|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel old vine napa valley|us|r|zinfandel|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girard|zinfandel old vine napa valley|us|r|zinfandel|california|napa valley|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=661
W|girardbonnet|a mi chemin chardonnay grand cru extrabrut|??|s|chardonnay|??|??|nv|12|grand cru|leve|aperitivos, frutos do mar, canapes|brut
