W|vino|opprimmerlot opt 34|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg tempo 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=442
W|vino|nobile di montepulciano docg tempo 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=442
W|vino|nobile di montepulciano docg tempo 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=442
W|vino|nobile di montepulciano docg tempo 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=442
W|vino|nobile di montepulciano docg tempo 2021 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg tempo 2021 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=447
W|vino|nobile di montepulciano docg tempo 2021 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=447
W|vino|nobile di montepulciano docg tempo 2021 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=447
W|vino|nobile di montepulciano docg tempo 2021 salcheto wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=447
W|vino|nobile di montepulciano docg talosa|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg stercolano 2000 carpineto|it|r|montepulciano|toscana|montepulciano|2000|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg stercolano 2000 carpineto|it|r|montepulciano|toscana|montepulciano|2000|13.5|docg|medio|carnes vermelhas; queijos curados|??|=453
W|vino|nobile di montepulciano docg stercolano 2000 carpineto|it|r|montepulciano|toscana|montepulciano|2000|13.5|docg|medio|carnes vermelhas; queijos curados|??|=453
W|vino|nobile di montepulciano docg soraldo magnum cassa di legno de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg soraldo magnum cassa di legno de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=456
W|vino|nobile di montepulciano docg soraldo de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg soraldo de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=458
W|vino|nobile di montepulciano docg soraldo 2016|it|r|montepulciano|toscana|montepulciano|2016|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo fattoria del cerro|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2022 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2022 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=462
W|vino|nobile di montepulciano docg silineo 2022 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=462
W|vino|nobile di montepulciano docg silineo 2022 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=462
W|vino|nobile di montepulciano docg silineo 2022 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=462
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=467
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=467
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=467
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=467
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro astuccio|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro astuccio|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=472
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro astuccio|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=472
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro astuccio|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=472
W|vino|nobile di montepulciano docg silineo 2022 fattoria del cerro tenute del cerro astuccio|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=472
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=477
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=477
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=477
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=477
W|vino|nobile di montepulciano docg silineo 2021 tenute del cerro wine outlet|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=477
W|vino|nobile di montepulciano docg silineo 2020 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg silineo 2020 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=483
W|vino|nobile di montepulciano docg sante lancerio melini|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg sante lancerio|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg santa caterina tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|nobile di montepulciano docg santa caterina tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??|=487
W|vino|nobile di montepulciano docg santa caterina tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??|=487
W|vino|nobile di montepulciano docg santa caterina tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??|=487
W|vino|nobile di montepulciano docg santa caterina magnum tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|nobile di montepulciano docg santa caterina magnum tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??|=491
W|vino|nobile di montepulciano docg santa caterina jeroboam cassa di legno tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??
W|vino|nobile di montepulciano docg santa caterina jeroboam cassa di legno tenuta tre rose|it|p|montepulciano|toscana|montepulciano|NV|11.5|docg|medio|aperitivos; frutos do mar|??|=493
W|vino|nobile di montepulciano docg salco 2018 salcheto|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg salco 2018 salcheto|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??|=495
W|vino|nobile di montepulciano docg salco 2018 salcheto|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??|=495
W|vino|nobile di montepulciano docg salcheto ko|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva tenuta calimaia frescobaldi|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva talosa|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva poderi boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva bossona dei con cassetta di legno|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva bossona dei|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg riserva|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg poliziano|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg poliziano|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=505
W|vino|nobile di montepulciano docg poggio santenrico 2015 carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg poggio santenrico 2015 carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=507
W|vino|nobile di montepulciano docg poggio santenrico 2015 carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=507
W|vino|nobile di montepulciano docg poggio santenrico 2015 carpineto|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??|=507
W|vino|nobile di montepulciano docg poderi boscarelli 2022|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg poderi boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg pieve caggiole 2021 poliziano|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg pieve caggiole 2021 poliziano|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=513
W|vino|nobile di montepulciano docg pieve caggiole 2021 poliziano|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=513
W|vino|nobile di montepulciano docg pieve caggiole 2021 poliziano|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=513
W|vino|nobile di montepulciano docg pieve caggiole 2021 poliziano|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=513
W|vino|nobile di montepulciano docg pietra rossa|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg palazzo contucci|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg pagliareto|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg nocio magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg nocio magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=521
W|vino|nobile di montepulciano docg nocio boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg nocio boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=523
W|vino|nobile di montepulciano docg mulinvecchio|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg melini|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg melini|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=526
W|vino|nobile di montepulciano docg magnum cassa di legno de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg magnum cassa di legno de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=528
W|vino|nobile di montepulciano docg magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg magnum boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=530
W|vino|nobile di montepulciano docg maggiarino 2021 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg maggiarino 2021 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=532
W|vino|nobile di montepulciano docg maggiarino 2021 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=532
W|vino|nobile di montepulciano docg maggiarino 2015 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2015|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg le caggiole 2019 poliziano|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg le caggiole 2019 poliziano|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=536
W|vino|nobile di montepulciano docg le caggiole 2019 poliziano|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=536
W|vino|nobile di montepulciano docg le caggiole 2019 poliziano|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=536
W|vino|nobile di montepulciano docg la ciarliana ml 750 cod vn006|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg la braccesca 2020 antinori|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg fontenuova|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg de ricci cantine storiche|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=543
W|vino|nobile di montepulciano docg cecchi|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg boscarelli|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=546
W|vino|nobile di montepulciano docg bio|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg bartali|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg barbicaia ml 750 cod bar02|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg avignonesi|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg asinone 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg asinone 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=552
W|vino|nobile di montepulciano docg asinone 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=552
W|vino|nobile di montepulciano docg asinone 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=552
W|vino|nobile di montepulciano docg asinone 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=552
W|vino|nobile di montepulciano docg asinone 2021 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg asinone 2021 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=557
W|vino|nobile di montepulciano docg asinone 2021 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=557
W|vino|nobile di montepulciano docg asinone 2017 poliziano|it|r|montepulciano|toscana|montepulciano|2017|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg antica chiusina 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg antica chiusina 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=561
W|vino|nobile di montepulciano docg antica chiusina 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=561
W|vino|nobile di montepulciano docg antica chiusina 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=561
W|vino|nobile di montepulciano docg antica chiusina 2019 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=561
W|vino|nobile di montepulciano docg antica chiusina 2018 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg antica chiusina 2018 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??|=566
W|vino|nobile di montepulciano docg antica chiusina 2018 tenute del cerro|it|r|montepulciano|toscana|montepulciano|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??|=566
W|vino|nobile di montepulciano docg alboreto|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg alboreto|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=569
W|vino|nobile di montepulciano docg 21|it|r|montepulciano|toscana|montepulciano|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 tenuta la braccesca|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=573
W|vino|nobile di montepulciano docg 2022 salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=573
W|vino|nobile di montepulciano docg 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=576
W|vino|nobile di montepulciano docg 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=576
W|vino|nobile di montepulciano docg 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=576
W|vino|nobile di montepulciano docg 2022 poliziano|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=576
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=581
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=581
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=581
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=581
W|vino|nobile di montepulciano docg 2022 magnum salcheto|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=581
W|vino|nobile di montepulciano docg 2022 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=587
W|vino|nobile di montepulciano docg 2022 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=587
W|vino|nobile di montepulciano docg 2022 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=587
W|vino|nobile di montepulciano docg 2022 magnum poliziano cassetta di legno|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=587
W|vino|nobile di montepulciano docg 2022 le berne 0|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2022 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=593
W|vino|nobile di montepulciano docg 2022 la braccesca antinori|it|r|montepulciano|toscana|montepulciano|2022|13.5|docg|medio|carnes vermelhas; queijos curados|??|=593
W|vino|nobile di montepulciano docg 2021 poderi boscarelli|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2021 podere le berne|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2021 podere le berne|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=597
W|vino|nobile di montepulciano docg 2021 la braccesca|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2021 la braccesca|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=599
W|vino|nobile di montepulciano docg 2021 cecchi|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2021 cecchi|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=601
W|vino|nobile di montepulciano docg 2021 cecchi|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??|=601
W|vino|nobile di montepulciano docg 2021|it|r|montepulciano|toscana|montepulciano|2021|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2020 poderi boscarelli|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2020 dei|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2020 dei|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=606
W|vino|nobile di montepulciano docg 2020 dei|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??|=606
W|vino|nobile di montepulciano docg 2020|it|r|montepulciano|toscana|montepulciano|2020|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2019 la braccesca antinori wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vino|nobile di montepulciano docg 2019 la braccesca antinori wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=610
W|vino|nobile di montepulciano docg 2019 la braccesca antinori wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=610
W|vino|nobile di montepulciano docg 2019 la braccesca antinori wine outlet|it|r|montepulciano|toscana|montepulciano|2019|13.5|docg|medio|carnes vermelhas; queijos curados|??|=610
