1. W|cantina sorbara|omaggio a gino friedmann lambrusco di sorbara brut|it|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
399. W|cantina tollo|trebbiano dabruzzo|it|r|trebbiano|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=398
400. W|cantina tollo|trebbiano dabruzzo cincanta|it|r|trebbiano|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
401. W|cantina tollo|trebbiano dabruzzo cincanta|it|r|trebbiano|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
402. W|cantina tollo|trebbiano dabruzzo insetti dop|it|r|trebbiano|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
403. W|cantina tollo|trebbiano dabruzzo tre dop|it|r|trebbiano|??|??|2019|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
404. W|cantina tombacco|aglianico del beneventano|it|r|aglianico|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
405. W|cantina tombacco|aglianico igt beneventano|it|r|aglianico|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
406. W|cantina tombacco|archivio pecorino|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
407. W|cantina tombacco|bianco igt terre siciliane origine|it|w|??|sicilia|??|2016|12.5|igt|medio|peixes, frutos do mar, saladas|seco
408. W|cantina tombacco|biferno rosso riserva doc|it|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
409. W|cantina tombacco|biferno rosso riserva doc molise italy|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
410. W|cantina tombacco|biferno rosso riserva doc molise italy|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=409
411. W|cantina tombacco|pecorino|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
412. W|cantina tombacco|tommy bacco 0 spumante|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
413. W|cantina tonello|marachelle pet nat|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
414. W|cantina tramin|tramin|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
415. W|cantina tramin|tramin|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=414
416. W|cantina tramin|alto adige 2023 stoan|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
417. W|cantina tramin|alto adige 2024 pinot bianco moriz|it|w|pinot bianco|alto adige|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
418. W|cantina tramin|alto adige 2025 pinot grigio|it|w|pinot grigio|alto adige|??|2025|12.5|??|leve|peixes, frutos do mar, saladas|seco
419. W|cantina tramin|blauburgunder pinot nero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|cantina tramin|blauburgunderpinot nero sudtirolalto aldige|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
421. W|cantina tramin|chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
422. W|cantina tramin|chardonnay doc|it|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
423. W|cantina tramin|chardonnay glarea|it|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
424. W|cantina tramin|chardonnay riserva troy|it|w|chardonnay|??|??|2021|12.5|riserva|medio|peixes, frutos do mar, saladas|seco
425. W|cantina tramin|cuvee bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
426. W|cantina tramin|cuvee t bianco|it|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
427. X
428. X
429. W|cantina tramin|cuvee t rose|it|p|??|??|??|2024|12|??|leve|carne vermelha, massas, queijos curados|seco
430. W|cantina tramin|cuvee t rosso|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
431. W|cantina tramin|cuvee t rosso|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cantina tramin|gewurztraminer|it|w|gewurztraminer|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
433. W|cantina tramin|gewurztraminer|it|w|gewurztraminer|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
434. W|cantina tramin|gewurztraminer|it|w|gewurztraminer|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco|=433
435. W|cantina tramin|gewurztraminer alto adige aromatische wijn|it|w|gewurztraminer|alto adige|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
436. W|cantina tramin|gewurztraminer nussbaumer|it|w|gewurztraminer|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
437. W|cantina tramin|gewurztraminer nussbaumer alto adige|it|w|gewurztraminer|alto adige|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
438. W|cantina tramin|gewurztraminer sudtirolalto aldige|it|w|gewurztraminer|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
439. W|cantina tramin|gewurztraminer terminum vendemmia tardiva|it|w|gewurztraminer|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
440. W|cantina tramin|gewurztraminer terminum vendemmia tardiva|it|w|gewurztraminer|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
441. W|cantina tramin|gtraminer selida|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|cantina tramin|kalterersee lago di caldaro|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|cantina tramin|kellerei chardonnay|it|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
444. W|cantina tramin|kellerei sauvignon blanc|it|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
445. W|cantina tramin|kellerei selections loam 2012 5 liter|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|cantina tramin|kellerei selections loam doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
447. W|cantina tramin|kellerei selections nussbaumer gewurztraminer|it|w|gewurztraminer|??|??|2017|12.5|??|leve|peixes, frutos do mar, saladas|seco
448. W|cantina tramin|kellerei selections nussbaumer gewurztraminer alto adige doc|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
449. W|cantina tramin|kellerei selections stoan alto adige doc|it|r|??|alto adige|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
450. W|cantina tramin|kellerei selections terminum late harvest gewurztraminer alto adige doc|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|doce
451. W|cantina tramin|kellerei troy chardonnay riserva alto adige doc|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
452. W|cantina tramin|lagrein|it|r|lagrein|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
453. W|cantina tramin|lagrein|it|r|lagrein|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
454. W|cantina tramin|lagrein|it|r|lagrein|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=453
455. X
456. X
457. W|cantina tramin|lagrein altoadige doc karaktervolle rode wijn|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
458. W|cantina tramin|lagrein doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
459. W|cantina tramin|lagrein riserva urban|it|r|lagrein|??|??|2022|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
460. W|cantina tramin|lagrein rosso alto adige|it|r|lagrein|alto adige|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
461. W|cantina tramin|lagrein rosso alto adige|it|r|lagrein|alto adige|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
462. W|cantina tramin|lagrein rosso alto adige|it|r|lagrein|alto adige|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
463. W|cantina tramin|lagrein sudtirolalto aldige|it|r|lagrein|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
464. W|cantina tramin|lagrein urban riserva alto adige doc|it|r|lagrein|alto adige|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
465. W|cantina tramin|maglen pinot nero riserva doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
466. W|cantina tramin|merlotcabernet alto adige rungg|it|r|merlot|alto adige|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
467. W|cantina tramin|moriz pinot bianco|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
468. W|cantina tramin|nussbaumer gewurztraminer alto adige doc|it|w|gewurztraminer|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
469. W|cantina tramin|pinot bianco altoadige elegante witte wijn|it|w|pinot bianco|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
470. W|cantina tramin|pinot bianco sudtirolalto aldige|it|w|pinot bianco|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
471. W|cantina tramin|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
472. W|cantina tramin|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=471
473. W|cantina tramin|pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=471
474. W|cantina tramin|pinot grigio alto adige doc|it|w|pinot grigio|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
475. W|cantina tramin|pinot grigio altoadige frisse witte wijn uit sudtirol|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
476. W|cantina tramin|pinot grigio doc|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
477. W|cantina tramin|pinot grigio sudtirolalto aldige|it|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
478. W|cantina tramin|pinot grigio unterebner|it|w|pinot grigio|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
479. W|cantina tramin|pinot grigio unterebner alto adige verfijnde witte wijn|it|w|pinot grigio|alto adige|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
480. W|cantina tramin|pinot nero|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|cantina tramin|pinot nero|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. X
483. X
484. W|cantina tramin|pinot nero maglen riserva doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
485. W|cantina tramin|pinot nero riserva maglen|it|r|??|??|??|2020|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
486. W|cantina tramin|pinot nero riserva maglen|it|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
487. W|cantina tramin|pinot nero riserva marjun|it|r|??|??|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
488. W|cantina tramin|roen gewurztraminerriesling 2012 doc|it|w|riesling|??|??|2012|12.5|doc|leve|peixes, frutos do mar, saladas|seco
489. W|cantina tramin|roen vendemmia tardiva|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|cantina tramin|roen vendemmia tardiva|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|cantina tramin|sauvignon 2021 doc|it|r|sauvignon|??|??|2021|13.5|doc|leve|carne vermelha, massas, queijos curados|seco
492. W|cantina tramin|sauvignon pepi|it|r|sauvignon|??|??|2024|13.5|??|leve|carne vermelha, massas, queijos curados|seco
493. X
494. X
495. W|cantina tramin|schiava hexenbichler|it|r|??|??|??|2021|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
496. W|cantina tramin|schiava hexenbichler|it|r|??|??|??|2022|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
497. W|cantina tramin|selection line nussbaumer gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
498. W|cantina tramin|selection line stoan cuvee bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
499. W|cantina tramin|selections stoan 2013 5 liter|it|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|cantina tramin|selida gewurztraminer|it|w|gewurztraminer|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
501. W|cantina tramin|selida gewurztraminer 2021 doc|it|w|gewurztraminer|??|??|2021|12.5|doc|leve|peixes, frutos do mar, saladas|seco
502. W|cantina tramin|stoan|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cantina tramin|stoan|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|cantina tramin|stoan|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|cantina tramin|stoan alto adige karaktervolle witte blend|it|r|??|alto adige|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|cantina tramin|t cuee bianco igt|it|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
507. W|cantina tramin|t cuvee bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
508. W|cantina tramin|t cuvee rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cantina tramin|t cuvee rosso igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
510. W|cantina tramin|troy chardonnay riserva alto adige doc|it|w|chardonnay|alto adige|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
511. W|cantina tramin|unterebner pinot grigio alto adige doc|it|w|pinot grigio|alto adige|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
512. W|cantina tramin|urban lagrein doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
513. W|cantina tre|pile barbera dalba|it|r|barbera|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
514. W|cantina tre|pile barbera dalba doc|it|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
515. W|cantina tre|pile barbera dalba doc|it|r|barbera|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
516. W|cantina tre|pile barbera dalba superiore doc|it|r|barbera|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
517. W|cantina tre|pile barolo bussia docg 2018|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
518. W|cantina tre|pile barolo bussia docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
519. W|cantina tre|pile barolo docg|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
520. W|cantina tre|pile dolcetto dalba|it|r|dolcetto|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|cantina tre|pile langhe barbera|it|r|barbera|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
522. W|cantina tre|pile langhe bianco sanba|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
523. W|cantina tre|pile langhe dolcetto|it|r|dolcetto|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|cantina tre|pile langhe nebbiolo carlin|it|r|nebbiolo|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
525. W|cantina tre|pile langhe nebbiolo carlin doc|it|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
526. W|cantina trevigiana|brut rose prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
527. W|cantina trevigiana|pinot grigio doc 12 bottles|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
528. W|cantina trevigiana|pinot grigio rose|it|p|pinot grigio|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
529. W|cantina trevigiana|prosecco spumante extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
530. W|cantina trevigiana|prosecco treviso extra dry doc nv 12 bottles|it|s|??|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
531. W|cantina tudernum|fidenzio montefalco rosso 2020 12 075|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|cantina tudernum|fidenzio sagrantino montefalco 2018 red dry 145 075|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|cantina tudernum|grechetto di todi|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|cantina tudernum|montefalco sagrantino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|cantina tudernum|montefalco sagrantino fidenzio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|cantina tudernum|sca umbria rosso red wine|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|cantina tudernum|umbria rosso|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|cantina urbana|experience|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|cantina valdadige|chardonnay vallagaraina igt trocken weiwein wein italien|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
540. W|cantina valdadige|chardonnay vallagaraina igt trocken weiwein wein italien|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=539
541. W|cantina valdadige|chardonnay vallagaraina igt trocken weiwein wein italien|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=539
542. W|cantina valdadige|chardonnay vallagaraina igt trocken weiwein wein italien|it|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=539
543. W|cantina valdadige|chardonnay vallagaraina trocken weiwein wein doc italien|it|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
544. W|cantina valdadige|chardonnay vallagaraina trocken weiwein wein doc italien|it|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=543
545. W|cantina valdadige|pinot grigio doc trocken weiwein wein doc italien|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
546. W|cantina valdadige|pinot grigio doc trocken weiwein wein doc italien|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco|=545
547. W|cantina valle|isarco 2023 kerner alto adige valle isarco italy|it|r|??|alto adige|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|cantina valle|isarco 2024 gruner veltliner|it|r|gruner veltliner|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|cantina valle|isarco aristos kerner|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|cantina valle|isarco aristos kerner|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=549
551. W|cantina valle|isarco aristos kerner|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=549
552. W|cantina valle|isarco aristos pinot grigio|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
553. W|cantina valle|isarco aristos pinot grigio|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=552
554. W|cantina valle|isarco aristos pinot grigio|it|w|pinot grigio|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco|=552
555. W|cantina valle|isarco classic pinot grigio|it|w|pinot grigio|??|??|2025|12.5|classic|leve|peixes, frutos do mar, saladas|seco
556. W|cantina valle|isarco cuvee adamantis|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|cantina valle|isarco cuvee adamantis|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
558. W|cantina valle|isarco cuvee adamantis|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=556
559. W|cantina valle|isarco eisacktal pinot grigio|it|w|pinot grigio|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
560. W|cantina valle|isarco eisacktal valle isarco lagrein|it|r|lagrein|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
561. W|cantina valle|isarco eisacktaler kellerei cantina valle isarco pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
562. W|cantina valle|isarco eisacktaler kellerei cantina valle isarco pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=561
563. W|cantina valle|isarco eisacktaler kellerei cantina valle isarco sauvignon|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
564. W|cantina valle|isarco gewurztraminer|it|w|gewurztraminer|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
565. W|cantina valle|isarco gewurztraminer doc|it|w|gewurztraminer|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
566. W|cantina valle|isarco gewurztraminer doc 075|it|w|gewurztraminer|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
567. W|cantina valle|isarco gruner veltliner aristos doc|it|r|gruner veltliner|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
568. W|cantina valle|isarco isaras brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
569. W|cantina valle|isarco kerner doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
570. W|cantina valle|isarco kerner doc 075|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
571. W|cantina valle|isarco lagrein doc|it|r|lagrein|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
572. W|cantina valle|isarco muller thurgau alto adige valle isarco doc|it|r|??|alto adige|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
573. W|cantina valle|isarco pinot bianco|it|w|pinot bianco|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
574. W|cantina valle|isarco pinot grigio|it|w|pinot grigio|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
575. W|cantina valle|isarco pinot grigio|it|w|pinot grigio|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
576. W|cantina valle|isarco pinot nero blauburgunder doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
577. W|cantina valle|isarco riesling|it|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
578. W|cantina valle|isarco riesling|it|w|riesling|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco|=577
579. W|cantina valle|isarco riesling alto adige valle isarco doc|it|w|riesling|alto adige|??|2020|12.5|doc|leve|peixes, frutos do mar, saladas|seco
580. W|cantina valle|isarco sauvignon|it|r|sauvignon|??|??|2021|13.5|??|leve|carne vermelha, massas, queijos curados|seco
581. W|cantina valle|isarco sudtirol alto adige doc chardonnay|it|w|chardonnay|alto adige|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
582. W|cantina valle|isarco sudtirol alto adige doc kerner|it|r|??|alto adige|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
583. W|cantina valle|isarco sudtirol alto adige doc pinot grigio|it|w|pinot grigio|alto adige|??|2023|12.5|doc|leve|peixes, frutos do mar, saladas|seco
584. W|cantina valle|isarco sudtirol alto adige doc pinot nero|it|r|??|alto adige|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
585. W|cantina valle|isarco sudtirol alto adige doc sylvaner|it|r|sylvaner|alto adige|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
586. W|cantina valle|isarco sudtirol alto adige doc weissburgunder pinot bianco|it|w|pinot bianco|alto adige|??|2023|12.5|doc|leve|peixes, frutos do mar, saladas|seco
587. W|cantina valle|isarco sudtirol pinot grigio|it|w|pinot grigio|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
588. W|cantina valle|isarco sylvaner doc|it|r|sylvaner|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
589. W|cantina valle|tritana 2019 tritano montepulciano dabruzzo riserva|it|r|montepulciano|??|??|2019|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
590. W|cantina valle|tritana aufinum montepulciano dabruzzo|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
591. W|cantina valle|tritana aufinum pecorino|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
592. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
593. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=592
594. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=592
595. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
596. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=595
597. W|cantina valle|tritana montepulciano dabruzzo|it|r|montepulciano|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=595
598. W|cantina valle|tritana tritano montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
599. W|cantina valle|tritana tritano montepulciano dabruzzo riserva|it|r|montepulciano|??|??|2019|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
600. W|cantina vallebelbo|moscato d asti|it|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
601. W|cantina valpane|rosso pietro barbera|it|r|barbera|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
602. S
603. S
604. S
605. W|cantina valpantena|brolo dei giusti valpolicella superiore|it|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
606. W|cantina valpantena|doc valpolicella ripasso rouge|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
607. W|cantina valpantena|doc valpolicella ripasso rouge|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=606
608. W|cantina valpantena|doc valpolicella ripasso rouge|it|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=606
