W|gucci|guilty pour homme edt spray ref924922bot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero del mare|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero del mare marche bianco igt cl150|??|w|??|??|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|guerriero del mare marche bianco igt 75|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|guerriero della terra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero della terra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=458
W|guerrieri|guerriero della terra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=458
W|guerrieri|guerriero della terra|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero della terra|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero della terra jeroboam|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero della terra marche rosso igt cl150|??|r|??|??|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero della terra rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=466
W|guerrieri|guerriero nero|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero jeroboam|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|guerriero nero marche rosso igt|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|lamico ciliegia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|lamico ciliegia vino e visciole|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|lamico ciliegio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|leo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|leo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=476
W|guerrieri|leo nv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|marche bianco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|moss|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|moss frizzante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|moss frizzante marche bianco igt|??|s|??|??|??|nv|12|igt|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|moss marche bianco igt|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|nero guerrieri|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|nero guerrieri 0375 liter|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|nero|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|passito oro dei guerrieri igt|??|d|??|??|??|2023|10|igt|encorpado|sobremesas, queijos, frutas secas|doce
W|guerrieri|quaderno di campagna confezione regalo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi calcarole amarone docg|??|r|??|??|??|2016|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|clos roareti|guerrieri rizzardi merlot|??|r|merlot|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso dop|??|r|??|??|??|2018|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi bardolino dop classico|??|r|??|??|??|2019|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave dop classico|??|r|??|??|??|2021|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella dop classico|??|r|??|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone classico docg half further stock eta early april|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella veneto italy 16|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella classico|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3 cru amarone della valpolicella classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|guerrieri|rizzardi 3 cru amarone docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3cru amarone della valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi 3cru amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone 3 cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone 3 cru|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone 3cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone 3cru|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone calcarole|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone calcarole|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella classico 3 cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella classico 3 cru|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=513
W|guerrieri|rizzardi amarone della valpolicella classico 3 cru|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella classico villa rizzardi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella villa rizzardi|??|r|??|??|??|2004|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella villa rizzardi|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella villa rizzardi|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone della valpolicella villa rizzardi|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi amarone villa rizzardi|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi bardolino classico|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi bardolino cru montebaldo delara|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi bardolino cuvee xv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi calcarole amarone classico riserva|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi calcarole amarone riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos roareti|guerrieri rizzardi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos roareti|guerrieri rizzardi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos roareti|guerrieri rizzardi|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=528
W|clos roareti|guerrieri rizzardi merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|clos roareti|guerrieri rizzardi merlot|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=530
W|clos roareti|guerrieri rizzardi merlot veneto italy|it|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi costeggiola soave classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi costeggiola soave classico|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi costeggiola soave classico|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi costeggiola soave classico doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xv bardolino|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xv bardolino classico doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xv bardolino classico red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xv bardolino classico veneto italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xvii valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xvii valpolicella|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xvii valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xvii valpolicella classico doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xx soave|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xx soave classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xx soave classico doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi cuvee xx soave classico doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=547
W|guerrieri|rizzardi delara montebaldo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi delara montebaldo bardolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi delara montebaldo bardolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=550
W|guerrieri|rizzardi extra dry prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi ferra soave classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi ferra soave classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|guerrieri|rizzardi fior di rosa chiaretto spumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi fior di rosa spumante extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi fior di rosa spumante extra dry nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi keya bardolino rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guerrieri|rizzardi keya chiaretto|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi keya chiaretto bardolino classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi keya chiaretto classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi keya chiaretto rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guerrieri|rizzardi keya rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guerrieri|rizzardi lugana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi lugana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=564
W|guerrieri|rizzardi lugana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=564
W|guerrieri|rizzardi lugana doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi munus rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi munus rosso veronese igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi munus rosso veronese igt|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi olio extra vergine di oliva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pinot grigio|??|w|pinot grigio|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pinot grigio delle venezie doc|??|w|pinot grigio|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pinot grigio delle venezie dop 125|??|w|pinot grigio|??|??|nv|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pinot grigio delle venezie dop italy|it|w|pinot grigio|??|??|2018|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pinot grigio doc delle venezie|??|w|pinot grigio|??|??|2022|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|guerrieri|rizzardi pojega ripasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella classico superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella classico superiore doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella classico superiore dop|??|r|??|??|??|2022|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella classico superiore dop|??|r|??|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella doc classico superiore|??|r|??|??|??|2014|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega ripasso valpolicella doc classico superiore|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega valpolicella classico ripasso superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega valpolicella classico superiore ripasso veneto italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi pojega valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=588
W|guerrieri|rizzardi pojega valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=588
W|guerrieri|rizzardi pojega valpolicella ripasso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=588
W|guerrieri|rizzardi pojega valpolicella ripasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi prosecco doc exta dry nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi prosecco doc nv|??|s|??|??|??|nv|12|doc|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi prosecco extra dry nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi prosecco nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=596
W|guerrieri|rizzardi prosecco spumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi prosecco treviso extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|rizzardi recioto di soave 202022|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|guerrieri|rizzardi recioto di soave classico|??|d|??|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|guerrieri|rizzardi recioto di soave classico white sweet 141 0375|??|d|??|??|??|2020|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|guerrieri|rizzardi recioto di soave classico docg|??|d|??|??|??|nv|10|docg|encorpado|sobremesas, queijos, frutas secas|doce
W|guerrieri|rizzardi soave classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave classico cru costeggiola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave classico cru costeggiola|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave classico dop 125|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave classico ferra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave cuvee xx|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi soave cuvee xx|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=609
W|guerrieri|rizzardi valpolicella|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella classico cuvee xvii|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella classico dop punane 13|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella dop classico|??|r|??|??|??|2023|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=494
W|guerrieri|rizzardi valpolicella ripasso classico superiore pojega|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi valpolicella ripasso doc classico superiore|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi villa rizzardi amarone della valpolicella classico docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rizzardi villa rizzardi amarone della valpolicella classico riserva|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rosa dei venti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|rosa dei venti|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=620
W|guerrieri|rosa dei venti marche rosato igt|??|p|??|??|??|2024|12.5|igt|leve|aperitivos, frutos do mar, saladas|seco
W|guerrieri|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|sangiovese colli pesaresi doc|??|r|sangiovese|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|spumante bianco extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|spumante bianco extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=625
W|guerrieri|spumante extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|spumante extra dry rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|spumante rose extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|guerrieri|spumante rose extra dry|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=629
W|guerrieri|zestaw 1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieri|zestaw 2|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|rizzardi 3 cru amarone docg classico 16|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|3 cru amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|3 cru amarone della valpolicella classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=634
W|guerrieririzzardi|bardolino cuvee xv|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|cuvee xv bardolino doc classico|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|lugana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrieririzzardi|pinot grigio delle venezie dop italy|it|w|pinot grigio|??|??|2019|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|guerrieririzzardi|pinot grigio delle venezie dop italy|it|w|pinot grigio|??|??|2022|12.5|dop|medio|peixes, frutos do mar, saladas|seco
W|guerrieririzzardi|valpolicella dop classico red blend italy|it|r|??|??|??|2017|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|bianco marche igt|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerriero|bianco marche igt 6st|??|w|??|??|??|nv|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerriero|del mare 6st|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|del mare marche bianco igt|??|w|??|??|??|2023|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|guerriero|della terra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|della terra sangiovese montepulciano en cabernet sauvignon marche|it|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|della terra azeinda agraria guerriero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|della terra igt 6st|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|della terra marche rosso igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|della terra rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero azeinda agraria guerriero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero igt marche rosso|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero marche igt 6st|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero marche rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero marche rosso igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|guerriero|nero marche rosso igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=656
W|guerriero|nero marche rosso igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=656
W|guerrierrizzardi|amarone villa rizzardi classico riserva|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrin|macon vergisson|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrin|pouilly fuisse la marechaude|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrin|pouilly fuisse la marechaude|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=661
W|guerrouane|beni mtir rot|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guerrouane|epicuria zouina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
