1. W|cap|maritime south coast pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
451. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
452. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
453. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
454. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
455. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
456. W|caparzo|brunello di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=391
457. W|caparzo|brunello di montalcino 2020 0|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|caparzo|brunello di montalcino 2020 bottle|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|caparzo|brunello di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
460. W|caparzo|brunello di montalcino docg|it|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
461. W|caparzo|brunello di montalcino docg|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
462. W|caparzo|brunello di montalcino docg|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|caparzo|brunello di montalcino docg|it|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
464. W|caparzo|brunello di montalcino docg|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
465. W|caparzo|brunello di montalcino engraving whoopsie|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=466
468. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=466
469. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|caparzo|brunello di montalcino la casa|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|caparzo|brunello di montalcino magnum|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
474. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
475. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|1999|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
476. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2007|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
477. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2010|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
478. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
479. W|caparzo|brunello di montalcino riserva 2017 0|it|r|??|??|??|2017|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
480. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
481. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=480
482. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=480
483. W|caparzo|brunello di montalcino riserva|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=480
484. W|caparzo|brunello di montalcino riserva 2019 0|it|r|??|??|??|2019|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
485. W|caparzo|brunello di montalcino riserva docg|it|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
486. W|caparzo|brunello di montalcino tuscany|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|caparzo|brunello di montalcino tuscany|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=486
488. W|caparzo|brunello di montalcino tuscany|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=486
489. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=494
496. W|caparzo|brunello di montalcino vigna la casa|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=494
497. W|caparzo|brunello di montalcino vigna la casa tuscany italy|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|caparzo|brunello montalcino casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|caparzo|brunello montalcino la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|caparzo|brunello montalcino la casa|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=499
501. W|caparzo|brunello montalcino la casa collection 040811|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|caparzo|brunello montalcino riserva|it|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
503. W|caparzo|brunello reserve|??|r|??|??|??|2015|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
504. W|caparzo|brunello reserve|??|r|??|??|??|2019|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
505. W|caparzo|brunello riserva 17|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
506. W|caparzo|brunello riserva docg|??|r|??|??|??|2007|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
507. W|caparzo|ca del pazzo 2018 0|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|caparzo|ca del pazzo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|caparzo|ca del pazzo 2020 0|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|caparzo|ca del pazzo|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|caparzo|ca del pazzo 2021 0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|caparzo|ca del pazzo igt|??|r|??|??|??|2017|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
513. W|caparzo|ca del pazzo igt 2017 eksklusiv supertoscaner|??|r|??|??|??|2017|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
514. W|caparzo|ca del pazzo igt|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
515. W|caparzo|ca del pazzo igt 2018 eksklusiv vin pa tilbud|??|r|??|??|??|2018|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
516. W|caparzo|ca del pazzo igt toscana|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
517. W|caparzo|cadel pazzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|caparzo|chard igt|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
519. W|caparzo|chard igt|??|r|??|??|??|2023|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=518
520. W|caparzo|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
521. W|caparzo|chardonnay igt|??|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
522. W|caparzo|chardonnay toscana 2022 0|it|w|chardonnay|toscana|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
523. W|caparzo|chardonnay toscana 2023 0|it|w|chardonnay|toscana|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
524. W|caparzo|chardonnay toscana 2024 0|it|w|chardonnay|toscana|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
525. W|caparzo|igt toscana chardonnay|it|w|chardonnay|toscana|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
526. W|caparzo|igt toscana le grance|it|r|??|toscana|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
527. W|caparzo|igt toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
528. W|caparzo|la caduta rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|caparzo|la caduta rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|caparzo|la casa|??|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|caparzo|la casa|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|caparzo|la casa brunello|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|caparzo|la casa brunello|??|r|??|??|??|1990|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2000|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|caparzo|la casa brunello di montalcino|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
540. W|caparzo|la casa brunello di montalcino 2019 0|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|caparzo|la casa brunello di montalcino 2020 0|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|caparzo|la casa brunello di montalcino docg|it|r|??|??|??|2010|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
543. W|caparzo|la grance 2019 0|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|caparzo|la grance 2020 0|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|caparzo|moscadello di montalcino 0|it|r|??|??|??|2009|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|caparzo|moscadello di montalcino 0|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|caparzo|moscadello di montalcino doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
548. W|caparzo|rio cassero brunello di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|caparzo|riserva brunello di montalcino|it|r|??|??|??|2015|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
550. W|caparzo|rosse di montalcino|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|caparzo|rosse di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|caparzo|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|caparzo|rosso 20|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|caparzo|rosso di montalcinio doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
555. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
557. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
558. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
559. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
560. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
561. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
562. W|caparzo|rosso di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=555
563. W|caparzo|rosso di montalcino|it|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|caparzo|rosso di montalcino|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|caparzo|rosso di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=394
566. W|caparzo|rosso di montalcino|it|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=394
567. W|caparzo|rosso di montalcino|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|caparzo|rosso di montalcino|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|caparzo|rosso di montalcino 2022 0|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|caparzo|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=399
571. W|caparzo|rosso di montalcino|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=399
572. W|caparzo|rosso di montalcino 2023 0|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|caparzo|rosso di montalcino|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|caparzo|rosso di montalcino 2024 0|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|caparzo|rosso di montalcino doc|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
576. W|caparzo|rosso di montalcino docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
577. W|caparzo|rosso di montalcino tuscany|it|r|??|tuscany|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
579. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
580. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
581. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
582. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
583. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
584. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
585. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
586. W|caparzo|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=578
587. W|caparzo|sangiovese|??|r|sangiovese|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
588. W|caparzo|sangiovese|??|r|sangiovese|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
589. W|caparzo|sangiovese|??|r|sangiovese|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
590. W|caparzo|sangiovese di toscana|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
591. W|caparzo|sangiovese di toscana|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=590
592. W|caparzo|sangiovese igt|??|r|sangiovese|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
593. W|caparzo|sangiovese toscana|it|r|sangiovese|toscana|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
594. W|caparzo|sangiovese toscana|it|r|sangiovese|toscana|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
595. W|caparzo|sangiovese toscana 2022 0|it|r|sangiovese|toscana|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
596. W|caparzo|sangiovese toscana 2023 0|it|r|sangiovese|toscana|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
597. W|caparzo|sangiovese toscana|it|r|sangiovese|toscana|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=400
598. W|caparzo|sangiovese toscana 2024 0|it|r|sangiovese|toscana|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
599. W|caparzo|sangiovese toscana igt|it|r|sangiovese|toscana|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
600. W|caparzo|sangiovese toscana igt|it|r|sangiovese|toscana|??|2023|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
601. W|caparzo|sangiovese toscano|??|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
602. W|caparzo|toscana bianco|it|w|??|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
603. W|caparzo|toscana bianco chardonnay igt|it|w|chardonnay|toscana|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
604. W|caparzo|toscana bianco chardonnay igt|it|w|chardonnay|toscana|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco|=603
605. W|caparzo|toscana bianco chardonnay igt 2021 elegant hvidvin|it|w|chardonnay|toscana|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
606. W|caparzo|toscana chardonnay|it|w|chardonnay|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
607. W|caparzo|toscana chardonnay|it|w|chardonnay|toscana|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=606
608. W|caparzo|toscana igt ca del pazzo|it|r|??|toscana|??|1999|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
609. W|caparzo|toscana rosso sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
610. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
611. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=610
612. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=610
613. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=610
614. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=610
615. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=610
616. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
617. W|caparzo|toscana sangiovese|it|r|sangiovese|toscana|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
618. W|caparzo|vigna la casa brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. X
620. W|capasanta|pecorino terre di chieti|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
621. S
622. W|capataz|andres cream|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|capataz|andres deluxe cream emilio lustau|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|capataz|andres deluxe cream lustau jerez spain 20 vol|es|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|capataz|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
626. W|capataz|branco 5 ltr|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
627. X
628. W|capataz|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|capataz|tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|capataz|tinto 5 ltr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|capato|maremma rosso doc 0|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
632. W|capatosta|capatosta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|capatosta|poggio argentiera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|capatosta|poggioargentiera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|capatosta|poggioargentiera 2019 toscana igt|it|r|??|toscana|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
636. W|capatosta|toscana igt 2021 poggioargentiera|it|r|??|toscana|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
637. W|capazo|artesano de palma con asas de cuero 6v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|capazo|artesano de palma con asas de pita 6v|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|capazo|pita 654|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|capazo|pita 655|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|capazo|pita 656|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|capazo|pita 657|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|capbern|capbern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|capbern|capbern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=643
645. W|capbern|capbern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=643
646. W|capbern|capbern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=643
647. W|capbern|capbern|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=643
648. W|capbern|cb3 stestephe|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|capbern|cb6 stestephe|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. X
651. W|capbern|gasqueton|??|r|??|??|??|2006|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|capcana|lipicioasa contra soarecilor mickey|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|capcana|lipitoare contra soarecilor 1722cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|capcana|pu pescuit 5cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|capcana|pu pescuit 5cm 10buc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|capcanes|cabrida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|capcanes|cabrida|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|capcanes|cabrida garnatxa|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|capcanes|cap sentit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|capcanes|carratell ranci 17o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|capcanes|cava brut reserva spain|es|s|??|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
662. W|capcanes|celler de 2022 montsant peraj petita|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|capcanes|costers del gravet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|capcanes|costers del gravet montsant do|??|r|??|??|??|2017|13.5|do|medio|carne vermelha, massas, queijos curados|seco
665. W|capcanes|flor de flor de primavera|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|capcanes|garnacha montsant terroir set|??|r|garnacha|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|capcanes|garnatxa dolca 165o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
668. W|capcanes|kosher flor de primavera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|capcanes|kosher flor de primavera|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|capcanes|la flor de primavera 2022do montsant|??|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
671. W|capcanes|la flor del de primavera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|capcanes|la flor del de primavera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=671
673. W|capcanes|la flor del flor de primavera samso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|capcanes|la flor del flor de primavera samso 16|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
