1. W|cantine colosi|nero davola terre siciliane igp|it|r|nero davola|sicilia|??|2023|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
420. W|cantine garrone|prunent valli ossolane nebbiolo superiore|it|r|nebbiolo|??|??|2019|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
421. W|cantine garrone|valli ossolane doc chardonnay la gera|it|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
422. W|cantine garrone|valli ossolane doc nebbiolo superiore diecibrente|it|r|nebbiolo|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
423. W|cantine garrone|valli ossolane doc nebbiolo superiore prunent|it|r|nebbiolo|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
424. W|cantine garrone|valli ossolane doc rosso ca dmate|it|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
425. W|cantine garrone|valli ossolane nebbiolo prunent|it|r|nebbiolo|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
426. W|cantine garrone|valli ossolane nebbiolo superiore prunent|it|r|nebbiolo|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
427. W|cantine garrone|valli ossolane nebbiolo superiore prunent|it|r|nebbiolo|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco|=426
428. W|cantine garrone|valli ossolane nebbiolo superiore prunent|it|r|nebbiolo|??|??|2018|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
429. W|cantine garrone|vino rosso munaloss|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|cantine grasso|white blend|it|w|white blend|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
431. W|cantine grillo|iole friulano|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|cantine grillo|iole refosco|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|cantine grillo|iole ribolla gialla|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|cantine grillo|iole sauvignon|it|r|sauvignon|??|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
435. W|cantine grillo|iole schioppettino|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|cantine grillo|iole verduzzo friulano|it|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|cantine guastaferro|irpinia aglianico memini|it|r|aglianico|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|cantine guastaferro|irpinia aglianico memini|it|r|aglianico|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
439. W|cantine guastaferro|taurasi primum|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
440. W|cantine guastaferro|taurasi primum|it|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
441. W|cantine guidi|chianti classico|it|r|??|chianti classico|??|1929|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
442. W|cantine guidi|guidi chianti|it|r|??|chianti|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
443. W|cantine guidi|morellino di scansano|it|r|??|??|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|cantine guidi|avus venter|it|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|cantine guidi|avus venter super tuscan igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
446. W|cantine guidi|brunello di montalcino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
447. W|cantine guidi|brunello di montalcino docg|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
448. W|cantine guidi|brunello di montalcino docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
449. W|cantine guidi|chianti classico|it|r|??|chianti classico|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
450. W|cantine guidi|chianti classico|it|r|??|chianti classico|??|2023|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
451. W|cantine guidi|chianti classico docg|it|r|??|chianti classico|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
452. W|cantine guidi|chianti classico reserva|it|r|??|chianti classico|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
453. W|cantine guidi|chianti classico riserva|it|r|??|chianti classico|??|2022|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
454. W|cantine guidi|chianti classico riserva docg|it|r|??|chianti classico|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
455. W|cantine guidi|chianti colli senesi docg|it|r|??|chianti|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
456. W|cantine guidi|chianti docg|it|r|??|chianti|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
457. W|cantine guidi|chianti docg|it|r|??|chianti|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
458. W|cantine guidi|chianti docg|it|r|??|chianti|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
459. W|cantine guidi|chianti docg|it|r|??|chianti|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
460. W|cantine guidi|daliae rosato toscano igt|it|p|??|??|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco
461. W|cantine guidi|morellino di scansano docg|it|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
462. W|cantine guidi|rosso di montalcino doc|it|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
463. W|cantine guidi|rosso di montalcino docg|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
464. W|cantine guidi|rosso toscano igt|it|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
465. W|cantine guidi|selezione luca|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|cantine guidi|vernaccia di san gimignano|it|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|cantine guidi|vernaccia di san gimignano riserva aurea docg|it|r|??|??|??|2023|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
468. W|cantine gulino|pretiosa albanello sicilia doc italy|it|r|??|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
469. W|cantine i|favati aglianico cretarossa|it|r|aglianico|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
470. W|cantine imperatore|quarto colore|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|cantine innocenti|acerone rosso di toscana|it|r|??|toscana|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|cantine innocenti|rosso di montepulciano|it|r|montepulciano|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
473. W|cantine innocenti|rosso di montepulciano|it|r|montepulciano|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
474. W|cantine innocenti|vino nobile di montepulciano|it|r|montepulciano|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
475. W|cantine innocenti|vino nobile di montepulciano riserva|it|r|montepulciano|??|??|2017|13.5|riserva|encorpado|carne vermelha, massas, queijos curados|seco
476. W|cantine intorcia|dry marsala|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
477. W|cantine intorcia|dry marsala|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=476
478. W|cantine intorcia|heritage terre siciliane bianco passito liquoroso igt|it|w|??|sicilia|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|doce
479. W|cantine intorcia|marsala superiore riserva 3 gen ambra dolce|it|f|??|??|??|1980|20|riserva|encorpado|sobremesas, queijos azuis, foie gras|doce
480. W|cantine intorcia|sweet marsala|it|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
481. W|cantine ionis|igp puglia bacca bianca|it|r|??|puglia|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
482. W|cantine ionis|igt puglia nini susumaniello|it|r|susumaniello|puglia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
483. W|cantine iorio|falanghina beneventano italy|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|cantine ippolito|calabrise|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|cantine ippolito|colli del mancuso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|cantine ippolito|i mori|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|cantine ippolito|mabilia|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|cantine ippolito|mare chiaro|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|cantine ippolito|pecorello|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|cantine ippolito|ripe del falco|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|cantine la|frassina il miglio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|cantine lavorata|anfisya rosso|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|cantine lavorata|bivongi bianco|it|w|??|??|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
494. W|cantine lavorata|ciro bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
495. W|cantine lavorata|ciro rosso classico superiore|it|r|??|??|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
496. W|cantine lavorata|greco nero|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|cantine lavorata|nero davola|it|r|nero davola|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|cantine legrotte|petrata bombino bianco|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
499. W|cantine legrotte|selva della rocca primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
500. W|cantine lenotti|125 075|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|cantine lenotti|bardolino classico veneto italy|it|r|??|veneto|??|NV|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
502. W|cantine lenotti|chiaretto bardolino|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cantine lenotti|chiaretto bardolino rose|it|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
504. W|cantine lenotti|colle dei tigli|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|cantine lenotti|colle dei tigli bianco del veneto|it|w|??|veneto|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
506. W|cantine lenotti|custoza|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. W|cantine lenotti|le olle bardolino classico superiore|it|r|??|??|??|2018|13.5|classico|medio|carne vermelha, massas, queijos curados|seco
508. W|cantine lenotti|pinot grigio doc|it|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
509. W|cantine lenotti|rosso passo collezione in botte igt veneto|it|r|??|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
510. W|cantine lenotti|rosso passo veneto rosso igt|it|r|??|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
511. W|cantine leonardo|brunello|it|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
512. W|cantine leonardo|chianti docg|it|r|??|chianti|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
513. W|cantine leonardo|chianti docg party pairs 4 bottles|it|r|??|chianti|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
514. W|cantine leonardo|da vinci brunito rosso toscana igt|it|r|??|toscana|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
515. W|cantine leonardo|da vinci chianti|it|r|??|chianti|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
516. W|cantine leonardo|da vinci chianti riserva|it|r|??|chianti|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
517. W|cantine leonardo|da vinci chianti riserva|it|r|??|chianti|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
518. W|cantine leonardo|da vinci chianti riserva|it|r|??|chianti|??|2021|13.5|do|medio|carne vermelha, massas, queijos curados|seco
519. W|cantine leonardo|da vinci vin santo dellempolese|it|d|??|??|??|NV|10.5|do|encorpado|sobremesas, frutas secas, queijos|doce
520. W|cantine leonardo|da vinci vin santo dellempolese doc|it|d|??|??|??|2012|10.5|doc|encorpado|sobremesas, frutas secas, queijos|doce
521. W|cantine leonardo|prosecco spumante|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
522. W|cantine leonardo|prosecco spumante party pairs 4 bottles|it|s|??|??|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
523. W|cantine leuci|primitivo|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
524. W|cantine levorato|chardonnay veneto igt|it|w|chardonnay|veneto|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
525. W|cantine litan|cian der paadisu|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|cantine litan|ciliegiolo merlot mixtio|it|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
527. W|cantine litan|cinque terre doc costa de sera|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
528. X
529. W|cantine litan|igt ciliegiolo le gruzze|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
530. W|cantine litan|pinot nero bric la ruota|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|cantine lonardo|campania bianco igp grecomusc|it|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
532. W|cantine lonardo|coste taurasi|it|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
533. W|cantine lonardo|irpinia aglianico|it|r|aglianico|??|??|2019|13.5|do|medio|carne vermelha, massas, queijos curados|seco
534. W|cantine lonardo|irpinia aglianico doc|it|r|aglianico|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
535. W|cantine lonardo|taurasi vigne dalto docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
536. W|cantine lonardo|vigne dalto taurasi|it|r|??|??|??|2016|13.5|do|medio|carne vermelha, massas, queijos curados|seco
537. W|cantine losito|fiano|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
538. W|cantine losito|igp puglia cabernet sauvignon|it|r|cabernet sauvignon|puglia|??|2018|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
539. W|cantine losito|igp puglia falanghina|it|r|??|puglia|??|2024|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
540. W|cantine losito|igp puglia falanghina|it|r|??|puglia|??|2024|13.5|igp|medio|carne vermelha, massas, queijos curados|seco|=539
541. W|cantine losito|igp puglia fiano|it|w|??|puglia|??|2024|12.5|igp|medio|peixes, frutos do mar, saladas|seco
542. W|cantine losito|igp puglia nero di troia|it|r|??|puglia|??|2021|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
543. W|cantine losito|igp puglia nero di troia|it|r|??|puglia|??|2021|13.5|igp|medio|carne vermelha, massas, queijos curados|seco|=542
544. W|cantine losito|primitivo igp puglia|it|r|primitivo|puglia|??|NV|13.5|igp|encorpado|carne vermelha, massas, queijos curados|seco
545. W|cantine luca|greco di bianco doc|it|w|??|??|??|2021|12.5|doc|medio|peixes, frutos do mar, saladas|seco
546. W|cantine luca|mantonico calabria igt|it|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
547. W|cantine luca|mantonikos calabria igt|it|r|??|??|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
548. W|cantine lunae|lunae|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|cantine lunae|albarola|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|cantine lunae|auxo colli di luni rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|cantine lunae|bosoni 2023 labianca liguria di levante|it|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|cantine lunae|bosoni auxo colli di luni doc liguria cantine lunae bosoni|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
553. W|cantine lunae|bosoni colli di luni etichetta grigia vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
554. W|cantine lunae|bosoni colli di luni vermentino grey label|it|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
555. W|cantine lunae|bosoni horae golfo dei poeti igt la spezia liguria cantine lunae bosoni|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
556. W|cantine lunae|bosoni millenium tertium vino spumante di qualita brut liguria|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
557. W|cantine lunae|bosoni niccolo v colli di luni doc liguria cantine lunae bosoni|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
558. W|cantine lunae|bosoni vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
559. W|cantine lunae|bosoni vermentino cavagino colli di luni doc liguria|es|s|vermentino|??|??|NV|12|doc|leve|frutos do mar, aperitivos, sushi|brut
560. W|cantine lunae|bosoni vermentino colli di luni grey label|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
561. W|cantine lunae|bosoni vermentino colli di luniliguria grey label|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
562. W|cantine lunae|bosoni vermentino etichetta grigia colli di luni doc liguria|it|w|vermentino|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
563. W|cantine lunae|bosoni vermentino etichetta nera colli di luni doc liguria|it|w|vermentino|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
564. W|cantine lunae|cavagino vermentino|es|s|vermentino|??|??|NV|12|ava|leve|frutos do mar, aperitivos, sushi|brut
565. W|cantine lunae|ciliegiolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cantine lunae|circus alicante blend|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|cantine lunae|etichetta grigia colli di luni vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
568. W|cantine lunae|etichetta grigia vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
569. W|cantine lunae|etichetta nera colli di luni vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
570. W|cantine lunae|labianca liguria di levante igt liguria italy|it|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
571. W|cantine lunae|labianca vermentino malvasia|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
572. W|cantine lunae|niccolo v sangiovese blend|it|r|sangiovese|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
573. W|cantine lunae|padre figlio vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
574. W|cantine lunae|vermentino colli di luni etichetta nera liguria|it|w|vermentino|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
575. W|cantine lunae|vermentino etichetta grigia colli di luni 2022 white dry 13 075|it|w|vermentino|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
576. W|cantine lungarotti|grechetto umbria igt|it|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
577. W|cantine lungarotti|vermentino umbria igt|it|w|vermentino|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
578. W|cantine madaudo|barone bernaj ceras|it|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
579. W|cantine madaudo|barone di bernaj alcamo bianco 2024 sicily italy|it|w|??|sicily|??|2024|12.5|do|medio|peixes, frutos do mar, saladas|seco
580. W|cantine madaudo|barone di bernaj frappato|it|r|??|??|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
581. W|cantine madaudo|barone di bernaj nerello mascalese terre siciliane 2022 sicily italy|it|r|??|sicilia|??|2022|13.5|do|medio|carne vermelha, massas, queijos curados|seco
582. W|cantine madaudo|etna bianco|it|w|??|??|??|NV|12.5|do|medio|peixes, frutos do mar, saladas|seco
583. W|cantine madaudo|etna rosso doc nv|it|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
584. W|cantine madaudo|grillo cuvee spumante extra dry terre siciliane nv sicily italy|it|s|grillo|sicilia|??|NV|12|do|leve|frutos do mar, aperitivos, sushi|brut
585. W|cantine madaudo|sicilia illustrata etna rosso 2023 sicily italy|it|r|??|sicilia|??|2023|13.5|do|medio|carne vermelha, massas, queijos curados|seco
586. W|cantine madonna|delle grazie aglianico del vulture messer oto|it|r|aglianico|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|cantine madonna|delle grazie drogone daltavilla aglianico del vulture|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|cantine madonna|delle grazie leuconoe basilicata bianco 24|it|w|??|basilicata|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
589. W|cantine madonna|delle grazie leuconoe bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
590. W|cantine madonna|delle grazie leuconoe bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=589
591. W|cantine madonna|delle grazie liscone aglianico del vulture|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|cantine madonna|delle grazie messer oto aglianico del vulture|it|r|aglianico|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|cantine maixei|barbadirame|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|cantine maixei|pigato|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|cantine maixei|vermentino|it|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
596. W|cantine marchesi|barbera della langhe|it|r|barbera|??|??|1986|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
597. W|cantine marchesi|barolo dolcetto delle langhe|it|r|dolcetto|??|??|1983|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|cantine marchesi|barolo nebbiolo delle langhe|it|r|nebbiolo|??|??|1986|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
599. W|cantine marchesi|di barolo dolcetto delle langhe|it|r|dolcetto|??|??|1982|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|cantine marchesi|di barolo freisa|it|r|??|??|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|cantine marchesi|dolcetto delle langhe|it|r|dolcetto|??|??|1976|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|cantine marchesi|freisa|it|r|??|??|??|1976|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|cantine marchesi|freisa dasti doc|it|r|??|??|??|1980|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
604. W|cantine marchesi|freisa del piemonte|it|r|??|piemonte|??|1981|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|cantine marchesie|di barolo docg|it|r|??|??|??|1974|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
606. W|cantine marisa|cuomo furore bianco|it|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
607. W|cantine maschio|brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
608. W|cantine maschio|extra dry prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
609. W|cantine maschio|prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
610. W|cantine maschio|prosecco|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut|=609
611. W|cantine maschio|prosecco biologico|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
612. W|cantine maschio|prosecco brut|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
613. W|cantine maschio|prosecco extra dry|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
614. W|cantine maschio|rose sparkling veneto|it|s|??|veneto|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
615. W|cantine massolino|barbera dalba|it|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
616. W|cantine massolino|barolo|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|cantine massolino|dolcetto dalba|it|r|dolcetto|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|cantine matrone|a muntagna bianco|it|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
619. W|cantine matrone|e magliole bianco|it|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
620. W|cantine matrone|lacryma christi del vesuvio bianco|it|w|??|??|??|2017|12.5|??|medio|peixes, frutos do mar, saladas|seco
621. W|cantine matrone|lacryma christi rosso|it|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|cantine matrone|spasso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|cantine matrone|spasso rosso|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|cantine matroni|lacryma christi del vesuvio rosso|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|cantine menhir|albanegra|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|cantine menhir|albanegra|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=625
627. W|cantine menhir|albanegra|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=625
628. W|cantine menhir|dalesio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|cantine menhir|dalesio|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=628
630. W|cantine menhir|primitivo manduria|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
631. W|cantine menhir|primitivo manduria|it|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=630
