W|hess|cabernet sauvignon mvrk retail 22|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hetre|castillon cotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux future arrival|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux future arrival|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux future arrival|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
W|hetre|castilloncotes de bordeaux future arrival|fr|??|??|bordeaux|??|NV|??|??|??|??|seco|=520
X
X
X
X
X
X
X
W|hetszolo|dry furmint 2021|??|w|furmint|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco
W|hetszolo|furmint dry 2018|??|w|furmint|??|??|2018|13|??|medio|peixes, frango, queijos leves|seco
W|hetszolo|furmint selection 2023|??|w|furmint|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|hetszolo|tokaji dry furmint 2020 selection bio|??|w|furmint|??|??|2020|13|??|medio|peixes, frango, queijos leves|seco
W|hetszolo|tokaji dry furmint 2021 bio|??|w|furmint|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=539
W|hetszolo|tokaji dry furmint bio|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hetszolo|tokaji dry furmint selection|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
W|hetszolo|tokaji dry furmint selection bio|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
W|hetszolo|tokaji dry furmint selection hungary|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
X
X
X
W|hetszolo|tokaji furmint dry|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
W|hetszolo|tokaji furmint dry selection|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
W|hetszolo|tokaji furmint selection 2020 135|??|w|furmint|??|??|2020|13|??|medio|peixes, frango, queijos leves|seco|=561
X
X
X
X
X
X
X
X
W|hetszolo|tokali furmint|??|w|furmint|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco|=563
X
X
W|hetta|glogg spiced wine|??|??|??|??|??|NV|??|??|??|??|seco
X
X
X
X
W|hettinga|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|heumann|la trinita villanyi cabernet franc 2018|??|r|cabernet franc|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
W|heumann|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|heumann|merlot 2017 145 0|??|r|merlot|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|heumann|merlot bianco 2024|??|r|merlot|??|??|2024|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
W|heumann|rose 2023|??|p|rose|??|??|2023|??|??|medio|saladas, peixes, entradas leves|seco
X
W|heumann|syrah 2017|??|r|syrah|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|heumann|syrah dhc villany 2015|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|heumann|syrah dhc villany 2015|??|r|syrah|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=639
X
X
X
X
W|heumann|tramini gewurztraminer 2024 0|??|w|gewurztraminer|??|??|2024|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
W|heuningby|chenin blanc 2019|??|w|chenin blanc|??|??|2019|13|??|medio|peixes, frango, queijos leves|seco
W|heuningby|chenin blanc 2020|??|w|chenin blanc|??|??|2020|13|??|medio|peixes, frango, queijos leves|seco
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
X
W|hevron|heights armagedon 2013 library wine|??|??|??|??|??|2013|??|??|??|??|seco
W|hevron|heights armagedon 2014 kosher wine|??|??|??|??|??|2014|??|??|??|??|seco
X
X
X
X
X
W|hevron|heights armaguedon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights armaguedon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights eden ice wine quintessence 2007 nm|??|??|??|??|??|2007|??|??|??|??|seco
X
W|hevron|heights eden quintessence ice wine 07|??|??|??|??|??|NV|??|??|??|??|seco
W|hevron|heights eden quintessence sweet ice wine|??|??|??|??|??|NV|??|??|??|??|seco|=713
W|hevron|heights elone mamre cabernet sauvignon 12|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights ezekielxxxvi pinot noir 05|??|r|pinot noir|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
W|hevron|heights isaacs ram cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights isaacs ram cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=721
W|hevron|heights isaacs ram cabernet franc 19|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=721
W|hevron|heights isaacs ram cabernet franc 1920|??|r|cabernet franc|??|??|1920|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights isaacs ram cabernet franc kosher red wine|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=721
W|hevron|heights isaacs ram cabernet franc kosher red wine|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=721
W|hevron|heights isaacs ram cabernet franc mevushal 2020|??|r|cabernet franc|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights isaacs ram cabernet kosher red wine|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=713
W|hevron|heights isaacs ram cabernet kosher red wine|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=713
W|hevron|heights isaacs ram cabernet kosher red wine mini bottle|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=713
W|hevron|heights isaacs ram cabernet kosher red wine mini bottle|??|r|??|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=713
W|hevron|heights isaacs ram cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon 16 whatsapp deal|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon 19|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights isaacs ram cabernet sauvignon 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=737
W|hevron|heights isaacs ram cabernet sauvignon 2023|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights isaacs ram cabernet sauvignon magnum 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=737
W|hevron|heights isaacs ram cabernet sauvignon mevushal 12litertriple duble|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon mevushal 18litertriple triple duble|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon mevushal 2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=737
W|hevron|heights isaacs ram cabernet sauvignon mevushal 3liter duble|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon mevushal 6litertriple|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights isaacs ram cabernet sauvignon mevushal 9liter super|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
X
X
X
X
X
W|hevron|heights jerusalem heights cab merlot 2019|??|r|merlot|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights jerusalem heights cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights judea jospeh cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
X
X
W|hevron|heights judean heights cabarnet sauvignon 2019|??|??|sauvignon|??|??|2019|??|??|??|??|seco
W|hevron|heights judean heights merlot 2019|??|r|merlot|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=752
X
X
X
X
X
X
X
X
X
X
X
X
W|hevron|heights makhpellah cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights makhpellah cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights messody rose|??|p|rose|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco
W|hevron|heights messody rose|??|p|rose|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco|=773
W|hevron|heights messody rose 2023|??|p|rose|??|??|2023|??|??|medio|saladas, peixes, entradas leves|seco
X
X
X
W|hevron|heights pardess merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|heights pardess merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|heights pardess merlot 1314|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|heights pardess merlot 2020|??|r|merlot|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
W|hevron|heights the jacobs ladder cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=709
W|hevron|heights winery isaacs ram cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=721
X
X
W|hevron|heights winery judean vineyards makhpelah cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|heights winery judean vineyards makhpelah cabernet merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|heights winery mount hevron reserve syrah|??|r|syrah|??|??|NV|13.5|reserve|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hevron|heights winery mount hevron reserve syrah|??|r|syrah|??|??|NV|13.5|reserve|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=794
X
W|hevron|jerusalem hills sauvignon blanc|??|w|sauvignon blanc|??|??|NV|13|??|medio|peixes, frango, queijos leves|seco
W|hevron|judean heights merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=753
W|hevron|judean heights messody rose|??|p|rose|??|??|NV|??|??|medio|saladas, peixes, entradas leves|seco|=773
W|hewitson|1853 shiraz mourvedre 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|adelaide hills lu lu shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
W|hewitson|baby bush mourvedre|??|r|mourvedre|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|baby bush mourvedre|??|r|mourvedre|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=805
W|hewitson|baby bush mourvedre|??|r|mourvedre|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=805
W|hewitson|baby bush mourvedre 2017|??|r|mourvedre|??|??|2017|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|baby bush mourvedre 2020|??|r|mourvedre|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|baby bush mourvedre 2021|??|r|mourvedre|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|baby bush mourvedre 2021|??|r|mourvedre|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=810
W|hewitson|baby bush mourvedre 2021 barossa valley south australia|??|r|mourvedre|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=810
W|hewitson|baby bush mourvedre barossa valley 2015|??|r|mourvedre|??|??|2015|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
W|hewitson|barossa valley baby bush mourvedre|??|r|mourvedre|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=805
W|hewitson|barrel 1853 mourvedre shiraz 2021 3 bottles|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|bashams beach single vineyard tempranillo 2012|??|r|tempranillo|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|bashams beach single vineyard tempranillo 2012|??|r|tempranillo|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=818
W|hewitson|bashams beach single vineyard tempranillo 2012|??|r|tempranillo|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=818
W|hewitson|bashams beach single vineyard tempranillo 2012|??|r|tempranillo|??|??|2012|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=818
W|hewitson|belle ville rose 2018|??|p|rose|??|??|2018|??|??|medio|saladas, peixes, entradas leves|seco
W|hewitson|belle ville rose 2018|??|p|rose|??|??|2018|??|??|medio|saladas, peixes, entradas leves|seco|=822
W|hewitson|belle ville rose 2018|??|p|rose|??|??|2018|??|??|medio|saladas, peixes, entradas leves|seco|=822
W|hewitson|belle ville rose 2018|??|p|rose|??|??|2018|??|??|medio|saladas, peixes, entradas leves|seco|=822
W|hewitson|belle ville rose 2019|??|p|rose|??|??|2019|??|??|medio|saladas, peixes, entradas leves|seco
W|hewitson|belle ville rose 2022|??|p|rose|??|??|2022|??|??|medio|saladas, peixes, entradas leves|seco
W|hewitson|belle ville rose 2022|??|p|rose|??|??|2022|??|??|medio|saladas, peixes, entradas leves|seco|=827
W|hewitson|belle ville rose 2022|??|p|rose|??|??|2022|??|??|medio|saladas, peixes, entradas leves|seco|=827
W|hewitson|belle ville rose 2024 12 bottles|??|p|rose|??|??|2024|??|??|medio|saladas, peixes, entradas leves|seco
W|hewitson|cask 66 barossa shiraz 2023|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|dorrien bank cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|dorrien bank cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|grenache ungrafted 2024 6 bottles|??|r|grenache|??|??|2024|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|gun metal riesling|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco
W|hewitson|gun metal riesling|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=835
W|hewitson|gun metal riesling 2018|??|w|riesling|??|??|2018|10.5|??|medio|peixes, frango, queijos leves|seco
W|hewitson|gun metal riesling 2022|??|w|riesling|??|??|2022|10.5|??|medio|peixes, frango, queijos leves|seco
W|hewitson|gun metal riesling eden valley 2018|??|w|riesling|??|??|2018|10.5|??|medio|peixes, frango, queijos leves|seco|=837
W|hewitson|gun metal riesling eden valley 2018|??|w|riesling|??|??|2018|10.5|??|medio|peixes, frango, queijos leves|seco|=837
W|hewitson|gun metal riesling eden valley 2018|??|w|riesling|??|??|2018|10.5|??|medio|peixes, frango, queijos leves|seco|=837
W|hewitson|le secateur shiraz 2019 barossa valley south australia|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
W|hewitson|lu lu shiraz adelaide hills 2018|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|lulu sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco
W|hewitson|lulu sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=845
W|hewitson|lulu sauvignon blanc 2021|??|w|sauvignon blanc|??|??|2021|13|??|medio|peixes, frango, queijos leves|seco|=845
W|hewitson|lulu sauvignon blanc 2023|??|w|sauvignon blanc|??|??|2023|13|??|medio|peixes, frango, queijos leves|seco
W|hewitson|lulu shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|mad hatter shiraz 2022|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|mad hatter shiraz 2022 barossa valley south australia|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=850
X
X
X
X
X
X
X
W|hewitson|miss harry barossa gsm blended wine|??|??|??|??|??|NV|??|??|??|??|seco
W|hewitson|miss harry grenache shiraz mourvedre 2024 12 bottles|??|r|shiraz|??|??|2024|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
X
X
X
X
X
X
W|hewitson|monopole baro shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|monopole mother vine shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|monopole mother vine shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=870
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=870
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=870
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=870
W|hewitson|monopole mother vine shiraz 2016|??|r|shiraz|??|??|2016|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=870
W|hewitson|monopole mother vine shiraz 2018|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=844
W|hewitson|monopole mother vine shiraz 2020|??|r|shiraz|??|??|2020|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|monopole mother vine shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|monopole shiraz 2022 6 bottles|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=850
W|hewitson|mother vine monopole shiraz 2018 barossa valley south australia|??|r|shiraz|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=844
W|hewitson|mother vine monopole shiraz 2019 barossa valley south australia|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=842
W|hewitson|mother vine monopole shiraz 2021 barossa valley south australia|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|mourvedre old garden 2013|??|r|mourvedre|??|??|2013|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|mourvedre old garden 6x750ml 21 2021|??|r|mourvedre|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=810
W|hewitson|ned and henry barossa shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|ned and henry shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned and henrys shiraz 2022|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=850
W|hewitson|ned henrys barossa shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned henrys shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=801
W|hewitson|ned henrys shiraz 2019 barossa valley south australia|??|r|shiraz|??|??|2019|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=842
W|hewitson|ned henrys shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned henrys shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned henrys shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned henrys shiraz 2021|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=800
W|hewitson|ned henrys shiraz 2022|??|r|shiraz|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=850
W|hewitson|ned henrys shiraz 2023 12 bottles|??|r|shiraz|??|??|2023|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=831
W|hewitson|old garden mourvedre|??|r|mourvedre|??|??|NV|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=805
W|hewitson|old garden mourvedre 2014|??|r|mourvedre|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|old garden mourvedre 2014|??|r|mourvedre|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=898
W|hewitson|old garden mourvedre 2022 6 bottles|??|r|mourvedre|??|??|2022|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar falkenberg vineyard shiraz 2014|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar falkenberg vineyard shiraz 2014|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=901
W|hewitson|private cellar falkenberg vineyard shiraz 2014|??|r|shiraz|??|??|2014|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=901
W|hewitson|private cellar grenache 2018|??|r|grenache|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar grenache 2018|??|r|grenache|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=904
W|hewitson|private cellar grenache 2018|??|r|grenache|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=904
W|hewitson|private cellar grenache 2018|??|r|grenache|??|??|2018|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=904
W|hewitson|private cellar shiraz 2005|??|r|shiraz|??|??|2005|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar shiraz mourvedre 2002|??|r|shiraz|??|??|2002|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar shiraz mourvedre 2005|??|r|shiraz|??|??|2005|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=908
W|hewitson|private cellar shiraz mourvedre 2007|??|r|shiraz|??|??|2007|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco
W|hewitson|private cellar shiraz mourvedre 2007|??|r|shiraz|??|??|2007|13.5|??|encorpado|carnes vermelhas, queijos curados, cordeiro|seco|=911
W|hewitson|riesling gun metal|??|w|riesling|??|??|NV|10.5|??|medio|peixes, frango, queijos leves|seco|=835
W|hewitson|riesling gun metal 2015 magnum|??|w|riesling|??|??|2015|10.5|??|medio|peixes, frango, queijos leves|seco
W|hewitson|riesling gun metal 2021|??|w|riesling|??|??|2021|10.5|??|medio|peixes, frango, queijos leves|seco
