1. W|jean|fournier marsannay clos du roy|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
429. W|jean|grivot vosneromanee les brulees 1er cru|??|r|??|??|??|2004|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
430. W|jean|grivot vosneromanee les brulees 1er cru|??|r|??|??|??|2016|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
431. W|jean|grivot vosneromanee les brulees 1er cru|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
432. W|jean|grivot vosneromanee les suchots 1er cru|??|r|??|??|??|2001|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
433. W|jean|grivot vosneromanee les suchots 1er cru|??|r|??|??|??|2017|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
434. X
435. W|jean|gros chambolle musigny|??|r|??|??|??|1990|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
436. W|jean|gros clos de vougeot grand cru|??|r|??|??|??|1959|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
437. W|jean|gros richebourg 1987 soiled label|??|r|??|??|??|1987|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
438. W|jean|gros richebourg|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
439. W|jean|gros richebourg|??|r|??|??|??|1988|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=438
440. W|jean|gros richebourg grand cru|??|r|??|??|??|1978|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
441. W|jean|gros richebourg grand cru|??|r|??|??|??|1986|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
442. W|jean|gros richebourg grand cru|??|r|??|??|??|1993|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
443. W|jean|gros vosne romanee clos des reas|??|r|??|??|??|1991|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
444. X
445. W|jean|grosperrin 2001 fins bois|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
446. X
447. X
448. W|jean|grosperrin n22 grande champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
449. W|jean|grosperrin n25 grande champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
450. X
451. W|jean|grosperrin n72 grande champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
452. W|jean|guiton pinot noir bourgogne cotedor|fr|r|pinot noir|bourgogne|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
453. X
454. X
455. X
456. X
457. X
458. W|jean|hugues little odisseia blanco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
459. W|jean|hugues little odisseia tinto|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
460. X
461. W|jean|huttard muscat kronenbourg vt|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
462. W|jean|huttard pinot noir letreinte sauvage|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
463. X
464. X
465. X
466. W|jean|jacques auchere sancerre blanc|fr|w|??|sancerre|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
467. W|jean|jacques bardin cotes de la charite sauvignon|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
468. W|jean|jacques bardin cotes de la charite sauvignon 2022 tilbud|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
469. W|jean|jacques bardin ctes charite sauvignon|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
470. W|jean|jacques california cabernet sauvignon|us|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
471. W|jean|jacques california cabernet sauvignon|us|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carnes vermelhas, cordeiro, queijos curados|seco
472. W|jean|jacques california chardonnay|us|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
473. W|jean|jacques california chardonnay|us|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
474. W|jean|jacques california pinot noir|us|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
475. W|jean|jacques california pinot noir|us|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
476. W|jean|jacques california sauvignon blanc|us|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
477. W|jean|jacques california sauvignon blanc|us|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
478. W|jean|jacques confuron chambolle musigny 1er cru|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
479. W|jean|jacques confuron chambolle musigny|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
480. W|jean|jacques confuron chambolle musigny|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
481. W|jean|jacques confuron chambolle musigny|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
482. W|jean|jacques confuron clos de vougeot grand cru|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
483. W|jean|jacques confuron clos vougeot grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
484. W|jean|jacques confuron clos vougeot grand cru|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
485. W|jean|jacques confuron clos vougeot grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
486. W|jean|jacques confuron cote de nuits villages la montagne blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
487. W|jean|jacques confuron cote de nuits villages les vignottes 2019 vino rosso|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
488. W|jean|jacques confuron cote de nuits villages les vignottes|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
489. W|jean|jacques confuron cote de nuits villages les vignottes|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
490. W|jean|jacques confuron coteaux de lauxois pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
491. W|jean|jacques confuron cotes de nuits village la montagne blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
492. W|jean|jacques confuron cuvee jeuneese bourgogne rouge|fr|r|??|bourgogne|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
493. W|jean|jacques confuron cuvee jeunesse|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
494. W|jean|jacques confuron nuits saint georges 1er cru aux boudots|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
495. W|jean|jacques confuron nuits saint georges 1er cru les chaboeufs|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
496. W|jean|jacques confuron nuits saint georges 1er cru les chaboeufs|??|r|??|??|??|2023|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
497. W|jean|jacques confuron nuits saint georges les fleurieres|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
498. W|jean|jacques confuron nuits saint georges les fleurieres|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
499. W|jean|jacques confuron nuits st georges 1er cru les chaboeufs|??|r|??|??|??|2019|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
500. W|jean|jacques confuron nuits st georges 1er cru les chaboeufs|??|r|??|??|??|2020|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
501. W|jean|jacques confuron nuits st georges 1er cru les chaboeufs|??|r|??|??|??|2021|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
502. W|jean|jacques confuron nuits st georges 1er cru les chaboeufs|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
503. W|jean|jacques confuron nuits st georges les fleurieres|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
504. W|jean|jacques confuron romanee saint vivant grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
505. W|jean|jacques confuron romanee saint vivant grand cru|??|r|??|??|??|2022|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
506. W|jean|jacques confuron romanee saint vivant grand cru|??|r|??|??|??|2023|13.5|grand cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
507. X
508. X
509. W|jean|jacques girard pommard|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
510. W|jean|jacques girard savigny les beaune|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
511. W|jean|jacques morel saintaubin le ban rouge|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
512. W|jean|jacques vincent pouilly fuisse les brules chateau de fuisse|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
513. W|jean|jacques vineyards pinot noir california|us|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
514. W|jean|javillier 2023 bourgogne blanc magny|fr|w|??|bourgogne|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
515. X
516. W|jean|javillier pommard 1er cru|??|r|??|??|??|2018|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
517. W|jean|javillier pommard 1er cru|??|r|??|??|??|2022|13.5|1er cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
518. W|jean|paul versino le petit oursan blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
519. X
520. X
521. X
522. W|jean|josselin alliance champagne extra brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
523. X
524. X
525. W|jean|josselin audace champagne rose extra brut|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|extra brut
526. W|jean|josselin audace r22 nv rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
527. W|jean|josselin audace r22 nv rose|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=526
528. W|jean|josselin audace rose champagne nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
529. W|jean|josselin audace rose de saignee r20|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
530. W|jean|josselin aux origines|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
531. W|jean|josselin aux origines|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=530
532. W|jean|josselin aux origines champagne extra brut|fr|s|champagne|champagne|??|2017|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
533. W|jean|josselin champagne audace extra brut rose|fr|p|champagne|champagne|??|2019|12.5|??|leve|carnes brancas, saladas, antepastos|extra brut
534. W|jean|josselin champagne extra brut alliance france|fr|s|champagne|champagne|??|2018|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
535. W|jean|josselin contexture champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
536. X
537. X
538. X
539. X
540. W|jean|josselin cuvee de jean champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
541. X
542. W|jean|josselin cuvee des jean champagne|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
543. X
544. X
545. X
546. X
547. W|jean|josselin les blanc champagne|fr|s|champagne|champagne|??|2019|12|??|medio|aperitivos, frutos do mar, sushi|brut
548. X
549. W|jean|josselin les blancs|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
550. W|jean|josselin les blancs|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=549
551. W|jean|josselin les blancs champagne france chardonnay|fr|s|chardonnay|champagne|??|2019|12|??|medio|aperitivos, frutos do mar, sushi|brut
552. X
553. X
554. W|jean|juviniere sparkling sekt brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
555. W|jean|juviniere sparkling sekt pink|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
556. W|jean|krachtig|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
557. W|jean|krachtig 1989 uit hautmedoc|??|r|??|??|??|1989|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
558. X
559. X
560. W|jean|kreydenweiss or ange|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
561. X
562. X
563. X
564. W|jean|lallement cuvee reserve brut champagne v93|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
565. W|jean|lallement nv verzenay brut tradition base09|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
566. W|jean|lallement reserve brut champagne nv|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
567. W|jean|larc bordeaux blanc|fr|w|??|bordeaux|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
568. X
569. X
570. X
571. X
572. X
573. X
574. W|jean|latourlabille fils 2010 chardonnay bourgogne|fr|w|chardonnay|bourgogne|??|2010|12.5|??|medio|peixes, frutos do mar, saladas|seco
575. W|jean|laurence blanc de blancs reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
576. W|jean|laurent bdb reserve nv|??|r|??|??|??|NV|13.5|reserve|medio|carnes vermelhas, cordeiro, queijos curados|seco
577. W|jean|laurent blanc de blanc champagne brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
578. W|jean|laurent blanc de blanc reserve nv|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
579. W|jean|laurent blanc de blanc reserve nv magnum|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
580. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1975|12|??|medio|aperitivos, frutos do mar, sushi|brut
581. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1976|12|??|medio|aperitivos, frutos do mar, sushi|brut
582. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1992|12|??|medio|aperitivos, frutos do mar, sushi|brut
583. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1997|12|??|medio|aperitivos, frutos do mar, sushi|brut
584. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1998|12|??|medio|aperitivos, frutos do mar, sushi|brut
585. W|jean|laurent blanc de blancs brut|??|s|??|??|??|1999|12|??|medio|aperitivos, frutos do mar, sushi|brut
586. W|jean|laurent blanc de blancs brut|??|s|??|??|??|2002|12|??|medio|aperitivos, frutos do mar, sushi|brut
587. W|jean|laurent blanc de blancs brut|??|s|??|??|??|2003|12|??|medio|aperitivos, frutos do mar, sushi|brut
588. W|jean|laurent blanc de blancs brut|??|s|??|??|??|2005|12|??|medio|aperitivos, frutos do mar, sushi|brut
589. W|jean|laurent blanc de blancs brut|??|s|??|??|??|2006|12|??|medio|aperitivos, frutos do mar, sushi|brut
590. W|jean|laurent blanc de blancs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
591. W|jean|laurent blanc de blancs mag nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
592. W|jean|laurent blanc de blancs nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
593. W|jean|laurent blanc de blancs nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=592
594. W|jean|laurent blanc de blancs reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
595. W|jean|laurent blanc de blancs vintage|??|w|??|??|??|2008|12.5|??|medio|peixes, frutos do mar, saladas|seco
596. W|jean|laurent blanc de noir brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
597. W|jean|laurent blanc de noir demisec nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
598. W|jean|laurent blanc de noir nv dmagnum|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
599. W|jean|laurent blanc de noirs|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
600. W|jean|laurent blanc de noirs brut|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
601. W|jean|laurent blanc de noirs brut|??|s|??|??|??|2006|12|??|medio|aperitivos, frutos do mar, sushi|brut
602. W|jean|laurent blanc de noirs brut|??|s|??|??|??|2008|12|??|medio|aperitivos, frutos do mar, sushi|brut
603. W|jean|laurent blanc de noirs brut champagne france nv|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
604. W|jean|laurent blanc de noirs brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
605. W|jean|laurent blanc de noirs brut nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=604
606. W|jean|laurent blanc de noirs champagne brut|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
607. W|jean|laurent blanc de noirs demisec|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
608. W|jean|laurent blanc de noirs nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
609. W|jean|laurent blancs de blanc reserve|??|w|??|??|??|NV|12.5|reserve|medio|peixes, frutos do mar, saladas|seco
610. W|jean|laurent brut blanc de blancs|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
611. W|jean|laurent brut blanc de blancs la griffe de lource 2009 new|??|s|??|??|??|2009|12|??|medio|aperitivos, frutos do mar, sushi|brut
612. W|jean|laurent brut blanc de noirs la griffe de lource|??|s|??|??|??|2008|12|??|medio|aperitivos, frutos do mar, sushi|brut
613. W|jean|laurent brut nature zero dosage nv|??|s|??|??|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|extra brut
614. W|jean|laurent brut rose champagne nv|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
615. W|jean|laurent brut rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
616. W|jean|laurent brut rose nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco|=615
617. W|jean|laurent brut rose nv champagne|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
618. W|jean|laurent champagne blanc de blancs brut reserve nv|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
619. W|jean|laurent champagne brut blanc de noirs|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut
620. W|jean|laurent champagne brut blanc de noirs|fr|s|champagne|champagne|??|NV|12|??|medio|aperitivos, frutos do mar, sushi|brut|=619
621. W|jean|laurent champagne brut reserve blanc de blancs|fr|s|champagne|champagne|??|NV|12|reserve|medio|aperitivos, frutos do mar, sushi|brut
622. W|jean|laurent champagne brut rose|fr|p|champagne|champagne|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
623. X
624. X
625. X
626. X
627. X
628. W|jean|laurent la griffe de lource brut blanc de blanc|??|s|??|??|??|2012|12|??|medio|aperitivos, frutos do mar, sushi|brut
629. W|jean|laurent la griffe de lource brut blanc de blanc|??|s|??|??|??|2012|12|??|medio|aperitivos, frutos do mar, sushi|brut|=628
630. W|jean|laurent la griffe de lource brut blanc de noir|??|s|??|??|??|2010|12|??|medio|aperitivos, frutos do mar, sushi|brut
631. W|jean|laurent la griffe de lource brut blanc de noirs|??|s|??|??|??|2009|12|??|medio|aperitivos, frutos do mar, sushi|brut
632. W|jean|laurent le griffe de lource champagne france pinot noir|fr|s|pinot noir|champagne|??|2010|12|??|medio|aperitivos, frutos do mar, sushi|brut
633. W|jean|laurent poppy blanc de blanc|??|w|??|??|??|2000|12.5|??|medio|peixes, frutos do mar, saladas|seco
634. W|jean|laurent poppy blanc de blancs brut|??|s|??|??|??|2000|12|??|medio|aperitivos, frutos do mar, sushi|brut
635. W|jean|laurent rose brut nv|??|p|??|??|??|NV|12.5|??|leve|carnes brancas, saladas, antepastos|seco
636. W|jean|laurent rose brut vintage|??|p|??|??|??|2009|12.5|??|leve|carnes brancas, saladas, antepastos|seco
637. W|jean|laurent rose champagne|fr|p|champagne|champagne|??|2009|12.5|??|leve|carnes brancas, saladas, antepastos|seco
638. X
639. X
640. X
641. W|jean|lecellier les gaudichots vosne romanee premier cru|??|r|??|??|??|NV|13.5|premier cru|medio|carnes vermelhas, cordeiro, queijos curados|seco
642. X
643. X
644. X
645. X
646. W|jean|lefort mercurey blanc aop|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
647. X
648. X
649. X
650. W|jean|lenoirs le nez du vin wine aroma kit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
651. X
652. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
653. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
654. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
655. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
656. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
657. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
658. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
659. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
660. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
661. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
662. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
663. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
664. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
665. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
666. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
667. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=661
668. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
669. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=668
670. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=668
671. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=668
672. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
673. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=672
674. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=672
675. W|jean|leon 3055 chardonnay|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
676. W|jean|leon 3055 chardonnay ecologico|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
677. W|jean|leon 3055 chardonnay penedes organic|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
678. W|jean|leon 3055 chardonnay penedes spain|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
679. W|jean|leon 3055 chardonnay spain|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
680. W|jean|leon 3055 merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
681. W|jean|leon 3055 merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=680
682. W|jean|leon 3055 merlot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
683. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
684. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=683
685. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=683
686. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
687. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=686
688. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=686
689. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2021|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=686
690. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco
691. W|jean|leon 3055 merlot petit verdot|??|r|merlot|??|??|2022|13.5|??|medio|carnes vermelhas, cordeiro, queijos curados|seco|=690
