1. W|casar de burbia|valdepineiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
404. W|casas del bosque|gran reserva pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
405. W|casas del bosque|gran reserva pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=404
406. W|casas del bosque|gran reserva pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
407. W|casas del bosque|gran reserva pinot noir 2023|pt|r|pinot noir|??|??|2023|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco|=406
408. W|casas del bosque|gran reserva pinot noir 2024|pt|r|pinot noir|??|??|2024|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
409. W|casas del bosque|gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
410. W|casas del bosque|gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=409
411. W|casas del bosque|gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=409
412. W|casas del bosque|gran reserva syrah 2021|pt|r|syrah|??|??|2021|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
413. W|casas del bosque|gran reserva syrah 2022|pt|r|syrah|??|??|2022|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
414. W|casas del bosque la cantera|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
415. W|casas del bosque la cantera|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=414
416. W|casas del bosque la cantera|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=414
417. W|casas del bosque la cantera|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
418. W|casas del bosque la cantera|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=417
419. W|casas del bosque la|trampa|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
420. W|casas del bosque la|trampa|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=419
421. W|casas del bosque la trampa|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
422. W|casas del bosque la trampa|icono|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
423. W|casas del bosque|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
424. W|casas del bosque|late harvest noble riesling 2023|pt|d|riesling|??|??|2023|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
425. W|casas del bosque|late harvest riesling|pt|d|riesling|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
426. W|casas del bosque|late harvest riesling|pt|d|riesling|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=425
427. W|casas del bosque|late harvest riesling|pt|d|riesling|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce|=425
428. W|casas del bosque|noble late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
429. W|casas del bosque|noble late harvest riesling 375cc|pt|d|riesling|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
430. W|casas del bosque pequenas producciones|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
431. W|casas del bosque pequenas producciones|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
432. W|casas del bosque pequenas producciones|pinot noir 2018|pt|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|casas del bosque pequenas producciones|pinot noir 2024|pt|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casas del bosque pequenas producciones|pinot noir casablanca valley chile 2019|pt|r|pinot noir|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casas del bosque pequenas producciones|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
436. W|casas del bosque pequenas producciones|syrah 20172018|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
437. W|casas del bosque pequenas|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
438. W|casas del bosque pequenas|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
439. W|casas del bosque pequenas|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=438
440. W|casas del bosque pequenas|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=438
441. W|casas del bosque pequenas|syrah 2021|pt|r|syrah|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
442. W|casas del bosque pequnas producciones|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
443. W|casas del bosque|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|casas del bosque|pinot noir gran res|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
445. W|casas del bosque|pinot noir gran reserva 2018|pt|r|pinot noir|??|??|2018|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
446. W|casas del bosque|pinot noir reserva 2017|pt|r|pinot noir|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
447. W|casas del bosque|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
448. W|casas del bosque|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=447
449. W|casas del bosque|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
450. W|casas del bosque|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=449
451. W|casas del bosque|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=449
452. W|casas del bosque|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=449
453. W|casas del bosque|reserva cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
454. W|casas del bosque|reserva cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
455. W|casas del bosque|reserva cabernet sauvignon 2022|pt|r|cabernet sauvignon|??|??|2022|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
456. W|casas del bosque|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
457. W|casas del bosque|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco|=456
458. W|casas del bosque|reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
459. W|casas del bosque|reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=458
460. W|casas del bosque|reserva chardonnay 2023|pt|w|chardonnay|??|??|2023|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
461. W|casas del bosque|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
462. W|casas del bosque|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=461
463. W|casas del bosque|reserva pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
464. W|casas del bosque|reserva pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=463
465. W|casas del bosque|reserva pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
466. W|casas del bosque|reserva pinot noir chile|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
467. W|casas del bosque|reserva pinot noit|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
468. W|casas del bosque|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
469. W|casas del bosque|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=468
470. W|casas del bosque|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=468
471. W|casas del bosque|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=468
472. W|casas del bosque|reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=468
473. W|casas del bosque|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
474. W|casas del bosque|riesling|pt|w|riesling|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=473
475. W|casas del bosque|riesling 2019|pt|w|riesling|??|??|2019|12.5|??|leve|frutos do mar, peixes, saladas|seco
476. W|casas del bosque|rose botanic series|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
477. W|casas del bosque|rose pinot noir|pt|p|pinot noir|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
478. W|casas del bosque|rose pinot noir 2025|pt|p|pinot noir|??|??|2025|12.5|??|leve|saladas, aves, queijos leves|seco
479. W|casas del bosque sauv|blanc|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casas del bosque|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
481. W|casas del bosque|sauvignon blanc 12 bottles|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
482. W|casas del bosque|sauvignon blanc 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
483. W|casas del bosque|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
484. W|casas del bosque|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
485. W|casas del bosque|sauvignon blanc botanic series|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
486. W|casas del bosque|sauvignon blanc gran reserva chili|pt|w|sauvignon blanc|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
487. W|casas del bosque|sauvignon blanc la cantera botanic series 1550|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
488. W|casas del bosque|sauvignon blanc pequenas producciones|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
489. W|casas del bosque|sauvignon blanc reserva|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
490. W|casas del bosque|sauvignon blanc reserva|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=489
491. W|casas del bosque|sauvignon blanc reserva|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=489
492. W|casas del bosque|sauvignon blanc reserva 2019|pt|w|sauvignon blanc|??|??|2019|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
493. W|casas del bosque|sauvignon blanc reserva 2021|pt|w|sauvignon blanc|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
494. W|casas del bosque|sauvignon blanc reserva 2022|pt|w|sauvignon blanc|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
495. W|casas del bosque|syrah gran reserva casablanca valley chile 201921 14 vol|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
496. W|casas del bosque|syrah gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
497. W|casas del bosque|syrah pequenas producciones 2014|pt|r|syrah|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
498. W|casas del bosque winemakers|selection cabernet sauvignon valle de rapel do 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
499. W|casas del bosque winemakers|selection chardonnay valle de casablanca do 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
500. W|casas del bosque winemakers|selection pinot noir valle de casablanca do 2020|pt|r|pinot noir|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|casas del bosque winemakers|selection sauvignon blanc valle de casablanca do 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
502. W|casas del maipo|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
503. W|casas del maipo|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
504. W|casas del maipo|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
505. W|casas del maipo|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
506. W|casas del maipo|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
507. W|casas del maipo|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|casas del maipo|reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
509. W|casas del maipo|reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
510. W|casas del maipo|reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
511. W|casas del maipo|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
512. W|casas del maipo|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
513. W|casas del maipo|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
514. W|casas del maipo|sauvignon blanc rose|pt|p|sauvignon blanc|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
515. W|casas del mar penedes|brut cava|es|s|??|cava|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
516. W|casas del mar penedes|rose brut cava|es|p|??|cava|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
517. W|casas del mar|sparkling rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
518. W|casas del rey muscat|organic|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|casas del toqui|barrel series cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
520. W|casas del toqui|barrel series reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
521. W|casas del toqui|barrel series reserva cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
522. W|casas del toqui|barrel series reserva cabernet sauvignon 2023|pt|r|cabernet sauvignon|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
523. W|casas del toqui|barrel series reserva carmenere 2019|pt|r|carmenere|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
524. W|casas del toqui|barrel series reserva carmenere 2021|pt|r|carmenere|??|??|2021|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
525. W|casas del toqui|barrel series reserva carmenere 2023|pt|r|carmenere|??|??|2023|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
526. W|casas del toqui|barrel series reserva carmenere cachapoal valley do 2019|pt|r|carmenere|??|??|2019|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
527. W|casas del toqui|barrel series reserva chardonnay 2021|pt|w|chardonnay|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
528. W|casas del toqui|barrel series reserva chardonnay 2022|pt|w|chardonnay|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
529. W|casas del toqui|barrel series reserva chardonnay 2025|pt|w|chardonnay|??|??|2025|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
530. W|casas del toqui|barrel series reserva chardonnay cachapoal valley do 2020|pt|w|chardonnay|??|??|2020|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
531. W|casas del toqui|barrel series reserva merlot 2021|pt|r|merlot|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
532. W|casas del toqui|barrel series reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
533. W|casas del toqui|barrel series reserva pinot noir 2021|pt|r|pinot noir|??|??|2021|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
534. W|casas del toqui|barrel series reserva pinot noir 2022|pt|r|pinot noir|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
535. W|casas del toqui|barrel series reserva sauvignon blanc 2021|pt|w|sauvignon blanc|??|??|2021|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
536. W|casas del toqui|barrel series reserva sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
537. W|casas del toqui|barrel series reserva semillon|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
538. W|casas del toqui|barrel series reserva semillon 2022|pt|r|??|??|??|2022|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
539. W|casas del toqui|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
540. W|casas del toqui|cabernet sauvignon 2020|pt|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
541. W|casas del toqui|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
542. W|casas del toqui|cabernet sauvignon barrel series 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
543. W|casas del toqui|cabernet sauvignon casas del toqui cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
544. W|casas del toqui caja|12 casas del toqui gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
545. W|casas del toqui caja|12 casas del toqui gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
546. W|casas del toqui caja|12 casas del toqui gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
547. W|casas del toqui caja|12 casas del toqui reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
548. W|casas del toqui caja|12 casas del toqui reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
549. W|casas del toqui caja|12 casas del toqui reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
550. W|casas del toqui caja|12 casas del toqui reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
551. W|casas del toqui caja|12 casas del toqui reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
552. W|casas del toqui caja|12 casas del toqui reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
553. W|casas del toqui caja|12 casas del toqui reserva semillon|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
554. W|casas del toqui caja|12 codigo del toqui super premium red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|casas del toqui caja|12 gran toqui gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
556. W|casas del toqui caja|12 gran toqui gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
557. W|casas del toqui caja|12 gran toqui gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
558. W|casas del toqui caja|12 leyenda del toqui icono red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|casas del toqui caja|6 casas del toqui gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
560. W|casas del toqui caja|6 casas del toqui gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
561. W|casas del toqui caja|6 casas del toqui gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
562. W|casas del toqui caja|6 casas del toqui reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
563. W|casas del toqui caja|6 casas del toqui reserva carmenere|pt|r|carmenere|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
564. W|casas del toqui caja|6 casas del toqui reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
565. W|casas del toqui caja|6 casas del toqui reserva merlot|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
566. W|casas del toqui caja|6 casas del toqui reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
567. W|casas del toqui caja|6 casas del toqui reserva sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
568. W|casas del toqui caja|6 casas del toqui reserva semillon|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
569. W|casas del toqui caja|6 codigo del toqui super premium red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|casas del toqui caja|6 gran toqui gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
571. W|casas del toqui caja|6 gran toqui gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
572. W|casas del toqui caja|6 gran toqui gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
573. W|casas del toqui caja|6 leyenda del toqui icono red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|casas del toqui|carmenere|pt|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
575. W|casas del toqui|carmenere 2020|pt|r|carmenere|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
576. W|casas del toqui|carmenere 2021|pt|r|carmenere|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
577. W|casas del toqui|chardonnay 2021|pt|w|chardonnay|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
578. W|casas del toqui classec|cabernet sauvignon 2021|pt|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
579. W|casas del toqui classec|sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
580. W|casas del toqui coastal mist|gran reserva sauvignon blanc 2022|pt|w|sauvignon blanc|??|??|2022|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
581. W|casas del toqui coastal mist|gran reserva sauvignon blanc 2023 chile|pt|w|sauvignon blanc|??|??|2023|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
582. W|casas del toqui coastal mist terroir|selection sauvignon blanc 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
583. W|casas del toqui coastal series|reserva sauvignon blanc 2017|pt|w|sauvignon blanc|??|??|2017|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
584. W|casas del toqui codigo del toqui super|premium red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casas del toqui|gran cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
586. W|casas del toqui|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
587. W|casas del toqui|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=586
588. W|casas del toqui|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
589. W|casas del toqui|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=588
590. W|casas del toqui|gran reserva carmenere|pt|r|carmenere|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=588
591. W|casas del toqui|gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
592. W|casas del toqui|gran reserva syrah|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco|=591
593. W|casas del toqui|gran toqui cabernet|pt|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
