1. W|capere|330gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
477. W|capitol|fizz nv capitol fizz sparkling|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
478. X
479. W|capitola|passport organizer with multiple slots|??|f|??|??|??|NV|20|??|encorpado|sobremesas, queijos azuis, foie gras|doce
480. W|capitoline|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|capitoline|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=480
482. W|capitoline|dry vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=480
483. W|capitoline|dry vermouth nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
484. W|capitoline|red cordial|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|capitoline|red vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|capitoline|red vermouth nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
487. W|capitoline|rose vermouth|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
488. W|capitoline|tiber|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|capitoline|tiber aperitivo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. S
491. S
492. W|capitoline|tiber bitters nv|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|capitoline|timber vermouth|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
494. W|capitoline|vermouth white nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
495. W|capitoline|white cordial|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
496. W|capitoline|white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
497. W|capitoline|white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=496
498. W|capitoline|white vermouth|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=496
499. W|capitoline|white vermouth nv|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
500. W|capitoline|wolf red 23|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|capitoline|wolf rose 23|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
502. W|capitoline|wolf white 23|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
503. W|capitolium|moscato di terracina passito cantina santandrea|??|w|moscato|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
504. W|capitolo|n 0 rosso piceno doc|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
505. W|capitolo|n 1 marche igt passerina|it|w|passerina|??|??|2024|12.5|igt|leve|peixes, frutos do mar, saladas|seco
506. W|capitolo|n 2 marche igt sangiovese|it|r|sangiovese|??|??|2024|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
507. W|capitolo|n 3 falerio doc|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
508. W|capitolo|n 4 lacrima di morro dalba|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|capitolo|n 4 lacrima di morro dalba doc|??|r|??|??|??|2023|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
510. W|capitolo|n 5 marche igt trebbiano|it|r|trebbiano|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
511. W|capitolo|n 6 montepulciano dabruzzo doc|it|r|montepulciano|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
512. W|capitolo|n 7 verdicchio dei castelli di jesi doc|??|r|??|??|??|2020|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
513. W|capitolo|n 7 verdicchio dei castelli di jesi doc classico|??|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
514. W|capitolo|n 8 rosso piceno doc superiore|??|r|??|??|??|2022|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
515. W|capitolo|n 9 falerio pecorino doc|??|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
516. W|capitoni|capitoni riserva orcia doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
517. W|capitoni|rustio sangiovese orcia doc|??|r|sangiovese|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
518. W|capitoul|ode aop languedoc rose|??|p|??|??|??|NV|12|doc|leve|carne vermelha, massas, queijos curados|seco
519. W|capitoul|rose bonfils|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
520. W|capitulo|7 belinda red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|capitulo|flying fish blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|capitulo|flying fish red blend|??|r|red blend|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|capitulo|flying fish red blend caja 6 botellas|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|capitulo|i cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
525. W|capitulo|ii blend|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|capitulo|siren song rose blend|??|p|??|??|??|2023|12|??|leve|carne vermelha, massas, queijos curados|seco
527. W|capitulo|siren song rose blend caja 6 botellas|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
528. W|capiz|gold picture frame 8 x 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. X
530. W|capiz|paskeg grn|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|capiz|paskeg lilla|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|capiz|picture frame mini golder round|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|capiz|picture frame with interlace 8x10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|capiz|picture frame with sunburst design white 5x7|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
535. W|capiz|picture frame with sunburst design white 8x10|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
536. W|capiz|star ornament|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|capka|cabernet sauvignon nechory vyber z hroznu suche|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
538. W|capka|frankovka pozdni sber suche|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|capka|riesling feinherb ryzlink rynsky pozdni sber polosuche|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
540. W|capka|ryzlink rynsky kabinet suche|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|capka|ryzlink rynsky kabinet suche|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
542. W|capka|ryzlink rynsky pozdni sber polosuche|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|capka|ryzlink rynsky pozdni sber terroir podkovne suche|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|capka|veltlinske zelene terroir kukvicka pozdni sber suche|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|caplenga|caplenga|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. X
547. W|caplin|barbera dalba|??|r|barbera|??|??|1998|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
548. W|capmartin|agrumes caetera pacherenc du vic bilh|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|capmartin|pimpant red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|capn|crunch berrytastic pancake mix 681g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|capo|borgo igt|??|r|??|??|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
552. W|capo|cabernet sauvignon merlot barrique 2019 weingut gebruder andres|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
553. W|capo|de casa montefalco rosso doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
554. W|capo|dei capi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|capo|di stato doc montello venegazzu superiore 2019 loredan gasparini|??|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
556. W|capo|di stato montello venegazzu doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
557. W|capo|di stato venegazzu magnum lt 15|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|capo|di vigna ancellotta igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
559. W|capo|di vigna asolo prosecco superiore millesimato dry docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
560. W|capo|di vigna cabernet franc doc|??|r|cabernet franc|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
561. W|capo|di vigna cabernet franc igt|??|r|cabernet franc|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
562. W|capo|di vigna cabernet sauvignon doc|??|r|cabernet sauvignon|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
563. W|capo|di vigna chardonnay doc|??|w|chardonnay|??|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
564. W|capo|di vigna chardonnay igt|??|w|chardonnay|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
565. W|capo|di vigna malvasia igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
566. W|capo|di vigna manzoni bianco igt|??|w|??|??|??|NV|12.5|igt|medio|peixes, frutos do mar, saladas|seco
567. W|capo|di vigna merlot doc|??|r|merlot|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
568. W|capo|di vigna merlot igt|??|r|merlot|??|??|NV|13.5|igt|encorpado|carne vermelha, massas, queijos curados|seco
569. W|capo|di vigna pinot grigio doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco
570. W|capo|di vigna pinot grigio doc|??|w|pinot grigio|??|??|NV|12.5|doc|leve|peixes, frutos do mar, saladas|seco|=569
571. W|capo|di vigna refosco igt|??|r|refosco|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
572. W|capo|di vigna refosco veneto igt|it|r|refosco|veneto|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
573. W|capo|di vigna rosso sottobosco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|capo|di vigna sauvignon igt|??|r|sauvignon|??|??|NV|13.5|igt|leve|carne vermelha, massas, queijos curados|seco
575. W|capo|di vigna traminer aromatico igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
576. W|capo|di vigna verduzzo igt|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
577. W|capo|di vigna vino rosso frizzante sottobosco igt|??|s|??|??|??|NV|12|igt|leve|frutos do mar, aperitivos, sushi|brut
578. W|capo|distria cabernet|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|capo|distria refosk|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|capo|distria shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
581. W|capo|f cannonau di sardegna doc pure sardinia|??|r|cannonau|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
582. W|capo|ferrato riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
583. W|capo|ferrato riserva|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco|=582
584. W|capo|isetta il vino frizzante sparkling wine|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
585. W|capo|le vigne cerasuolo doc|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
586. W|capo|le vigne montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
587. W|capo|le vigne montepulciano d abruzzo doc|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
588. W|capo|le vigne montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
589. W|capo|le vigne montepulciano dabruzzo doc|it|r|montepulciano|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
590. W|capo|le vigne montepulciano dabruzzo doc|it|r|montepulciano|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
591. W|capo|le vigne montepulciano dabruzzo doc|it|r|montepulciano|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=590
592. W|capo|le vigne montepulciano dabruzzo magnum doc|it|r|montepulciano|??|??|2019|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
593. W|capo|mannu boval red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|capo|mannu cannonau red wine|??|r|cannonau|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
595. W|capo|mannu vermentino white wine|??|w|vermentino|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
596. W|capo|mannu vernaccia white wine|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
597. W|capo|martino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|capo|martino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=597
599. W|capo|martino 2018 jermann|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|capo|martino|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|capo|martino jermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|capo|martino jermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=601
603. W|capo|martino jermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=601
604. W|capo|martino jermann|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|capo|martino venezia giulia igt 2016 jermann|??|r|??|??|??|2016|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
606. W|capo|martino venezia giulia igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
607. W|capo|mastro veneto igt|it|r|??|veneto|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
608. W|capo|nativo merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
609. W|capo|nativo organic cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
610. W|capo|nativo pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|capo|zafferano 2022 primitivo di manduria puglia italy|it|r|primitivo|puglia|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
612. W|capo|zafferano 2024 appassimento puglia italy|it|r|??|puglia|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|capo|zafferano appassimento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|capo|zafferano appassimento rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|capo|zafferano cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
616. W|capo|zafferano doc 2022 primitivo di manduria 0|??|r|primitivo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
617. W|capo|zafferano primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
618. W|capo|zafferano primitivo di manduria|??|r|primitivo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
619. W|capo|zafferano rosso appassimento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|capo|zafferano rosso appassimento|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|capo|zafferano sedici rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|capo3|brut leniter in itinere|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
623. W|capoalago|gewurztraminer trentino dop madonna delle vittorie|it|w|gewurztraminer|trentino|??|NV|12.5|dop|leve|peixes, frutos do mar, saladas|seco
624. W|capoani|cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
625. W|capoani|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
626. W|capoani|corte bordales|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|capoani|espumante brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
628. W|capoani|frisante chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
629. W|capoani|frisante pinot noir rose|??|p|pinot noir|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
630. W|capoani|gamay nouveau|??|r|gamay|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|capoani|gamay nouveau|??|r|gamay|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
632. W|capoani|gran corte merlot tannat|??|r|merlot|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
633. W|capoani|merlot|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
634. W|capoani|merlot dovv|??|r|merlot|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
635. W|capoani|oaked chardonnay|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
636. W|capoani|petit verdot 2020brasil petit verdot tinto32enoclubenao enoclube1ultimas 3 unidades|??|r|petit verdot|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|capoani|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|capoani|pinot noir gamay rose|??|p|pinot noir|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
639. W|capoani|pinot noir oaked|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|capoani|red blend|??|r|red blend|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|capoani|riesling renano trocken|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
642. W|capoani|shiraz|??|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
643. W|capoani|shiraz 2020brasil syrah tinto30enoclubenao enoclube|??|r|shiraz|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
644. W|capoani|vinho branco chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
645. W|capoccia|ciliegiolo doc scansano maremma toscana|it|r|??|toscana|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
646. W|capoccia|ciliegiolo maremma toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|capoccia|grillo zibibbo 135|??|r|grillo|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|capoccia|nero d avola cab sauv 135|??|r|nero d avola|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|capocolle|collezione soave doc classico|it|r|??|??|??|2024|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
650. W|capocollo|casa porciatti trancio da 500 gr ca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|capocollo|di calabria dop pic per kilo|it|r|??|??|??|NV|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
652. W|capocollo|di cinta senese 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|capocollo|di cinta senese eccellenza toscana|it|r|??|toscana|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|capocollo|di cinta senese preaffettato da 100 gr sottovuoto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|capocollo|di cinta senese sottovuoto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|capocollo|di martina franca 100 gr|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|capocollo|di martina franca cervellera|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|capocollo|di suino ibleo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|capocollo|di suino nostrano confezione da 400 gr sottovuoto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|capocollo|di suino nostrano intero da 15 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|capocollo|di suino nostrano preaffettato 100 gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|capocollo|fresco di suino nostrano preaffettato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. X
664. W|capocollo|olivieri|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|capocollo|piccante pikantni susena krkovice krajene od 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|capocollo|quattro stelle 150g sliced|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|capocollo|riserva 100 gr|??|r|??|??|??|NV|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
668. W|capocollo|tipico 12 gr 800|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
669. W|capocollo|tipico kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|capocollo|toscano di cinta senese intero da 13 kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|capocuolo|ahumado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|capocuore|igt toscana|it|r|??|toscana|??|2017|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
673. W|capodolce|capodolce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|capodolce|capodolce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=673
675. W|capoeira|branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
676. W|capoeira|tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
677. W|capoeira|tinto bib|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
678. W|capofaro|didyme|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
679. W|capofaro|capofaro|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
680. W|capofaro|malvasia di salina igt|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
681. W|capofaro|malvasia di salina igt tasca dalmerita|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
682. W|capofaro|malvasia didyme igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
683. W|capofaro|malvasia didyme igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=682
684. W|capofaro|malvasia didyme igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
685. W|capofaro|malvasia didyme igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=684
686. W|capofaro|malvasia dolce salina igt|??|r|??|??|??|2019|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
687. W|capofaro|malvasia dolce salina igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
688. W|capofaro|malvasia dolce salina igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=687
689. W|capofaro|malvasia vigna di paola igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
690. W|capofaro|malvasia vigna di paola igt|??|r|??|??|??|2020|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=689
691. W|capofaro|malvasia vigna di paola igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
692. W|capofaro|malvasia vigna di paola igt|??|r|??|??|??|2021|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=691
693. W|capofaro|salina igt bianco|??|w|??|??|??|2018|12.5|igt|medio|peixes, frutos do mar, saladas|seco
694. W|capofaro|vino vigna paola malvasia igt salina tasca dalmerita|??|r|??|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
695. W|capofoco|capofoco|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
696. W|capoforte|papanero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
697. W|capogatto|capogatto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
698. W|capogatto|poggio scaletta|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|capogatto|igt 2022 poggio scalette|??|r|??|??|??|2022|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
700. W|capogiro|montepulciano|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
701. W|capogiro|montepulciano dabruzzo|it|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
702. W|capogiro|montepulciano dabruzzo doc 2020 case only|it|r|montepulciano|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
703. W|capolavori|musicali|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
