W|gordon|macphail private collection speyburn 592 cask 6045101 refill sherry butt bottled in|??|f|??|??|??|1977|20|??|encorpado|queijos, sobremesas, chocolate|doce
W|gorghi|tondi palmares spumante extra dry rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorghi|tondi rosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi rosa dei venti|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi rosa dei venti|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi rosa dei venti nerello mascalese terre siciliane igt|it|r|??|sicily|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi rosa dei venti rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorghi|tondi segreante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi sorante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi syrah igp organic|??|r|syrah|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gorghi|tondi zibibbo secco|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|amarone della valpolicella classico|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=522
W|gorgo|bardolino chiaretto biologico|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino chiaretto dry rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|bardolino chiaretto rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|bardolino chiaretto rosato rose uit veneto|it|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|bardolino chiaretto rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|bardolino doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino doc kologisk|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino soepele rode wijn uit veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bardolino veneto italy|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|bianco custoza san michelin|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|bianco di custoza|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|bianco di custoza frisse witte wijn uit veneto|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|bianco di custoza veneto italy|it|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|blanco di custoza|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|ca nova corvina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|ca nova corvina veronese|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|ca nova rosso veronese rode wijn uit veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|canova|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|canova|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|canova igt corvina veronese|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|canova corvina verona igt|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|chardonnay frisse witte wijn uit veneto|it|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|chardonnay verona|??|w|chardonnay|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|chardonnay verona igt|??|w|chardonnay|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gorgo|chiaretto di bardolino doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|chiaretto di bardolino doc rose|??|p|??|??|??|2024|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|chiaretto rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|chiaretto rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgo|corvina verona igt ica novai|??|r|??|??|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=557
W|gorgo|custoza|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=562
W|gorgo|custoza doc san michelin|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza doc san michelin|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza podere san michelin witte wijn uit veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza san michelin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|custoza white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|organic custoza|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|pinot grigio|??|w|pinot grigio|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|pinot grigio|??|w|pinot grigio|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|pinot grigio delle venezie|??|w|pinot grigio|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgo|pinot grigio delle venezie doc|??|w|pinot grigio|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gorgo|pinot grigio delle venezie doc|??|w|pinot grigio|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=573
W|gorgo|pinot grigio delle venezie doc|??|w|pinot grigio|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gorgo|san michelin custoza|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|summa custoza superiore doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|valpolicella ripasso classico superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|valpolicella ripasso classico superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|valpolicella ripasso krachtige rode wijn uit veneto|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|verona igt ca nova corvina|??|r|??|??|??|2024|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgo|verona igt chardonnay|??|w|chardonnay|??|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gorgola|extra brut do rias baixas albarino|??|s|albarino|??|??|2015|12|??|leve|aperitivos, frutos do mar, canapes|extra brut
W|gorgollasa|des monjos tinto|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgollassa|gorgollassa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgollassa|gorgollassa|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|gorgona|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso frescobaldi cb2|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|bianco frescobaldi|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgona|costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|costa toscana igt marchesi frescobaldi 1 in cassa legno|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco|=592
W|gorgona|rosso costa toscana igt|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|bianco frescobaldi|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgona|costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgona|bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgona|bianco costa toscana igt marchesi frescobaldi|it|w|??|tuscany|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gorgona|bianco costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|w|??|tuscany|??|2024|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gorgona|bianco frescobaldi|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgona|bianco frescobaldi|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=602
W|gorgona|marchesi de frescobaldi|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=605
W|gorgona|rosso costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2019|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi in cassa legno|it|r|??|tuscany|??|2020|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2021|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2022|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgona|rosso costa toscana igt marchesi frescobaldi cassa legno 3 bottiglie|it|r|??|tuscany|??|2023|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgone|gorgone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonia|igp liguria di levante giacomelli|??|r|??|??|??|2024|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|gorgonzola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|gorgonzola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=619
W|gorgonzola|gorgonzola|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=619
W|gorgonzola|100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|1315 kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|150g italian blue|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|1kg aprox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|250g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|al cucchiaio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|al cucchiaio 6kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|aop piquant 200g|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|ascarpone 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|blue italy 100gr slice|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|cremoso dop a la cuilliere|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce|=635
W|gorgonzola|dolce 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce 15kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce 200 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce|=646
W|gorgonzola|dolce dop 110g piece zanetti|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce dop 150g|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce dop third of a pound|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce dop z lombardii|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce la tosi dop per kg|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce latte dop airfreighted|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce latte dop al cucchiaio 150g|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce latte dop al cucchiaio approx 6kg scooped it out with a spoon airfreighted in from milano italy|it|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dolce prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|doce
W|gorgonzola|dolce stellina gelmini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|dop al cucchiaio|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|dop dolce al cucchiaio|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dop dolce creamy 200gm|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dop dolce l angelo baruffaldi|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|doce
W|gorgonzola|dop pannerone 15kg|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|dop piccante 150gm|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|dop stellina gelmini 200grs|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|doux 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|et mascarpone 200g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|extra cremoso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|hacendado dop 200g|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|kremsiers auricchio 150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|mascarpone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|mascarpone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=671
W|gorgonzola|met prosecco|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gorgonzola|mountain|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|mountain piccante dop airfreighted|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|na lzicku od 100g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|natural picante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|picante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=679
W|gorgonzola|piccante|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=679
W|gorgonzola|piccante 15kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante 200 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=685
W|gorgonzola|piccante dop|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco|=685
W|gorgonzola|piccante dop 100g piece zanetti|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|piccante dop z lombardii|??|r|??|??|??|nv|13.5|dop|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|pikant|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzola|quattrorose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gorgonzola|tossi cremoso oro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzolavatsario|gorgonzolavatsario|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgonzolavatsario|150g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgorito|roble|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgorito|rueda verdejo white|es|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgorito|verdejo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgorito|verdejo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=697
W|gorgorito|verdejo|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgorito|verdejo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgorito|verdejo|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorgorlou|gorgorlou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorgorlou|gorgorlou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=702
W|gorgottesco|la spinosa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goricko|blanc marof|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|goricko|noir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|noir marof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|sauvignon kakovostno zgp marof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|sauvignon marof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|goricko|sivi pinot marof|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|alcancia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|banana|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|me encantas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|mini power banana cxa c100un 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|mini power menta cxa c100un 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorila|mini power morango cxa c100un 10|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|energydrink|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|gorilla gorilla|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|mind respawn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|mind smooth|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
X
W|gorilla|mode nitric|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|mode nitricaps|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorilla|super glue 2 011 oz tubes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorillaz|2 lp|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorio|extra dry nv malibran conegliano valdobbiadene prosecco docg 075ltr|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|gorio|prosecco superiore docg extra dry|??|s|??|??|??|nv|12|docg|leve|aperitivos, frutos do mar, canapes|seco
W|gorisca|brda beli pinot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorisca|brda chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorisca|brda chardonnay kozana|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gorisca|brda duet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gorisca|brda rebula|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
