1. W|casa ermelinda prestigious portuguese|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
416. W|casa geraldo alma|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
417. W|casa geraldo alma|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=416
418. W|casa geraldo arte|chardonnay reserva|pt|w|chardonnay|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
419. W|casa geraldo|cabernet franc gran reserva colheita de inverno 2020|pt|r|cabernet franc|??|??|2020|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
420. W|casa geraldo|cabernet sauvignon gran reserva colheita de inverno|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
421. W|casa geraldo colheita de inverno|rose syrah|pt|p|syrah|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
422. W|casa geraldo colheita de inverno|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
423. W|casa geraldo colheita de inverno|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
424. W|casa geraldo colheita de inverno|syrah gran reserva|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
425. W|casa geraldo colheita de inverno|tardia|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
426. W|casa geraldo colheita tardia|late harvest|pt|d|??|??|??|NV|10|??|encorpado|sobremesas, queijos azuis, foie gras|doce
427. W|casa geraldo collection|sangiovese|pt|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
428. W|casa geraldo collection|sangiovese|pt|r|sangiovese|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=427
429. W|casa geraldo|espumante brut metodo tradicional|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
430. W|casa geraldo|gran reserva cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
431. W|casa geraldo|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
432. W|casa geraldo|gran reserva merlot|pt|r|merlot|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
433. W|casa geraldo|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
434. W|casa geraldo|gran reserva viognier|pt|w|viognier|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
435. W|casa geraldo jatoba|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
436. W|casa geraldo jatoba|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=435
437. W|casa geraldo liberdade corte|bordales|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
438. W|casa geraldo|malbec reserva|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
439. W|casa geraldo relicario|reserva marselan e touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
440. W|casa geraldo|reserva malbec|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
441. W|casa geraldo|reserva malbec todo bien|pt|r|malbec|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
442. W|casa geraldo|reserva pinot noir|pt|r|pinot noir|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
443. W|casa geraldo|reserva sauvignon blanc colheita de inverno|pt|w|sauvignon blanc|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
444. W|casa geraldo|reserva shiraz|pt|r|shiraz|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
445. W|casa geraldo|reserva syrah|pt|r|syrah|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
446. W|casa geraldo rubranhol|gran reserva marselan|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
447. W|casa geraldo segredo|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
448. W|casa geraldo signature|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
449. W|casa geraldo signature|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=448
450. W|casa geraldo signature|cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=448
451. W|casa geraldo signature|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
452. W|casa geraldo signature colheita de inverno|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
453. W|casa geraldo signature colheita de inverno|merlot reserva|pt|r|merlot|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
454. W|casa geraldo signature|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|casa geraldo signature|reserva cabernet franc|pt|r|cabernet franc|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
456. W|casa geraldo|syrah black gran reserva|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
457. W|casa geraldo|syrah gran reserva colheita de inverno|pt|r|syrah|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
458. W|casa geraldo|viognier gran reserva 201820192020|pt|w|viognier|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
459. W|casa gheller bianco|frizzante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
460. W|casa gheller bianco|frizzante|pt|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut|=459
461. W|casa gheller|brut rose millesimato|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
462. W|casa gheller cartizze|superiore|pt|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
463. W|casa gheller cuvee|brut rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
464. W|casa gheller|prosecco brut rose|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
465. W|casa gheller|prosecco di valdobbiadene docg spumante|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
466. W|casa gheller|prosecco doc frizzante|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
467. W|casa gheller|prosecco doc rose brut|it|p|??|??|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
468. W|casa gheller|prosecco doc spumante brut|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
469. W|casa gheller|prosecco doc treviso brut|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
470. W|casa gheller|prosecco rose millesimato|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
471. W|casa gheller|prosecco treviso brut doc|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
472. W|casa gheller valdobbiadene|prosecco spumante|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
473. W|casa gheller valdobbiadene|prosecco superiore|it|s|??|??|??|NV|12|superiore|leve|aperitivos, frutos do mar, sushi|brut
474. W|casa gheller valdobbiadene|prosecco superiore docg|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
475. W|casa gheller valdobbiadene|prosecco superiore docg nv|it|s|??|??|??|NV|12|docg|leve|aperitivos, frutos do mar, sushi|brut
476. W|casa gheller valdobbiadene|prosecco superiore nv|it|s|??|??|??|NV|12|superiore|leve|aperitivos, frutos do mar, sushi|brut
477. W|casa gilioli|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|casa gilrelli villalta amarone della valpolicella|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|casa gilrelli villalta amarone della valpolicella|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=478
480. W|casa gilrelli villalta amarone della valpolicella|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=478
481. W|casa giona|amarone|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|casa giona amarone della|valpolicella|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. W|casa giona amarone della valpolicella|docg 15|pt|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
484. W|casa giona|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
485. W|casa giona|pinot grigio|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=484
486. W|casa giona|pinot grigio delle venezie|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
487. W|casa giona|pinot grigio delle venezie|pt|w|pinot grigio|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=486
488. W|casa giona ripasso valpolicella superiore|doc 14|pt|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
489. W|casa giona|riposato|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|casa giona riposato|rosso veneto|pt|r|??|veneto|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. W|casa giona|rosso riposato|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|casa giona valpolicella ripasso|superiore|pt|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
493. W|casa giona valpolicella ripasso|superiore|pt|r|??|??|??|NV|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco|=492
494. W|casa girelli canaletto bianco italiano|nv|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|casa girelli canaletto montepulciano|2022 screw cap|pt|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
496. W|casa girelli canaletto montepulciano|2022 screw cap|pt|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=495
497. W|casa girelli canaletto montepulciano|2022 screw cap|pt|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=495
498. W|casa girelli canaletto montepulciano dabruzzo|2022|pt|r|montepulciano|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
499. W|casa girelli canaletto|rosato italiano nv|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
500. W|casa girelli canaletto|rosso italiano nv|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|casa girelli fontella chianti|docg 2021|pt|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
502. W|casa girelli fontella chianti|docg 2021|pt|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=501
503. W|casa girelli fontella chianti|docg 2021|pt|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=501
504. W|casa girelli fontella chianti|docg 2022|pt|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
505. W|casa girelli fontella chianti|docg 2022|pt|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=504
506. W|casa girelli fontella chianti|docg 2022|pt|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=504
507. W|casa girelli fontella chianti|docg 2022|pt|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=504
508. W|casa girelli lamura|organic grillo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|casa girelli lamura|organic nero|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|casa girelli villalta amarone della valpolicella|docg xix 2017|pt|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
511. W|casa girelli villalta valpolicella ripasso sueriore|doc 2021|pt|r|??|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
512. W|casa girelli villalta xix|2017|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|casa gori ovoi|cabernet franc 2020|pt|r|cabernet franc|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
514. W|casa|gran del siurana anima del priorat 2022 priorat doq spain|pt|r|??|priorat|??|2022|13.5|doq|medio|carne vermelha, massas, queijos curados|seco
515. W|casa|gran del siurana cruor 2017 priorat spain|pt|r|??|priorat|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|casa|gran del siurana cruor 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|casa|gran del siurana cruor classic priorat 2019|pt|r|??|priorat|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|casa|gran del siurana gr 174|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|casa|gran del siurana gr 174 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|casa|gran del siurana gr 174 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|casa|gran del siurana gr174|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|casa|gran del siurana gr174 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|casa|gran del siurana gr174 priorat|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|casa|gran del siurana gr174 priorat|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=523
525. W|casa|gran del siurana gr174 priorat|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=523
526. W|casa|gran del siurana gr174 priorat doca|pt|r|??|priorat|??|NV|13.5|doca|medio|carne vermelha, massas, queijos curados|seco
527. W|casa|gran del siurana gr174 priorat pza|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|casa|gran del siurana gr174 priorat pza|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=527
529. W|casa|gran del siurana gran cruor 2014 seleccio caranyena priorat spain|pt|r|??|priorat|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|casa|gran del siurana gran cruor 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|casa|gran del siurana gran cruor priorat 2014|pt|r|??|priorat|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casa|gran del siurana gran cruor seleccio caranyena 2014 priorat spain|pt|r|??|priorat|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|casa|gran del siurana le fredat garnacha tinta 2019 priorat doq spain|pt|r|??|priorat|??|2019|13.5|doq|medio|carne vermelha, massas, queijos curados|seco
534. W|casa|gran del siurana priorat gr174|pt|r|??|priorat|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|casa grande 3v|gran reserva|pt|r|??|??|??|NV|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
536. W|casa grande|alvarinho 2023|pt|w|alvarinho|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
537. W|casa grande arinarnoa|reserva 2020|pt|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
538. W|casa grande arte e vina|albarino reserva 2022|pt|w|albarino|??|??|2022|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
539. W|casa grande arte e vina blend de|blancas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|casa grande arte e vina|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
541. W|casa grande arte e vina|tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
542. W|casa grande blend|branco vegano|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
543. W|casa grande blend de blancas|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|casa grande blend de tintas|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casa grande|cabernet franc 2022|pt|r|cabernet franc|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
546. W|casa grande|gran reserva cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
547. W|casa grande|gran reserva chardonnay|pt|w|chardonnay|??|??|NV|12.5|gran reserva|leve|frutos do mar, peixes, saladas|seco
548. W|casa grande|gran reserva shiraz|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
549. W|casa grande|gran rva malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
550. W|casa grande|gran rva shiraz|pt|r|shiraz|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
551. W|casa grande|gran tannacito 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|casa grande|gran tannacito tannat|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
553. W|casa grande|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
554. W|casa grande|merlot 2020|pt|r|merlot|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|casa grande|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
556. W|casa grande santana|avesso|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|casa grande santana|escolha|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|casa grande santana|loureiro|pt|w|loureiro|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
559. W|casa grande|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
560. W|casa grande|sauvignon blanc 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
561. W|casa grande|shiraz gran reserva|pt|r|shiraz|??|??|NV|13.5|gran reserva|encorpado|carne vermelha, massas, queijos curados|seco
562. W|casa grande skin contact minima intervencion|2025|pt|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|casa grande super|blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casa grande super blend|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|casa grande super blend|branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
566. W|casa grande|tannat 2022|pt|r|tannat|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
567. W|casa grande|tannat vegano|pt|r|tannat|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
568. W|casa grande uno centomila e nessuno|nebbiolo 2020|pt|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
569. W|casa grande zelante|2022 brut|pt|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, sushi|brut
570. W|casa grande zipolo|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
571. W|casa grande zipolo|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
572. W|casa grande zipolo|tinto 2024|pt|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|casa gras magnum|reserve 2016 172500|pt|r|??|??|??|2016|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
574. W|casa guell|agotada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|casa hualdo|arbequina|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|casa hualdo|cornicabra|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|casa infante colomba cafona del vesuvio|albicocca|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|casa infante colomba|pistacchio|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|casa infante colomba|praline|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|casa infante colomba|primavera|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|casa isarescu cramposie vin alb|sec|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|casa isarescu|feteasca regala vin alb sec|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|casa isarescu|merlot dragasani vin rose demisec|pt|p|merlot|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
584. W|casa isarescu negru de dragasani vin rosu|sec|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casa jardin y bricolaje muebles baules y|arcones|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|casa jipi|barbera rose|pt|p|barbera|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
587. W|casa jipi|blanco sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
588. W|casa jipi|nebbiolo|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
589. W|casa jipi|nebbiolo|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=588
590. W|casa jipi|nebbiolo 2020|pt|r|nebbiolo|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
591. W|casa jipi|nebbiolo valle de san vincente mexico|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
592. W|casa jipi|rosado barbera|pt|p|barbera|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
593. W|casa jipi|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
594. W|casa jipi|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
595. W|casa jipi|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=594
596. W|casa jipi|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=594
597. W|casa jipi|sauvignon blanc 2020|pt|w|sauvignon blanc|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
598. W|casa jipi|sauvignon blanc 2023|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
599. W|casa jipi|sauvignon blanc 2024|pt|w|sauvignon blanc|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
600. W|casa jipi|sauvignon blanc skin contact valle de san vicente|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
601. W|casa jipi|sauvignon blanc valle de san vicente baja california mexico|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
602. W|casa jipi|sauvignon blanc valle de san vicente baja california mexico|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=601
603. W|casa jipi skin contact orange|2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casa jipi|tinto nebbiolo|pt|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
605. W|casa jose pedro|alicante bouschet doc tinto 075|pt|r|alicante bouschet|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
606. W|casa jose pedro codega|do larinho branco 075|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
607. W|casa jose pedro|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
608. W|casa jose pedro|reserva branco|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
609. W|casa jose pedro|reserva branco|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco|=608
610. W|casa jose pedro|reserva branco 2024|pt|w|??|??|??|2024|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
611. W|casa jose pedro|reserva rose 075|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
612. W|casa jose pedro|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
613. W|casa jose pedro|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=612
614. W|casa jose pedro|reserva tinto 2023|pt|r|??|??|??|2023|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
615. W|casa jose pedro|reserva tinto 3lts|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
616. W|casa jose pedro|rose reserva|pt|p|??|??|??|NV|12.5|reserva|leve|saladas, aves, queijos leves|seco
617. W|casa jose pedro valpacos|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
618. W|casa jose pedro valpacos|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|casa jose pedro valpacos|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|casa juan senor de lesmos|1995 rioja gran reserva|es|r|??|rioja|??|1995|13.5|gran reserva|medio|carne vermelha, massas, queijos curados|seco
621. W|casa julia|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
622. W|casa julia|cabernet sauvignon 2019|pt|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
623. W|casa julia|cabernet sauvignon reserve 2018 maipo valley chile|pt|r|cabernet sauvignon|??|??|2018|13.5|reserve|encorpado|carne vermelha, massas, queijos curados|seco
