1. W|christian bellang et fils|meursault|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
394. W|de montille|meursault 1er cru les porusots domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=392
395. W|les porusots|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
396. W|les porusots|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2008|13.5|AOC|medio|peixe, frutos do mar|seco
397. W|domaine michel bouzereau|meursault 1er cru les perrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
398. W|de montille|meursault 1er cru les perrieres domaine|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
399. W|domaine de montille|meursault 1er cru les perrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
400. W|domaine heitzlochardet|meursault 1er cru les perrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
401. W|bernard millot|meursault 1er cru les gouttes dor domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
402. W|gouttes dor|meursault 1er cru les|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
403. W|gouttes dor|meursault 1er cru les|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
404. W|bouchard pere fils|meursault 1er cru les gouttes dor|fr|w|chardonnay|bourgogne|meursault|2012|13.5|AOC|medio|peixe, frutos do mar|seco
405. W|gouttes dor|meursault 1er cru les|fr|w|chardonnay|bourgogne|meursault|2011|13.5|AOC|medio|peixe, frutos do mar|seco
406. W|remi jobard|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
407. W|domaine michel bouzereau|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
408. W|les genevrieres|meursault 1er cru les genevrieres aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
409. W|domaine tawse|meursault 1er cru les genevrieres 675|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
410. W|domaine bernardbonin|meursault 1er cru les genevrieres 22|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
411. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
412. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
413. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
414. W|vincent girardin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
415. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
416. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
417. W|les genevrieres|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
418. W|vincent girardin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
419. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
420. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
421. W|les genevrieres|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
422. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
423. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
424. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
425. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
426. W|vincent girardin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
427. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
428. W|domaine bernardbonin|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
429. W|domaine henri boillot|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
430. W|domaine francois mikulski|meursault 1er cru les genevrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
431. W|colin philippe|meursault 1er cru les cras domaine|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
432. W|domaine buisson charles|meursault 1er cru les cras|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
433. W|domaine buisson charles|meursault 1er cru les cras|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
434. W|les cras|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
435. W|les cras|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
436. W|les cras|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
437. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
438. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
439. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
440. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
441. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
442. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
443. W|domaine bernardbonin|meursault 1er cru les charmesdessus|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
444. W|vieilles vignes|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco
445. W|remi jobard|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
446. W|domaine bernardbonin|meursault 1er cru les charmes du milieu|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
447. W|domaine bernardbonin|meursault 1er cru les charmes du milieu|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
448. W|domaine bernardbonin|meursault 1er cru les charmes du milieu|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
449. W|du milieu|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
450. W|domaine michel bouzereau|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
451. W|domaine jobard morey|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
452. W|domaine tessier|meursault 1er cru les charmes dessus blanc|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
453. W|charmes dessus|meursault 1er cru les|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
454. W|bernard bonin|meursault 1er cru les charmes dess|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
455. W|de lanlay|meursault 1er cru les charmes cuvee bahezre|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
456. W|les charmes|meursault 1er cru les charmes aoc|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
457. W|chavychouet|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
458. W|virely rougeot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
459. W|virely rougeot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco|=458
460. W|domaine xavier monnot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
461. W|la malaurie|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
462. W|domaine xavier monnot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
463. W|chateau de meursault|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
464. W|les charmes|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
465. W|les charmes|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
466. W|domaine henri boillot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
467. W|domaine henri boillot|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
468. W|domaine francois mikulski|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
469. W|david moret|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
470. W|david moret|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco
471. W|francois mikulski|meursault 1er cru les charmes|fr|w|chardonnay|bourgogne|meursault|2009|13.5|AOC|medio|peixe, frutos do mar|seco
472. W|les charmes|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
473. W|les charmes|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=472
474. W|mikulski|meursault 1er cru les caillerets|fr|w|chardonnay|bourgogne|meursault|2011|13.5|AOC|medio|peixe, frutos do mar|seco
475. W|mikulski|meursault 1er cru les caillerets|fr|w|chardonnay|bourgogne|meursault|2007|13.5|AOC|medio|peixe, frutos do mar|seco
476. W|de bellene|meursault 1er cru les boucheres maison roche|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
477. W|jean fery|meursault 1er cru les boucheres domaine|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
478. W|arnaud baillot|meursault 1er cru les boucheres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
479. W|lucien le moine|meursault 1er cru les boucheres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
480. W|remi jobard|meursault 1er cru le poruzotdessus|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
481. W|elevage prolonge|meursault 1er cru le poruzotdessus elevage prolonge aoc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
482. W|elevage prolonge|meursault 1er cru le poruzotdessus elevage prolonge aoc|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=481
483. W|le poruzot|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
484. W|paul gayot|meursault 1er cru le porusot|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
485. W|paul gayot|meursault 1er cru le porusot|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
486. W|bois ampeau|meursault 1er cru la piece sous le|fr|w|chardonnay|bourgogne|meursault|2002|13.5|AOC|medio|peixe, frutos do mar|seco
487. W|domaine robert ampeau|meursault 1er cru la piece sous le bois|fr|w|chardonnay|bourgogne|meursault|1997|13.5|AOC|medio|peixe, frutos do mar|seco
488. W|le bois|meursault 1er cru la piece sous|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
489. W|armand heitz|meursault 1er cru la perriere|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
490. W|bernard millot|meursault 1er cru la goutte dor domaine|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
491. W|gaunoux|meursault 1er cru la goutte dor|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
492. W|gaunoux|meursault 1er cru la goutte dor|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
493. W|comtesse de cherisey|meursault 1er cru la genelotte|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
494. W|la genelotte|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
495. W|domaine francois mikulski|meursault 1er cru goutte dor|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
496. W|goutte dor|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2014|13.5|AOC|medio|peixe, frutos do mar|seco
497. W|goutte dor|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2009|13.5|AOC|medio|peixe, frutos do mar|seco
498. W|goutte dor|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|1999|13.5|AOC|medio|peixe, frutos do mar|seco
499. W|goutte dor|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
500. W|remi jobard|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
501. W|philippe bouzereau|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
502. W|philippe bouzereau|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
503. W|domaine latourgiraud|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
504. W|des pierres|meursault 1er cru genevrieres cuvee|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
505. W|pere fils|meursault 1er cru genevrieres bouchard|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
506. W|bouchard pere fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
507. W|genevrieres bouchard|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
508. W|boisson anne|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
509. W|boisson anne|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=508
510. W|boisson anne|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
511. W|boisson anne|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
512. W|boisson anne|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco|=511
513. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
514. W|domaine michel bouzereau|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
515. W|domaine guy bocard|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
516. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
517. W|antoine jobard|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
518. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
519. W|coche dury|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
520. W|coche dury|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=519
521. W|meursault genevrieres|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
522. W|domaine michelot|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
523. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
524. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
525. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
526. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
527. W|coche dury|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
528. W|coche dury|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=527
529. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
530. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
531. W|domaine des comtes lafon|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
532. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
533. W|david moret|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
534. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
535. W|domaine henri boillot|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
536. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
537. W|david moret|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2016|13.5|AOC|medio|peixe, frutos do mar|seco
538. W|domaine michel bouzereau et fils|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
539. W|domaine francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
540. W|domaine des comtes lafon|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
541. W|david moret|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2013|13.5|AOC|medio|peixe, frutos do mar|seco
542. W|antoine jobard|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2012|13.5|AOC|medio|peixe, frutos do mar|seco
543. W|bellene|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2011|13.5|AOC|medio|peixe, frutos do mar|seco
544. W|francois mikulski|meursault 1er cru genevrieres|fr|w|chardonnay|bourgogne|meursault|2001|13.5|AOC|medio|peixe, frutos do mar|seco
545. W|cru genevrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco
546. W|cru genevrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=545
547. W|cru genevrieres|meursault 1er|fr|w|chardonnay|bourgogne|meursault|NV|13.5|AOC|medio|peixe, frutos do mar|seco|=545
548. W|des boucheres|meursault 1er cru domaine roulot clos|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
549. W|domaine henri boillot|meursault 1er cru clos richemont monopole|fr|w|chardonnay|bourgogne|meursault|2024|13.5|AOC|medio|peixe, frutos do mar|seco
550. W|domaine henri boillot|meursault 1er cru clos richemont monopole|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
551. W|henri boillot|meursault 1er cru clos richemont|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
552. W|clos richemont|meursault 1er cru|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
553. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
554. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=553
555. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=553
556. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=553
557. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=553
558. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco|=553
559. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
560. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=559
561. W|domaine roux|meursault 1er cru clos des poruzots|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco|=559
562. W|albert grivault|meursault 1er cru clos des perrieres monopole|fr|w|chardonnay|bourgogne|meursault|1991|13.5|AOC|medio|peixe, frutos do mar|seco
563. W|cerberon|meursault 1er cru clos des cras|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
564. W|domaine roulot|meursault 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
565. W|domaine roulot|meursault 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco|=564
566. W|domaine roulot|meursault 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
567. W|domaine roulot|meursault 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2019|13.5|AOC|medio|peixe, frutos do mar|seco
568. W|domaine roulot|meursault 1er cru clos des boucheres monopole|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
569. W|louis latour|meursault 1er cru chateau de blagny|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
570. W|philippe bouzereau|meursault 1er cru charmes|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
571. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2023|13.5|AOC|medio|peixe, frutos do mar|seco
572. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2022|13.5|AOC|medio|peixe, frutos do mar|seco
573. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2021|13.5|AOC|medio|peixe, frutos do mar|seco
574. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2020|13.5|AOC|medio|peixe, frutos do mar|seco
575. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2018|13.5|AOC|medio|peixe, frutos do mar|seco
576. W|domaine michel bouzereau et fils|meursault 1er cru charmes les charmes dessus|fr|w|chardonnay|bourgogne|meursault|2017|13.5|AOC|medio|peixe, frutos do mar|seco
577. W|domaine michel bouzereau et fils|meursault 1er cru charmes du dessus|fr|w|chardonnay|bourgogne|meursault|2015|13.5|AOC|medio|peixe, frutos do mar|seco
