1. W|cara|sur field blend tinto|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
485. W|caramel|filled mallows crunchy toffee the mallows|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
486. W|caramel|filled mallows crunchy toffee the mallows|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=485
487. X
488. X
489. W|caramel|filled mallows rich raspberry|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|caramel|filled marshmallow|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
491. X
492. X
493. X
494. W|caramel|filled passion fruit marshmallows 80g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. X
496. X
497. W|caramel|fyldte skumfiduser kaffe og hvid chokolade the mallows|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|caramel|fyldte skumfiduser ruby chokolade the mallows|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|caramel|giffard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|caramel|glazed cream puffs|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|caramel|humentash|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|caramel|iced latte|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|caramel|kezmuves tejcsokolade karamellel 50g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|caramel|lemon chewy 200g vegetarian|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|caramel|liquide royal 400g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|caramel|liquide trevi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
507. X
508. W|caramel|macchiato|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|caramel|macchiatto go chill delta 10|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|caramel|malt avangard malz|??|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
511. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
513. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
514. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
515. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
516. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
517. W|caramel|malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=511
518. W|caramel|man|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|caramel|moist cake 120gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|caramel|moist cake 130gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|caramel|papa jangles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|caramel|pebbles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|caramel|pecan chokay 70gr|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|caramel|pecan extra dark 65 chokoladebar kologisk fair trade|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|caramel|popped lotus seeds 25g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. X
527. W|caramel|rosette cake|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
528. W|caramel|saffiano keychain|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
529. W|caramel|saffiano luggage tag|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
530. W|caramel|sale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|caramel|sale a la damassine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|caramel|salt|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|caramel|salt 1kg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|caramel|salted butter isigny milk can|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. X
536. W|caramel|salted butter spread isigny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
537. W|caramel|salted giffard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|caramel|sarat tartinabil boem atelier 180g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|caramel|spread lemon 88oz lafrenchi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|caramel|strawberry marshmallow bar 55gm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|caramel|sweet bar mix of fruits on stick 25g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
542. W|caramel|sweet bar on a stickcupcake flavor 20g|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
543. X
544. W|caramel|tendre au cafe|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|caramel|tendre fudge vanille 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|caramel|toffee cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|caramel|toffee giffard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|caramel|toffee likr 18|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|caramel|toffee liquer giffard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|caramel|toffee rooibos 100g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|caramel|topping|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|caramel|topping 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|caramel|vienne malt briess|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|caramel|with barberry flavor 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|caramel|with cranberry flavor 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|caramel|with echinacea honey and lemon ricola 70g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|caramel|with pistachio cream filling 150 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|caramele|bio cu caramel sarat 120 g kuhbonbon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|caramele|bio cu lapte si unt 120 g kuhbonbon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|caramele|cafea 1kg toffix|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|caramele|cu mere antonovka si afine negre si rosii|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|caramele|fructe 1kg toffix|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|caramele|fructe 800g paradise|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|caramele|moi cu unt si smantana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|caramele|sweet drop cu lapte 150g roshen|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
566. W|caramelia|36|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|caramelised|almonds|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|caramelised|biscuit truffles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|caramelised|hazelnuts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|caramelised|onion 250g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|caramelised|onion chutney karamellisiertes zwiebelchutney 250g cartwright butler east yorkshire|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|caramelised|onion garlic chutney 300g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. X
574. W|caramelised|red onion chutney 350g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. X
576. W|caramelised|red onion marmelade mackays|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|caramelised|roasted onion in evoo 280g scovaventi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. X
579. W|caramelized|almonds dolce aveja irresistible sweet almond treat|??|d|??|??|??|NV|10.5|??|encorpado|sobremesas, frutas secas, queijos|doce
580. X
581. X
582. X
583. W|caramelized|pecans 441oz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|caramelized|pecans third of a pound|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|caramella|cagnina dolce|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|caramella|giada assortita 200g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|caramelle|al bergamotto gelee gr 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|caramelle|al bergamotto senza zucchero gr 100|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|caramelle|al miele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|caramelle|allanice unico tutone|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|caramelle|drops al miele brezzo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|caramelle|drops alle erbe apline|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|caramelle|miele e mirtillo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|caramelle|miele e zenzero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|caramelle|miele ed eucalipto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|caramelle|propoli e miele|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|caramelle|rossella fondants scatola libro medio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|caramelle|rossella gelee alla frutta scatola libro medio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|caramelle|rossella gelee alla frutta scatola libro piccolo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|caramello|salato 100 vegan|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|caramello|salato liquore s mantovani 38vol in astuccio regalo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|caramello|salato s mantovani|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|caramellona|gelee giada assortite 200g baratti milano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|caramels|au beurre sale|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|caramels|au beurre sale et au sel de guerande 50g paris caramels frankreich|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|caramels|au beurre sale fraise et au sel de guerande 50g paris caramels frankreich|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|caramels|bretons au beurre sale 150 g la maison darmorine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|caramels|et chocolats|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|caramels|pour la famille caramel et pate a tartiner caramels fondants noix de cajou au chocolat blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
610. W|caramels|tendres boite fer 150gr maison armorine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|caramels|with lemon cream filling rossana limoni 175g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|caramia|pistaccio cioccolato cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|caramia|premium classic ube cake|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
614. W|caramia|premium strawberry shortcake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|caramia|ube cake|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|caramida|lego|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|caramiel|con bromelina ha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|caramiel|con guaco homeopatia alemana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|caramino|caramino|??|r|??|??|??|1979|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|caramino|caramino|??|r|??|??|??|1979|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=619
621. W|caramino|caramino|??|r|??|??|??|1979|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=619
622. W|caramino|toscane 1961 dessilani luigi y figlio|??|r|??|??|??|1961|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|caramol|0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
624. W|caramol|caramel likeur|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|caramote|prawn tiger prawn large 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|caramote|prawn tiger prawn medium 500g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|caramulo|caramulo|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|caramunich|type 1|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
629. W|caramunich|type 3|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
630. W|caramunich|type 3 malt weyermann|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|caran|dache 10 felt tip pens|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
632. W|caran|dache blisters ballpoint pen metal classic colours assorted|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
633. W|caran|dache classic ballpoint pen|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
634. W|caran|dache classic line mechanical pencil|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
635. W|caran|dache crayon graphite pencil hb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|caran|dache crystal black fountain pen rhodiumcoated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|caran|dache crystal black roller pen rhodiumcoated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|caran|dache crystal diamonds fountain pen solid gold|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|caran|dache crystal white fountain pen rhodiumcoated|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
640. W|caran|dache crystal whithe roller pen rhodiumcoated|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|caran|dache essentially swiss line paper cutouts|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|caran|dache fancolor 15 colored gouache tablets|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|caran|dache fountain pen m solid white gold|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
644. W|caran|dache link 1 series mother of pearl ballpoint pencil ebony|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|caran|dache link 1 series mother of pearl fountain pencil ebony|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|caran|dache link 1 series mother of pearl mechanical pencil ebony|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|caran|dache link 1 series mother of pearl roller pencil ebony|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|caran|dache mario botta mirror fountain pen m silverplated rhodium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|caran|dache neocolor 40 wax pastels|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|caran|dache neocolor pastels|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|caran|dache popline ballpoint pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|caran|dache secret journey i voltaire roller pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. X
654. W|caran|dache secret journey iii tolstoy fountain pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|caran|dache secret journey iii tolstoy roller pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
656. W|caran|dache silas ballpoint pen silverplated rhodium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|caran|dache silas fountain pen m silverplated rhodium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|caran|dache silas mechanical pencil silverplated rhodium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
659. W|caran|dache silas roller pen silverpladed rhodium|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|caran|dache stylo classic line ballpoint pen goliath mediumblue cartridge|??|r|??|??|??|NV|13.5|classic|medio|carne vermelha, massas, queijos curados|seco
661. W|caran|dache stylo eco collection ballpoint pen with cap|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|caran|dache stylo essentially swiss flag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|caran|dache stylo essentialy swiss cardboard display with 20 ballpoint pens st bernard|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
664. W|caran|dache stylo factory collection ballpoint pen refillable mediumblue cartridge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
665. W|caran|dache stylo factory collection mechanical pencil|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|caran|dache stylo fluo line ballpoint pen goliath mediumblue cartridge|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
667. W|caran|dache stylo gift line brut rose ballpoint pen|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
668. X
669. W|caran|dache stylo gift line gold bar ballpoint pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
670. W|caran|dache stylo gift line original ballpoint pen|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
671. W|caran|dache stylo metalx line ballpoint pen goliath|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|caran|dache swisscolor 12 colours pencils|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|carandelle|carandelle|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|carandini|bianca condimento bianco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
675. X
676. W|caranium|bianco azienda brunelli|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
677. W|carano|lagrein riserva sudtirol doc baron di pauli|??|r|lagrein|??|??|2020|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
678. W|carano|lagrein riserva sudtirol doc baron di pauli|??|r|lagrein|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
679. W|carantan|rosso venezia giulia igt|??|r|??|??|??|2003|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
680. W|caranti|barbera d asti castina garitina|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
681. W|carantina|carantina|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
682. W|carantina|carantina|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=681
683. W|carantina|carantina|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
684. W|carantina|merlot 2018 monteforche|??|r|merlot|??|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
685. W|carantina|merlot 2021 monteforche|??|r|merlot|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
686. W|caranto|caranto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
687. W|caranto|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
688. W|caranto|pinot noir 3 venezie igt astoria|??|r|pinot noir|??|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
689. W|caranyena|la partio|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
690. W|caraota|caraota|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
691. W|caraota|libra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
692. W|carapace|montefalco sagrantino docg tenute lunelli|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
693. X
694. W|carapace|montefalco sagrantino docg tenute lunelli|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
695. X
696. W|carapace|montefalco sagrantino docg tenute lunelli|??|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
697. X
698. W|carapace|castelbuono montefalco sagrantino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
699. W|carapace|lunga attesa 2015 montefalco sagrantino docg tenute lunelli in cassa legno|??|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
700. W|carapace|lunga attesa 2015 tenute lunelli in cassa legno|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
701. W|carapace|lunga attesa 2016 montefalco sagrantino docg tenute lunelli in cassa legno|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
702. W|carapace|lunga attesa 2017 montefalco sagrantino docg tenute lunelli in cassa legno|??|r|??|??|??|2017|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
703. W|carapace|lunga attesa 2018 montefalco sagrantino docg tenute lunelli in cassa legno|??|r|??|??|??|2018|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
704. W|carapace|lunga attesa montefalco sagrantino docg tenute lunelli|??|r|??|??|??|2016|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
705. W|carapace|montefalco sagrantino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
706. W|carapace|montefalco sagrantino 2015 lunelli|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
707. W|carapace|montefalco sagrantino docg|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
708. W|carapace|montefalco sagrantino docg tenute lunelli|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
709. W|carapace|montefalco sagrantino docg tenute lunelli|??|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=692
710. W|carapace|sagrantino di montefalco tenuta lunelli|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
711. W|carapace|tenuta castelbuonolunelli montefalco sagrantino doc umbria|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
712. W|carapaia|rosato sicilia igt|it|p|??|sicilia|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco
713. W|carapaia|rosato sicilia igt|it|p|??|sicilia|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco|=712
714. W|carapaia|rosato sicilia igt|it|p|??|sicilia|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco|=712
715. W|carapaia|rosato sicilia igt|it|p|??|sicilia|??|2024|12|igt|leve|carne vermelha, massas, queijos curados|seco|=712
716. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
717. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=716
718. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=716
719. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|NV|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=716
720. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco
721. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=720
722. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=720
723. W|carapaia|rosso sicilia igt|it|r|??|sicilia|??|2024|13.5|igt|medio|carne vermelha, massas, queijos curados|seco|=720
724. W|carapau|com oleo manna 120 g|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
725. W|carapau|medio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
726. W|carapau|peq chef quiel saco 900gr 6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
727. W|carape|carape|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
