W|georgia|tbilvino tsinandali rkatsiteli mtsvane|ge|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cabernet sauvignon naturae pays doc|??|r|cabernet sauvignon|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cabernet sauvignon naturae pays doc|??|r|cabernet sauvignon|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cahors heritage|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cahors heritage|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cap insula|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cap insula red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand castellum|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand castellum blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand castellum sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cdr rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand change cabernet sauvignon|??|r|cabernet sauvignon|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand change sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand change sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand change sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=462
W|gerard|bertrand change sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=462
W|gerard|bertrand chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay aigle royal limoux|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay an 940 heritage pays doc|??|w|chardonnay|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay cote des roses pays doc|??|p|chardonnay|??|??|2022|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay domaine de laigle limoux|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay domaine de laigle limoux|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay heritage|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chardonnay naturae pays doc|??|w|chardonnay|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chateau de la grange fitou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau de la soujeole malepere grand vin|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau de lhospitalitet la clape rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau de lhospitalitet la clape rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau de villemajou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau de villemajou grand vin corbieres boutenac rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau l hospitalet 145|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau la sauvageonne grand vin languedoc|fr|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=481
W|gerard|bertrand chateau lhospitalet grande vinho|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet chateau lhospitalet la clape grand vin rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet blanc 14|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chateau lhospitalet grand vin la clape rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet grand vin red languedoc france|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet grand vin rouge|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet grand vin rouge la clape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet grand vin rouge la clape|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=489
W|gerard|bertrand chateau lhospitalet grand vin rouge la clape aoc languedoc|fr|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet la clape blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand chateau lhospitalet la reserve la clape aop dry red organic|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet la reserve la clape aop tr rd kologisk|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet rouge 15|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chateau lhospitalet rouge coteaux du languedoc|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand chlhospitalet la reserve rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cht sauvageonn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigal|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|gerard|bertrand cigalus aude hauterive|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=502
W|gerard|bertrand cigalus blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=504
W|gerard|bertrand cigalus blanc|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=504
W|gerard|bertrand cigalus blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus blanc 145|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus blanc languedocroussillon|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus red|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=512
W|gerard|bertrand cigalus rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=512
W|gerard|bertrand cigalus rouge|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=517
W|gerard|bertrand cigalus rouge 145|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus rouge igp aude hauterive|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cigalus white|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cigalus white blend|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cite de carcassonne blanc castellum|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand cite de carcassonne rouge castellum|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clairette du languedoc adissan art de vivre|fr|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clairette du languedoc aop art de vivre|fr|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos d ora minervois la liviniere|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos dora|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos dora|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos dora|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos dora aop minervois la liviniere|??|r|??|??|??|nv|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos dora fles 49203 15 liter|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos du temple|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos du temple bio|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand clos du temple organic rose|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand clos du temple rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand clos du temple rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=536
W|gerard|bertrand clos du temple rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand clos du temple rose|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=538
W|gerard|bertrand clos ora|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=541
W|gerard|bertrand corbieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=541
W|gerard|bertrand corbieres|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=541
W|gerard|bertrand corbieres boutenac chateau de villemajou grand vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres boutenac chateau de villemajou grand vin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|gerard|bertrand corbieres boutenac rouge la forge|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres boutenac rouge la forge wood box|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres boutenac rouge la forge wood box|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=548
W|gerard|bertrand corbieres gsm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres heritage 806|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand corbieres rouge heresie|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand cote de roses rose wine|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=554
W|gerard|bertrand cote des rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=554
W|gerard|bertrand cote des rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=554
W|gerard|bertrand cote des rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=554
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=559
W|gerard|bertrand cote des roses|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=571
W|gerard|bertrand cote des roses chard|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=574
W|gerard|bertrand cote des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=574
W|gerard|bertrand cote des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=574
W|gerard|bertrand cote des roses chardonnay languedoc|fr|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses grenachesyrahcinsault languedoc|fr|p|syrah|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses grenachesyrahcinsault languedoc|fr|p|syrah|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=579
W|gerard|bertrand cote des roses languedoc|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses languedoc chardonnay|fr|p|chardonnay|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses languedoc chardonnay|fr|p|chardonnay|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=582
W|gerard|bertrand cote des roses languedoc grenache|fr|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=585
W|gerard|bertrand cote des roses pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=585
W|gerard|bertrand cote des roses pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=585
W|gerard|bertrand cote des roses pinot noir languedocroussillon|fr|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses pn|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses reserva limited edition|??|p|??|??|??|2023|12.5|reserva|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=592
W|gerard|bertrand cote des roses rose 1|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose 125|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|2016|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=611
W|gerard|bertrand cote des roses rose art edition x morgan jamieson|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose art edition x morgan jamieson|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=613
W|gerard|bertrand cote des roses rose art edition x morgan jamieson france|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose case of 12|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose languedoc|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose languedoc|fr|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rose languedoc 202313 075|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses rouge|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses sauvignon blanc|??|p|sauvignon blanc|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses sauvignon blanc|??|p|sauvignon blanc|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=621
W|gerard|bertrand cote des roses sauvignon blanc|??|p|sauvignon blanc|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=621
W|gerard|bertrand cote des roses sauvignon blanc languedocroussillon|fr|p|sauvignon blanc|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses souvignone|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote des roses syrah|??|p|syrah|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cote du rose aop rose|??|p|??|??|??|nv|12.5|aop|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes de roses|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses chard|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses chardonnay|??|p|chardonnay|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=630
W|gerard|bertrand cotes des roses chardonnay|??|p|chardonnay|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses pinot noir|??|p|pinot noir|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses rose 23 24|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cotes des roses sauvignon blanc|??|p|sauvignon blanc|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gerard|bertrand cremant blanc|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant d limoux|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant de limoux|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant de limoux 125|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant de limoux brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=643
W|gerard|bertrand cremant de limoux brut an 825 heritage|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut eternel blanc de blancs code rouge|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut eternel blanc de blancs code rouge|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=646
W|gerard|bertrand cremant de limoux brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=648
W|gerard|bertrand cremant de limoux brut rose etoile ballerine|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut rose heritage an 825|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gerard|bertrand cremant de limoux rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant de limoux rose 125|??|s|??|??|??|2022|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cremant rose heritge|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand cuvee cremant de limoux rose languedoc|fr|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gerard|bertrand domaine de cigalus|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand domaine de cigalus blanc igp aude hauterive|??|w|??|??|??|2018|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand domaine de cigalus blanc igp aude hauterive|??|w|??|??|??|2023|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand domaine de cigalus blanc igp aude hauterive|??|w|??|??|??|2024|12.5|igp|medio|peixes, frutos do mar, saladas|seco
W|gerard|bertrand domaine de cigalus rouge igp aude hauterive|??|r|??|??|??|2021|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gerard|bertrand domaine de laigle chardonnay|??|w|chardonnay|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
