1. W|casa relvas|alicante bouschet tinto 2022 igp alentejo|pt|r|alicante bouschet|alentejo|??|2022|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
426. W|casa santiago|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=424
427. W|casa santiago|chardonnay 01875|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
428. W|casa santiago|chardonnay 075|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
429. W|casa santiago|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
430. W|casa santiago|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=429
431. W|casa santiago|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=429
432. W|casa santiago|merlot central valley 2025|pt|r|merlot|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
433. W|casa santiago|merlot chile|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
434. W|casa santiago|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
435. W|casa santiago|pinot noir central valley 2024|pt|r|pinot noir|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
436. W|casa santiago|pinot noir chile|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
437. W|casa santiago|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
438. W|casa santiago|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=437
439. W|casa santiago|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=437
440. W|casa santiago|sauvignon blanc central valley 2021|pt|w|sauvignon blanc|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
441. W|casa santiago|sauvignon blanc chile|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
442. W|casa santiago vina requingua|sauvignon blanc 2023 chili|pt|w|sauvignon blanc|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
443. W|casa santorsola brachetto dacqui|dolce|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
444. W|casa santorsola italie valpolicella|docg rouge|pt|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
445. W|casa santorsola|liberty|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
446. W|casa santorsola|moscato dasti|pt|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
447. W|casa santorsola|prosecco|it|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
448. W|casa santorsola|prosecco extra dry doc|it|s|??|??|??|NV|12|doc|leve|aperitivos, frutos do mar, sushi|brut
449. W|casa santorsola|prosecco millesimato 2024|it|s|??|??|??|2024|12|??|leve|aperitivos, frutos do mar, sushi|brut
450. W|casa santos|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
451. W|casa santos azulejo|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
452. W|casa santos azulejo|white 2022|pt|w|??|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
453. W|casa santos bons ventos|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|casa santos bruto de portugal lisboa|rose 2021|pt|p|??|lisboa|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
455. W|casa santos colossal|red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
456. W|casa santos colossal|reserva red 2019|pt|r|??|??|??|2019|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
457. W|casa santos confidencial|red 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|casa santos confidencial|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|casa santos confidencial|red 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=458
460. W|casa santos confidencial|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
461. W|casa santos confidencial|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=460
462. W|casa santos feiticeira|2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|casa santos|lima|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. W|casa santos|lima|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=463
465. W|casa santos lima 4uvas|2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|casa santos lima alenquer|portugual|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|casa santos lima alenquer quinta das setencostas|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|casa santos lima alria algarve|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
469. W|casa santos lima|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
470. W|casa santos lima|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco
471. W|casa santos lima|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco|=470
472. W|casa santos lima|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco|=470
473. W|casa santos lima|alvarinho 2021|pt|w|alvarinho|??|??|2021|12.5|??|leve|frutos do mar, peixes, saladas|seco|=470
474. W|casa santos lima amoras|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
475. W|casa santos lima|arinto 2020|pt|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
476. W|casa santos lima|arinto do lisboa|pt|w|arinto|lisboa|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
477. W|casa santos lima|arinto lissabon portugal 2020|pt|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
478. W|casa santos lima azulejo|rose 2020|pt|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
479. W|casa santos lima bons|ventos|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casa santos lima bons ventos|2016|pt|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|casa santos lima|branco reserva|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
482. W|casa santos lima bruto|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
483. W|casa santos lima bruto|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
484. W|casa santos lima bruto|rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
485. W|casa santos lima bruto|white 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
486. W|casa santos lima|cabernet sauvignon|pt|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
487. W|casa santos lima|cabernet sauvignon regional lisboa 2018|pt|r|cabernet sauvignon|lisboa|??|2018|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
488. W|casa santos lima cacada|real|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|casa santos lima carisma regional lisboa|2019|pt|r|??|lisboa|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|casa santos lima carisma|rose 2018|pt|p|??|??|??|2018|12.5|??|leve|saladas, aves, queijos leves|seco
491. W|casa santos lima|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
492. W|casa santos lima|chardonnay|pt|w|chardonnay|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=491
493. W|casa santos lima|chardonnay 2018|pt|w|chardonnay|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
494. W|casa santos lima|chardonnay 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
495. W|casa santos lima|chardonnay 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco|=494
496. W|casa santos lima|chardonnay 2020|pt|w|chardonnay|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco|=494
497. W|casa santos lima cigarra|reserva shiraz tinta|pt|r|shiraz|??|??|NV|13.5|reserva|encorpado|carne vermelha, massas, queijos curados|seco
498. W|casa santos lima colheita tardia|2023 37|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|casa santos lima colinas de lisboa|blanco vino regional de lisboa|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|casa santos lima colinas de lisboa|rosado vino regional de lisboa|pt|p|??|lisboa|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
501. W|casa santos lima colinas de lisboa|tinto vino regional de lisboa|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|casa santos lima colossal grande|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
503. W|casa santos lima colossal|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|casa santos lima colossal|red blend reserve|pt|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
505. W|casa santos lima colossal|red blend reserve|pt|r|??|??|??|NV|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco|=504
506. W|casa santos lima colossal|red reserva 2018 case only|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
507. W|casa santos lima colossal|red reserva case only|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
508. W|casa santos lima colossal|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
509. W|casa santos lima colossal|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=508
510. W|casa santos lima colossal|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=508
511. W|casa santos lima colossal|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=508
512. W|casa santos lima colossal|reserva 2018|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
513. W|casa santos lima colossal|reserva branco|pt|w|??|??|??|NV|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
514. W|casa santos lima colossal|reserva lisboa tinto|pt|r|??|lisboa|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
515. W|casa santos lima colossal|reserva magnum 112 l|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
516. W|casa santos lima colossal|reserva red 2016|pt|r|??|??|??|2016|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
517. W|casa santos lima colossal|reserva red blend|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
518. W|casa santos lima colossal|reserva red blend|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=517
519. W|casa santos lima colossal|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
520. W|casa santos lima colossal|white blend reserva 2018 case only|pt|w|??|??|??|2018|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
521. W|casa santos lima colossal|white blend reserva no pts 2018 case only|pt|w|??|??|??|2018|12.5|reserva|leve|frutos do mar, peixes, saladas|seco
522. W|casa santos lima completo grande|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
523. W|casa santos lima confidencial|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
524. W|casa santos lima confidencial|reserva|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
525. W|casa santos lima confidencial|reserva red blend portugal|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
526. W|casa santos lima confidencial|reserva red blend portugal|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=525
527. W|casa santos lima confidencial|reserva tinto 2020|pt|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
528. W|casa santos lima confidencial|reserva tinto red 2018|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
529. W|casa santos lima confidencial|reserva tinto red 2018|pt|r|??|??|??|2018|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=528
530. W|casa santos lima confidencial|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
531. W|casa santos lima confidencial|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casa santos lima corvos de lisboa|2022|pt|r|??|lisboa|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|casa santos lima desvario|alvarinho 2023|pt|w|alvarinho|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
534. W|casa santos lima desvario|alvarinho 2023|pt|w|alvarinho|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco|=533
535. W|casa santos lima escapada|branco 2023|pt|w|??|??|??|2023|12.5|??|leve|frutos do mar, peixes, saladas|seco
536. W|casa santos lima escapada|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
537. W|casa santos lima escapada|vinho tinto lisboa|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|casa santos lima eximius|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|casa santos lima eximius|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
540. W|casa santos lima eximius|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
541. W|casa santos lima eximius|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=538
542. W|casa santos lima flic|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
543. W|casa santos lima flic|rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
544. W|casa santos lima flic|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casa santos lima foral de lisboa lisboa|tinto 2007|pt|r|??|lisboa|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
546. W|casa santos lima|fortissimo|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|casa santos lima galodoro|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|casa santos lima|gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
549. W|casa santos lima|gewurztraminer|pt|w|gewurztraminer|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=548
550. W|casa santos lima imprudente|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|casa santos lima joya|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
552. W|casa santos lima lab|branco vinho regional lisboa portugal|pt|w|??|lisboa|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
553. W|casa santos lima lab|branco vinho regional lisboa portugal|pt|w|??|lisboa|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=552
554. W|casa santos lima lab|moscato|pt|w|moscato|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
555. W|casa santos lima lab|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
556. W|casa santos lima lab|rose|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=555
557. W|casa santos lima lab|rose 2021 case only|pt|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
558. W|casa santos lima lab|rose 2022 case only|pt|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
559. W|casa santos lima lab|rose bib case only|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
560. W|casa santos lima lab|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|casa santos lima lab|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=560
562. W|casa santos lima lab|tinto rouge|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|casa santos lima lab|tinto vinho regional lisboa portugal|pt|r|??|lisboa|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casa santos lima lab|vinho verde white case only|pt|w|??|vinho verde|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
565. W|casa santos lima lab|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
566. W|casa santos lima lab|white|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=565
567. W|casa santos lima lab|white 2020 case only|pt|w|??|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
568. W|casa santos lima lisboa colossal|reserva 2020|pt|r|??|lisboa|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
569. W|casa santos lima lisboa confidential|reserva|pt|r|??|lisboa|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
570. W|casa santos lima lisbonissimo|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco
571. W|casa santos lima lisbonissimo|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=570
572. W|casa santos lima lisbonissimo|branco 2024|pt|w|??|??|??|2024|12.5|??|leve|frutos do mar, peixes, saladas|seco|=570
573. W|casa santos lima lisbonissimo|tinto 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|casa santos lima lisbonissimo|tinto 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
575. W|casa santos lima lisbonissimo|tinto 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=573
576. W|casa santos lima|malbec|pt|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
577. W|casa santos lima|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|casa santos lima|merlot|pt|r|merlot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=577
579. W|casa santos lima monte|d cacada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|casa santos lima monte da cacada|2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|casa santos lima monte da cacada|alicante bouschet|pt|r|alicante bouschet|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|casa santos lima mosaico portugal|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|casa santos lima mosaico portugal|2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=582
584. W|casa santos lima mosaico|red 2019|pt|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casa santos lima mosaico|rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
586. W|casa santos lima mosaico|rose 2023|pt|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco|=585
587. W|casa santos lima oak|aged 6 months arinto 2020|pt|w|arinto|??|??|2020|12.5|??|leve|frutos do mar, peixes, saladas|seco
588. W|casa santos lima opaco|tinto 2020|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|casa santos lima palha|canas|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|casa santos lima paradoxal|tinto 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|casa santos lima|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|casa santos lima|pinot noir|pt|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=591
593. W|casa santos lima pluma|vinho verde doc rosado|pt|p|??|vinho verde|??|NV|12.5|doc|leve|saladas, aves, queijos leves|seco
594. W|casa santos lima pluma|vinho verde doc vino blanco|pt|r|??|vinho verde|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
595. W|casa santos lima|portuga|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|casa santos lima portuga|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
597. W|casa santos lima portuga|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco|=596
598. W|casa santos lima portuga|red 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|casa santos lima portuga|rose 2019|pt|p|??|??|??|2019|12.5|??|leve|saladas, aves, queijos leves|seco
600. W|casa santos lima portuga|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|casa santos lima portuga|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=600
602. W|casa santos lima portuga|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|casa santos lima portuga|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casa santos lima portuga|white 2018|pt|w|??|??|??|2018|12.5|??|leve|frutos do mar, peixes, saladas|seco
605. W|casa santos lima quid pro quo|red 2021 case only|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|casa santos lima quinta das setencostas|alenquer|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|casa santos lima quinta de porrais|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
608. W|casa santos lima quinta de porrais|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|casa santos lima quinta dos porrais|branco|pt|w|??|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
610. W|casa santos lima rabo de gala|tinto 2022|pt|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|casa santos lima|rebelde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|casa santos lima|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|casa santos lima|red blend 2023|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
614. W|casa santos lima|red blend portugal 2020 case only|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|casa santos lima|red blend portugal red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|casa santos lima|red blend portugal tinto 2017 portugal|pt|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|casa santos lima|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
618. W|casa santos lima|reserva tinto|pt|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=617
619. W|casa santos lima|reserva tinto 2013|pt|r|??|??|??|2013|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
620. W|casa santos lima|rose blend portugal|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
621. W|casa santos lima|rose share cascata|pt|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
622. W|casa santos lima|sauvignon blanc|pt|w|sauvignon blanc|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
623. W|casa santos lima share cascata|vinho rose 2024|pt|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
624. W|casa santos lima|sousao|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|casa santos lima|sousao|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=624
626. W|casa santos lima sousao|red|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|casa santos lima sousao|red 2018|pt|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. W|casa santos lima|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
629. W|casa santos lima|syrah|pt|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=628
630. W|casa santos lima talabira algarve|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|casa santos lima talabira algarve|2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
632. W|casa santos lima|tarambola|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
633. W|casa santos lima taverna da aldeia|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|casa santos lima taverna da aldeia|tinto 2021|pt|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=633
635. W|casa santos lima the|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|casa santos lima the|red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=635
637. W|casa santos lima tiroliro|alvarinho|pt|w|alvarinho|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
638. W|casa santos lima tiroliro|vinho verde|pt|r|??|vinho verde|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|casa santos lima topo|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
640. W|casa santos lima topo|tinto|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=639
641. W|casa santos lima topo|tinto red blend|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|casa santos lima|touriga nacional|pt|r|touriga nacional, touriga|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
