W|brancott|estate chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brander|1 espresso blend|??|??|??|??|??|NV|??|??|medio|??|seco
W|brander|1 house blend|??|??|??|??|??|NV|??|??|medio|??|seco
W|brander|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brander|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=555
W|brander|sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brander|sauvignon blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=557
W|brandewijn|genot|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandhof|pinot gris 2022 gresser|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandille|bordeaux superieur|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandina|9010|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandina|assemblage 2020 gran reserva|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandina|assemblage 2022|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandina|chardonnay 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandina|extra brut chardonnay|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|extra brut
W|brandina|gran reserva um brandina especial 9010|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandina|rose 2023|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brandina|sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandina|vinho de mel hidromel|??|??|??|??|??|NV|??|??|medio|??|seco
W|branding|works|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|alta langa 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|alta langa brut docg|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut
W|brandini|alta langa brut docg|??|s|??|??|??|NV|12|??|leve|aperitivo, frutos do mar|brut|=573
W|brandini|barbera d alba|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|barbera dalba superiore rocche del santo biologico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|barolo annunziata 2016|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo cerretta 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo cerretta 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo cerretta 2020|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo del comune di la morra 2018|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo del comune di la morra docg|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg del comune di la morra 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg del comune di la morra 2017|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg del comune di la morra 2017|??|??|??|??|??|NV|??|??|medio|??|seco|=584
W|brandini|barolo docg la morra|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg la morra|??|??|??|??|??|NV|??|??|medio|??|seco|=586
W|brandini|barolo docg r56|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg r56 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg r56 2015|??|??|??|??|??|NV|??|??|medio|??|seco|=589
W|brandini|barolo docg r56 2016|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo docg r56 2017|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo la morra|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo la morra|??|??|??|??|??|NV|??|??|medio|??|seco|=593
W|brandini|barolo la morra 2020|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo r56 2018|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|barolo resa 56 2012|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|bigaradier|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|dolcetto d alba filari lunghi|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|dolcetto dalba doc filari lunghi|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|dolcetto dalba filari lunghi 2022|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|filari corti langhe nebbiolo 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|filari corti langhe nebbiolo doc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|genepi|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|hysope|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|langhe arneis le margherite 2023|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|langhe bianco le coccinelle 2020|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandini|langhe le coccinelle bianco doc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandini|langhe nebbiolo filari corti 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|langhe nebbiolo filari corti 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|langhe nebbiolo filari corti biologico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandini|le coccinelle langhe bianco 2020|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandini|le margherite arneis 2024|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|le margherite langhe arneis doc|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|mandarine|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|menthe des alpes|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|oxycedrus|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|sapinette|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|sori della sorba tasting|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandini|surette|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandl|riesling kamptal dac austria|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandl|terrassen riesling|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandl|vaccin box|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandl|zobing gruner veltliner kamptal dac austria|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|brandlin|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|2019 cabernet sauvignon mt veeder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|2021 estate cuvee mount veeder|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|brandlin estate 2022 henrys keep proprietary red|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|cabernet sauvignon brandlin vineyard mount veeder|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|cabernet sauvignon brandlin vineyard mount veeder 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|cabernet sauvignon estate|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|cabernet sauvignon mount veeder 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|estate 2021 cuvee 21|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|estate cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|estate cabernet sauvignon 2014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|estate cabernet sauvignon 2014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=636
W|brandlin|estate cabernet sauvignon 2014|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=636
W|brandlin|estate cabernet sauvignon 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|estate mount veeder cabernet 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|estate napa valley 2022 mount veeder sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandlin|estate napa valley 2022 mount veeder sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=641
W|brandlin|estate sauvignon blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandlin|estate sauvignon blanc mount veeder 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandlin|henrys keep 2021|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandlin|henrys keep proprietary red 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|henrys keep proprietary red wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|proprietary red wine henrys keep brandlin vineyard mount veeder 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|proprietary red wine henrys keep brandlin vineyard mount veeder 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=648
W|brandlin|red wine estate cuvee mount veeder 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|sauvignon blanc estate napa valley 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandlin|ths cabernet sauvignon 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandlin|vineyard napa valley usa|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandluft|2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandluft|blanco 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandmandens|rom|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandmandens|rom i trkasse|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandnetel|kaas|??|??|??|??|??|NV|??|??|medio|??|seco
W|brando|brando|??|??|??|??|??|NV|??|??|medio|??|seco
W|brando|silicone collapsible pocket cup with flip top lid|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandolini|friulano doc friuli 2023|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandolini|pinot grigio doc friuli 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandolino|stomo merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandrood|kaas|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|brands|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|berry essence x 6 bottles|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|bird nest with rock sugar|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|eoc 3 bottles|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|essence of chicken|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|innershine 42g 3 bottles|??|??|??|??|??|NV|??|??|medio|??|seco
W|brands|laira 1968 vines cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira 1968 vines cabernet sauvignon 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira august tide dry red cabernet sauvignon merlot petit verdot 2015|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira blockers cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira blockers cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=674
W|brands|laira blockers cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=674
W|brands|laira blockers chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brands|laira coonawarra blockers shiraz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira one seven one cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira stentifords old vine shiraz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira stentifords old vine shiraz 2016 coonawarra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira the barrelman cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira the clipper cabernet sauvignon 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira the clipper cabernet sauvignon 2019 12 bottles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|laira two row merlot|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|of coonawarra laira vineyard cabernet merlot 1998|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|of coonawarra laira vineyard cabernet sauvignon 1998|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|of coonawarra laira vineyard cabernet sauvignon 1999|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brands|of coonawarra laira vineyard cabernet sauvignon 2000|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandsen|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandsen|malbec|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandsen|mendoza malbec 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandstatt|brandstatt|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levi bio pancetta|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio chili|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio knoflook|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio lavendel|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio naturel|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio pastasaus rozemarijnworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio pastasaus venkelworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio rozemarijn|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie bio venkelzaad|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie chilioregano biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie droge worst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie erwtensoep met rookworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie gold piment despelet|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie gold pistache|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie gold wagyu|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie gold walnoot fenegriek|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie knoflooknootmuskaat biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie lavendel biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie naturel biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie pastasaus|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie pastasaus met venkelworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie pastasaus rozemarijnworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie pink label|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie rozemarijnrozenblaadjes biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie snert|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie truffel|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie truffel|??|??|??|??|??|NV|??|??|medio|??|seco|=719
W|brandt|levie venkelzaad biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie venkelzaadpiment desplette biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie verse worst peterselie knoflook|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie worst chili|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie worst knoflook|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie worst lavendel|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie worst piment desplette|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie worst rozemarijn|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandt|levie zwarte pepercubebe peper biologisch|??|??|??|??|??|NV|??|??|medio|??|seco
S
W|brandtlevie|bokworst|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandtlevie|parmezaansalie|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandtlevie|walnootfenegriek|??|??|??|??|??|NV|??|??|medio|??|seco
W|brandvei|monor shiraz mourvedre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandvlei|chenin blanc 2024|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandvlei|manor shiraz mourvedre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandvlei|manor shiraz mourvedre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=736
W|brandvlei|manor shiraz mourvedre 2014 14|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brandvlei|worchester chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brandvlei|worchester chenin blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=739
W|brandweerauto|brandweerauto|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac|??|??|??|??|??|NV|??|??|medio|??|seco|=742
W|brane|cantenac 10|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 1982|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 1989|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 1989|??|??|??|??|??|NV|??|??|medio|??|seco|=746
W|brane|cantenac 1998|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2005|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2005 13|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2005 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2006|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2008|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2009 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2010|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2010 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2011|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2011|??|??|??|??|??|NV|??|??|medio|??|seco|=757
S
W|brane|cantenac 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2015|??|??|??|??|??|NV|??|??|medio|??|seco|=760
W|brane|cantenac 2015|??|??|??|??|??|NV|??|??|medio|??|seco|=760
W|brane|cantenac 2016|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2017|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2018|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2018|??|??|??|??|??|NV|??|??|medio|??|seco|=765
W|brane|cantenac 2018|??|??|??|??|??|NV|??|??|medio|??|seco|=765
W|brane|cantenac 2018 cb6 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2019 cb12 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2020 cb6 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac 2021 cb6 margaux|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac baron de brane margaux 2014|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac baron de brane margaux 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac blanc 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brane|cantenac blanc 2022|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brane|cantenac grand cru classe margaux aoc 2018|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac half 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac margaux 1920 label damage|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac margaux 1926 us label|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac margaux 1926 us label|??|??|??|??|??|NV|??|??|medio|??|seco|=779
W|brane|cantenac margaux 2016|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac margaux 2022|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac margaux 2022|??|??|??|??|??|NV|??|??|medio|??|seco|=782
W|brane|cantenac margaux 2022|??|??|??|??|??|NV|??|??|medio|??|seco|=782
W|brane|cantenac margeaux 2013|??|??|??|??|??|NV|??|??|medio|??|seco
W|brane|cantenac top shoulder or better fills 1982|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2014|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2015|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2015|??|??|??|??|??|NV|??|??|medio|??|seco|=789
W|branecantenac|2eme grand cru classe margaux 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2019|??|??|??|??|??|NV|??|??|medio|??|seco|=791
W|branecantenac|2eme grand cru classe margaux 2020|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2021|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2021|??|??|??|??|??|NV|??|??|medio|??|seco|=794
W|branecantenac|2eme grand cru classe margaux 2023|??|??|??|??|??|NV|??|??|medio|??|seco
W|branecantenac|2eme grand cru classe margaux 2023|??|??|??|??|??|NV|??|??|medio|??|seco|=796
W|branecantenac|margaux 2017|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangayne|cabernet sauvignon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangayne|chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangayne|isolde chardonnay|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangayne|pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangayne|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangayne|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, peixe|seco
W|brangayne|sauvignon blanc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangayne|shiraz|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangayne|the tristan|??|??|??|??|??|NV|??|??|medio|??|seco
W|brange|brange|??|??|??|??|??|NV|??|??|medio|??|seco
W|branger|2020 muscadet gras moutons|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branger|2022 muscadet terroir les gras moutons|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branger|2022 terroir gras moutons muscadet|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branger|muscadet terroir les gras moutons|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangero|barbera dalba doc la soprano 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangero|barbera dalba doc la soprano 2023|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangero|barolo docg 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangero|barolo monvigliero 2017 docg|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangero|barolo monvigliero docg 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangero|chardonnay langhe 2023 doc|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|brangero|langhe arneis 2024 doc|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangero|langhe arneis centofile 2023|??|??|??|??|??|NV|??|??|medio|??|seco
W|brangero|langhe nebbiolo doc quattro cloni 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangero|langhe rosso doc tre marzo 2019|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brangero|nebbiolo dalba doc quattro cloni 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branham|estate resolution cabernet sauvignon rockpile sonoma county california 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branham|estate resolution cabernet sauvignon rockpile sonoma county california 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=824
W|branham|estate resolution zinfandel rockpile sonoma county california 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branham|estate resolution zinfandel rockpile sonoma county california 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco|=826
W|branham|fortified senal napa valley 2016|??|??|??|??|??|NV|??|??|medio|??|seco
W|branham|jazz red wine napa 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|brania|del cancello 2019|??|??|??|??|??|NV|??|??|medio|??|seco
W|brania|delle ghiandaie 2018|??|??|??|??|??|NV|??|??|medio|??|seco
W|branizzi|chianti|??|??|??|??|??|NV|??|??|medio|??|seco
W|branizzi|chianti|??|??|??|??|??|NV|??|??|medio|??|seco|=832
W|branizzi|moscato|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|moscato kosher mevushal nv|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|pinot grigio|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|pinot grigio 2022 mevushal|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|pinot grigio 2024 mevushal|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|pinot grigio kosher mevushal 2021|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branizzi|pinot noir|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branizzi|pinot noir 2022|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branizzi|pinot noir veneto 2021|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, queijo|seco
W|branko|capobranko bianco 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco
W|branko|capobranko bianco 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=843
W|branko|capobranko bianco 2023|??|w|??|??|??|NV|12.5|??|leve|peixe, frutos do mar|seco|=843
