W|vinho|tinto marques de murrieta reserva edicao especial com estojo laranja 2021 rioja espanha|es|r|??|rioja|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi einaudi langhe nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca red blend de sangre|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca pinot noir 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca paraiso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=440
W|vinho|tinto luigi bosca los nobles malbec verdot|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca leon cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca la linda malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca insignia malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca insignia malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??|=445
W|vinho|tinto luigi bosca finca la linda cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca ed limitada malbec 2021|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre red blend 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre malbec valle de uco|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre malbec ed limitada|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre malbec doc|??|r|malbec|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre cabernet sauvignon 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca de sangre cabernet franc|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca cabernet sauvignon de sangre|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bosca cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=458
W|vinho|tinto luigi bosca cabernet franc de sangre|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bessa teroldego bebber safra 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luigi bessa teroldego bebber 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lui umile malbec 2019|??|r|malbec|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lui umile cabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luce brunello di montalcino 15 2019|it|r|??|toscana|montalcino|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli signature collection primitivo de manduria dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli rosso puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli rosso puglia igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??|=467
W|vinho|tinto luccarelli rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli primitivo puglia igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli primitivo igp|??|r|primitivo|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli primitivo di manduria old vines dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli primitivo di manduria old vines dop|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=472
W|vinho|tinto luccarelli primitivo de puglia 2022|??|r|primitivo|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli negroamaro igp puglia|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli negroamaro igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli negroamaro igp|??|r|??|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??|=476
W|vinho|tinto luccarelli gold sangiovese igp|??|r|sangiovese|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli campo marina primitivo merlot igp|??|r|merlot|??|??|NV|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli campo marina primitivo di manduria|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luccarelli campo marina malvasia nera salento|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luca syrah 2020|??|r|syrah|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luca old vine malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luca old vine malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luca malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto luc saintjoseph 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lua cheia reserva especial 2019 douro|pt|r|??|??|??|2019|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lua cheia em vinhas velhas poseidon 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lua cheia 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto ltu tundra blend 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc pinot noir 2014 franca|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc les quelles de la coste pinot noir 2014 provence|??|r|pinot noir|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc les quelles de la coste les 7 quelles provence|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc les quelles de la coste les 14 quelles 2018 provence|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc les 7 quelles franca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lqlc les 14 quelles 2018 franca|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lozano rey de copas tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lozano marques de toledo gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lozano marques de toledo crianza tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto love red blend 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis rapin montagne st emilion 2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis rapin montagne st emilion 1999|??|r|??|??|??|1999|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis rapin montagne saintemilion 2001|??|r|??|??|??|2001|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot santenay clos de malte|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot pommard|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot pinot noir bourgogne|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot nuits saint georges 1er cru l boudots|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot nuits saint georges|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot moulin a vent chateau des jacques|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot fleurie|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot coteaux bourguignons|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot coteaux bourguignons|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=511
W|vinho|tinto louis jadot coteaux bourguignons|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=511
W|vinho|tinto louis jadot cote de beaune villages|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot cote de beaune villages|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=514
W|vinho|tinto louis jadot corton grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot clos vougeot grand cru|??|r|??|??|??|NV|13.5|grand cru|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=518
W|vinho|tinto louis jadot bourgogne pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=518
W|vinho|tinto louis jadot bourgogne gamay|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot bourgogne gamay|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=521
W|vinho|tinto louis jadot bourgogne gamay|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=521
W|vinho|tinto louis jadot bourg pinot noir couvent jacobins|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot beaune 1er cru clos des ursules|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot beaujolais villages|fr|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louis jadot beauj villages combe aux jacques|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louco de antonio saramago filho setubal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto louca lou 2021 alentejo|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lotes de colecao petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lote 44 malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lote 13 marco luigi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lota cousino macul|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los vascos cromas gran reserva syrah|??|r|syrah|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los teros tannat|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los teros cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los teros cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=536
W|vinho|tinto los patricios pinot noir vale de itata 2018|??|r|pinot noir|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los pasos red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los pasos red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=539
W|vinho|tinto los pasos red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=539
W|vinho|tinto los pasos malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los pasos dulce|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los pasos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los pasos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=544
W|vinho|tinto los pasos cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=544
W|vinho|tinto los nobles malbec verdot luigi bosca|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los nobles cabernet bouchet luigi bosca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los muertos carmenere 2021|??|r|carmenere|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los muertos cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los intocables oak aged bourbon barrel cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los intocables oak aged bourbon barrel cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=551
W|vinho|tinto los intocables oak aged bourbon barrel blend 2024|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los inquietos miguel torres|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los hermanos tannat e malbec garbo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los haroldos gran malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los haroldos gran corte blend de 7 uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los haroldos gran corte blend de 7 uvas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=557
W|vinho|tinto los haroldos estate bonarda|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los haroldos estate blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los coches merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los coches classic collection carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los coches cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los clop cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los chocos vertebrado cabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los chocos organico estereo cabernet franc 2019|??|r|cabernet franc|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los chocos electrico malbec 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto los chocos electrico malbec 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=567
W|vinho|tinto lopez malbec 2024|??|r|malbec|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lopez heredia bosconia reserva 2014 rioja|es|r|??|rioja|??|2014|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lopez de heredia vina tondonia reserva 2012 rioja alta espanha|es|r|??|rioja|??|2012|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lopez cabernet sauvignon 2024|??|r|cabernet sauvignon|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto looks grande reserva douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto looks grande reserva 2022 douro|pt|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto longitud cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lomba dos ares mencia 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lomba dos ares 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra mountain red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loma negra cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lolita 2013 douro|pt|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loios red blend 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loios alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto loios alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=586
W|vinho|tinto loios|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto logodaj melnik 55 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lobo selecao syrahtouriga nacional 2019 peninsula de setubal|??|r|syrah|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lobo selecao cabernet stouriga nacional 2019 peninsula de setubal|??|r|touriga|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lobo mau reserva 2020 do palmela|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lobo de vasconcelos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisini san biagio igt 2017|??|r|??|??|??|2017|13.5|igt|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisini rosso di montalcino docg 2018|it|r|??|toscana|montalcino|2018|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisini brunello di montalcino ugolaia docg|it|r|??|toscana|montalcino|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisbonita red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisbonita|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lisboa cabo da roca merlot reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto liquen alfrocheiro 2022 dao doc|??|r|??|??|??|2022|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto liquen alfrocheiro 2018 dao doc|??|r|??|??|??|2018|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lions in love malbec 2023|??|r|malbec|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto linhas tortas superior douro doc|pt|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto linhas tortas reserva single vineyards douro|pt|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto linhas tortas reserva grande escolha|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto linhas tortas dop douro|pt|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lindemans cabernet sauvignon 2017|??|r|cabernet sauvignon|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lindaflor malbec bodega monteviejo|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto limited edition cot perez cruz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto limited edition cot perez cruz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=609
W|vinho|tinto limite sur ramon bilbao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer subsidio magnum 2018 1 alentejo|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer subsidio 2022 alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer magnum 2017 1 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer 2017 alentejo|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer 2 tintos|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lima mayer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro selo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro puros merlotcabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro puros merlotcabernet franc 2020|??|r|cabernet franc|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??|=621
W|vinho|tinto lidio carraro puros cabernet sauvignon marselan 2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro grande vindima merlot 2015|??|r|merlot|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro faces merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro faces do brasil merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro faces|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro elos touriga e tannat 2016|??|r|touriga|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro dadivas tempranilo 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro dadivas tempranillo 2020|??|r|tempranillo|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro dadivas pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro dadivas pinot noir 2022|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=631
W|vinho|tinto lidio carraro dadivas merlotcabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro agnus tannat 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto lidio carraro agnus tannat 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??|=634
W|vinho|tinto lidio carraro agnus merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto licoroso zanotto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto licoroso porto tawny valle longo|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto licoroso porto ruby valle longo|pt|f|??|??|??|NV|20|??|encorpado|sobremesas; queijos azuis|??
W|vinho|tinto licoroso ms reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto licoroso abafado bageiras|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto liberalitas 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto liber pater lorage 2009 bordeus franca|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas; queijos curados|??
