W|vinho|tinto niepoort museu dos lagares 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte castelo syrah vinicola monte castelo|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte castelo syrah 2023|??|r|syrah|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas vinhas velhas 2016 alentejo|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas vinhas velhas 2015 douro|pt|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas vinha do quinto 2016 bairrada doc|??|r|??|??|??|2016|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas vinha das lameiras 2015 douro doc|pt|r|??|??|??|2015|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas vinha da carpanha 2012 dao|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas reserva 2018 douro|pt|r|??|??|??|2018|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas ramisco 2014 colares doc|??|r|??|??|??|2014|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas colheita 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte cascas biologico 2022 beira interior|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte branco de luis louro alentejo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte bluna tinta miuda 2020 igp lisboa|??|r|??|??|??|2020|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte bluna tinta miuda 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte bianco rouge 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte baixo reserva touriga nacional|??|r|touriga|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte araya gran reserva|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monte araya crianza|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montchenot gran reserva 5 anos blend 2020|??|r|??|??|??|2020|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montchenot gran reserva 20 anos 2004|??|r|??|??|??|2004|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montchenot gran reserva 10 anos 2015|??|r|??|??|??|2015|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaria touriga nacional 2022 ig alentejo|??|r|touriga|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaria reserva 2022 alentejo|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaria grande escolha 2015 regional alentejano|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaria escolha do ano 2019 alentejo|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaria alicante bouschet 2022 ig alentejo|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre vinhas velhas 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre tinta amarela 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre grande reserva 2015|??|r|??|??|??|2015|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre classico 2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montalegre clarete 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montaignan cabernet sauvignon syrah|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montagne saint emilion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto montado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=463
W|vinho|tinto monsaraz tradicao 2024 alentejo|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monsaraz tradicao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monsaraz reserva red blend 2020|??|r|??|??|??|2020|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monsaraz reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monsaraz doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mondot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mondadori reserva especial tannat|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mondadori reserva especial cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto monastrell castillo san simon|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mona lisa teroldego gran reserva safra centenaria|??|r|??|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mon grenache paul mas|??|r|grenache|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto molino varietal shira|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto molino carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto molino cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moldavo novak cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moldavo cricova national cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moldavo animaliens saperavi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moillard nuitssaintgeorges 1er cru aop|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto moca com o brinco de perola cabernet franc gran reserva|??|r|cabernet franc|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob vinha senna dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob touriga nacional 2014 dao|??|r|touriga|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob senna 2018 dao|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob lote 4 dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob lote 3 2023 dao|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob lote 3|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob jaen dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob jaen 2022 dao|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob alfrocheiro dao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mob alfrocheiro 2021 dao|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mixtio sutil|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miura monastrell la vina del senor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miura monastrell la vina del senor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=495
W|vinho|tinto miura monastrell la vina del senor|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=495
W|vinho|tinto miraflores reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miraflores reserva carmenere|??|r|carmenere|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miraflores cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis grande reserva mmxxi 2021 douro|pt|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis grande reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis grande reserva 2017 0|??|r|??|??|??|2017|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis grande reserva|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mirabilis 2019 douro|pt|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mioranza suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mioranza seco|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo wild gamay nouveau|??|r|gamay|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo single vineyards touriga nacional|??|r|touriga|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo single vineyard syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo selecao touriga nacional tempranillo|??|r|tempranillo|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo selecao cabernet sauvignon merlot|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo selecao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo reserva pinot noir|??|r|pinot noir|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo reserva merlot|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo reserva cabernet suavignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miolo reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=518
W|vinho|tinto ministre imperial cuvee collection 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mingorra vinhas da ira 2014 regional alentejano|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mingorra touriga nacional 2021 regional alentejano|??|r|touriga|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mingorra reserva 2022 regional alentejano|??|r|??|??|??|2022|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mingorra colheita 2023 regional alentejano|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mingorra black 2020 regional alentejano|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto minervois paul mas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto milmat reserva 2021|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto millecento brunello riserva 2015|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto milla cala red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto milla cala|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto milamore blend bodega renacer|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil reis grande reserva 2021 regional alentejano|??|r|??|??|??|2021|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios vikingo corte petit verdot|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios pirata cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios pinot noir 2021|??|r|pinot noir|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios malbec tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios malbec 2020|??|r|malbec|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios assemblage 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mil demonios assemblage 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??|=538
W|vinho|tinto mil demonios assemblage|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miguel torres tenaz cinsault|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miguel torres loco de piedra reserva cab sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miguel torres loco de piedra reserva cab sauvignon|??|r|??|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=542
W|vinho|tinto miguel torres andica gran reserva carmenere 6und|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto miguel torres andica gran reserva carmenere|??|r|carmenere|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto midnight dark red blend menage a trois|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto microcosmico valdejalon garnacha 2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto microcosmico garnacha valdejalon igp 2023|??|r|??|??|??|2023|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto microcosmico garnacha valdejalon igp 2020|??|r|??|??|??|2020|13.5|igp|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michelini i mufatto gy malbec cabernet franc 2021|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michelini i mufatto en el camino bierzo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michele chiarlo palas barolo docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michele chiarlo palas barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michele chiarlo palas barbera dasti docg|??|r|barbera|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??|=553
W|vinho|tinto michele chiarlo palas barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michele chiarlo asili barbaresco docg|??|r|??|??|??|NV|13.5|docg|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michel torino select reserve tannat 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto michel torino select reserve tannat 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??|=557
W|vinho|tinto michel torino coleccion tannat 2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mi 2018 douro|pt|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto meymans shiraz kilikanoon|??|r|shiraz|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto metropolitano do valle central cabernet sauvignon seco|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mestico solido 2021 douro|pt|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mestico raro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mestico maduro 2020 douro|pt|r|??|??|??|2020|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mestico amoroso 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto messias vinha de santa barbara doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto messias classico garrafeira doc|??|r|??|??|??|NV|13.5|doc|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto messias clarete 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mesa suave dom gabriel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot vinicola cavalleri|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot viento del mar|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot viento del mar|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=573
W|vinho|tinto merlot valmarino|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot vaccaro|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot trofeo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto merlot terroir vilena|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot terroir miolo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot terranoble|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot storia casa valduga|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot single don bonifacio|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot saurus|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot santa carolina reservado 6 unidades|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reservado tierra los andes|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reservado santa carolina|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva terranoble|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva tarapaca|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva pucon|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva premier 1850 carmen|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva premier 1850 carmen|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=591
W|vinho|tinto merlot reserva pizzato|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva montgras|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva montgras|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=594
W|vinho|tinto merlot reserva montes|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva montes|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=596
W|vinho|tinto merlot reserva giaretta|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva emiliana adobe organico|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva cousino macul don matias|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot reserva cousino macul don matias|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??|=600
W|vinho|tinto merlot pizzato|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot petirrojo bisquertt chileno reserva|??|r|merlot|??|??|NV|13.5|reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot pecato vinicola cavalleri|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot pan de azucar bouza|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot pan de azucar|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot odfjell armador chileno organico|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot nacional adega chesini|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot montes estate|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot merula audace|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot menage a trois lavish merlot 2018 california|us|r|merlot|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot marques casa concha|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot luiz argenta l a classico|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot luiz argenta l a cave|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot lembrancas|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot jardin de macul|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot jardin de macul|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=616
W|vinho|tinto merlot gran reserva toro de piedra|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot gran reserva tarapaca|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot gran reserva tarapaca|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=619
W|vinho|tinto merlot gran reserva santa ema|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot gran reserva santa ema|??|r|merlot|??|??|NV|13.5|gran reserva|medio|carnes vermelhas; queijos curados|??|=621
W|vinho|tinto merlot fracao unica casa perini|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot emiliana adobe 6 unidades|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot doncella|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot do almaunica|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot dna 99 pizzato|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot cypress j lohr|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot chileno santa villa|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot chileno balduzzi|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot casillero del diablo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot casillero del diablo|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??|=631
W|vinho|tinto merlot carmen|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot cabernet sauvignon dadivas|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot begamo vinicola cavalleri|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot barefoot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
W|vinho|tinto merlot baginbox adega chesini|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
X
X
W|vinho|tinto merlot backsberg sulafricano|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot aurora gioia 2018|??|r|merlot|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot almaden|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot adega chesini|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot 22 750|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot 2023 nostrofruto|??|r|merlot|??|??|2023|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot 2019|??|r|merlot|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mercureysaumonts premier cru 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas; queijos curados|??
W|vinho|tinto mercurey vieilles vignes 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; queijos curados|??
