W|grand|cru|??|r|??|??|??|nv|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|manoir merlot res|??|r|merlot|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marnie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marnie kino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|grand|marrenon aop luberon blanc|??|w|??|??|??|2024|12.5|aop|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon aop luberon rouge|??|r|??|??|??|2023|13.5|aop|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon blanc|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=459
W|grand|marrenon blanc|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon blanc parcellaire futs luberon|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon luberon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon luberon blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|marrenon luberon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon in ohk|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rotwein kaufen|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rouge|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rouge|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=470
W|grand|marrenon rouge parcellaire futs luberon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon rouge parcellaire futs luberon en provence|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|marrenon weiwein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|may rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|may rose provence|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|grand|mayan extra aged tequilla 80pf|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan family collection|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan limited ed ultra aged 80p|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan limited ed ultra aged 80p|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=489
W|grand|mayan limited edition extra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan reposado|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=492
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|grand|mayan silver|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=499
W|grand|mayan silver 175|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan single barrel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan single barrel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=506
W|grand|mayan ultra|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra aged anejo limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra aged limited|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra aged limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra anejo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra anejo limited edition|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayan ultra limited release|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=515
W|grand|mayne|??|r|??|??|??|1988|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|1990|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=519
W|grand|mayne|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=519
W|grand|mayne|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne st emilion|??|r|??|??|st emilion|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne original wood case|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=527
W|grand|mayne|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mayne le compere|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral cornalin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral cornalin aoc valais|??|r|??|??|??|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral fendant aoc valais|??|r|??|??|??|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral heida aoc valais|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral heida aoc valais|??|r|??|??|??|2023|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral humagne rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral malvoisie douce aoc valais|??|r|??|??|??|2020|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral oeil de perdrix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral oeil de perdrix|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|grand|metral petite arvine aoc valais|??|r|??|??|??|2022|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|metral syrah aoc valais|??|r|syrah|??|??|2021|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|millesime|??|r|??|??|??|2006|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|millesime gb|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|millesime brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|millesime champagne aoc|fr|s|??|champagne|??|2015|12|aoc|leve|aperitivos, frutos do mar, canapes|seco
W|grand|mineral cotes du jura chardonnay|fr|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|mirande berthonneau saintemilion grand cru|??|r|??|??|??|2023|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|mix fromages et charcut|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
W|grand|moscato apple moldova|md|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moscato mango orange moldova|md|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moscato peach moldova|md|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moscato red moldova|md|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moscato strawberry moldova|md|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moscato white moldova|md|w|moscato|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|moulin hautmedoc|??|r|??|??|medoc|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|chateau montagne st emilion|grand moulin macquin|??|r|??|??|st emilion|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|moulin sauvignon igp cotes de gascogne|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|murols|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|murols 100gm 200gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|muscat chambers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|muscat seppeltsfield|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa cabernet sauvignon stone crib|us|r|cabernet sauvignon|california|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa cabernet sauvignon stone crib|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa master red blend|us|r|??|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa pinot noir|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards master red|us|r|??|california|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards cabernet sauvignon reserve|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards master red|us|r|??|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards grand napa vineyards pinot noir|us|r|pinot noir|california|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards chardonnay|us|w|chardonnay|california|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa vineyards cabernet sauvignon cellar selection napa valley|us|r|cabernet sauvignon|california|napa valley|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards cabernet sauvignon reserve|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa vineyards chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
W|grand|napa vineyards grand napa vineyards cabernet sauvignon reserve|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards los carneros chardonnay|us|w|chardonnay|california|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa vineyards los carneros chardonnay|us|w|chardonnay|california|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco|=580
W|grand|napa vineyards merlot reserve|us|r|merlot|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards pinot noir|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards pinot noir|us|r|pinot noir|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|grand|napa vineyards reserve cabernet sauvignon|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards reserve cabernet sauvignon napa valley usa|us|r|cabernet sauvignon|california|napa valley|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards rutherford cabernet sauvignon|us|r|cabernet sauvignon|california|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards stone crib cabernet sauvignon|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards stone crib estate cabernet sauvignon|us|r|cabernet sauvignon|california|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa vineyards the big pink rose|us|p|??|california|??|2019|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|napa wine co buck summit cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napa wine co buck summit cabernet sauvignon|us|r|cabernet sauvignon|california|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=591
W|grand|napa wine co grand napa vineyards chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa wine co grand napa vineyards chardonnay|us|w|chardonnay|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=593
W|grand|napa wine co grand napa vineyards sauvignon blanc|us|w|sauvignon blanc|california|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|napa wine co grand napa vineyards stone crib cabernet sauvignon|us|r|cabernet sauvignon|california|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|napoleon a lorange|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|national blinkers vranec republic of north macedonia|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|navire|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|nicolet cote de rhone rouge|fr|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|nicolet cru rasteau rouge les esqueyrons|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|nicolet rasteau les esqueyrons|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|nicolet vdn ambre|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|noir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|noir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|grand|noir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|grand|noir grenache blancchardonnay 00|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|noir grenachepinot noir 00|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|noir igp pays doc chardonnayviognier|??|w|chardonnay|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|grand|noir igp pays doc malbec|??|r|malbec|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|noir igp pays doc pinot noir|??|r|pinot noir|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|noir kaserei champignon half pound|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old bottled boal|??|r|??|??|??|1927|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old brand new shiraz petit verdot cabernet|??|r|shiraz|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old brand new vertical tasting sixpack|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 ani|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|grand|old parr 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|grand|old parr 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|grand|old parr 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=618
W|grand|old parr 12 anos 750cc|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 anos bilha castanha|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|grand|old parr 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|grand|old parr 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|grand|old parr 12 years|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|grand|old parr 18 year|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr com carica|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr de luxe 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr real antique and rare old 12 anos|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|old parr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=616
W|grand|opening de temporada|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|opening flowers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|opening round stand|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|opening yellow flowers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ordinaire|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ordinaire|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ordinaire spatburgunder landwein|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ordinaire wine club|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|ormeau lalande de pomrol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|paccard lbs|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pacific chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|grand|pacific red blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|padano shaving 1kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais bordeaux 075|fr|r|??|bordeaux|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais bordeaux reserve|fr|r|??|bordeaux|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais exquisit rose wine 630|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|palais reserve|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais reserve|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=653
W|grand|palais rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais sauvignon|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|palais sauvignon 075|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|papa jangles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|paquet royal an der bar lernbox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|paquet teamfavoriten lernbox|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|passion vinars vs 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|passion vinars vsop 40|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pertuis dezaley aoc|??|r|??|??|??|nv|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|petit verdot 155 vol|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|petit verdot mendoza|ar|r|??|mendoza|mendoza|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|petit verdot mendoza|ar|r|??|mendoza|mendoza|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pey lescours|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pink petals|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|grand|pinot noir 145 vol|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pinot noir 22 alpasion|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pinotage|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|plaisir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|plaisir champagne brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|grand|plateau de fromages|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|platter 58pax|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|plessis margaux|??|r|??|??|margaux|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|plumeau andree jardin|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pommier xs vsop cigar in the bottle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|2000|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|2001|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grand|pontet|??|r|??|??|??|2005|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=684
W|grand|pontet st emilion aoc|??|r|??|??|st emilion|2009|13.5|aoc|encorpado|carnes vermelhas, massas, queijos|seco
