1. W|carruades|de lafite pauillac|fr|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
442. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
443. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
444. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
445. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
446. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
447. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=441
448. W|carta|vieja sauvignon blanc 125|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
449. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
450. W|carta|vieja sauvignon blanc|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
451. W|carta|vieja sauvignon maule valley|cl|r|sauvignon|maule valley|??|NV|13.5|??|leve|carne vermelha, massas, queijos curados|seco
452. W|carta|vieja vinho tinto carmenere carmenere|??|r|carmenere|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
453. W|carta|vieja wijnpakket rood|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
454. W|carta|vieja wine carta vieja sauv blnc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
455. W|carta|vieja wine carta vieja sauv blnc|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=454
456. W|carta|viejacabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
457. W|cartaa|cartaa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
458. W|cartabianca|lambrusco|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
459. W|cartabianca|lambrusco amabile|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
460. W|cartabianca|lambrusco sweet|??|s|lambrusco|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
461. W|cartabianca|pignoletto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
462. W|cartable|maternelle en tissu enduit|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
463. W|cartabon|cartabon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
464. X
465. W|cartagena|cartagena|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|cartagena|gewustraminer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|cartagena|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|cartagena|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=467
469. W|cartagena|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=467
470. W|cartagena|pinot noir 2018 casa marin|??|r|pinot noir|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|cartagena|pinot noir casa marin|??|r|pinot noir|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
472. W|cartagena|riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
473. W|cartagena|riesling|??|w|riesling|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=472
474. W|cartagena|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
475. W|cartagena|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=474
476. W|cartagena|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=474
477. W|cartagene|cartagene|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
478. W|cartagene|cartagene|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=477
479. W|cartagene|cartagene|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. S
481. W|cartagene|fortified wine|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
482. W|cartagene|mistelle chateau marco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
483. S
484. S
485. W|cartagho|doc sicilila nero davola 1 2017 mandrarossa|??|r|nero davola|??|??|2017|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
486. W|cartagho|doc sicilila nero davola 2021 mandrarossa|??|r|nero davola|??|??|2021|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
487. W|cartagho|nero davola mandrarossa sicilie|??|r|nero davola|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
488. W|cartagho|nero davola mandrarossa sicilie|??|r|nero davola|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. X
490. W|cartagho|sicilia doc|it|r|??|sicilia|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
491. W|cartagho|sicilia doc nero davola mandrarossa|it|r|nero davola|sicilia|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
492. W|cartago|cartago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
493. W|cartago|cartago|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=492
494. W|cartago|san roman eko|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|cartago|cartago|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
496. W|cartago|cartago|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|cartago bodegas|maurodos|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|cartago|de san roman|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|cartago|de san roman paraje del pozo|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
500. W|cartago|paraje del pozo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
501. W|cartago|paraje del pozo|??|r|??|??|??|2012|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|cartago|paraje del pozo|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|cartago|paraje del pozo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
504. W|cartago|paraje del pozo|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=503
505. W|cartago|paraje del pozo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|cartago|paraje del pozo|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=505
507. W|cartago|paraje del pozo bodegas san roman|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
508. W|cartao|2 faces para pastelaria 24x24cm ouro e preto 50 un|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cartao|de agradecimento|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|cartao|de amor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|cartao|de aniversario|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
512. W|cartao|de fim de ano|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|cartao|de memoria intelbras micro sdhc 32gb roxo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|cartao|de memoria lexar micro sd 64gb 633x 100mbs csd adapter|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|cartao|de memoria lexar micro sd 64gb silver|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|cartao|de memoria sandisk extreme 4k micro sdhc 32gb 100mb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|cartao|de memoria sandisk ultra micro sd xc uhsi 64gb 100mbs com adaptador incluido|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|cartao|de memoria sandisk ultra micro sdhc uhsi 32gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|cartao|de oferta amavinhos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. X
521. W|cartao|de oferta foztua|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|cartao|de oferta garrafeira baco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|cartao|de oferta garrafeira portela|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|cartao|de oferta gourmet de selecao|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|cartao|de raspar a franca dos vinhos|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|cartao|floriografia gratidao|pt|r|??|dao|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|cartao|mensagem a6|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|cartao|oferta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|cartao|oferta osha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|cartao|para raspar a borgonha dos vinhos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|cartao|para raspar o bordeaux dos vinhos|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|cartao|para raspar o languedoc dos vinhos|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
533. W|cartao|para raspar o loire dos vinhos|fr|r|??|loire|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|cartao|para raspar o rhone dos vinhos|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
537. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
538. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
539. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
540. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
541. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
542. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
543. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
544. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
545. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
546. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
547. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
548. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
549. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
550. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
551. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
552. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
553. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
554. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
555. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
556. W|cartao|presente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
557. W|cartao|presente de la croix vinhos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|cartao|presente dizimos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|cartao|presente loja g exclusividade e qualidade sublime|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|cartao|presente personalizado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|cartao|presente wine emporio winiarski|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|cartaopresente|cartaopresente|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|cartaopresente|fisico para oferecer|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|cartas|cartas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
565. W|cartas|1920|??|r|??|??|??|1900|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cartas|1941|??|r|??|??|??|1920|13.5|??|medio|carne vermelha, massas, queijos curados|seco
567. W|cartas|a cristina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|cartas|a gwen john|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|cartas|a la princesa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|cartas|a quien pretende ensenar|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|cartas|a un joven novelista|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|cartas|a un joven poeta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|cartas|a un trabajador social|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|cartas|a vincent|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|cartas|biologicas a una dama|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|cartas|coleccionables tcg|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|cartas|con sobre 10 estilo ciudad de jerusalen 723172|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|cartas|con sobre 10 estilo granadas 72317|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|cartas|cosmicas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|cartas|cruzadas 1858|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|cartas|de africa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|cartas|de amor|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|cartas|de amor a mina loy|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|cartas|de castas jogo de 32 cartas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|cartas|de los 72 nombres de dios|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|cartas|de poker|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|cartas|de una novicia historia de una curruca|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
588. W|cartas|de una vida|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
589. W|cartas|de vinhos jogo de 52 cartas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|cartas|didacticas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|cartas|escritas desde la montana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|cartas|extraordinarias|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|cartas|magicas una guia para vivir en la nueva tierra|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|cartas|metalizadas pokemon|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|cartas|olvidadas de jane eyre y anna karenina|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|cartas|para empresas de regalo navideno|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
597. W|cartas|postumas desde montmartre|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|cartas|sobre la mesa|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|cartas|uno h2o aqua|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|cartas|vinolia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|cartas|y otros textos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
602. W|cartaux|bougaud cotes du jura pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|cartaux|bougaud letoile chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
604. W|cartavio|cartavio|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|cartavio|12 ars solera 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|cartavio|antiguo de solera 12y 40|??|r|??|??|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|cartavio|solera|??|r|??|??|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|cartavio|solera 12 year old|??|r|??|??|??|1929|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|cartavio|7 year old ron gran reserva|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
610. W|cartavio|anejo 375o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|cartavio|black ron|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|cartavio|blanco x|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
613. W|cartavio|gran reserva 7 anos|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
614. W|cartavio|gran solera 15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
615. W|cartavio|gran solera 15 anos x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|cartavio|gran solera 15 ar 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|cartavio|ron black|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|cartavio|ron gran solera 15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|cartavio|ron gran solera 15 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=618
620. W|cartavio|ron solera 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|cartavio|ron solera 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=620
622. W|cartavio|ron xo 18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|cartavio|ron xo 18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=622
624. W|cartavio|selecto 5 anos litro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|cartavio|solera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
626. W|cartavio|solera 12 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
627. W|cartavio|solera 12 anos 40o|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
628. X
629. W|cartavio|superior rubio x|??|r|??|??|??|NV|13.5|superior|medio|carne vermelha, massas, queijos curados|seco
630. W|cartavio|xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
631. W|cartavio|xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
632. W|cartavio|xo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=630
633. W|cartavio|xo 18 anos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|cartavio|xo 18 anos x|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|cartavio|xo 18 ars|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
636. W|cartavio|xo 18 ars 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
637. W|cartavio|xo 18 year old|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|cartavio|xo 18 years 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
639. W|cartavio|xo 18 years 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=638
640. W|cartavio|xo 18 yo 40 rom skotland|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
641. W|cartavio|xo 18y 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
642. W|cartavio|xo extra old 18 peru rom 40|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
643. W|cartavio|xo in gb|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
644. W|cartavio|xo solera 18 year|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
645. W|cartavio|xo verdens bedste rom|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
646. W|cartaz|a ronda dos queijos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
647. W|cartaz|de vinhos da borgonha|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
648. W|cartaz|de vinhos de bordeaux|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|cartaz|dos vinhos de franca|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|cartaz|os vinhos de bordeus|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|cartaz|os vinhos do rodano|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
652. W|cartazes|les robes du vin 50 x 70cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|cartazes|vinho astrologia 50 x 70 cm|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
654. W|carte|a gratter la bourgogne des vins|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|carte|a gratter la bourgogne des vins|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=654
656. W|carte|a gratter la bourgogne des vins|fr|r|??|bourgogne|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=654
657. W|carte|a gratter la france des vins|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|carte|a gratter la france des vins|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
659. W|carte|a gratter la france des vins|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
660. W|carte|a gratter la france des vins|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=657
661. W|carte|a gratter la france des vins 1020 degustations|fr|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|carte|a gratter la loire des vins|fr|r|??|loire|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
663. W|carte|a gratter la loire des vins|fr|r|??|loire|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=662
664. W|carte|a gratter la loire des vins|fr|r|??|loire|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=662
665. W|carte|a gratter le bordeaux des vins|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
666. W|carte|a gratter le bordeaux des vins|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=665
667. W|carte|a gratter le bordeaux des vins|fr|r|??|bordeaux|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=665
668. W|carte|a gratter le languedoc des vins|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
669. W|carte|a gratter le languedoc des vins|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=668
670. W|carte|a gratter le languedoc des vins|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=668
671. W|carte|a gratter le monde des vins|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|carte|a gratter le rhone des vins|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|carte|a gratter le rhone des vins|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=672
674. W|carte|a gratter le rhone des vins|fr|r|??|rhone|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=672
675. W|carte|ancienne aop cotes du roussillon villages|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
676. W|carte|ancienne aop cotes du roussillon villages coffret de 3 bouteilles|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
