1. W|wente|vineyards 1883 cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
701. W|wendouree|cabernet malbec 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco
702. W|wendouree|cabernet malbec 2017|??|r|??|??|??|2017|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
703. W|wendouree|cabernet malbec 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco
704. W|wendouree|cabernet malbec 2016|??|r|??|??|??|2016|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
705. W|wendouree|cabernet malbec 2015|??|r|??|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijo|seco
706. W|wendouree|cabernet malbec 2014|??|r|??|??|??|2014|13.5|??|encorpado|carne vermelha, massas, queijo|seco
707. W|wendouree|cabernet malbec 2013|??|r|??|??|??|2013|13.5|??|encorpado|carne vermelha, massas, queijo|seco
708. W|wendouree|cabernet malbec 2010|??|r|??|??|??|2010|13.5|??|encorpado|carne vermelha, massas, queijo|seco
709. W|wendouree|cabernet malbec 2008|??|r|??|??|??|2008|13.5|??|encorpado|carne vermelha, massas, queijo|seco
710. W|wendouree|cabernet malbec 2006|??|r|??|??|??|2006|13.5|??|encorpado|carne vermelha, massas, queijo|seco
711. W|wendouree|cabernet malbec 1998|??|r|??|??|??|1998|13.5|??|encorpado|carne vermelha, massas, queijo|seco
712. W|wendouree|cabernet malbec 1996|??|r|??|??|??|1996|13.5|??|encorpado|carne vermelha, massas, queijo|seco
713. W|wendouree|cabernet malbec 1994|??|r|??|??|??|1994|13.5|??|encorpado|carne vermelha, massas, queijo|seco
714. W|wendouree|2013 muscat of alexandria|??|w|??|??|??|2013|12.5|??|medio|peixes, frutos do mar, saladas|seco
715. X
716. X
717. X
718. X
719. X
720. X
721. X
722. X
723. X
724. X
725. X
726. X
727. X
728. X
729. X
730. X
731. X
732. X
733. X
734. X
735. X
736. X
737. X
738. X
739. X
740. X
741. X
742. X
743. X
744. X
745. X
746. X
747. X
748. X
749. X
750. X
751. X
752. X
753. X
754. X
755. X
756. X
757. X
758. X
759. X
760. X
761. X
762. X
763. X
764. X
765. X
766. X
767. X
768. X
769. X
770. X
771. X
772. W|wemyss|malts glenrothes 31 year old 1988 sherry butt|??|f|??|??|??|1988|20|??|encorpado|queijos, sobremesas, charutos|seco
773. X
774. X
775. X
776. X
777. X
778. X
779. X
780. X
781. X
782. X
783. X
784. X
785. X
786. X
787. X
788. X
789. X
790. X
791. X
792. X
793. X
794. X
795. X
796. X
797. X
798. X
799. X
800. X
801. X
802. X
803. X
804. X
805. X
806. X
807. X
808. X
809. W|wembley|london dry|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
810. W|wembley|london dry|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
811. W|wembley|london dry|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
812. W|wembley|dry|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
813. W|wembley|dry|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
814. X
815. X
816. X
817. X
818. X
819. W|weltner|2012 rodelseer kuchenmeister riesling trocken|??|w|??|??|??|2012|12.5|??|medio|peixes, frutos do mar, saladas|seco
820. W|weltlinger|riesling kupp auslese 1982 egon muller|??|d|??|??|??|1982|10|??|medio|sobremesas, queijos|doce
821. W|weltlinger|braune kupp riesling auslese 1982 egon muller|??|d|??|??|??|1982|10|??|medio|sobremesas, queijos|doce
822. W|weltevrede|witht sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
823. W|weltevrede|witht sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
824. W|weltevrede|witht sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
825. W|weltevrede|witht sauvignon blanc|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
826. W|weltevrede|vinilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
827. W|weltevrede|vanilla chardonnay 2025|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
828. W|weltevrede|vanilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
829. W|weltevrede|vanilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
830. X
831. X
832. X
833. X
834. W|weltevrede|syrah bedrock black 2022|??|r|??|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijo|seco
835. W|weltevrede|she dry rose|??|p|??|??|??|NV|12|??|medio|saladas, peixes, aperitivos|seco
836. W|weltevrede|she char pinot noir rose|??|p|??|??|??|NV|12|??|medio|saladas, peixes, aperitivos|seco
837. W|weltevrede|poets prayer chardonnay 2024|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
838. W|weltevrede|place of rocks chardonnay wooded|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
839. W|weltevrede|place of rocks chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
840. W|weltevrede|place of rocks chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
841. W|weltevrede|place of rocks chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
842. W|weltevrede|place of rocks chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
843. X
844. W|weltevrede|philip jonker rosetta mcc brut rose|??|p|??|??|??|NV|12|??|medio|saladas, peixes, aperitivos|seco
845. W|weltevrede|philip jonker entheos brut mcc|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
846. X
847. W|weltevrede|philip jonker brut mcc entheos nv|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
848. W|weltevrede|philip jonker brut mcc entheos|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
849. W|weltevrede|philip jonker brut entheos nv|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
850. X
851. W|weltevrede|ph jonker brut entheos nv|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
852. X
853. X
854. X
855. X
856. X
857. X
858. X
859. X
860. X
861. X
862. X
863. X
864. W|weltevrede|merlot cherry choc|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
865. W|weltevrede|lemonzest unwooded chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
866. W|weltevrede|lemon zest chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
867. W|weltevrede|lemon zest chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
868. X
869. W|weltevrede|estate tasty sigarbox shiraz|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
870. W|weltevrede|estate tasty cherrychoc merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
871. X
872. X
873. W|weltevrede|collectibles shiraz 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
874. W|weltevrede|collectibles chardonnay 2022|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
875. W|weltevrede|collectibles chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
876. W|weltevrede|collectibles cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijo|seco
877. W|weltevrede|cigarbox shiraz 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijo|seco
878. W|weltevrede|cigarbox shiraz|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
879. W|weltevrede|cigarbox shiraz|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
880. W|weltevrede|chillt chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
881. W|weltevrede|cherrychoc merlot 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijo|seco
882. W|weltevrede|cherrychoc merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
883. W|weltevrede|cherrychoc merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
884. W|weltevrede|cherry choc merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
885. W|weltevrede|cherry choc merlot|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco|=N
886. W|weltevrede|chardonnay vanilla|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
887. X
888. W|weltevrede|cape wine crafters vanilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
889. W|weltevrede|cape wine crafters vanilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
890. W|weltevrede|cape wine crafters vanilla chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
891. W|weltevrede|cape wine crafters bedrock black syrah 2021|??|r|??|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijo|seco
892. W|weltevrede|calcrete uw chardonnay 2025|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
893. W|weltevrede|calcrete unwooded chardonnay 2023|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
894. W|weltevrede|calcrete chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
895. W|weltevrede|calcrete chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
896. W|weltevrede|calcrete chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
897. W|weltevrede|calcrete chardonnay|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=N
898. W|weltevrede|brut entheos|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
899. W|weltevrede|blueberry cabernet sauvignon 2024|??|r|??|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijo|seco
900. W|weltevrede|blueberry cabernet sauvignon|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
901. W|weltevrede|bedrock syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
902. W|weltevrede|bedrock black syrah|??|r|??|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijo|seco
903. X
904. X
905. X
906. X
907. X
908. X
909. X
910. X
911. X
912. X
913. X
914. X
915. X
916. X
917. X
918. X
919. X
920. X
921. X
922. X
923. X
924. X
925. X
926. X
927. X
928. X
929. X
930. X
931. X
932. X
933. X
934. X
935. X
936. X
937. X
938. X
939. X
940. X
941. X
942. X
943. X
944. W|welshmans|reef pet nat rose|??|p|??|??|??|NV|12|??|medio|saladas, peixes, aperitivos|seco
945. W|welshmans|reef pet nat blancs|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
946. W|welshmans|reef pet nat blanc|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
947. X
948. W|welsh|wine week tasting thursday 9 june|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
949. W|welsh|mountain pipin pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|brut
950. X
951. X
952. W|welsh|lady strawberry champagne preserve 227g|fr|s|??|??|??|NV|12|reserve|leve|aperitivos, frutos do mar, sushi|brut
953. X
954. X
955. X
956. X
957. X
958. X
959. X
960. X
961. W|welsh|brothers madeira medium dry|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco
962. W|welsh|brothers madeira full rich|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco
963. W|welsh|brothers madeira 37|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco
964. W|welsh|brothers madeira|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco
965. W|welsh|brothers madeira|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco|=N
966. W|welsh|brothers madeira|??|f|??|??|??|NV|20|??|encorpado|queijos, sobremesas, charutos|seco|=N
967. W|welsh|brothers 1914 madeira bual|??|f|??|??|??|1914|20|??|encorpado|queijos, sobremesas, charutos|seco
968. X
969. X
970. X
971. X
972. X
973. X
974. X
975. X
976. X
977. X
978. X
979. X
980. X
981. X
982. X
983. X
984. X
985. X
986. X
987. X
988. X
989. X
990. X
991. X
992. X
993. X
994. X
995. X
996. X
997. X
998. X
999. X
1000. X
