W|camino de|chile limited edition|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon fracao unica casa perini|perini|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon essence|tonini|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon espanhol finca el rejoneo|rejoneo|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon elegance origem casa valduga|valduga|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon elegance origem caixa 6|6|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon elegance origem|origem|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon don nicanor x|x|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon don giovanni|2019|??|r|cabernet sauvignon|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|doc venezia scuri borgo molino|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|demisec|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon cordelier varietale|varietale|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon castellamare caixa 6|6|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon castellamare|castellamare|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon casa perini|perini|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon boscato bag|bag|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon barricas castellamare caixa 6|6|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon barricas castellamare|castellamare|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon australiano yellow tail|tail|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino|tinto paris goulart reserva|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino|rose paris goulart|??|p|cabernet sauvignon|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|cabernet sauvignon argentino pascual toso leve 3 pague 2|2|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino luigi bosca|bosca|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino latitud 33|33|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino la mascota melhor|tinto do mundo 2018|??|r|cabernet sauvignon|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino hereford|tinto seco|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino hereford|hereford|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon argentino|gran mascota|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon arbo casa perini|perini|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon alfredo roca|roca|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|2021 lovara|??|r|cabernet sauvignon|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=472
W|cabernet sauvgnon domus aurea|aurea|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet sauvgnon chileno|tinto seco jovem arrivo 31 aromas frutas vermelhas delicadas notas florais taninos suaves aveludados|cl|r|??|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|cabernet franc|suave granja uniao garibaldi|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|cabernet franc seco granja uniao garibaldi|garibaldi|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet franc la|classico cx|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet franc don giovanni|2019|??|r|cabernet franc|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet franc cordelier|cordelier|??|r|cabernet franc|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernet franc argentino|tinto goulart f the franc reserva old vines|??|r|cabernet franc|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabernet franc|2021|??|r|cabernet franc|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabernario n3 red|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caberisco|cabernet sauvignon 2021|??|r|cabernet sauvignon|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caberisco|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caberisco|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=485
W|cabeco da pedra|tejo|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeco da pedra|tejo|pt|r|??|tejo|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=487
W|cabeco da pedra|branco tejo|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco
W|cabeco da pedra|branco tejo|pt|w|??|tejo|??|NV|12.5|DOC|leve|peixes, frutos do mar, saladas|seco|=489
W|cabeca de touro|tinto suave|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|demi-sec
W|cabeca de touro|touro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeca de toiro|special selection tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeca de toiro reseva|reseva|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|cabeca de toiro|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabeca de toiro|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=495
W|cabeca de toiro|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|cabeca de toiro|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|cabeca de burro|burro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco sagrada familia|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco sagrada familia|familia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco pirque|pirque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco n 19|19|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco maipo andes|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco limari|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco limari|limari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru sagrada familia oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru sagrada familia oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=508
W|caballo loco|grand cru sagrada familia 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru sagrada familia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru sagrada familia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=511
W|caballo loco|grand cru pirque oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru pirque|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru maipo oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru maipo oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=515
W|caballo loco|grand cru maipo andes 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru maipo andes|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru maipo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru maipo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=519
W|caballo loco|grand cru limari oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru limari 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru limari 2012|??|r|??|??|??|2012|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru limari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru limari|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=524
W|caballo loco|grand cru curico oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru curico oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=526
W|caballo loco|grand cru curico|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru apalta oferfa|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru apalta 750m oferta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru apalta 2019|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco|grand cru apalta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=532
W|caballo loco experimental granitico|2018 oferta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco experimental granitico|2018 mega oferta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco experimental granitico|2018 mega oferta|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=535
W|caballo loco curico|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo loco apalta|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo de oro syrah|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo de oro sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|caballo de oro|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|caballo de oro merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo de oro carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo de oro cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballo azul|especial|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|caballero hidalgo crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|caballero hidalgo|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|cab sauv|terranoble 2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca montebello pinot nero bianco|doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca montebello pinot nero|nero|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca montebello barbera|doc|??|r|barbera|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca marcanda promis gaja|gaja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|ca marcanda promis|2005 tinto|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
X|=26
X|=26
X|=26
X|=26
W|c cabriz verde|verde|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|c cabriz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|c cabriz|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=559
W|c cabriz|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|c cabriz ig terras da beira|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|c cabriz ig terras da beira|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|c cabriz|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|byzantium rosso romenia|romenia|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|byzantium rosso|doc 2020 tinto romenia|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|byzantium rosso|rosso|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|byzantium feteasca neagra|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|byzantium feteasca neagra|doc 2019 tinto romenia|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|byzantium blanc|doc 2020 branco romenia|??|w|??|??|??|2020|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|byott cotes de provence|2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|by rui roboredo|madeira|??|f|palomino|??|??|NV|13.5|??|encorpado|quesos azuis, chocolate amargo, castanhas|seco
W|by quinta|do judeu doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|by quinta|do judeu doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=573
W|by ott cotes provence|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|bvinhas da teixuga 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvinha grande 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvinha da defesa 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvinea 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvarzea da pedra|075|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bvarzea da pedra 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvallegre moscatel galego 075|075|??|w|moscatel|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|bvalle pradinhos 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvalle longo 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvalle de passos 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvallado tres melros 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvallado|2025 075|??|r|??|??|??|2025|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvallado|2024 075|??|r|??|??|??|2024|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bvallado 0375|0375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bv coastal|estates cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bustamante mantvm|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bustamante la orilla|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bustamante la orilla|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=592
W|burmester|white 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|burmester tawny 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester|porto tawny|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|burmester|porto ruby|??|f|palomino|??|??|NV|20|??|encorpado|quesos azuis, chocolate amargo, castanhas|doce
W|burmester|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester|doc douro tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco|=598
W|burmester colheita|1975 0|??|r|??|??|??|1975|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester 40 anos 0 caixa individual|individual|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester 30 anos 0 caixa individual|individual|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester 20 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burmester 10 anos 0|0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burgozone collection philippe red|cuvee pgi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burgogno barolo|tinto 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burdizzo primitivo puglia|tinto 1x|??|r|primitivo|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|burdizzo primitivo puglia|2021|??|r|primitivo|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bulgaro soli red|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bulgaro soli red|blend tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=609
W|bulgaro maximinus thrax mavrud|mavrud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bulgaro brestovitsa mavrud|mavrud|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bulgaria chateau burgozone esperanto pgi|pgi|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|buffon merica glera|glera|??|w|glera|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|buffon exotico laranja|laranja|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|buffon enterrado|enterrado|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno vin cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno vin cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno sauvignon blanc safra|2023|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|bueno|rose vin|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|bueno pinot noir|2023|??|r|pinot noir|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bueno pinot noir|reserva|??|r|pinot noir|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bueno petit verdot|tinto|??|r|petit verdot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bueno paralelo 31|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bueno paralelo 31|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=624
W|bueno paralelo 31 bueno wines fruit|fruit|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno paralelo 31|31|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno moments vin cab sauvignon tto 1x|1x|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno la valletta sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno la valletta sangiovese|sangiovese|??|r|sangiovese|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=629
W|bueno cipresso brunello di montalcino riserva|2004|??|r|??|??|??|2004|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno cipresso brunello di montalcino|2007|??|r|??|??|??|2007|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno cipresso brunello di montalcino|2005|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno bellavista|pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno bellavista desiree merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bueno anima|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bueno anima|gran reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=636
W|bucaco reservado|tinto 2018|??|r|??|??|??|2018|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|bucaco reservado|branco|??|w|??|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|bucaco mistico|tinto 2017|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bucaco|branco 2022|??|w|??|??|??|2022|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|btrinca bolotas 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btres bagos sauvblanc 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btres bagos|075|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|btorre de palma arintoalvarinho 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btorre de palma 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btitan|075|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|btiara 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btiago cabaco vinhas velhas 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btiago cabaco verdelho 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btiago cabaco encruzado 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btiago cabaco com 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btiago cabaco com 0375|0375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bterras|do po chardonnayviognier 075|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|bterras|do po 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bterras|do grifo vinhas velhas 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|bterras|do avo 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btavedo 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btavedo 0375|0375|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btapada|do chaves vinhas velhas 075 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btapada|do chaves vinhas velhas 075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|btapada coelheiros chardonnay 075|075|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|bserras de azeitao 075|075|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
