W|nacional aurora pinto bandeira chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras antu cabernet sauvignon carmenere|2021 tinto chile|cl|r|cabernet sauvignon|valle central|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras amaral sauvignon blanc|branco|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras amaral sauvignon blanc|2023 branco chile|cl|w|sauvignon blanc|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montgras amaral pinot noir|2023 tinto chile|cl|r|pinot noir|valle central|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montgras amaral chardonnay|2023 branco chile|cl|w|chardonnay|valle central|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monteverro chardonnay|2019|??|w|chardonnay|??|??|2019|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monteverro 201120122014|201120122014|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monteverro|2009|??|r|??|??|??|2009|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monteverro 2008201020132016|2008201020132016|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montessu isola dei nuraghi|igt 2022|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montessu isola dei nuraghi|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montessu isola|isola|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montessu|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montessu|igt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=470
W|montes wings carmenere premiado|chile do apalta|cl|r|carmenere|valle central|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes wings|wings|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes winem sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes twins red|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini tannat roble|roble|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini tannat roble|roble|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=476
W|montes toscanini tannat|familiar|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini tannat|reserva|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|familiar tannat 2023|??|r|tannat|??|??|2023|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|familiar tannat 2021 tinto uruguai|??|r|tannat|??|??|2021|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|familiar tannat 2021 rose uruguai|??|p|tannat|??|??|2021|12.5|Reserva|medio|saladas, sushi, petiscos|seco
W|montes toscanini|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|familiar tannat|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=484
W|montes toscanini|familiar merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|familiar merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=486
W|montes toscanini|familiar|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|de familia tannat cx 06 grf|??|r|tannat|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini res familiar cab sauvignon tt|tt|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini|gran tannat tinto|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini elegido tannat merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini elegido|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini elegido bivarietal|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini elegido bivarietal|bivarietal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini crudo tannat no 1|1|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini crudo roble|blend no 6|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini criado en roble tannat|tannat|??|r|tannat|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini criado en roble|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini criado en roble|blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=500
W|montes toscanini criado en roble albarino|albarino|??|w|albarino|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes toscanini corte supremo|supremo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes toscanini carlos montes crianza tannat|2022|??|r|tannat|??|??|2022|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes|tinto reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes seleccion limitada pinot noir 1x|1x|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes seleccion limitada cabernet sauvignon carmenere|carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes selecciom limitada carmenere 1x|1x|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes|merlot tinto|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic series cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic series cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=513
W|montes|chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes|cabernet sauvignon 2022|??|r|cabernet sauvignon|??|??|2022|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes purple angel safra|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes purple angel carmenere e petit verdot|verdot|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes purple angel|2020|??|r|??|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes purple angel|angel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes outer limits sauvignon blanc|2024|??|w|sauvignon blanc|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes outer limits cinsault|2023|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes merlot|reserva|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes limited selection sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes limited selection sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=524
W|montes limited selection pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes limited selection carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes limited selection carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes limited selection cabsauvignon carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes limited selection cabernet sauvignon e carmenere|carmenere|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes folly syrah|2017|??|r|syrah|??|??|2017|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes folly|folly|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes ermos|tinto|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes ermos|douro|pt|r|??|douro|??|NV|14.5|DOC|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes ermos garrafeira dos socios|socios|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes ermos|douro colheita tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|montes ermos codega larinho|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes ermos adega freixo|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes ermos adega freixo bag|bag|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes ermos adega de freixo|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes de la|tinto grande reserva 0 caixa com 3|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic series sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes|classic series reserva merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic series reserva malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic series reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes|classic series reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic reserva sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes|classic reserva merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic reserva merlot|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=548
W|montes|classic reserva malbec|??|r|malbec|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes|classic reserva chardonnay|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes|classic reserva cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes claros|reserva|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes cherub syrah|rose|??|p|syrah|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|montes cherub|rose 2024|??|p|??|??|??|2024|12.5|??|medio|saladas, sushi, petiscos|seco
W|montes cherub|cherub|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes chardonnay|reserva|??|w|chardonnay|??|??|NV|12.5|Reserva|medio|peixes, frutos do mar, saladas|seco
W|montes cabernet sauvignon|reserva|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|montes cabernet sauvignon|reserva|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco|=558
W|montes alpha|tinto carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah|tinto|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah super oferta|oferta|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah|2021|??|r|syrah|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah 1x|1x|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=565
W|montes alpha syrah|syrah|??|r|syrah|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=565
W|montes alpha|special pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha|special cuvee cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha|special cuvee cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=569
W|montes alpha sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes alpha sauvignon blanc|blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=571
W|montes alpha pinot noir tto 1x|1x|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha pinot noir|tinto|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha pinot noir mega oferta|oferta|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=576
W|montes alpha pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=576
W|montes alpha pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=576
W|montes alpha pinot noir|noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=576
W|montes alpha merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha merlot|tinto|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=581
W|montes alpha merlot mega oferta|oferta|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha merlot mega oferta|oferta|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=583
W|montes alpha merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=585
W|montes alpha merlot|merlot|??|r|merlot|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=585
W|montes alpha malbec|tinto|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha malbec mega oferta|oferta|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha malbec|2021 145|??|r|malbec|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha malbec|2018|??|r|malbec|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=592
W|montes alpha malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=592
W|montes alpha malbec|malbec|??|r|malbec|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=592
W|montes alpha m|do|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha m|2021|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha m|2018|??|r|??|??|??|2018|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha m|2010|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha m|m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha m|m|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=600
W|montes alpha chardonnay super oferta|oferta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes alpha chardonnay super oferta|oferta|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=602
W|montes alpha chardonnay|branco|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes alpha chardonnay|2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes alpha chardonnay|2021|??|w|chardonnay|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco|=605
W|montes alpha chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|montes alpha chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=607
W|montes alpha chardonnay|chardonnay|??|w|chardonnay|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=607
W|montes alpha chardonay|chardonay|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha carmenere|tinto|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=611
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha carmenere|carmenere|??|r|carmenere|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=613
W|montes alpha cabernet sauvignon|tinto|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon oferta|oferta|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon|2022|??|r|cabernet sauvignon|??|??|2022|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon|2020|??|r|cabernet sauvignon|??|??|2020|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=623
W|montes alpha cabernet sauvignon|2014|??|r|cabernet sauvignon|??|??|2014|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montes alpha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=626
W|montes alpha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=626
W|montes alpha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=626
W|montes alpha cabernet sauvignon|sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=626
W|montepulciano d abruzzo riserva cornogrande|cornogrande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|montelouro|douro doc tinto|pt|r|??|douro|??|NV|13.5|DOC|medio|carnes vermelhas, massas, queijos curados|seco
W|monte velho|tinto 0|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=634
W|monte velho|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=634
W|monte velho|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|monte velho|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco|=637
W|monte velho esporao|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte velho esporao|esporao|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte velho|branco 0|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte velho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte velho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=642
W|monte velho|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco|=642
W|monte velho|velho|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte tondo amarone della valpolicella|tinto 2018|??|r|??|??|??|2018|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte seco|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte seco|rose|??|p|??|??|??|NV|12.5|??|medio|saladas, sushi, petiscos|seco
W|monte seco|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte reale|gran terroir pinot noir|??|r|pinot noir|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte paschoal|sweet red|??|r|??|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|monte paschoal|merlot tinto|??|r|merlot|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|monte paschoal|cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|NV|14.5|Reserva|encorpado|carnes vermelhas, massas, queijos curados|seco
W|monte ducay crianza|crianza|??|r|??|??|??|NV|14.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte dos perdigoes vinhas velhas|velhas|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte dos perdigoes colheita|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte dos perdigoes colheita selecionada|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte dos perdigoes colheita selecionada|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte dos perdigoes colheita selecionada|alentejo|pt|r|??|alentejo|??|NV|13.5|DO|medio|carnes vermelhas, massas, queijos curados|seco
W|monte dos perdigoes colheita|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte|do zambujeiro tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte|do zambujeiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte|do zambujeiro|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=662
W|monte|do pintor tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte|do pintor tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=664
W|monte|do carrapatelo branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte|do carrapatelo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte del fra valpolicella|classico doc|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=669
W|monte de pinheiros|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco|=669
W|monte de pinheiros|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte das anforas|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte da peceguina|tinto|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas, massas, queijos curados|seco
W|monte da peceguina|branco 2024|??|w|??|??|??|2024|12.5|??|leve|peixes, frutos do mar, saladas|seco
W|monte da peceguina|branco|??|w|??|??|??|NV|12.5|??|leve|peixes, frutos do mar, saladas|seco
