W|gruzinsky|cerny caj se sipkem porcovany 20 ks|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=460
W|guado|al tasso|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=463
W|guado|al tasso|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=465
W|guado|al tasso rosato|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guado|al tasso|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso astuccio in legno|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri matarocchio|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=473
W|guado|al tasso|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|guado|al tasso|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=477
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc antinori|??|r|??|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=483
W|guado|al tasso antinori|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso doc superiore tenuta guado al tasso bolgheri toscana italien|it|r|??|tuscany|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=487
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore antinori|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso doc superiore tenuta guado al tasso bolgheri toscana italien|it|r|??|tuscany|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 3 bottiglie|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 6 bottiglie|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso per 6 in bond|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|guado|al tasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|guado|al tasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|guado|al tasso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=497
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|guado|al tasso marchesi antinori|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 3 bottiglie|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 6 bottiglie|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=507
W|guado|al tasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=507
W|guado|al tasso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=507
W|guado|al tasso antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore antinori|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri rosso sup doc antinori|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso doc antinori|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori in cassa legno|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 3 bottiglie|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 6 bottiglie|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori in cassa legno|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=515
W|guado|al tasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=520
W|guado|al tasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=520
W|guado|al tasso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=520
W|guado|al tasso bolgheri doc tenuta guado al tasso 075|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso in bond per 6|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 3 bottiglie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 6 bottiglie|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori in cassa legno|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso in bond ex vat duty landing summer|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori in cassa legno|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 3 bottiglie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori cassa legno 6 bottiglie|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso marchesi antinori in cassa legno|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=535
W|guado|al tasso bolgheri vermentino by antinori|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guado|al tasso il bruciato|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso il bruciato bolgheri rosso|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=543
W|guado|al tasso antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=511
W|guado|al tasso antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=511
W|guado|al tasso antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=511
W|guado|al tasso antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|guado|al tasso antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=555
W|guado|al tasso antinori bolgheri doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri rosso il bruciato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri rosso il bruciato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=559
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|1998|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|1999|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2000|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2005|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2013|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg jeroboam cassa legno|??|r|??|??|??|2017|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore docg|??|r|??|??|??|2020|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori bolgheri superiore piccola annata docg|??|r|??|??|??|1992|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori il bruciato|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori in cassa legno|??|r|??|??|??|2007|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori merlot bolgheri contugo|??|r|merlot|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori super toscan bolgheri italia|it|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori super toscan bolgheri italia|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso antinori super toscan bolgheri italia|it|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri antinori|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri cont ugo doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri contugo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri contugo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=581
W|guado|al tasso bolgheri contugo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri contugo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|guado|al tasso bolgheri contugo|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=583
W|guado|al tasso bolgheri doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore|??|r|??|??|??|2012|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore antinori|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore de topwijn uit bolgheri|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=587
W|guado|al tasso bolgheri doc superiore marchesi antinori|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri doc superiore tenuta guado al tasso antinori|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri il bruciato|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri il bruciato|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|guado|al tasso bolgheri il bruciato|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=595
W|guado|al tasso bolgheri il bruciato|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri riserva doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri rosato scalabrone|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|guado|al tasso bolgheri rosato scalabrone|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=600
W|guado|al tasso bolgheri rosato scalabrone|??|p|??|??|??|2025|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=600
W|guado|al tasso bolgheri rosso il bruciato|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|guado|al tasso bolgheri superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|guado|al tasso bolgheri superiore|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=604
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2003|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore cassa 6bt release dallazienda antinori|??|r|??|??|??|2008|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore cassa 6bt release dallazienda antinori|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore cassa 6bt release dallazienda antinori|??|r|??|??|??|2011|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2012|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=472
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore antinori|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore antinori|??|r|??|??|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore antinori|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=502
W|guado|al tasso bolgheri superiore marchesi antinori|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore red dry 145 075|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=626
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc 3 lite|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore marchesi antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=525
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=527
W|guado|al tasso bolgheri superiore doc 3 lite|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore marchesi antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=639
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=639
W|guado|al tasso bolgheri superiore antinori|??|r|??|??|??|2010|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc marchesi antinori|??|r|??|??|??|2018|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc marchesi antinori|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=647
W|guado|al tasso bolgheri superiore doc marchesi antinori|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=628
W|guado|al tasso bolgheri superiore doc|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=527
W|guado|al tasso bolgheri superiore doc antinori|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc 3ltr|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore doc guado al tasso|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=639
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=639
W|guado|al tasso bolgheri superiore|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=639
W|guado|al tasso bolgheri superiore matarocchio|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiore matarocchio|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri superiroe antinori|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso bolgheri vermentino|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guado|al tasso bolgheri vermentino|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|guado|al tasso bolgheri vermentino|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=662
W|guado|al tasso bolgheri vermentino|??|w|??|??|??|2025|12.5|??|medio|peixes, frutos do mar, saladas|seco|=662
W|guado|al tasso cont ugo bolgheri doc|??|r|??|??|??|2023|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso cont ugo bolgheri doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso cont ugo rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo bolgheri rosso|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo bolgheri rosso antinori|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=670
W|guado|al tasso contugo bolgheri rosso antinori|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo bolgheri rosso antinori|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo per 6 in bond|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo bolgheri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso contugo bolgheri|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=675
W|guado|al tasso doc|??|r|??|??|??|2013|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso doc|??|r|??|??|??|2014|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|guado|al tasso doc|??|r|??|??|??|2015|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
