W|grove selections|pomegranate red wine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruaud|larose|??|p|??|??|??|1989|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|1989|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=452
W|gruaud|larose|??|p|??|??|??|1990|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose saint julien|??|p|??|??|saint julien|1990|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose ts|??|p|??|??|??|1990|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|1993|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|1994|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|1994|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|1994|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=459
W|gruaud|larose|??|p|??|??|??|1995|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|1995|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|1995|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=462
W|gruaud|larose|??|p|??|??|??|1996|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose original wood case|??|p|??|??|??|1996|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|1996|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|1997|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|1997|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=467
W|gruaud|larose|??|p|??|??|??|1997|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=467
W|gruaud|larose saint julien|??|p|??|??|saint julien|2000|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose original wood case|??|p|??|??|??|2001|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2003|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2003|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=472
W|gruaud|larose saint julien|??|p|??|??|saint julien|2003|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2005|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2005|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=475
W|gruaud|larose|??|p|??|??|??|2008|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2009|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2009|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=478
W|gruaud|larose|??|p|??|??|??|2009|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=478
W|gruaud|larose|??|p|??|??|??|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose saint julien|??|p|??|??|saint julien|2010|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2011|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2011|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=483
W|gruaud|larose|??|p|??|??|??|2013|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2014|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=487
W|gruaud|larose|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=487
W|gruaud|larose st julien|??|p|??|??|st julien|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien|??|p|??|??|st julien|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=490
W|gruaud|larose|??|p|??|??|??|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose|??|p|??|??|??|2017|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=492
W|gruaud|larose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2009|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2014|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2014|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=496
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2015|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2015|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=498
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2019|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2019|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=500
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2020|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2021|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2021|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=503
W|gruaud|larose 2eme grand cru classe saintjulien|??|p|??|??|??|2022|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose chateau grand cru classe|??|p|??|??|??|1988|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose chateau grand cru classe|??|p|??|??|??|1988|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=506
W|gruaud|larose chateau grand cru classe|??|p|??|??|??|1988|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco|=506
W|gruaud|larose exchateau trio set 199519981999|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose saint julien 2gcc 1sdl|??|p|??|??|saint julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose saintjulien|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose saintjulien grand cru classe|??|p|??|??|??|1983|12.5|grand cru|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose sarget de gruaud larose|??|p|??|??|??|2015|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien 1848|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien 1848|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=514
W|gruaud|larose st julien 1865|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien 1865|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=516
W|gruaud|larose st julien 1899|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien 1899|??|p|??|??|st julien|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=518
X
X
X
X
W|gruaud|larose st julien|??|p|??|??|st julien|1982|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
X
W|gruaud|larose st julien|??|p|??|??|st julien|1986|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaud|larose st julien exchateau|??|p|??|??|st julien|1995|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruaudlarose|sarget de gruaudlarose st julien 1|??|p|??|??|st julien|2005|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruber|auslese chardonnay|??|d|chardonnay|??|??|2023|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gruber|gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|gruner veltliner roschitz weinviertel dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|riesling roschitz|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschittz sparkling gruner vetliner|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruber|roschitz gruner veltliner|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz blauer zweigelt klassik|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz by nature gruner veltliner|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz by nature riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz by nature riesling|??|w|riesling|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz by nature sparkling gruner veltliner|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruber|roschitz chardonnay auslese|??|d|chardonnay|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce
W|gruber|roschitz chardonnay auslese|??|d|chardonnay|??|??|nv|10|??|encorpado|sobremesas, queijos, frutas secas|doce|=540
W|gruber|roschitz eiswein riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz galgenberg saint laurent|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz gemischter satz qba organic|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=545
W|gruber|roschitz gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=545
W|gruber|roschitz gruner veltliner roschitz weinviertel dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner weinviertel dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner klassik|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner klassik|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=550
W|gruber|roschitz gruner veltliner klassik|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=550
W|gruber|roschitz gruner veltliner klassik|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=550
W|gruber|roschitz gruner veltliner ried hundspoint wienvertel|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner weinviertel|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz gruner veltliner weinviertel|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=555
W|gruber|roschitz gruner veltliner weinviertel dac bio|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz hinterholz chardonnay|??|w|chardonnay|??|??|2015|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz lauschen blauer zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz lauschen blauer zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=559
W|gruber|roschitz lauschen blauer zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=559
W|gruber|roschitz lauschen blauer zweigelt bio|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz niederosterreich gruner veltliner green pepp|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz pinot noir galgenberg|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz pinot noir galgenberg|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=564
W|gruber|roschitz pinot noir ried galgenberg niederosterreich|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz punkt genau sekt|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruber|roschitz ried lauschen blauer zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz ried reipersberg organic gruner veltliner|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz ried reipersberg gruner veltliner|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz riepersberg gruner veltliner|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz riesling|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz riesling eiswein organic|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz riesling niederosterreich bio|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz sparkling gruner veltliner|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruber|roschitz terrasse reipersberg gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz terrasse reipersberg gruner veltliner|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=577
W|gruber|roschitz weinviertel dac gruner veltliner|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruber|roschitz zweigelt|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz zweigelt eko|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz zweigelt klassik|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruber|roschitz zweigelt klassik|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=582
W|gruber|roschitz zweigelt rose klassik|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gruber|rotschitz pinot noir organic|??|r|pinot noir|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruberroschitz|gruner veltliner|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|gruner veltliner weinviertel dac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|gruner veltliner weinviertel dac|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=587
W|gruberroschitz|gruner veltliner weinviertel dac|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|pinot noir galgenberg|??|r|pinot noir|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruberroschitz|pinot noir galgenberg|??|r|pinot noir|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruberroschitz|ried reipersberg gruner veltliner|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|riesling|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|riesling roschitz|??|w|riesling|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruberroschitz|riesling trocken|??|w|riesling|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=595
W|grubersbuckel|grubersbuckel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grubersbuckel|grubersbuckel|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=597
W|gruccione|gruccione|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruccione|bienenfresser|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|grue|jaune eric chevalier|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruener|veltliner reserve alte reben|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruenspiel|1 cru rouge bio alsace marcel deiss|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruenspiel|marcel deiss|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruet|american blanc de blancs new mexico|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|american brut new mexico|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|au naturel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruet|bdn|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruet|blanc de blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=609
W|gruet|blanc de blanc nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=612
W|gruet|blanc de blancs 750|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de blancs brut sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|blanc de blancs champagne nv|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de blancs nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de blancs nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco|=624
W|gruet|blanc de blancs sauvage american|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de blancs sauvage nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de noir|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=629
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=629
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=629
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=629
W|gruet|blanc de noirs|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=629
W|gruet|blanc de noirs methode champenoise|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de noirs nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blanc de noirs nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gruet|blanc de noirs nv|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=636
W|gruet|blanc de noirs sparkling nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de noirs sparkling sauvage nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gruet|blanc de noirs ws90tp90|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blancs de noir|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gruet|blde bl2009|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=644
W|gruet|brut g|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut methode champenoise|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut millessime|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=659
W|gruet|brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=659
W|gruet|brut nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=659
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=663
W|gruet|brut rose 37|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose methode champenoise|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose new mexico usa nv|us|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose nv|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose sparkling new mexico|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut rose tp90|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut sauvage rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut selection|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut selection|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=681
W|gruet|brut selection|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut|=681
W|gruet|brut selection 37|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut sparkling|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut sparkling white|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|brut tp91ws90|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|champagne brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|champagne brut rose|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|champagne selection brut|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gruet|champenoise brut|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
