W|larousse|gastronomique en espanol|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier champagne 1er cru rose de saignee extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut
W|larmandier|bernier champagne 1er cru rose de saignee extra brut|fr|s|??|champagne|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|extra brut|=431
W|larmandier|bernier champagne 1er cru blanc de noir brut nature|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|bernier champagne 1er cru blanc de noir brut nature|fr|s|??|champagne|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature|=433
W|larmandier|bernier brut rose de maturation|??|s|??|??|??|2014|12|??|leve|aperitivos; frutos do mar; canapes|brut
W|larmandier|bernier blanc de noirs brut nature|??|s|??|??|??|2015|12|??|leve|aperitivos; frutos do mar; canapes|brut nature
W|larmandier|bernier premier cru|??|r|??|??|??|2017|13.5|premier cru|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier 1r cru longitude normal|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier 1r cru longitude|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier 1er terre de vert|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmandier|bernier 1er rose de maturation|??|p|??|??|??|2014|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larmandier|bernier 1er cru blanc de noirs|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmande|st emilion|??|r|??|??|??|1995|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmande|cb6 stemilion|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmande|larmande|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmagnac du|centenaire ch du tariquet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larmagnac|cabine domaine du tariquet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romaneesaintvivant grand cru 1|??|r|??|??|??|2019|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romaneesaintvivant grand cru 1|??|r|??|??|??|2018|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romaneesaintvivant grand cru 1|??|r|??|??|??|2017|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romaneesaintvivant grand cru 1|??|r|??|??|??|2010|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romaneesaintvivant grand cru 1mag|??|r|??|??|??|2008|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romanee st vivant grand cru|??|r|??|??|??|2021|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romanee st vivant|??|r|??|??|??|2005|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuitsstgeorges rouge|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuitsstgeorges hors ligne|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuitsstgeorges clos des forets|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuitsstgeorges clos de larlot|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuitsstgeorges blanc la gerbotte|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuits st georges clos des forets st georges|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nsg 1er clos des forets saint georges|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|cote de nuitsvillage clos du chapeau|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|cote de nuitsvillage clos du chapeau|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|vosne romanee 1er cru les suchots|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuits st georges 1er cru clos des forets st georges|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|nuits st georges 1er cru clos des forets st georges|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlot|romanee saint vivant grand cru|??|r|??|??|??|2007|13.5|grand cru|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|morgon corcelette truges|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|morgon corcelette|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|morgon corcelette|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=469
W|larlesienne|morgon corcelette|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=469
W|larlesienne|morgon corcelette|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=469
W|larlesienne|corcelette morgon|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|chiroubles chatenay|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|chiroubles chatenay|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|chatenay chiroubles|??|r|??|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|beaujolaisvillages aux gauthiers|fr|r|??|beaujolais|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|beaujolaisvillages aux gauthiers|fr|r|??|beaujolais|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=477
W|larlesienne|beaujolais villages aux gauthiers|fr|r|??|beaujolais|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlesienne|beaujolais villages aux gauthiers|fr|r|??|beaujolais|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=479
W|larlesienne|beaujolais village|fr|r|??|beaujolais|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlequin|mercier fiefs vendeens vix rose|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larlequi|vi negre crianca|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larlequi|caixa de 6 ampolles|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkspur|pinot noir|??|r|pinot noir|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larks|tryst pinot noir california|us|r|pinot noir|california|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larks|tryst cabernet sauvignon california|us|r|cabernet sauvignon|california|??|2023|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larks|tryst sauvignon blanc california|us|w|sauvignon blanc|california|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larks|tryst pinot noir california|us|r|pinot noir|california|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larks|tryst rose california|us|p|??|california|??|2021|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larks|tryst rose california|us|p|??|california|??|2020|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|larks|tasmanian|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmeade|firebelle red blend|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vinho solari cabernet sauvigno tinto|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vinho cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards solari cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards lillie sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|vineyards dr olmo|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards cabernet sauvignon dr olmo|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards firebelle red|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards cabernet sauvignon|??|r|cabernet sauvignon|??|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyards solari cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyard solari cabernet sauvignon 21|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyard lmv salon proprietary red|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyard lillie sauvignon blanc 23|??|w|sauvignon blanc|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|vineyard firebelle 21|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|vineyard estate cabernet sauvignon 22|??|r|cabernet sauvignon|??|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|tocai friulano napa valley prearrival|us|r|??|napa valley|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|the lark cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|the lark|??|r|??|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|the lark|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|the lark|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=514
W|larkmead|the lark|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|solari cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|solari cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|solari cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|solari|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|sauvignon blanc lillie|??|w|sauvignon blanc|??|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|napa valley firebelle red|us|r|??|napa valley|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|napa firebelle red wine|us|r|??|napa|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|napa cabernet sauvignon|us|r|cabernet sauvignon|napa|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|napa cabernet sauvignon|us|r|cabernet sauvignon|napa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|napa cabernet sauvignon|us|r|cabernet sauvignon|napa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=525
W|larkmead|napa cab|us|r|??|napa|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2019|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2013|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lmv salon|??|r|??|??|??|2010|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2022|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2017|12.5|??|medio|peixes; frutos do mar; aves|seco|=535
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2013|12.5|??|medio|peixes; frutos do mar; aves|seco|=537
W|larkmead|lillie sauvignon blanc napa valley|us|w|sauvignon blanc|napa valley|??|2012|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkmead|firebelle red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle red blend|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=540
W|larkmead|firebelle red|??|r|??|??|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle red|??|r|??|??|??|2014|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle red|??|r|??|??|??|2011|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle napa valley red blend|us|r|??|napa valley|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle napa valley red blend|us|r|??|napa valley|??|2016|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=545
W|larkmead|firebelle napa valley|us|r|??|napa valley|??|2015|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|firebelle|??|r|??|??|??|2022|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|dr olmo cabernet sauvignon napa valley prearrival|us|r|cabernet sauvignon|napa valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|dr olmo cabernet sauvignon|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|dr olmo cabernet sauvignon|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|dr olmo|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon the lark|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon the lark|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari napa valley|us|r|cabernet sauvignon|napa valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari napa valley|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2013|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon solari|??|r|cabernet sauvignon|??|??|2009|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2022|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley 12 bottles|us|r|cabernet sauvignon|napa valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=568
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2017|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=571
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=573
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=575
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=577
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=577
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2013|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa valley|us|r|cabernet sauvignon|napa valley|??|2011|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa|us|r|cabernet sauvignon|napa|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa|us|r|cabernet sauvignon|napa|??|2019|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon napa|us|r|cabernet sauvignon|napa|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon dr olmo napa valley|us|r|cabernet sauvignon|napa valley|??|2015|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon dr olmo napa valley|us|r|cabernet sauvignon|napa valley|??|2014|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon dr olmo|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet napa valley|us|r|??|napa valley|??|2004|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2020|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2018|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|napa valley cabernet sauvignon|us|r|cabernet sauvignon|napa valley|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|napa cabernet sauvignon solari|us|r|cabernet sauvignon|napa|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkmead|cabernet sauvignon|??|r|cabernet sauvignon|??|??|2016|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco|=589
W|larkmead|larkmead|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin wines|larkan pink 25024|??|r|??|??|??|2021|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|sauvignon blanc|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkin|reactive glaze stoneware serving bowls|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|reactive glaze stoneware|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|merlot|??|r|merlot|??|??|2018|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|jack larkin chardonnay|??|w|chardonnay|??|??|2016|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkin|dinnerware collection|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|dinner plate set blue|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|larkin|cabernet franc|??|r|cabernet franc|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|larkan|sauvignon blanc blend can|??|w|sauvignon blanc|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|larkan|rose can|??|p|??|??|??|NV|12.5|??|leve|saladas; peixes grelhados; massas leves|seco
W|lark|wolf release v limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|wolf release v limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco|=610
W|lark|wolf release iv limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|wolf of the willows|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|tuscan pizzetta|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|tokay 100 rare cask release bonus|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|tasmanian single malt 92|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|symphony no 1 limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|symphony no 1 cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|single cask|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
X
W|lark|sherry aged sherry finished ii|??|f|??|??|??|NV|20|??|encorpado|queijos azuis; sobremesas; castanhas|doce
W|lark|ruby pinot release limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|ref cover assorted designs|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|rebellion|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|rare cask tokay 100 500 set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|rare cask para 50 ii|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|rare cask mizunara limited edition|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|potholder crochet|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|pistachio cherry sable 6oz|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|pistachio cherry sable|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|pistachio cherry cookies|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|mighty ginger snaps|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|ladies duster|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark|kitchen set|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|winery roxanne pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lark hill|winery pinot noir|??|r|pinot noir|??|??|2017|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|winery canberra region pinot noir|??|r|pinot noir|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|vineyard shiraz viognier|??|w|viognier|??|??|2021|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lark hill|vineyard pinot noir|??|r|pinot noir|??|??|2023|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|roxanne petillant naturel|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|roxanne pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lark hill|riesling|??|w|riesling|??|??|2023|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lark hill|regional shiraz|??|r|shiraz|??|??|2021|13.5|??|encorpado|carnes vermelhas; massas; queijos|seco
W|lark hill|regional roxanne pet nat nv|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lark hill|regional roxanne pet nat|??|s|??|??|??|NV|12|??|leve|aperitivos; frutos do mar; canapes|seco
W|lark hill|regional riesling|??|w|riesling|??|??|NV|12.5|??|medio|peixes; frutos do mar; aves|seco
W|lark hill|regional pinot noir|??|r|pinot noir|??|??|2024|13.5|??|medio|carnes vermelhas; massas; queijos|seco
W|lark hill|regional blanc de blanc nv|??|r|??|??|??|NV|13.5|??|medio|carnes vermelhas; massas; queijos|seco
