1. W|gaja|ca marcanda vistamare|it|w|??|toscana|bolgheri|2022|13.0|igt|medio|frutos do mar, peixe, salada|seco
376. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1988|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=236
377. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|1985|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
378. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
379. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=378
380. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=378
381. W|gaja|barbaresco costa russi|it|r|nebbiolo|piemonte|barbaresco|NV|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=378
382. W|gaja|barbaresco cantine|it|r|nebbiolo|piemonte|barbaresco|1977|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
383. X
384. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
385. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=384
386. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=384
387. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=384
388. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2022|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=384
389. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
390. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
391. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
392. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
393. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
394. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
395. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
396. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
397. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
398. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
399. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
400. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
401. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
402. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
403. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
404. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
405. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
406. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2021|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=389
407. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco
408. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
409. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
410. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
411. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
412. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
413. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
414. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
415. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
416. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
417. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
418. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
419. W|gaja|barbaresco|it|r|nebbiolo|piemonte|barbaresco|2020|14.5|docg|encorpado|carne vermelha, trufa, queijo curado|seco|=407
420. X
421. W|furmint|dry|??|w|furmint|??|??|2023|??|??|??|??|seco
422. X
423. X
424. W|fuente vina|merlot|??|r|merlot|??|??|NV|??|??|medio|??|seco
425. X
426. X
427. X
428. X
429. W|la roncaia|friuli colli orientali pinot grigio|it|w|pinot grigio|friuli|colli orientali|2024|13.0|doc|medio|frutos do mar, salada, peixes|seco
430. W|fritz haag|brauneberger juffer sonnenuhr riesling auslese|de|w|riesling|mosel|brauneberg|NV|8.5|auslese|medio|sobremesa, queijo azul, foie gras|doce
431. X
432. W|frey|organic petite sirah|us|r|petite sirah|california|??|2021|14.5|??|encorpado|carne vermelha, churrasco, queijo|seco
433. X
434. W|frescobaldi|castelgiocondo brunello di montalcino|it|r|sangiovese|toscana|montalcino|2019|14.5|docg|encorpado|carne vermelha, cordeiro, queijo curado|seco
435. W|french disko|french disko|fr|??|??|??|??|2023|??|??|??|??|??
436. W|freixenet|mia sangria white frizzante|es|s|??|??|??|NV|??|??|leve|aperitivos, frutas, sobremesa|doce
437. W|weingut bianka und daniel schmitt|freiheit wei fizz landwein|de|s|??|??|??|NV|??|landwein|leve|aperitivos, salada, petiscos|seco
438. X
439. X
440. W|frankland estate|smith cullam syrah|au|r|syrah|frankland river|western australia|2019|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco
441. W|frankland estate|smith cullam riesling|au|w|riesling|frankland river|western australia|2023|12.0|??|leve|frutos do mar, salada, sushi|seco
442. W|frankland estate|smith cullam riesling|au|w|riesling|frankland river|western australia|2023|12.0|??|leve|frutos do mar, salada, sushi|seco|=441
443. W|frankland estate|smith cullam riesling|au|w|riesling|frankland river|western australia|2023|12.0|??|leve|frutos do mar, salada, sushi|seco|=441
444. W|frankland estate|smith cullam riesling|au|w|riesling|frankland river|western australia|2023|12.0|??|leve|frutos do mar, salada, sushi|seco|=441
445. W|frankland estate|shiraz smith cullam|au|r|shiraz|frankland river|western australia|NV|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco
446. W|frankland estate|shiraz single vineyard isolation ridge|au|r|shiraz|frankland river|western australia|NV|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco
447. W|frankland estate|shiraz rocky gully|au|r|shiraz|frankland river|western australia|NV|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco
448. W|frankland estate|shiraz|au|r|shiraz|frankland river|western australia|2022|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco
449. W|frankland estate|shiraz|au|r|shiraz|frankland river|western australia|2022|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco|=448
450. W|frankland estate|shiraz|au|r|shiraz|frankland river|western australia|2022|14.0|??|encorpado|carne vermelha, cordeiro, queijo curado|seco|=448
