W|gaveske|med 2 udvalgte alkoholfrie speciall|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca etbianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=448
W|gavi|la scolca etnera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca etnera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=450
W|gavi|la scolca piemont italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|la scolca piemont italien|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=452
W|gavi|le marne|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|le marne docg michele chiarlo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|marne bianco le marne di carraro federica|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavi|masera stefano massone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|monserito docg tenuta carretta|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|monterotondo villa sparina|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|munsri cantine docg|??|r|??|??|??|1977|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|o cortese di gavi riserva 0|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavi|palas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|palas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=462
W|gavi|palas docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|palas michele chiarlo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|paolo manzone|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|piemonte guasti clemente|it|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|pio cesare|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|pio cesare doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|pio cesare doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=469
W|gavi|pise docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|pleo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|principessa bordolese banfi75cl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|principessa bordolese banfi75cl|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=473
W|gavi|relys|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|relys docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|ricossa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|riserva docg la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|riserva docg la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=478
W|gavi|riserva docg la raia|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco|=478
W|gavi|riserva la raia piedmont italy|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|riserva vigna madonnina docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|roberto mazzarello 0|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|rovereto docg|??|r|??|??|??|2021|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|s orsola vitt vin|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|s orsola white wine|??|w|??|??|??|1992|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavi|s orsola witte wijn|??|r|??|??|??|1992|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|salluvi castellari bergaglio|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|san pietro docg tenuta san pietro|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|san silvestro|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|selezioni marchesi di barolo|it|r|??|barolo|barolo|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|spinola nsa docg castello di tassarolo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|spumante|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gavi|spumante brut la battistina|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gavi|spumante brut la battistina 125|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|gavi|tenimenti ca bianca|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|tenimenti ca bianca docg|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|tenuta san lorenzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|tenuta san pietro docg|??|r|??|??|??|2024|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|tenute neirano 125vol|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|tenute neirano 125vol|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=500
W|gavi|titouan nsa docg castello di tassarolo|??|r|??|??|??|nv|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|valentino docg|??|r|??|??|??|2022|13.5|docg|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|via delfini|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|villa sparina doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|villavecchia|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavi|zerbo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavignano|chardonnay igt|??|w|chardonnay|??|??|2021|12.5|igt|medio|peixes, frutos do mar, saladas|seco
W|gavignet|nuits st georges vieilles vignes|??|r|??|??|??|2009|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavignet|bethanie et filles discovery box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavignet|les renardes vin de laoc corton grand cru|??|r|??|??|??|2017|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|gavignet|nuits st george les argillats|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavignet|nuits st george les argillats|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=512
W|gavilan|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavilan|crianza|??|r|??|??|??|2013|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavin|acrylic box frame|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavin|tray stand|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinel|gris|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinel|gris|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinel|gris|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=519
W|gavinel|gris rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavinel|gris rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=521
W|gavinel|gris rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=521
W|gavinel|gris rose|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavinel|mont baudile rose|??|p|??|??|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavinel|pays doc igp gris rose|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gavinel|saint guilhem le desert igp gris|??|r|??|??|??|nv|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinel|saint guilhem le desert igp gris|??|r|??|??|??|2025|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gavino|gavino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavino|gavino|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=529
W|gavino|carignano del sulcis doc cantina mesa|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gavino|mesa|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavino|sweet tortas almond 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gavino|sweet tortas lemon and cinnamon 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gavino|sweet tortas orange 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gavino|sweet tortas traditional 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|doce
W|gavinol|40 olga des grottes|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinol|50 olga des grottes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinos|tortas de aceite 180g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavinos|tortas de romero|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavio|cabernet sauvignon igt|??|r|cabernet sauvignon|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gavio|igt cab sauvignon terre degli osci|??|r|??|??|??|nv|13.5|igt|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco dell emilia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco dell emilia sgr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco di sorbara|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco emilia|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|lambrusco spumante rose|??|s|??|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gavioli|moscato|??|r|moscato|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavioli|moscato rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavioli|moscato rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=550
W|gavioli|moscato rose|??|p|moscato|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=550
W|gavioli|moscato rose champagne kosher|fr|s|moscato|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gavioli|moscato sparkling white|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gavioli|moscato white|??|w|moscato|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavioli|sparkling moscato rose|??|s|moscato|??|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|seco
W|gaviones|gaviones|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviones|1|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviotin|monja|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|500mg267mg160mg sachet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|advance suspension aniseed|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|advance suspension peppermint|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|advanced peppermint liquid sachets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action 500mg213mg325mg oral suspension|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action liquid sachet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action liquid sachets peppermint|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action oral suspension liquid sachet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|double action tablets 250mg 8s|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|liquid suspension peppermint|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|peppermint liquid|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|plus liquid sachets box|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|reckitt col doble accion sachet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaviscon|tablets peppermint 8 tablets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavius|gavius|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavius|gavius|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavius|monferrato rosso|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavotes|choconoir|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavotes|natures 125 gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavotte|cotes de provence rose|fr|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavottes|mini crepes coppasuntomato 80g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavottes|waffelrollchen crepe dentelles natur in der metallbox 125 kg|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavoty|clarendon cote de provence rose|fr|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|clarendon rose cotes de provence|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|grand classique cotes de provence rose|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|grand classique rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|grand classique rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=586
W|gavoty|grande classique cotes de provence rose|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|recital cotes de provence rose|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|recital rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavoty|rose cuvee clarendon|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavroche|blanc vin de france kologisk|fr|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gavroche|rose vin de france kologisk|fr|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gavur|dag salata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavur|dag salata duble|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavurdag|gavurdag|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gavurdag|salata|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gay|cravat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gay|gartered trousers|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gay|ours|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gay|ours|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=600
W|gay|talese phil stern frank sinatra has a cold|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|beyaz blend|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|cal karas|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|cal karas rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gaya|farm drink aloe vera|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|farm drink jeju island carrot|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|farm drink pear|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaya|farm drink sweet white peach|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|doce
W|gayda|cepage chardonnay 135 abv|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|cepage grenache 14 abv|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|cepage viognier 13 abv|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|chardonnay|??|w|chardonnay|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|chemin de moscou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|chemin de moscou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=615
W|gayda|chemin de moscou|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=615
W|gayda|chemin de moscou 14 abv|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|chemin de moscou igp paysdoc|??|r|??|??|??|2022|13.5|igp|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|en passant blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|en passant blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=620
W|gayda|en passant blanc|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=620
W|gayda|en passant rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|en passant rouge|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=623
W|gayda|figure libre freestyle|??|r|??|??|??|2014|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|figure libre cabernet franc igp pays doc|??|r|cabernet franc|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|figure libre chenin blanc|??|w|chenin blanc|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|figure libre chenin blanc igp pays doc|??|w|chenin blanc|??|??|2017|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|flying solo grenache blanc and viognier|??|w|viognier|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|flying solo grenache blanc viognier languedocroussillon|fr|w|viognier|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|flying solo grenache blancviognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|flying solo grenache cinsault rose|??|p|grenache|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gayda|flying solo grenache cinsault rose languedocroussillon|fr|p|grenache|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gayda|flying solo grenache syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|flying solo grenache syrah languedocroussillon|fr|r|syrah|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|flying solo rouge grenache syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|freestyle branco igp pays doc branco|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|freestyle figure libre cabernet franc 135 abv|??|r|cabernet franc|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|freestyle white igp pays doc wei|??|w|??|??|??|2020|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|grenache|??|r|grenache|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|la minuette rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|gayda|la minuette rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=641
W|gayda|la minuette rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=641
W|gayda|la minuette rose|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=641
W|gayda|sphere chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|sphere chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=645
W|gayda|sphere chardonnay|??|w|chardonnay|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=645
W|gayda|sphere chardonnay domaine gayda fraicheur et elegance du languedoc|fr|w|chardonnay|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|sphere chardonnay pays doc|??|w|chardonnay|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|sphere syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|sphere syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=650
W|gayda|sphere viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|sphere viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
W|gayda|sphere viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
W|gayda|sphere viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=652
W|gayda|sphere viognier domaine gayda fraicheur et elegance du languedoc|fr|w|viognier|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayda|sphere viognier pays doc|??|w|viognier|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|t air d oc syrah|??|r|syrah|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|tair doc sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|tair doc sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=660
W|gayda|tair doc sauvignon blanc|??|w|sauvignon blanc|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco|=660
W|gayda|tair doc sauvignon blanc pays doc|??|w|sauvignon blanc|??|??|2025|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gayda|tair doc syrah|??|r|syrah|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gayda|tair doc syrah|??|r|syrah|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|gayda|tair doc syrah|??|r|syrah|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|gayda|tair doc syrah|??|r|syrah|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|gayda|tair doc syrah pays doc|??|r|syrah|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|gaydasphere|syrah domaine gayda|??|r|syrah|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaydasphere|viognier|??|w|viognier|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|gayelord|hauser facon tagliatelles de konjac nature a cuisiner 160g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaylussac|alkoholmeter 025 vol alla france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaylussac|alkoholmeter 2540 vol alla france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaylussac|alkoholmeter 4075 vol alla france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaylussac|alkoholmeter 75100 vol alla france|fr|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayrard|braucol|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gayuma|don papa con astuccio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
S
S
S
S
S
S
W|gaz|butan zippo pentru brichete|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gaz|de schistes|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
