1. W|cascade heights|cabernet sauvignon|??|r|cabernet sauvignon|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
449. W|cascina castlet monferrato|rosso doc policalpo|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
450. W|cascina castlet|moscato dasti 2022|??|w|moscato|??|??|2022|12.5|??|leve|frutos do mar, peixes, saladas|seco
451. W|cascina castlet|moscato dasti docg|??|w|moscato|??|??|NV|12.5|docg|leve|frutos do mar, peixes, saladas|seco
452. W|cascina castlet passum|barbera dasti superiore|??|r|barbera|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco
453. W|cascina castlet passum|barbera dasti superiore|??|r|barbera|??|??|NV|13.5|superiore|encorpado|carne vermelha, massas, queijos curados|seco|=452
454. W|cascina castlet piemonte|doc chardonnay a taj|it|w|chardonnay|piemonte|??|NV|12.5|doc|leve|frutos do mar, peixes, saladas|seco
455. W|cascina castlet piemonte|moscato passito doc avie|it|d|moscato|piemonte|??|NV|10|doc|encorpado|sobremesas, queijos azuis, foie gras|doce
456. W|cascina castlet policalpo monferrato|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
457. W|cascina castlet|rose vespa|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
458. W|cascina castlet uceline monferrato|rosso 100 uvalino|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
459. W|cascina castlet vespa|rose barbera nebbiolo|??|p|nebbiolo, barbera|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
460. W|cascina|chicco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
461. W|cascina chicco alta langa|extra brut millesimato 2021|??|s|??|??|??|2021|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
462. W|cascina chicco anterisio roero arneis|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
463. W|cascina chicco anterisio roero arneis|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=462
464. W|cascina chicco anterisio roero arneis|docg italy|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
465. W|cascina chicco|barbera dalba doc granera alta|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
466. W|cascina chicco|barbera dalba doc granera alta|??|r|barbera|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=465
467. W|cascina chicco barolo|docg rocche di castelletto|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
468. W|cascina chicco barolo riserva ginestra|2010|it|r|??|??|??|2010|13.5|riserva|medio|carne vermelha, massas, queijos curados|seco
469. W|cascina chicco barolo rocche di castelletto|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|cascina chicco borolo rocche di|castelletto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
471. W|cascina chicco bric loira|barbera dalba doc 2023|??|r|barbera|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
472. W|cascina chicco cuvee|zero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
473. W|cascina chicco cuvee zero|extra brut|??|s|??|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
474. W|cascina chicco cuvee zero|rose metodo classico extra brut|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
475. W|cascina chicco cuvee zero|rose metodo classico extra brut 2020|??|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
476. W|cascina chicco cuvee zero spumante di|nebbiolo mc extra brut|??|s|nebbiolo|??|??|NV|12|??|leve|aperitivos, frutos do mar, sushi|extra brut
477. W|cascina chicco|docg dogliani rouge 2014|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
478. W|cascina chicco|docg dogliani rouge 2014|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=477
479. W|cascina chicco|docg dogliani rouge 2014|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=477
480. W|cascina chicco|docg dogliani rouge 2014|??|r|??|??|??|2014|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=477
481. W|cascina chicco ginestra barolo|docg riserva 2015|it|r|??|??|??|2015|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
482. W|cascina chicco langhe|doc favorita|??|r|??|??|??|NV|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
483. W|cascina chicco langhe|nebbiolo 2024|??|r|nebbiolo|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
484. W|cascina chicco langhe|nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
485. W|cascina chicco langhe|nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=484
486. W|cascina chicco langhe|nebbiolo doc|??|r|nebbiolo|??|??|NV|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=484
487. W|cascina chicco langhe|nebbiolo doc 2022|??|r|nebbiolo|??|??|2022|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
488. W|cascina chicco langhe|nebbiolo doc 2023|??|r|nebbiolo|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
489. W|cascina chicco langhe|nebbiolo doc 2023|??|r|nebbiolo|??|??|2023|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=488
490. W|cascina chicco mompissano|nebbiolo dalba doc nebbiolo dalba rot 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
491. W|cascina chicco mompissano|nebbiolo dalba doc nebbiolo dalba rouge 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
492. W|cascina chicco mompissano|nebbiolo dalba doc nebbiolo dalba rouge 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=491
493. W|cascina chicco mompissano|nebbiolo dalba doc nebbiolo dalba rouge 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=491
494. W|cascina chicco mompissano|nebbiolo dalba doc nebbiolo dalba tinto 2021|??|r|nebbiolo|??|??|2021|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
495. W|cascina chicco|nebbiolo|??|r|nebbiolo|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
496. W|cascina chicco rocche di castelletto barolo|2008|it|r|??|??|??|2008|13.5|??|medio|carne vermelha, massas, queijos curados|seco
497. W|cascina chicco rocche di castelletto barolo|2010|it|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
498. W|cascina chicco rocche di castelletto barolo|2011|it|r|??|??|??|2011|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|cascina chicco rocche di castelletto barolo|docg 2020|it|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
500. W|cascina chicco rocche di castelletto barolo|docg 2021|it|r|??|??|??|2021|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
501. W|cascina chicco roero arneis|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
502. W|cascina chicco roero arneis|docg|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco|=501
503. W|cascina chicco roero arneis|docg anterisio|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
504. W|cascina chicco roero arneis|docg riserva renesio 2022|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
505. W|cascina chicco roero|docg riserva valmaggiore 2020|??|r|??|??|??|2020|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
506. W|cascina chicco roero montespinato|docg 2022|??|r|??|??|??|2022|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
507. W|cascina chicco roero riserva|docg valmaggiore|??|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
508. W|cascina corte dogliani|2014|??|r|??|??|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
509. W|cascina corte dogliani dolcetto san luigi|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
510. W|cascina corte pirochetta vecchie vigne|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
511. W|cascina corte pirochetta vecchie vigne dogliani superiore|2019|??|r|??|??|??|2019|13.5|superiore|medio|carne vermelha, massas, queijos curados|seco
512. W|cascina|d or barolo 2019|it|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
513. W|cascina dardi bussia|2004 barolo jeroboam|it|r|??|??|??|2004|13.5|??|medio|carne vermelha, massas, queijos curados|seco
514. W|cascina dardi bussia|2005 barolo|it|r|??|??|??|2005|13.5|??|medio|carne vermelha, massas, queijos curados|seco
515. W|cascina dardi bussia|2007 barolo|it|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
516. W|cascina dardi bussia barolo|2016|it|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
517. W|cascina degli ulivi bellotti bianco semplicamente|2019 12|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
518. W|cascina degli ulivi bellotti boll le pendu du raisin|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
519. W|cascina degli ulivi bellotti|rosso semplicamente 2020 135|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
520. W|cascina degli ulivi bellotti semplicemente bianco|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
521. W|cascina degli ulivi etoile du raisin|2007|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|cascina degli ulivi filagnotti|2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|cascina degli ulivi filagnotti|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
524. W|cascina degli ulivi filagnotti bianco|2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|cascina degli ulivi filagnotti bianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
526. W|cascina degli ulivi filagnotti bianco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|cascina degli ulivi filagnotti bianco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=526
528. W|cascina degli ulivi filagnotti piedmont|italy|it|r|??|piedmont|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
529. W|cascina degli ulivi ilaria|belloti|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|cascina degli ulivi|ivag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
531. W|cascina degli ulivi|ivag|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=530
532. W|cascina degli ulivi ivag|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
533. W|cascina degli ulivi ivag gavi bianco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
534. W|cascina degli ulivi ivag piedmont|italy|it|r|??|piedmont|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|cascina degli ulivi le mat du|raisin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|cascina degli ulivi le mat du|raisin|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
537. W|cascina degli ulivi le mat du raisin|2020 piedmont italy|it|r|??|piedmont|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
538. W|cascina degli ulivi le mat du raisin|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
539. W|cascina degli ulivi le mat du raisin|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|cascina degli ulivi le pendu du raisin bellotti boll|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|cascina degli ulivi le pendu du raisin bellotti boll|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=540
542. W|cascina degli ulivi merla bianca|2007|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
543. W|cascina degli ulivi montemarino|2010|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
544. W|cascina degli ulivi montemarino|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|cascina degli ulivi montemarino|2019|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=544
546. W|cascina degli ulivi montemarino|2020 piedmont italy|it|r|??|piedmont|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|cascina degli ulivi montemarino bianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|cascina degli ulivi montemarino bianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=547
549. W|cascina degli ulivi montemarino bianco|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|cascina degli ulivi montemarino vino bianco|2010|??|r|??|??|??|2010|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|cascina degli ulivi mounbe|2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|cascina degli ulivi mounbe|2014 piedmont italy|it|r|??|piedmont|??|2014|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|cascina degli ulivi nibio|rosso 2007|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|cascina degli ulivi nibio|rosso 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
555. W|cascina degli ulivi semplicemente bellotti bianco piemonte|2023|it|r|??|piemonte|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|cascina degli ulivi semplicemente|rosso 2016|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
557. W|cascina degli ulivi semplicemente|rosso 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
558. W|cascina degli ulivi semplicemente vino bellotti bianco|2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
559. W|cascina degli ulivi semplicemente vino bellotti bianco|2020 vino bianco|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
560. W|cascina degli ulivi semplicemente vino bellotti|rosso 2019 vino rosso|??|r|??|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
561. W|cascina degli ulivi semplicemente vino bellotti|rosso 2020|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|cascina degli ulivi semplicemente vino bellotti|rosso 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
563. W|cascina degli ulivi semplicemente vino|bianco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|cascina degli ulivi semplicemente vino|bianco|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=563
565. W|cascina degli ulivi semplicemente vino rosa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|cascina degli ulivi semplicemente vino rosa|2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=565
567. W|cascina degli ulivi semplicemente vino|rosso|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
568. W|cascina degli ulivi semplicemente vino|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|cascina degli ulivi semplicemente vino|rosso 2021|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=568
570. W|cascina degli ulivi vino bianco ivag|2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|cascina degli ulivi vino bianco semplicemente|2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
572. W|cascina degli ulivi vino|rosso etoile du raisin 2007|??|r|??|??|??|2007|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|cascina degli ulivi vino|rosso mounbe 2013|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|cascina degli ulivi vino|rosso semplicemente 2023|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|cascina del colle duca minimo montepulciano bio|0|??|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
576. W|cascina del colle duca minimo|trebbiano bio 0|??|w|trebbiano|??|??|NV|12.5|??|leve|frutos do mar, peixes, saladas|seco
577. W|cascina del colle villamagna montepulciano dabruzzo|0|??|r|montepulciano|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
578. W|cascina del melo|barbera|??|r|barbera|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
579. W|cascina del melo|gavi|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|cascina del|monastero|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|cascina del monastero barolo bricco|luciani|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
582. W|cascina del monastero barolo bricco|luciani|it|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=581
583. W|cascina del monastero|nebbiolo del monastero 2015|??|r|nebbiolo|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
584. W|cascina del monastero|nebbiolo del monastero 2015|??|r|nebbiolo|??|??|2015|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=583
585. W|cascina del torcc barolo|2017|it|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|cascina del torcc barolo|docg|it|r|??|??|??|NV|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
587. W|cascina del torcc barolo|docg 2019|it|r|??|??|??|2019|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
588. W|cascina del torcc|nebbiolo dalba 2022 case only|??|r|nebbiolo|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
589. W|cascina delle monache bricco della lodra vino|rosso 2024|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
590. W|cascina delle monache gavi del comune di gavi|2022|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|cascina delle monache ronco del mandorlo gavi|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
592. W|cascina delle monache ronco del mandorlo|old vines gavi docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
593. W|cascina delle monache sori della monaca gavi|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
594. W|cascina delle monache sori delle monaca gavi|docg 2024|??|r|??|??|??|2024|13.5|docg|medio|carne vermelha, massas, queijos curados|seco
595. W|cascina delle|rose|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
596. W|cascina delle|rose 1982 barbaresco|it|p|??|??|??|1982|12.5|??|leve|saladas, aves, queijos leves|seco
597. W|cascina delle|rose 2021 barbaresco marcorino|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
598. W|cascina delle|rose 2021 barbaresco rio sordo|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
599. W|cascina delle|rose 2021 barbaresco tre stelle|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
600. W|cascina delle|rose 2022 barbaresco marcorino|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
601. W|cascina delle|rose 2022 barbaresco rio sordo|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
602. W|cascina delle|rose 2022 barbaresco tre stelle|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
603. W|cascina delle|rose 2022 barbera dalba superiore donna elena|??|p|barbera|??|??|2022|12.5|superiore|encorpado|saladas, aves, queijos leves|seco
604. W|cascina delle|rose 2023 dolcetto dalba a elizabeth|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
605. W|cascina delle|rose 2023 langhe nebbiolo|??|p|nebbiolo|??|??|2023|12.5|??|encorpado|saladas, aves, queijos leves|seco
606. W|cascina delle|rose 2024 arneis mun cru|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
607. W|cascina delle|rose 2024 dolcetto dalba a elizabeth|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
608. W|cascina delle|rose 2024 langhe nebbiolo|??|p|nebbiolo|??|??|2024|12.5|??|encorpado|saladas, aves, queijos leves|seco
609. W|cascina delle|rose a elisabeth dolcetto dalba 2024|??|p|??|??|??|2024|12.5|??|leve|saladas, aves, queijos leves|seco
610. W|cascina delle|rose a elizabeth dolcetto dalba 2023 piedmont italy|it|p|??|piedmont|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
611. W|cascina delle|rose barbaresco 2008|it|p|??|??|??|2008|12.5|??|leve|saladas, aves, queijos leves|seco
612. W|cascina delle|rose barbaresco 3 stelle rod|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
613. W|cascina delle|rose barbaresco marcorino 2021|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
614. W|cascina delle|rose barbaresco marcorino 2022|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
615. W|cascina delle|rose barbaresco rio sordo|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
616. W|cascina delle|rose barbaresco rio sordo|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=615
617. W|cascina delle|rose barbaresco rio sordo 2020|it|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
618. W|cascina delle|rose barbaresco tre stelle|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
619. W|cascina delle|rose barbaresco tre stelle|it|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco|=618
620. W|cascina delle|rose barbaresco tre stelle 2020|it|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
621. W|cascina delle|rose barbaresco tre stelle 2020 mag|it|p|??|??|??|2020|12.5|??|leve|saladas, aves, queijos leves|seco
622. W|cascina delle|rose barbaresco tre stelle 2021|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
623. W|cascina delle|rose barbaresco tre stelle 2022|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
624. W|cascina delle|rose barbaresco tre stelle 2022|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco|=623
625. W|cascina delle|rose barbaresco tre stelle 2022 piedmont italy|it|p|??|piedmont|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
626. W|cascina delle|rose barbaresco tre stelle magnum 2022|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
627. W|cascina delle|rose barbera dalba donna elena 2020|??|p|barbera|??|??|2020|12.5|??|encorpado|saladas, aves, queijos leves|seco
628. W|cascina delle|rose dolcetto|??|p|??|??|??|NV|12.5|??|leve|saladas, aves, queijos leves|seco
629. W|cascina delle|rose dolcetto 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
630. W|cascina delle|rose dolcetto a elizabeth 2023|??|p|??|??|??|2023|12.5|??|leve|saladas, aves, queijos leves|seco
631. W|cascina delle|rose donna elena 1 2022|??|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
632. W|cascina delle|rose donna elena barbera dalba superiore piedmont italy 2022|it|p|barbera|piedmont|??|2022|12.5|superiore|encorpado|saladas, aves, queijos leves|seco
633. W|cascina delle|rose langhe nebbiolo|??|p|nebbiolo|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco
634. W|cascina delle|rose langhe nebbiolo|??|p|nebbiolo|??|??|NV|12.5|??|encorpado|saladas, aves, queijos leves|seco|=633
635. W|cascina delle|rose langhe nebbiolo 2021|??|p|nebbiolo|??|??|2021|12.5|??|encorpado|saladas, aves, queijos leves|seco
636. W|cascina delle|rose langhe nebbiolo 2023 piedmont italy|it|p|nebbiolo|piedmont|??|2023|12.5|??|encorpado|saladas, aves, queijos leves|seco
637. W|cascina delle|rose langhe nebbiolo 2024|??|p|nebbiolo|??|??|2024|12.5|??|encorpado|saladas, aves, queijos leves|seco
638. W|cascina delle|rose langhe nebbiolo piedmont 2021 red dry 135 075|it|p|nebbiolo|piedmont|??|2021|12.5|??|encorpado|saladas, aves, queijos leves|seco
639. W|cascina delle|rose nebbiolo 2020 langhe|??|p|nebbiolo|??|??|2020|12.5|??|encorpado|saladas, aves, queijos leves|seco
640. W|cascina delle|rose nebbiolo 2020 langhe|??|p|nebbiolo|??|??|2020|12.5|??|encorpado|saladas, aves, queijos leves|seco|=639
641. W|cascina delle|rose nebbiolo 2020 langhe|??|p|nebbiolo|??|??|2020|12.5|??|encorpado|saladas, aves, queijos leves|seco|=639
642. W|cascina delle|rose nebbiolo 2020 langhe|??|p|nebbiolo|??|??|2020|12.5|??|encorpado|saladas, aves, queijos leves|seco|=639
643. W|cascina delle|rose nebbiolo 2024|??|p|nebbiolo|??|??|2024|12.5|??|encorpado|saladas, aves, queijos leves|seco
644. W|cascina delle|rose rio sordo 2021|??|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
645. W|cascina delle|rose rio sordo barbaresco italy 2022|it|p|??|??|??|2022|12.5|??|leve|saladas, aves, queijos leves|seco
646. W|cascina delle|rose tre stelle 2021|??|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
647. W|cascina delle|rose tre stelle 2021|??|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco|=646
648. W|cascina delle|rose tre stelle barbaresco 2021|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
649. W|cascina delle|rose tre stelle barbaresco italy 2021|it|p|??|??|??|2021|12.5|??|leve|saladas, aves, queijos leves|seco
650. W|cascina di mela gironi roero|arneis|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|cascina|doc nebbiolo dalba rouge 2018|??|r|nebbiolo|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco
652. W|cascina|doc nebbiolo dalba rouge 2018|??|r|nebbiolo|??|??|2018|13.5|doc|encorpado|carne vermelha, massas, queijos curados|seco|=651
