1. W|casa coste|piane valdobbiadene prosecco docg|it|s|??|??|??|NV|12|docg|leve|frutos do mar, aperitivos, sushi|brut
460. W|casa darrochella|reserva especial tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
461. W|casa darrochella|reserva especial tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco|=460
462. W|casa darrochella|reserva especial tinto 2020 pack 3 garrafas|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
463. W|casa darrochella|vinhas do cerval tinto|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
464. W|casa darrochella|vinhas do cerval tinto|??|r|??|??|??|2015|13.5|do|medio|carne vermelha, massas, queijos curados|seco
465. W|casa das|artes e oficios villa inspired by art|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
466. W|casa das|buganvilias vinho verde colheita selecionada|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
467. W|casa das|buganvilias vinho verde loureiro|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
468. W|casa das|buganvilias vinho verde rose|pt|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
469. W|casa das|eiras|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
470. W|casa das|flores grande reserva tinto|??|r|??|??|??|2017|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
471. W|casa das|flores grande reserva tinto|??|r|??|??|??|2020|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
472. W|casa das|flores grande reserve|??|r|??|??|??|2013|13.5|reserve|medio|carne vermelha, massas, queijos curados|seco
473. W|casa das|flores tinto grande reserva 075|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
474. W|casa das|flores tinto reserva 075|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
475. W|casa das|gaeiras 2020 tinto|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
476. W|casa das|gaeiras 2021 branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
477. W|casa das|gaeiras colheita branco|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
478. W|casa das|gaeiras colheita tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
479. W|casa das|gaeiras colheita tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
480. W|casa das|gaeiras maria gomes|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
481. W|casa das|gaeiras maria gomes branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
482. W|casa das|gaeiras maria gomes branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=481
483. W|casa das|gaeiras maria gomes branco|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
484. W|casa das|gaeiras reserva vinhas velhas branco|??|w|??|??|??|NV|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
485. W|casa das|gaeiras reserva vinhas velhas branco|??|w|??|??|??|2018|12.5|reserva|medio|peixes, frutos do mar, saladas|seco
486. W|casa das|gaeiras reserva vinhas velhas tinto|??|r|??|??|??|NV|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
487. W|casa das|gaeiras reserva vinhas velhas tinto|??|r|??|??|??|2015|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
488. W|casa das|gaeiras tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
489. W|casa das|gaeiras vinhas velhas tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
490. W|casa das|gaeiras vital branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
491. W|casa das|hortas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
492. W|casa das|hortas dona alface vinho verde rose|pt|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
493. W|casa das|hortas vinho verde navalheira|pt|r|??|??|??|NV|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
494. W|casa das|pedras timeless suites|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
495. W|casa dasylirion|sotol coyote durango blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
496. W|casa de|alqueria do valle central cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|do|encorpado|carne vermelha, massas, queijos curados|seco
497. W|casa de|alqueria do valle central sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|do|leve|peixes, frutos do mar, saladas|seco
498. W|casa de|atalaia|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
499. W|casa de|baleia chardonnay|??|w|chardonnay|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
500. W|casa de|baleia sauvignon blanc|??|w|sauvignon blanc|??|??|2023|12.5|??|leve|peixes, frutos do mar, saladas|seco
501. W|casa de|baleia vinho rochas|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
502. W|casa de|barro|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
503. W|casa de|barro white semisweet|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|doce
504. W|casa de|bonecas grande para montar ml5742|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
505. W|casa de|bonecas media para montar ml5743|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
506. W|casa de|cadaval branco|??|w|??|??|??|2023|12.5|ava|medio|peixes, frutos do mar, saladas|seco
507. W|casa de|cadaval cabernet sauvignon tinto|??|r|cabernet sauvignon|??|??|2022|13.5|ava|encorpado|carne vermelha, massas, queijos curados|seco
508. W|casa de|cadaval pinot noir tinto|??|r|pinot noir|??|??|2022|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
509. W|casa de|cadaval reserva branco|??|w|??|??|??|2022|12.5|ava|medio|peixes, frutos do mar, saladas|seco
510. W|casa de|cadaval reserva tinto|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
511. W|casa de|cadaval riesling branco|??|w|riesling|??|??|2023|12.5|ava|leve|peixes, frutos do mar, saladas|seco
512. W|casa de|cadaval rose|??|p|??|??|??|2023|12|ava|leve|carne vermelha, massas, queijos curados|seco
513. W|casa de|cadaval vinha padre pedro branco|??|w|??|??|??|2023|12.5|ava|medio|peixes, frutos do mar, saladas|seco
514. W|casa de|cadaval vinha padre pedro tinto|??|r|??|??|??|2023|13.5|ava|medio|carne vermelha, massas, queijos curados|seco
515. W|casa de|campo chardonnay 13|??|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
516. W|casa de|campo malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
517. W|casa de|campo malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=516
518. W|casa de|campo malbec|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco|=516
519. W|casa de|campo malbec 1|??|r|malbec|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
520. W|casa de|campo sauvignon blanc|??|w|sauvignon blanc|??|??|2021|12.5|??|leve|peixes, frutos do mar, saladas|seco
521. W|casa de|canhotos verde|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
522. W|casa de|compostela alvarinho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
523. W|casa de|compostela alvarinho|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=522
524. W|casa de|compostela alvarinho|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
525. W|casa de|compostela alvarinho|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=524
526. W|casa de|compostela alvarinho vihno regional minho|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
527. W|casa de|compostela espigueiro vinho verde|pt|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
528. W|casa de|compostela sauvignon blanc superior|??|w|sauvignon blanc|??|??|NV|12.5|superior|leve|peixes, frutos do mar, saladas|seco
529. W|casa de|compostela vinho verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
530. W|casa de|compostela vinho verde|pt|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=529
531. W|casa de|compostela vinho verde 2020 075|pt|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
532. W|casa de|compostela vinho verde doc|pt|r|??|??|??|2019|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
533. W|casa de|fra prosecco brut veneto italy|it|s|??|veneto|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
534. W|casa de|furia|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
535. W|casa de|hamsa anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
536. W|casa de|hamsa anejo|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=535
537. W|casa de|hamsa blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
538. W|casa de|hamsa blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=537
539. W|casa de|hamsa reposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
540. W|casa de|hamsa resposado|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
541. W|casa de|herrero rose de pinot noir|??|p|pinot noir|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
542. W|casa de|hualdo aove picual|??|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
543. W|casa de|jau aop cotes du roussillon villages et igp cotes catalanes coffret de 2 bouteilles|??|r|??|??|??|NV|13.5|igp|medio|carne vermelha, massas, queijos curados|seco
544. W|casa de|kristina 10 ars tawny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
545. W|casa de|kristina 10 ars white port|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
546. W|casa de|kristina 20 ars tawny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
547. W|casa de|kristina 30 ars tawny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
548. W|casa de|kristina 40 ars tawny|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
549. W|casa de|kristina colheita|??|r|??|??|??|2003|13.5|??|medio|carne vermelha, massas, queijos curados|seco
550. W|casa de|kristina lbv|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
551. W|casa de|kristina standard gaveske|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
552. W|casa de|la cabeza crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
553. W|casa de|la cera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
554. W|casa de|la cera|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=553
555. W|casa de|la ermita|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
556. W|casa de|la ermita blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
557. W|casa de|la ermita blanco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=556
558. W|casa de|la ermita blanco 2023 0 new|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
559. W|casa de|la ermita blanco 2024 0|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
560. W|casa de|la ermita blanco 6 botellas|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
561. W|casa de|la ermita crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
562. W|casa de|la ermita crianza|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=561
563. W|casa de|la ermita crianza|??|r|??|??|??|2013|13.5|??|medio|carne vermelha, massas, queijos curados|seco
564. W|casa de|la ermita crianza 2019 monastrelcab sauvsyrah 075|??|r|syrah|??|??|2019|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
565. W|casa de|la ermita crianza|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
566. W|casa de|la ermita crianza 2020 monastrelcab sauvsyrah 075|??|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
567. W|casa de|la ermita crianza 2020 monastrelcab sauvsyrah 15|??|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
568. W|casa de|la ermita crianza|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
569. W|casa de|la ermita crianza 2021 0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
570. W|casa de|la ermita crianza|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
571. W|casa de|la ermita crianza 2022 monastrelcab sauvsyrah 15|??|r|syrah|??|??|2022|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
572. W|casa de|la ermita crianza 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
573. W|casa de|la ermita crianza petit verdot|??|r|petit verdot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
574. W|casa de|la ermita idilico|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
575. W|casa de|la ermita idilico 2021 0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
576. W|casa de|la ermita idilico 2022 0|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
577. W|casa de|la ermita idilico monastrell petit verdot|??|r|petit verdot|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
578. W|casa de|la ermita idilico tinto 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
579. W|casa de|la ermita joven|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
580. W|casa de|la ermita joven 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
581. W|casa de|la ermita joven 0|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=580
582. W|casa de|la ermita joven|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
583. W|casa de|la ermita joven 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
584. W|casa de|la ermita joven organic monastrell|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
585. W|casa de|la ermita joven organic monastrell|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
586. W|casa de|la ermita lunatico tinto 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
587. W|casa de|la ermita monastrellsyrah|??|r|syrah|??|??|NV|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
588. W|casa de|la ermita monastrellsyrah|??|r|syrah|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
589. W|casa de|la ermita monastrellsyrah dop jumilla|??|r|syrah|??|??|2019|13.5|dop|encorpado|carne vermelha, massas, queijos curados|seco
590. W|casa de|la ermita parcela la solana|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
591. W|casa de|la ermita parcela la solana 2023 0|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
592. W|casa de|la ermita parcela la solana 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
593. W|casa de|la ermita parcela la solana 2025 0|??|r|??|??|??|2025|13.5|??|medio|carne vermelha, massas, queijos curados|seco
594. W|casa de|la ermita parcela los pinos|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
595. W|casa de|la ermita parcela los pinos|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
596. W|casa de|la ermita parcela los pinos|??|r|??|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=595
597. W|casa de|la ermita parcela los pinos|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
598. W|casa de|la ermita parcelas los pinos|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
599. W|casa de|la ermita petit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
600. W|casa de|la ermita petit verdot 6 botellas|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
601. W|casa de|la ermita reserva|??|r|??|??|??|2001|13.5|reserva|medio|carne vermelha, massas, queijos curados|seco
602. W|casa de|la ermita roble|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
603. W|casa de|la ermita roble|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
604. W|casa de|la ermita roble 2021 monastrelpetit verdot 0|??|r|petit verdot|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
605. W|casa de|la ermita roble 2022 monastrelpetit verdot 0|??|r|petit verdot|??|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
606. W|casa de|la ermita roble|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
607. W|casa de|la ermita roble 2023 0|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
608. W|casa de|la ermita roble 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
609. W|casa de|la ermita roble 6 botellas|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
610. W|casa de|la ermita roble monastrellpetit verdot|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
611. W|casa de|la ermita roble monastrellpetit verdot|??|r|petit verdot|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
612. W|casa de|la ermita roble monastrellpetit verdot bp|??|r|petit verdot|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
613. W|casa de|la ermita roble monastrellpetit verdot dop jumilla|??|r|petit verdot|??|??|2019|13.5|dop|medio|carne vermelha, massas, queijos curados|seco
614. W|casa de|la ermita rose|??|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
615. W|casa de|la ermita seleccion 2021 rey limitada 0|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
616. W|casa de|la ermita seleccion rey|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
617. W|casa de|la ermita seleccion rey|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
618. W|casa de|la ermita seleccion rey limitada|??|r|??|??|??|2018|13.5|??|medio|carne vermelha, massas, queijos curados|seco
619. W|casa de|la ermita tinto 2023 0|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
620. W|casa de|la ermita tinto 2024 0|??|r|??|??|??|2024|13.5|??|medio|carne vermelha, massas, queijos curados|seco
621. W|casa de|la reina 115 075|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
622. W|casa de|las musas blend|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
623. W|casa de|las musas chardonnay|us|w|chardonnay|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
624. W|casa de|las musas gsm|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
625. W|casa de|las musas gsm|us|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco|=624
626. W|casa de|las musas rosado|us|p|??|??|??|NV|12|??|leve|carne vermelha, massas, queijos curados|seco
627. W|casa de|lila sparkling brut|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
628. W|casa de|lila sparkling brut rose|??|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
629. W|casa de|los andes cabernet sauvignon|??|r|cabernet sauvignon|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
630. W|casa de|los andes malbec|??|r|malbec|??|??|2021|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
631. W|casa de|los andes malbec|??|r|malbec|??|??|2024|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
632. W|casa de|los andes malbec roble|??|r|malbec|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
633. W|casa de|los andes red blend|??|r|red blend|??|??|2019|13.5|??|medio|carne vermelha, massas, queijos curados|seco
634. W|casa de|los andes red blend roble|??|r|red blend|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
635. W|casa de|los andes roble cabernet sauvignon|??|r|cabernet sauvignon|??|??|2023|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
636. W|casa de|los andes signature malbec|??|r|malbec|??|??|2020|13.5|??|encorpado|carne vermelha, massas, queijos curados|seco
637. W|casa de|los andes torrontes|??|r|torrontes|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
638. W|casa de|los andes white blend|??|w|white blend|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
639. W|casa de|luculo catulo navarra do rotwein bio wein trocken spanien|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
640. W|casa de|luculo catulo rosado navarra do rosewein trocken spanien|es|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco
641. W|casa de|luculo catulo rosado navarra do rosewein trocken spanien|es|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco|=640
642. W|casa de|luculo catulo rosado navarra do rosewein trocken spanien|es|p|??|??|??|NV|12|do|leve|carne vermelha, massas, queijos curados|seco|=640
643. W|casa de|luculo origen navarra do rotwein wein trocken spanien|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco
644. W|casa de|luculo origen navarra do rotwein wein trocken spanien|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco|=643
645. W|casa de|luculo origen navarra do rotwein wein trocken spanien|es|r|??|??|??|NV|13.5|do|medio|carne vermelha, massas, queijos curados|seco|=643
646. W|casa de|malia prosecco italy|it|s|??|??|??|NV|12|??|leve|frutos do mar, aperitivos, sushi|brut
647. W|casa de|midao alvarinho 2023 vinho verde branco|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
648. W|casa de|mouraz 2015 private selection tinto|??|r|??|??|??|2015|13.5|??|medio|carne vermelha, massas, queijos curados|seco
649. W|casa de|mouraz 2016 private selection tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
650. W|casa de|mouraz 2017 bot tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
651. W|casa de|mouraz 2017 elfa tinto|??|r|??|??|??|2017|13.5|??|medio|carne vermelha, massas, queijos curados|seco
652. W|casa de|mouraz 2021 dao tinto|pt|r|??|dao|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
653. W|casa de|mouraz 2022 dao branco|pt|w|??|dao|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
654. W|casa de|mouraz|??|r|??|??|??|2023|13.5|??|medio|carne vermelha, massas, queijos curados|seco
655. W|casa de|mouraz 2023 dao branco|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
656. W|casa de|mouraz 9 castas tinto|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
657. W|casa de|mouraz antonio lopes ribeiro douro tinto|it|r|??|douro|??|2022|13.5|??|medio|carne vermelha, massas, queijos curados|seco
658. W|casa de|mouraz biologico branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
659. W|casa de|mouraz bolinha|??|r|??|??|??|2021|13.5|??|medio|carne vermelha, massas, queijos curados|seco
660. W|casa de|mouraz bolinha curtimenta|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
661. W|casa de|mouraz bot tinto|??|r|??|??|??|2016|13.5|??|medio|carne vermelha, massas, queijos curados|seco
662. W|casa de|mouraz branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
663. W|casa de|mouraz branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=662
664. W|casa de|mouraz branco|??|w|??|??|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=662
665. W|casa de|mouraz branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
666. W|casa de|mouraz branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=665
667. W|casa de|mouraz branco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=665
668. W|casa de|mouraz branco bio|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
669. W|casa de|mouraz branco dao organic|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
670. W|casa de|mouraz branco malvasiafina blend dao|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
671. W|casa de|mouraz chibu|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
672. W|casa de|mouraz chibu tinto|??|r|??|??|??|NV|13.5|??|medio|carne vermelha, massas, queijos curados|seco
673. W|casa de|mouraz clarete|??|r|??|??|??|2020|13.5|??|medio|carne vermelha, massas, queijos curados|seco
674. W|casa de|mouraz dao branco|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
675. W|casa de|mouraz dao branco|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=674
676. W|casa de|mouraz dao branco|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco|=674
677. W|casa de|mouraz dao branco|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
678. W|casa de|mouraz dao branco|pt|w|??|dao|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=677
679. W|casa de|mouraz dao branco encruzado|pt|w|??|dao|??|NV|12.5|??|medio|peixes, frutos do mar, saladas|seco
680. W|casa de|mouraz dao doc branco biologico|pt|w|??|dao|??|NV|12.5|doc|medio|peixes, frutos do mar, saladas|seco
681. W|casa de|mouraz dao doc red wine|pt|r|??|dao|??|2011|13.5|doc|medio|carne vermelha, massas, queijos curados|seco
682. W|casa de|mouraz dao doc red wine|pt|r|??|dao|??|2011|13.5|doc|medio|carne vermelha, massas, queijos curados|seco|=681
