W|girlan|chardonnay riserva curlan|??|w|chardonnay|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco doc nerina|??|w|??|??|??|2023|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco doc nerina|??|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=468
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=468
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco|=468
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=427
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco nerina|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=474
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2021|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco|=483
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=485
W|girolamo|russo etna bianco san lorenzo|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco|=485
W|girolamo|russo etna feudo sicily|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=489
W|girolamo|russo etna rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=489
W|girolamo|russo etna rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=489
W|girolamo|russo etna rosato|??|p|??|??|??|2018|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato sicily italy|it|p|??|sicily|??|2020|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=495
W|girolamo|russo etna rosato|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=498
W|girolamo|russo etna rosato rosato|??|p|??|??|??|2024|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosato sicily italy|it|p|??|sicily|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=505
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=510
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=512
W|girolamo|russo etna rosso a rina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina doc|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina doc mg|??|r|??|??|??|2024|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso a rina sicily italy nerello mascalesenerello cappuccio|it|r|??|sicily|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso arina|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso arina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso arina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=519
W|girolamo|russo etna rosso arina|??|r|??|??|??|2024|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=519
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=522
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=522
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|girolamo|russo etna rosso calderara sottana|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=526
W|girolamo|russo etna rosso calderara sottana doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc a rina|??|r|??|??|??|2022|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc calderara sottana|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc feudo|??|r|??|??|??|2020|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc feudo|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc feudo di mezzo|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc san lorenzo|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc san lorenzo|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso doc san lorenzo piano delle colombre|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=539
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=545
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=548
W|girolamo|russo etna rosso feudo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=548
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|girolamo|russo etna rosso feudo di mezzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=553
W|girolamo|russo etna rosso feudo di mezzo doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso feudo doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=565
W|girolamo|russo etna rosso san lorenzo piano delle colombe|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo piano delle colombe|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo etna rosso san lorenzo piano delle colombe|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=568
W|girolamo|russo feudo etna rosso|??|r|??|??|??|2016|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo di mezzo etna rosso doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo di mezzo etna rosso sicily italy|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo feudo etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=574
W|girolamo|russo feudo etna bianco doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo feudo etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna rosso bio doc|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna rosso italy nerello mascalese|it|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo feudo etna rosso sicily italy|it|r|??|sicily|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo in diretta winetip|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo nerina etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco|??|w|??|??|??|nv|12.5|??|medio|peixes, frutos do mar, saladas|seco|=583
W|girolamo|russo nerina etna bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco|??|w|??|??|??|2023|12.5|??|medio|peixes, frutos do mar, saladas|seco|=586
W|girolamo|russo nerina etna bianco|??|w|??|??|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco doc|??|w|??|??|??|2024|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco etna sicily|it|w|??|sicily|??|2024|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo nerina etna bianco sicily italy|it|w|??|sicily|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo rosato|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo rosato|??|p|??|??|??|2021|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girolamo|russo san lorenzo bianco etna doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo san lorenzo etna bianco|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo san lorenzo etna bianco sicily italy|it|w|??|sicily|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=601
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=603
W|girolamo|russo san lorenzo etna rosso doc|??|r|??|??|??|2021|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo etna rosso sicily italy|it|r|??|sicily|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo mount etna italy|it|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo piano delle colombe doc|??|r|??|??|??|2017|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorenzo piano delle colombe doc|??|r|??|??|??|2019|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo san lorezno etna rosso|??|r|??|??|??|2017|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolamo|russo special dinner|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolate|blanc js 90 rp 91 organic wine|??|w|??|??|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolate|bordeaux blanc|fr|w|??|bordeaux|??|2018|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolate|bordeaux blanc|fr|w|??|bordeaux|??|2019|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|girolate|bordeaux rouge|fr|r|??|bordeaux|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolate|bordeaux rouge|fr|r|??|bordeaux|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolate|bordeaux superieur 1|fr|r|??|bordeaux|??|2015|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolate|rouge js 91 rp 91|??|r|??|??|??|2018|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolle|cortaquesos giratorio|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolle|para tete de moine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolle|tete de moine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolles|girolles|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolles|50gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolles|au naturel|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolles|sechees champi lozere 30g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|farro perlato 400gm|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro conchiglie|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro fusilli whole wheat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro linguine|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro penne rigate|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro penne whole wheat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro penne whole wheat 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro rigatoni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro spaghetti whole wheat|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro spaghetti whole wheat 500g|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro spaghettoni|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro tagliatelle|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|grano duro torchiette|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|organic 00 flour|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|organic farro perlato|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girolomoni|organic lasagne sheets|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girona|a5 journal stand set in polywash fiber cover with wooden accent for logo printing|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gironet|gironet|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|gironia|bianco biferno doc borgo di colloredo|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|gironia|rosato biferno doc borgo di colloredo|??|p|??|??|??|nv|12.5|doc|leve|aperitivos, frutos do mar, saladas|seco
W|gironia|rosso biferno doc riserva borgo di colloredo|??|r|??|??|??|nv|13.5|doc|encorpado|carnes vermelhas, massas, queijos|seco
W|giropallet|ryno per remuage metodo classico|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girostmoussy|champagne brut tradition champagne france|fr|s|??|champagne|??|nv|12|??|leve|aperitivos, frutos do mar, canapes|brut
W|girotondo|girotondo|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|18 cm stal fra alessi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|20 cm sort fra alessi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|20 cm stal fra alessi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|girotondo|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|23 cm sort fra alessi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|23 cm stal fra alessi|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|rosato|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girotondo|rosato|??|p|??|??|??|2022|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=656
W|girotondo|rosato i forestieri|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girotondo|rosato i forestieri|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=658
W|girotondo|rosato i forestieri|??|p|??|??|??|2023|12.5|??|leve|aperitivos, frutos do mar, saladas|seco|=658
W|girotondo|rosato i forestieri roccastrada gr|??|p|??|??|??|nv|12.5|??|leve|aperitivos, frutos do mar, saladas|seco
W|girotondo|rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|rosso|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=662
W|girotondo|rosso i forestieri|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girotondo|rosso i forestieri|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|girotondo|rosso i forestieri|??|r|??|??|??|2023|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco|=664
W|girotondo|rosso i forestieri roccastrada gr|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroud|camille chapelle chambertin grand cru|??|r|??|??|??|2005|13.5|grand cru|encorpado|carnes vermelhas, massas, queijos|seco
W|giroud|pommard les cras 20|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|grenadine 12oz|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|macon fuisse vers chanes|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|maconfuisse vers chanes|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|maconfuisse vers chanes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyfuisse|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyfuisse cru vignes blanches|??|w|??|??|??|2020|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giroux|pouillyfuisse cru vignes blanches|??|w|??|??|??|2022|12.5|??|medio|peixes, frutos do mar, saladas|seco
W|giroux|pouillyfuisse raidillons|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyfuisse vieilles vignes|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyfuisse vieilles vignes|??|r|??|??|??|2022|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyloche|??|r|??|??|??|2019|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyloche|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyloche au bucher|??|r|??|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyloche aux bucher|??|r|??|??|??|2020|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|giroux|pouillyloche aux bucher|??|r|??|??|??|2021|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
W|girudi|vermentino di sardegna doc|??|w|??|??|??|nv|12.5|doc|medio|peixes, frutos do mar, saladas|seco
W|girumeta|nebbiolo rostagno|??|r|nebbiolo|??|??|nv|13.5|??|encorpado|carnes vermelhas, massas, queijos|seco
